Time,D_sat,D_sat(error),D_sat(std),D_sat(pts),D_msd,D_msd(std),D_msdX,D_msdX(std),D_msdY,D_msdY(std),D_msdZ,D_msdZ(std)
10000000000,2.0161173730760613e-06,7.8794257771044798,0,25,0.00071848062654166671,0,0.00081426730612500005,0,0.00065167746087499998,0,0.000689497112625,0
3.0898179077880385e+43,8.3057616963194921e-40,6.7852137444165006,0,25,3.6788563822317575e-37,0,4.3575115287744084e-37,0,3.3646348948415675e-37,0,3.3144227230792949e-37,0
9.5469747032876529e+76,2.3772503861022417e-73,8.1295071709860789,0,25,1.1906385722469332e-70,0,1.4102810129331844e-70,0,1.0889427776183312e-70,0,1.0726919261892839e-70,0
2.9498413403417587e+110,5.2717946390687974e-107,7.721068792062395,0,25,3.8534263434938026e-104,0,4.5642851942132301e-104,0,3.5242943439275079e-104,0,3.4716994923406685e-104,0
9.1144725985214365e+143,9.5822931423277212e-141,8.292947387864487,0,25,1.2471370347686349e-137,0,1.4772020003860822e-137,0,1.1406155472930459e-137,0,1.1235935566267766e-137,0
2.8162060654955833e+177,0,9.4115562273793074,0,25,4.0362800397561417e-171,0,4.7808707324230122e-171,0,3.6915299908710829e-171,0,3.6364393959743286e-171,0
8.7015639331892623e+210,0,10.573312186206648,0,25,1.3063164756675889e-204,0,1.5472985383289896e-204,0,1.1947403054291712e-204,0,1.1769105832446057e-204,0
2.6886248066529823e+244,0,9.7952282806251034,0,25,4.2278105527675157e-238,0,5.0077337387067301e-238,0,3.8667013432015145e-238,0,3.8089965763943012e-238,0
8.3073610749198107e+277,0,10.583605546250221,0,25,1.3683041133624642e-271,0,1.6207213137331897e-271,0,1.2514334043618479e-271,0,1.232757621992355e-271,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
inf,-nan,-nan,0,25,0,0,0,0,0,0,0,0
