Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,30.87466631542754,8.1118233513173479,0,0,0,-0
1,3.9138943248532287,18.57146197689444,-4.146825408599458,0,-0.50830988713774428,0,-0.0030499613831552557
2,7.8277886497064575,14.565718950497351,-8.0195043796017149,0,-0.75126523658193767,0,-0.012199845532621023
3,11.741682974559687,10.710017787385581,-11.655427668205629,0,-1.0587564420136562,0,-0.027449652448397314
4,15.655577299412915,19.564130701503199,-2.4977699448351594,0,-0.45623816392271394,0,-0.048799382130484091
5,19.569471624266143,26.11679490103247,4.4381718181597583,0,-0.16735739711170647,0,-0.076249034578881394
6,23.483365949119371,2.4313350666505755,-18.789310993447984,0,-2.5414954706660193,0,-0.10979860979358923
7,27.397260273972599,22.531598653186649,1.8377054996621878,0,-0.3150172787215193,0,-0.14944810777460749
8,31.311154598825826,13.260825226904004,-6.8442266807968863,0,-0.84512177016452183,0,-0.19519752852193636
9,35.225048923679054,33.955528843201222,14.494095162754924,0,0.09511570597775848,0,-0.24704687203557574
10,39.138943248532286,10.015671478671752,-8.7551521268014767,0,-1.1257849731258072,0,-0.30499613831552558
11,43.052837573385517,21.748153954648952,3.7068291292420068,0,-0.35040710900802269,0,-0.36904532736178602
12,46.966731898238748,20.089871854031152,2.8086706604959719,0,-0.42972018708051635,0,-0.43919443917435702
13,50.88062622309198,15.323054528269726,-1.1756680201677796,0,-0.7005774611128589,0,-0.5154434737532384
14,54.794520547945211,17.690304552877588,1.9882881138545174,0,-0.55691926316487439,0,-0.59779243109843061
15,58.708414872798443,16.231104279057408,1.3321744474309232,0,-0.64300656870525219,0,-0.68624131120993281
16,62.622309197651674,26.302759443037878,12.205855559889567,0,-0.16026213182392468,0,-0.78079011408774612
17,66.536203522504906,12.711696240222262,-0.59116809539199944,0,-0.88741345385763426,0,-0.88143883973186965
18,70.450097847358137,4.7688189061704653,-7.7543105949308133,0,-1.8678373218214073,0,-0.98818748814230373
19,74.363992172211368,24.308612105400677,12.54527491935,0,-0.23910529210363946,0,-1.1010360593190482
20,78.2778864970646,25.655588776581645,14.627197501663902,0,-0.1851745533826096,0,-1.2199845532621034
21,82.191780821917831,9.6559156325670799,-0.66651244566586954,0,-1.1623652408418306,0,-1.3450329699714689
22,86.105675146771063,3.1682898834716369,-6.4805120873557609,0,-2.2767440139051742,0,-1.4761813094471452
23,90.019569471624294,14.175036800864781,5.1649474800982178,0,-0.77845354150086754,0,-1.6134295716891314
24,93.933463796477525,-1.107870230783794,-9.5159794843668664,0,-13.815510557964274,0,-1.7567777566974292
25,97.847358121330757,3.0649910423036255,-4.7789683786985995,0,-2.3098913404846511,0,-1.9062258644720373
