Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,81736.643311458552,-6.4156313107006069,0,0,0,-0
1,3.9138943248532287,81704.541049538093,4.018199661140228,0,-0.00039282953631051144,0,-0.00061873897245475948
2,7.8277886497064575,81577.621063580256,4.5393305387986889,0,-0.0019474391749519846,0,-0.0024749558898190379
3,11.741682974559687,81354.766872641761,-6.4689950622294292,0,-0.0046829828287719786,0,-0.0055686507520928373
4,15.655577299412915,81056.372500583559,-9.4425249015036794,0,-0.0083575424551959304,0,-0.0098998235592761517
5,19.569471624266143,80700.350392278458,12.377904551494108,0,-0.012759494681105703,0,-0.015468474311368987
6,23.483365949119371,80227.915507040074,-1.2612462146560375,0,-0.018630883896581584,0,-0.022274603008371346
7,27.397260273972599,79679.257347941748,-11.943679749495653,0,-0.025493119058886404,0,-0.030318209650283204
8,31.311154598825826,79093.192140058891,17.081535502586433,0,-0.032875607287020193,0,-0.039599294237104607
9,35.225048923679054,78380.695038232559,-5.5532315353370567,0,-0.041924751581459162,0,-0.050117856768835518
10,39.138943248532286,77628.45018606192,4.2323052870603881,0,-0.051568425752047002,0,-0.061873897245475949
11,43.052837573385517,76788.073865946528,-4.7924231736495768,0,-0.062453071967991942,0,-0.074867415667025913
12,46.966731898238748,75900.104651747853,4.8408611932280889,0,-0.074084348647794812,0,-0.089098412033485397
13,50.88062622309198,74937.414375027889,2.7310753332437643,0,-0.086849121690732362,0,-0.10456688634485438
14,54.794520547945211,73915.034794089835,0.45633757507594008,0,-0.1005861567752854,0,-0.12127283860113294
15,58.708414872798443,72824.817910370504,-13.742969196902294,0,-0.11544560938949334,0,-0.13921626880232094
16,62.622309197651674,71725.318055573982,14.941269893366201,0,-0.13065861562636111,0,-0.15839717694841854
17,66.536203522504906,70529.666360507807,-4.2168374623677334,0,-0.14746899111254047,0,-0.17881556303942561
18,70.450097847358137,69309.543067455234,-3.4808958908218983,0,-0.16491980854307611,0,-0.20047142707534224
19,74.363992172211368,68044.090683621907,-7.7151137319479366,0,-0.18334652439256074,0,-0.22336476905616834
20,78.2778864970646,66747.961679925895,-6.3128883537316707,0,-0.20257865167555281,0,-0.24749558898190399
21,82.191780821917831,65430.93249870935,6.4404746144216238,0,-0.22250729122674073,0,-0.27286388685254914
22,86.105675146771063,64059.300510415618,-7.2126447958495383,0,-0.24369318702586296,0,-0.29946966266810388
23,90.019569471624294,62681.528326819622,-2.836046529740432,0,-0.26543561166271973,0,-0.32731291642856797
24,93.933463796477525,61256.107071735569,-25.915600599468277,0,-0.28843886011129921,0,-0.35639364813394186
