Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,2595.9410776113873,-11.859531828248887,0,0,0,-0
1,3.9138943248532287,2593.3425608273437,-10.14489635249266,0,-0.0010014935325507266,0,-0.0012818096376391781
2,7.8277886497064575,2590.1131899114457,-0.48028257506220673,0,-0.0022475237830307604,0,-0.0051272385505567123
3,11.741682974559687,2587.2514419227296,17.997176427559953,0,-0.0033530083233949239,0,-0.011536286738752607
4,15.655577299412915,2540.2419595464135,0.54877392566985417,0,-0.021689765050581344,0,-0.020508954202226849
5,19.569471624266143,2496.300737026987,-5.9166513151394682,0,-0.039139170367980439,0,-0.032045240940979457
6,23.483365949119371,2474.4920225477931,17.279559956140332,0,-0.047913969667746789,0,-0.046145146955010423
7,27.397260273972599,2410.7745190704622,5.6387712793997027,0,-0.074001028128424004,0,-0.062808672244319713
8,31.311154598825826,2355.7494208085905,9.2409210996840034,0,-0.097090198966207145,0,-0.082035816808907397
9,35.225048923679054,2304.8090659337263,22.90197620975681,0,-0.11895126292634001,0,-0.10382658064877344
10,39.138943248532286,2209.9694013882031,-1.9840406757029787,0,-0.16097043129994384,0,-0.12818096376391783
11,43.052837573385517,2134.1246689116865,-3.1802587222007679,0,-0.19589252973888199,0,-0.15509896615434057
12,46.966731898238748,2050.0703800342017,-8.5735608114483952,0,-0.23607497692305768,0,-0.18458058782004172
13,50.88062622309198,1974.4013334257211,-2.2660538768507261,0,-0.27368387112191589,0,-0.21662582876102116
14,54.794520547945211,1892.7342036319249,0.65789823045027473,0,-0.31592664896506001,0,-0.25123468897727907
15,58.708414872798443,1802.3150501570256,-3.2507840322035459,0,-0.36487712369807002,0,-0.2884071684688152
16,62.622309197651674,1726.2125117409269,8.3967880797116496,0,-0.40801939228994161,0,-0.32814326723562987
17,66.536203522504906,1632.649168330958,3.1676055580738014,0,-0.46374514904493103,0,-0.37044298527772274
18,70.450097847358137,1525.5311325265143,-15.655743028694211,0,-0.531606468161399,0,-0.41530632259509404
19,74.363992172211368,1451.0145072251221,-2.5017005586819261,0,-0.58168612926837493,0,-0.46273327918774365
20,78.2778864970646,1353.2126143001765,-13.796682322345044,0,-0.6514676214972196,0,-0.51272385505567164
21,82.191780821917831,1267.9347439251694,-14.221640624152588,0,-0.71655971029873899,0,-0.565278050198878
22,86.105675146771063,1213.7326045756733,14.337896902115904,0,-0.76024869265385064,0,-0.62039586461736285
23,90.019569471624294,1106.7271627351349,-12.378995491217333,0,-0.8525419433197412,0,-0.67807729831112562
24,93.933463796477525,1053.2726028436803,11.656510411393006,0,-0.90204701946763965,0,-0.73832235128016743
25,97.847358121330757,986.06547589085756,18.872246959788963,0,-0.96798162222348805,0,-0.8011310235244874
26,101.76125244618399,899.89621794869799,3.8456578831589021,0,-1.0594249369053172,0,-0.86650331504408551
27,105.67514677103722,831.06302802844243,2.7158488318240366,0,-1.1389987422079675,0,-0.93443922583896177
28,109.58904109589045,745.81281489275477,-18.378097207292097,0,-1.2472297298460371,0,-1.0049387559091165
29,113.50293542074368,711.77208043278006,8.1304507950537559,0,-1.2939466317766333,0,-1.0780019052545498
30,117.41682974559691,655.77995859979285,9.0648462868423323,0,-1.3758790764787117,0,-1.1536286738752612
31,121.33072407045015,602.31393198021453,8.9265970814841626,0,-1.4609255891109889,0,-1.2318190617712517
32,125.24461839530338,536.39736780918645,-7.2016730104329749,0,-1.5768291359364195,0,-1.3125730689425201
33,129.15851272015661,487.92720481814018,-9.3332761814910263,0,-1.6715381559186948,0,-1.3958906953890664
34,133.07240704500984,446.28629790801108,-7.9699020873072604,0,-1.7607437105543648,0,-1.4817719411108918
35,136.98630136986307,408.53718138820494,-5.9125814874391622,0,-1.8491214507219695,0,-1.5702168061079949
36,140.9001956947163,380.23524211363718,2.5469132082896788,0,-1.9209142608134577,0,-1.6612252903803768
37,144.81409001956953,353.85319152029626,10.046199486871227,0,-1.9928222662932296,0,-1.754797393928037
38,148.72798434442277,302.13910066801162,-10.493722218822173,0,-2.1508168706196815,0,-1.8509331167509755
39,152.641878669276,277.24890253467441,-6.7396593204285393,0,-2.2367887123636749,0,-1.9496324588491918
40,156.55577299412923,241.58434078598768,-16.111586621895899,0,-2.3744857308576255,0,-2.050895420222687
41,160.46966731898246,229.110619899959,-4.4678976653824805,0,-2.4274994369384046,0,-2.1547220008714612
42,164.38356164383569,214.7881635164164,3.3238684454652594,0,-2.4920521237459776,0,-2.2611122007955133
43,168.29745596868892,196.20392709257027,5.0162690769668918,0,-2.5825498174969064,0,-2.3700660199948431
44,172.21135029354215,166.49432818037255,-6.0967790594809914,0,-2.746743136332666,0,-2.4815834584694514
45,176.12524461839539,176.01927409992163,20.492744403411365,0,-2.6911108792166614,0,-2.595664516219339
46,180.03913894324862,120.49846249280675,-19.357660579432899,0,-3.070067386736679,0,-2.7123091932445047
47,183.95303326810185,128.23619857396051,2.7832071698110363,0,-3.0078305153884548,0,-2.8315174895449484
48,187.86692759295508,92.130402976373929,-20.071041333109289,0,-3.3384993830815883,0,-2.9532894051206702
