Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,5554.6048128393804,-2.83622343787663,0,0,0,-0
1,3.9138943248532287,5543.9496214891378,5.4163721574230053,0,-0.0019201049446435988,0,-0.0036577677486342216
2,7.8277886497064575,5491.8046994751439,9.5200655649311958,0,-0.011370353395853504,0,-0.014631070994536886
3,11.741682974559687,5382.1810360949075,-7.9166731829137227,0,-0.031533590691798022,0,-0.03291990973770801
4,15.655577299412915,5258.1217219285563,-6.1173321994226759,0,-0.054853403864956927,0,-0.058524283978147545
5,19.569471624266143,5116.2651060727685,8.5273264606870196,0,-0.082202578370495147,0,-0.091444193715855548
6,23.483365949119371,4912.3716785050428,-11.881084134742466,0,-0.12287042432767506,0,-0.13167963895083201
7,27.397260273972599,4722.5910702730562,4.6740274257643257,0,-0.16226967521517169,0,-0.17923061968307683
8,31.311154598825826,4498.593497165989,5.424575078231733,0,-0.21086248802290117,0,-0.23409713591259018
9,35.225048923679054,4263.489039792782,8.9093601292758144,0,-0.26453943126782459,0,-0.296279187639372
10,39.138943248532286,3996.1408293075865,-10.546610007418701,0,-0.32929817702320607,0,-0.36577677486342219
11,43.052837573385517,3752.5592193605635,-1.2864554927294698,0,-0.39218921404840684,0,-0.44258989758474088
12,46.966731898238748,3488.0751620967185,-12.018094727402968,0,-0.46527722517715159,0,-0.52671855580332816
13,50.88062622309198,3262.2611432404742,13.210145906867988,0,-0.53220672258920532,0,-0.6181627495191836
14,54.794520547945211,2979.8036867760025,-24.043848437403014,0,-0.62276985833144571,0,-0.71692247873230797
15,58.708414872798443,2763.0570403167335,-4.0182649401158921,0,-0.69828958968786348,0,-0.82299774344270027
16,62.622309197651674,2543.7076626301068,2.9322463114003523,0,-0.78100455337121022,0,-0.9363885436503615
17,66.536203522504906,2316.2540885381291,-10.19456159013407,0,-0.87467601598802369,0,-1.0570948793552908
18,70.450097847358137,2106.3240608603614,-18.764507581614229,0,-0.96968300283133912,0,-1.1851167505574889
