Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,14243.665314547436,2.2062483491257194,0,0,0,-0
1,3.9138943248532287,14223.7408593036,-2.421811732834716,0,-0.0013998084950623516,0,-0.0016133438283094689
2,7.8277886497064575,14177.868107902543,-2.5368500733065669,0,-0.0046301037465363163,0,-0.0064533753132378757
3,11.741682974559687,14092.534755271026,-12.043554969152181,0,-0.010667061352542428,0,-0.014520094454785226
4,15.655577299412915,13996.025130198866,-3.3048342791801941,0,-0.017538898516712545,0,-0.025813501252951503
5,19.569471624266143,13865.377024443942,-0.1750387171026023,0,-0.026917397318606137,0,-0.04033359570773673
6,23.483365949119371,13711.696729288613,7.3286948348414125,0,-0.038063024112486965,0,-0.058080377819140896
7,27.397260273972599,13530.19593755435,13.080341732835608,0,-0.051388344758582921,0,-0.079053847587163953
8,31.311154598825826,13297.050307385191,-8.276440642216059,0,-0.068770039316787851,0,-0.10325400501180601
9,35.225048923679054,13063.797371082761,-6.9078154230520585,0,-0.086467423480378502,0,-0.13068085009306699
10,39.138943248532286,12818.807533940719,3.705928103314502,0,-0.10539883745476081,0,-0.16133438283094692
11,43.052837573385517,12530.400709320682,-10.086699699244221,0,-0.12815452015745715,0,-0.19521460322544579
12,46.966731898238748,12232.325915985699,-16.601439675127708,0,-0.15223015573820781,0,-0.23232151127656361
13,50.88062622309198,11946.928634042546,4.3769422701974401,0,-0.17583804127679353,0,-0.27265510698430029
14,54.794520547945211,11605.244439445636,-18.283859169840088,0,-0.20485516575618218,0,-0.31621539034865614
15,58.708414872798443,11291.024530407525,-3.0108491156225945,0,-0.23230414778884539,0,-0.36300236136963066
16,62.622309197651674,10961.953688177757,5.718515441712424,0,-0.26188174669303926,0,-0.41301602004722437
17,66.536203522504906,10605.903866454173,-6.3452698072581626,0,-0.2949014539457252,0,-0.46625636638143686
18,70.450097847358137,10264.742970177676,0.60797100305993568,0,-0.32759725782749771,0,-0.52272340037226839
19,74.363992172211368,9907.1851833821911,-6.6808310456803142,0,-0.36305199855610726,0,-0.58241712201971874
20,78.2778864970646,9549.6607207723264,-13.651962319555917,0,-0.39980664130689991,0,-0.64533753132378813
21,82.191780821917831,9210.6261437246485,-3.6010073914851457,0,-0.43595443538788353,0,-0.71148462828447634
22,86.105675146771063,8856.217612195087,-12.012797079290747,0,-0.47519250115389466,0,-0.7808584129017837
23,90.019569471624294,8516.9470319852335,-9.8553250528409109,0,-0.51425432150111261,0,-0.85345888517570967
24,93.933463796477525,8193.1587108939984,1.8839872302816665,0,-0.55301276605196303,0,-0.92928604510625512
25,97.847358121330757,7844.2940398622022,-18.532736727693578,0,-0.59652587495726062,0,-1.0083398926934195
26,101.76125244618399,7536.2820455881583,-6.2016443037914373,0,-0.63658330554249443,0,-1.0906204279372025
27,105.67514677103722,7235.542537855109,4.425142510268981,0,-0.67730692332066911,0,-1.176127650837604
28,109.58904109589045,6944.3279795282851,14.878282921369422,0,-0.71838706023017918,0,-1.2648615613946248
29,113.50293542074368,6633.662554111339,-4.3948397357450562,0,-0.76415519544394239,0,-1.3568221596082646
30,117.41682974559691,6362.6773320779666,5.2981899202659601,0,-0.80586301561307627,0,-1.4520094454785233
31,121.33072407045015,6072.4796505808526,-15.244101783796824,0,-0.85254523773684854,0,-1.5504234190054014
32,125.24461839530338,5843.9330591889739,14.653422089672949,0,-0.89090822934691627,0,-1.6520640801888984
33,129.15851272015661,5588.7796500059476,6.6545423154828782,0,-0.93555131469388275,0,-1.7569314290290137
34,133.07240704500984,5345.293339792428,-0.9458979905796937,0,-0.98009584441811581,0,-1.8650254655257485
35,136.98630136986307,5135.2439511702423,13.730924560429973,0,-1.0201849187649612,0,-1.9763461896791015
36,140.9001956947163,4894.0395714180204,-13.721045984123654,0,-1.0682942178595101,0,-2.090893601489074
37,144.81409001956953,4725.4188195511679,20.688466261666431,0,-1.1033560724718097,0,-2.2086677009556657
38,148.72798434442277,4519.0003427130951,6.8848597759483408,0,-1.1480214622803553,0,-2.3296684880788758
39,152.641878669276,4344.3605460194149,14.796186192524779,0,-1.1874336907370617,0,-2.4538959628587045
40,156.55577299412923,4147.4214193611815,-9.2685919256942402,0,-1.2338254721520294,0,-2.581350125295153
41,160.46966731898246,3980.5782604331989,-12.500724563604617,0,-1.2748851682390754,0,-2.7120309753882208
42,164.38356164383569,3836.210994240022,-2.0884165056520683,0,-1.3118271093270057,0,-2.8459385131379071
43,168.29745596868892,3694.6524803612738,2.7442374925461621,0,-1.349425769893758,0,-2.9830727385442115
44,172.21135029354215,3545.7222418448359,-7.7354315412122068,0,-1.3905703939566887,0,-3.1234336516071348
45,176.12524461839539,3417.823118084299,-4.6776088609386672,0,-1.4273084353150605,0,-3.2670212523266788
46,180.03913894324862,3302.7775607636631,4.1814948007346766,0,-1.4615484690136751,0,-3.4138355407028409
