Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,12502.822267758063,-20.417817768210234,0,0,0,-0
1,3.9138943248532287,12513.059033956471,3.2484938533289802,0,0.00081842143767298038,0,-0.0010055490355239964
2,7.8277886497064575,12474.063502142028,4.4371291551497185,0,-0.0023028313929951854,0,-0.0040221961420959856
3,11.741682974559687,12422.377233242722,19.377694855498685,0,-0.0064549384113877679,0,-0.0090499413197159713
4,15.655577299412915,12327.524857779863,17.079712972542172,0,-0.014119844680609707,0,-0.016088784568383942
5,19.569471624266143,12203.26714868365,10.592815693775409,0,-0.024250685284241277,0,-0.02513872588809991
6,23.483365949119371,12056.696006390424,6.1115025397173692,0,-0.036334209465655097,0,-0.036199765278863878
7,27.397260273972599,11890.60671352268,5.3596243540141852,0,-0.05020566363361964,0,-0.049271902740675812
8,31.311154598825826,11677.268892546221,-20.624211904666222,0,-0.068310277878948306,0,-0.06435513827353577
9,35.225048923679054,11498.126437764764,8.2296736978790435,0,-0.08377029660279818,0,-0.08144947187744371
10,39.138943248532286,11254.30099506156,-8.4564774255293589,0,-0.10520403398364771,0,-0.10055490355239964
11,43.052837573385517,11018.826615014206,0.74608350035425219,0,-0.12634907995490879,0,-0.12167143329840359
12,46.966731898238748,10759.468007984644,1.9110867609251527,0,-0.15016828836986607,0,-0.14479906111545554
13,50.88062622309198,10475.073780338469,-7.8687413123483534,0,-0.17695589099164893,0,-0.16993778700355544
14,54.794520547945211,10176.558655683551,-19.478487292840629,0,-0.20586749581328712,0,-0.19708761096270344
15,58.708414872798443,9923.7828739389461,25.119149607540372,0,-0.2310202135395395,0,-0.22624853299289929
16,62.622309197651674,9599.1889531118049,6.5409074326669394,0,-0.26427578939015295,0,-0.2574205530941433
17,66.536203522504906,9287.5821390108667,7.7828647642025706,0,-0.29727614620048703,0,-0.29060367126643516
18,70.450097847358137,8955.10280859257,-6.7888288378863679,0,-0.3337308842174862,0,-0.32579788750977512
19,74.363992172211368,8631.9847902961737,-8.6626886888703059,0,-0.3704799343037119,0,-0.36300320182416296
20,78.2778864970646,8311.6731068639747,-6.0488088499551935,0,-0.40829347507617908,0,-0.4022196142095989
21,82.191780821917831,8000.9866510346083,6.2973820260316735,0,-0.44638953478963883,0,-0.44344712466608277
22,86.105675146771063,7663.5513260393291,-9.4800746260566431,0,-0.48947890434258695,0,-0.48668573319361474
23,90.019569471624294,7366.2975900199863,12.169553313650137,0,-0.52903918254587046,0,-0.53193543979219438
24,93.933463796477525,7048.1661312211136,8.9170135576234024,0,-0.57318694048889773,0,-0.5791962444618225
25,97.847358121330757,6721.720233604944,-7.828936521352877,0,-0.6206102913245789,0,-0.62846814720249855
26,101.76125244618399,6417.0827918277837,-8.9808615345420044,0,-0.66699077960668207,0,-0.67975114801422243
27,105.67514677103722,6125.8125454889168,-3.8946519616737003,0,-0.71344299212395867,0,-0.73304524689699402
28,109.58904109589045,5835.9100497936988,-5.363566612106327,0,-0.76192418269178153,0,-0.78835044385081388
29,113.50293542074368,5564.5295916704281,3.0920398217360701,0,-0.80954194888811326,0,-0.84566673887568178
30,117.41682974559691,5294.5218153800515,3.7642350426416078,0,-0.85928173397891294,0,-0.9049941319715975
31,121.33072407045015,5031.440496419219,1.7598956402192092,0,-0.91024807613381753,0,-0.96633262313856161
32,125.24461839530338,4781.6113980006985,3.0640905385679185,0,-0.96117679799796885,0,-1.0296822123765736
33,129.15851272015661,4542.1724850114706,4.5739359222502394,0,-1.0125489817178461,0,-1.0950428996856332
34,133.07240704500984,4310.2927377018714,3.3103632343732841,0,-1.0649485778544727,0,-1.1624146850657413
35,136.98630136986307,4085.9635423963578,-0.79802842847291222,0,-1.1183968264542343,0,-1.2317975685168969
36,140.9001956947163,3881.9086307929483,4.9871202915087585,0,-1.1696274524067032,0,-1.3031915500391007
