Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,12902.548175242146,1.0039610295140506,0,0,0,-0
1,3.9138943248532287,12884.424577089418,22.099184303555202,0,-0.001405640073449541,0,-0.0023869228452588682
2,7.8277886497064575,12763.093634837693,17.608749905802391,0,-0.010867128422865854,0,-0.0095476913810354728
3,11.741682974559687,12554.75455967251,1.3140956348757493,0,-0.027325381616283183,0,-0.021482305607329822
4,15.655577299412915,12282.196674465484,-7.9263512506531679,0,-0.049274035818135629,0,-0.038190765524141891
5,19.569471624266143,11964.617504633297,3.7835410577695434,0,-0.075471071829177144,0,-0.05967307113147171
6,23.483365949119371,11565.843721769674,-6.2123202920134233,0,-0.10936857704530341,0,-0.085929222429319274
7,27.397260273972599,11128.67750402861,-2.5499441150578677,0,-0.14789948923652105,0,-0.1169592194176845
8,31.311154598825826,10654.93252540478,8.4422096953124974,0,-0.19140189196419688,0,-0.15276306209656756
9,35.225048923679054,10126.390872032924,-0.035024992091708847,0,-0.24227985118954301,0,-0.19334075046596833
10,39.138943248532286,9581.4730712912897,1.6843970612796761,0,-0.29759347939247549,0,-0.23869228452588684
11,43.052837573385517,9016.6844475455146,1.4333587606548306,0,-0.3583481362012792,0,-0.28881766427632311
12,46.966731898238748,8445.4613833113654,4.2920837827461646,0,-0.42379564215461785,0,-0.34371688971727715
13,50.88062622309198,7865.8172256679836,0.43864004709378801,0,-0.49489838707981709,0,-0.40338996084874879
14,54.794520547945211,7291.6254802999656,-3.3993643791411521,0,-0.57069832968145517,0,-0.4678368776707385
15,58.708414872798443,6740.452263105527,4.0159931310300632,0,-0.64929780080107757,0,-0.53705764018324553
16,62.622309197651674,6197.4076418395362,2.3707468234680849,0,-0.73329374249546264,0,-0.6110522483862707
17,66.536203522504906,5679.7115551336519,4.4101281450357819,0,-0.82052437592837613,0,-0.6898207022798134
18,70.450097847358137,5178.7056224635171,-2.0431625563624789,0,-0.91286967961214005,0,-0.77336300186387397
19,74.363992172211368,4712.451616002777,-1.5184988074455328,0,-1.0072165392648595,0,-0.86167914713845206
20,78.2778864970646,4282.7666090691118,6.0807787523368448,0,-1.1028256200723217,0,-0.95476913810354802
21,82.191780821917831,3877.9322092501006,8.1067481365552236,0,-1.2021227490109054,0,-1.0526329747591616
22,86.105675146771063,3499.2779382224599,5.6541865590165763,0,-1.3048681809781766,0,-1.1552706571052933
23,90.019569471624294,3139.7391169808411,-7.9874114403642347,0,-1.4132851121206151,0,-1.2626821851419421
24,93.933463796477525,2835.2695051943688,3.9692415553106928,0,-1.5152878286029814,0,-1.3748675588691095
25,97.847358121330757,2550.9889166090898,7.8489676772303199,0,-1.6209437303988252,0,-1.4918267782867947
26,101.76125244618399,2296.4885457776618,14.717776378779456,0,-1.7260435877404208,0,-1.6135598433949969
27,105.67514677103722,2040.7706757451595,-4.769387851996794,0,-1.8440973060826609,0,-1.7400667541937165
28,109.58904109589045,1831.7109200199479,-0.9861749392421546,0,-1.952174365772966,0,-1.8713475106829542
29,113.50293542074368,1635.1515136063115,-6.3076708641258294,0,-2.0656893558969829,0,-2.0074021128627098
30,117.41682974559691,1472.201172780977,2.1374613927722228,0,-2.1706661475649445,0,-2.148230560732983
31,121.33072407045015,1333.4390558831878,16.632717568257338,0,-2.2696634636043322,0,-2.2938328542937749
32,125.24461839530338,1197.3742305522517,17.307701257530599,0,-2.3772938067165255,0,-2.4442089935450841
33,129.15851272015661,1074.31236796297,15.990383441551565,0,-2.4857440256225809,0,-2.5993589784869102
34,133.07240704500984,967.77192370902469,17.617922716043651,0,-2.5901836602955117,0,-2.7592828091192549
35,136.98630136986307,845.32941719743451,-8.916563937518843,0,-2.7254537095818048,0,-2.9239804854421165
36,140.9001956947163,770.5637259367162,1.186371221762458,0,-2.818057745216322,0,-3.0934520074554968
37,144.81409001956953,689.32501904018375,-5.090045471247107,0,-2.9294672182734312,0,-3.2676973751593947
38,148.72798434442277,616.85226822675634,-11.452243839025122,0,-3.0405505441841356,0,-3.4467165885538096
39,152.641878669276,561.30099909023045,-8.7604937526541509,0,-3.1349228019029813,0,-3.6305096476387417
40,156.55577299412923,519.56139993950933,0.79519641516170758,0,-3.2121951098004491,0,-3.819076552414193
41,160.46966731898246,471.47893141501714,-2.0809852668293214,0,-3.3093056868995725,0,-4.012417302880162
42,164.38356164383569,422.15287916445425,-11.491552438639827,0,-3.4198125824746253,0,-4.2105318990366492
43,168.29745596868892,393.18172718395846,-5.1022393329975984,0,-3.4909081886792643,0,-4.4134203408836523
44,172.21135029354215,394.93978206540726,28.130986799382498,0,-3.486446800995159,0,-4.6210826284211732
45,176.12524461839539,339.14278739560677,0.52310575972305029,0,-3.6387588833503606,0,-4.8335187616492137
46,180.03913894324862,320.22824369851327,7.0361963654358046,0,-3.6961461007057119,0,-5.0507287405677719
47,183.95303326810185,280.29963557101161,-9.7791963871970786,0,-3.8293209457764017,0,-5.2727125651768469
48,187.86692759295508,271.83226212838548,2.921104464295361,0,-3.8599949110901193,0,-5.4994702354764389
49,191.78082191780831,257.65162351040073,8.2554477011729066,0,-3.9135717278286788,0,-5.7310017514665494
50,195.69471624266154,235.2834026201574,3.9715885386172731,0,-4.0043893476626486,0,-5.9673071131471787
51,199.60861056751477,212.282260375367,-2.2162578078619188,0,-4.1072632978197499,0,-6.2083863205183221
52,203.522504892368,192.63805898225769,-6.2103876189791363,0,-4.2043670176186465,0,-6.4542393735799877
53,207.43639921722124,183.85448893086033,-0.43839753345567378,0,-4.2510354800900574,0,-6.7048662723321675
54,211.35029354207447,195.88892191475861,25.100045533429622,0,-4.1876323301506559,0,-6.9602670167748695
55,215.2641878669277,153.69446115465064,-4.6116623059948498,0,-4.4302134906416564,0,-7.2204416069080875
56,219.17808219178093,147.70260157107018,0.88732549112312409,0,-4.4699793005382613,0,-7.4853900427318205
57,223.09197651663416,139.85352842214076,3.5750615347083192,0,-4.5245844544300224,0,-7.7551123242460722
58,227.00587084148739,130.32604586862095,3.6832534829837558,0,-4.595140748104698,0,-8.0296084514508443
59,230.91976516634062,113.24538752815572,-4.591691263314754,0,-4.7356230685016829,0,-8.3088784243461298
60,234.83365949119386,117.88571171338623,8.113772840704506,0,-4.6954644934859449,0,-8.5929222429319374
61,238.74755381604709,113.28248288633198,10.939689277836553,0,-4.7352955559670002,0,-8.8817399072082583
62,242.66144814090032,93.287632815469223,-2.1476221333029333,0,-4.9294925576286772,0,-9.1753314171750997
