Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,3067.2869507107112,-4.2954560341513384,0,0,0,-0
1,3.9138943248532287,3060.4620618539425,8.4573180627578743,0,-0.002227536299159553,0,-0.004541871104255463
2,7.8277886497064575,2993.2633187952483,-0.84788585658510018,0,-0.024429238254913381,0,-0.018167484417021852
3,11.741682974559687,2901.5663661485505,1.2100848616933986,0,-0.055542724035003113,0,-0.04087683993829918
4,15.655577299412915,2793.1940397160906,18.56915176956225,0,-0.093607683337446249,0,-0.072669937668087409
5,19.569471624266143,2623.3359185553559,1.3890437364396837,0,-0.15634668223697057,0,-0.11354677760638658
6,23.483365949119371,2467.2007410553028,19.059945633680918,0,-0.21770923672015816,0,-0.16350735975319669
7,27.397260273972599,2252.064036568037,-7.3591893501773615,0,-0.30894629617572789,0,-0.22255168410851761
8,31.311154598825826,2061.6452453239203,-0.37613728319150636,0,-0.39728911465118311,0,-0.29067975067234963
9,35.225048923679054,1855.9676329259612,-5.8559150275020002,0,-0.50238724641419452,0,-0.36789155944469248
10,39.138943248532286,1650.6155588954794,-13.47907540763115,0,-0.61964515713193558,0,-0.45418711042554633
11,43.052837573385517,1476.5442535203752,3.269888269250008,0,-0.73108904781038708,0,-0.54956640361491105
12,46.966731898238748,1305.215132602541,12.350516277214323,0,-0.85442556171290651,0,-0.65402943901278687
13,50.88062622309198,1126.8100437764338,1.4080089038405517,0,-1.0014027709499023,0,-0.76757621661917341
14,54.794520547945211,965.01779975253589,-7.4857264814608069,0,-1.1564021739437174,0,-0.89020673643407133
15,58.708414872798443,843.16372004361062,8.197231459950526,0,-1.2913875701043191,0,-1.0219209984574795
16,62.622309197651674,702.84447369346992,-10.058725905074295,0,-1.4734130854162895,0,-1.1627190026893994
17,66.536203522504906,612.03423374660565,6.1448782630398711,0,-1.611760502009669,0,-1.3126007491298297
18,70.450097847358137,504.12350341528247,-8.9863287532952167,0,-1.8057274359407227,0,-1.471566237778771
19,74.363992172211368,440.73552232916148,7.2461427591602661,0,-1.9401037475203076,0,-1.6396154686362234
20,78.2778864970646,357.70693657140248,-8.0942334308927109,0,-2.1488346822268829,0,-1.8167484417021866
21,82.191780821917831,300.95665894599762,-7.7943234815446854,0,-2.3215824562833483,0,-2.0029651569766607
22,86.105675146771063,259.10001594007804,-1.9386105340656883,0,-2.4713345713629935,0,-2.198265614459646
23,90.019569471624294,210.34318953874501,-11.05742877640758,0,-2.6798082877461527,0,-2.4026498141511414
24,93.933463796477525,188.96698697545935,0.32792227890032255,0,-2.7869763927368258,0,-2.6161177560511493
25,97.847358121330757,166.54928543292101,4.9078680369007763,0,-2.9132574462272789,0,-2.8386694401596677
26,101.76125244618399,136.64720422011112,-2.7474309446019598,0,-3.1111462677082931,0,-3.0703048664766968
27,105.67514677103722,115.64146722590954,-5.3543413580376606,0,-3.2780541155089655,0,-3.3110240350022355
28,109.58904109589045,116.77339232316081,11.113491391739261,0,-3.2683134814618726,0,-3.5608269457362858
29,113.50293542074368,112.78829055494025,20.064039038855796,0,-3.3030361939134356,0,-3.8197135986788475
30,117.41682974559691,79.688920603673992,-1.9601121549827185,0,-3.6504181580748027,0,-4.0876839938299199
31,121.33072407045015,58.235972157044792,-13.776970796936416,0,-3.964045478346597,0,-4.3647381311895046
32,125.24461839530338,78.293482422648665,14.78956308319486,0,-3.6680843594555443,0,-4.6508760107576004
33,129.15851272015661,40.725118931274437,-15.180244069408317,0,-4.321703645617653,0,-4.9460976325342045
34,133.07240704500984,55.341270216783535,6.262213654592661,0,-4.015029793397054,0,-5.2504029965193215
35,136.98630136986307,46.62869478155141,3.6822506427900854,0,-4.1863326009831825,0,-5.5637921027129478
