Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,2178.4819364879809,9.4913971537835895,0,0,0,-0
1,3.9138943248532287,2158.1270722640938,-5.0387652371809599,0,-0.0093875254442800458,0,-0.0028289699553818138
2,7.8277886497064575,2141.5974743535098,-4.2018163389993228,0,-0.017076240924573896,0,-0.011315879821527255
3,11.741682974559687,2096.0184804522646,-21.191590763304866,0,-0.038588691391389318,0,-0.025460729598436333
4,15.655577299412915,2072.3052760532164,-5.6133394253035362,0,-0.049966627273817676,0,-0.04526351928610902
5,19.569471624266143,2027.7349653703311,-0.89493924023383464,0,-0.071708885319640273,0,-0.070724248884545343
6,23.483365949119371,1980.2694532268654,10.058315594857346,0,-0.095395351885286112,0,-0.10184291839374532
7,27.397260273972599,1910.1192241163524,6.4544219266752361,0,-0.131462613707229,0,-0.13861952781370884
8,31.311154598825826,1826.1928290370126,-3.9055041957832657,0,-0.17639489634142996,0,-0.18105407714443608
9,35.225048923679054,1760.1558808075076,9.4642121823086267,0,-0.21322590105226441,0,-0.22914656638592693
10,39.138943248532286,1660.6939121712292,-5.9701453298544562,0,-0.27139274041803385,0,-0.28289699553818137
11,43.052837573385517,1579.6631354704696,0.42168370252603471,0,-0.32141665591204727,0,-0.34230536460119954
12,46.966731898238748,1479.6610348945794,-9.9646828130490768,0,-0.38681524375308046,0,-0.40737167357498133
13,50.88062622309198,1375.4550127523403,-23.511738684915372,0,-0.45984368007851661,0,-0.47809592245952665
14,54.794520547945211,1316.6857474998335,8.3473666861127889,0,-0.50351049290904215,0,-0.55447811125483593
15,58.708414872798443,1231.0759840865255,12.35728264233826,0,-0.57073970402683594,0,-0.63651823996090839
16,62.622309197651674,1146.4122491226501,15.437007662122696,0,-0.6419909924869861,0,-0.72421630857774488
17,66.536203522504906,1062.4748080355878,16.619713473877631,0,-0.71802736336978989,0,-0.81757231710534484
18,70.450097847358137,951.17997173996719,-12.799946882594789,0,-0.82868026443042908,0,-0.91658626554370837
19,74.363992172211368,881.98855429858372,-3.8569268810827211,0,-0.90420447486626399,0,-1.0212581538928356
20,78.2778864970646,818.40808348803557,6.5828295165950497,0,-0.9790224620296889,0,-1.1315879821527264
21,82.191780821917831,730.42973552159469,-11.747688346517988,0,-1.092750514067371,0,-1.2475757503233809
22,86.105675146771063,677.88321245079692,0.82861152359921819,0,-1.1674085337224043,0,-1.3692214584047993
23,90.019569471624294,612.34841158026597,-4.1670548172139652,0,-1.2690821333127889,0,-1.4965251063969804
24,93.933463796477525,557.0440509950696,-3.4935604689783375,0,-1.363739230835892,0,-1.6294866942999264
25,97.847358121330757,503.46543025769313,-5.5654355410924339,0,-1.4648685028741382,0,-1.7681062221136359
26,101.76125244618399,447.56688014091731,-14.283615710004778,0,-1.5825575744263065,0,-1.9123836898381086
27,105.67514677103722,402.02286416148866,-16.786893050364625,0,-1.6898745907778758,0,-2.0623190974733441
28,109.58904109589045,368.61929408515954,-11.072109596058423,0,-1.7766191657019337,0,-2.2179124450193437
29,113.50293542074368,353.92035793838443,9.6624795257290366,0,-1.8173116435557826,0,-2.3791637324761075
30,117.41682974559691,310.00553515230439,-2.2544960215605507,0,-1.9497934011533191,0,-2.5460729598436345
31,121.33072407045015,283.23703025424612,-0.20728292972739015,0,-2.0400994439839688,0,-2.718640127121926
32,125.24461839530338,258.28056379659199,0.72207194648975737,0,-2.1323371031581555,0,-2.8968652343109813
33,129.15851272015661,207.2947242438326,-27.061274403393817,0,-2.3522419845461537,0,-3.0807482814107985
34,133.07240704500984,193.28059903562416,-20.318473942787342,0,-2.4222405397463649,0,-3.2702892684213807
35,136.98630136986307,183.16882389262059,-11.892069641447486,0,-2.4759752913031643,0,-3.4654881953427257
36,140.9001956947163,167.56118108916371,-10.965717281301448,0,-2.5650350089954665,0,-3.6663450621748348
37,144.81409001956953,171.5396560384653,7.7441673317464517,0,-2.541569083381801,0,-3.8728598689177081
38,148.72798434442277,137.48325673689547,-13.195036308930014,0,-2.7628814132971788,0,-4.0850326155713441
39,152.641878669276,140.61537637326273,1.6152347045413227,0,-2.7403552178652162,0,-4.3028633021357425
40,156.55577299412923,123.04924825628979,-5.5496224515517554,0,-2.8737988862387622,0,-4.5263519286109064
41,160.46966731898246,123.13125259352013,3.8062092897735207,0,-2.8731326731148119,0,-4.7554984949968349
42,164.38356164383569,108.01260202672347,-3.0290435082595151,0,-3.004135648053492,0,-4.9903030012935261
43,168.29745596868892,95.502432824014591,-8.1213560180533833,0,-3.1272318320438965,0,-5.2307654475009802
44,172.21135029354215,86.126148466773373,-10.83228121614675,0,-3.2305704896754972,0,-5.476885833619197
45,176.12524461839539,84.620658585893949,-6.323442972948766,0,-3.2482051256781679,0,-5.7286641596481802
46,180.03913894324862,95.664106273399653,10.173462139646359,0,-3.1255403907624499,0,-5.9861004255879262
47,183.95303326810185,101.09391080077526,20.57500249283326,0,-3.0703336590586607,0,-6.249194631438435
48,187.86692759295508,80.009248369819531,4.0488344254813544,0,-3.3042413211881945,0,-6.5179467771997066
49,191.78082191780831,69.767453573657434,-1.9894839994621036,0,-3.4412159339573605,0,-6.7923568628717428
50,195.69471624266154,76.205081210127801,8.3450712024138376,0,-3.3529554107860933,0,-7.0724248884545435
51,199.60861056751477,61.429768792343651,-2.8005389783954477,0,-3.5684890023924067,0,-7.3581508539481053
52,203.522504892368,64.720260269666497,3.8833331085666196,0,-3.5163092595889913,0,-7.6495347593524343
53,207.43639921722124,61.656643547504189,4.0001080307818384,0,-3.564802567670986,0,-7.9465766046675235
54,211.35029354207447,34.852712468376808,-19.819688249840286,0,-4.1352525869603483,0,-8.2492763898933799
55,215.2641878669277,50.379153522792635,-1.4941537535113243,0,-3.7668060848698959,0,-8.5576341150299999
56,219.17808219178093,70.906273005658576,21.653897557402555,0,-3.4250246473712846,0,-8.8716497800773801
57,223.09197651663416,36.973893322629081,-9.8319152750520296,0,-4.0761714760766541,0,-9.191323385035524
58,227.00587084148739,52.24045345784009,7.7088503548788871,0,-3.7305263885923718,0,-9.5166549299044352
59,230.91976516634062,50.839216151933414,8.4109522012896125,0,-3.7577155255406658,0,-9.8476444146841065
60,234.83365949119386,49.711665700521252,9.2180887829778051,0,-3.7801439258990253,0,-10.184291839374543
61,238.74755381604709,45.577895715755545,6.85440172812954,0,-3.8669606978842226,0,-10.52659720397574
62,242.66144814090032,35.84319567975416,-1.2679956717362375,0,-4.1072298044996565,0,-10.874560508487704
63,246.57534246575355,42.808789412335713,7.1624313510780375,0,-3.9296401121975668,0,-11.22818175291043
64,250.48923679060678,22.387797097163649,-11.926970352112443,0,-4.5778675158326019,0,-11.587460937243929
65,254.40313111546001,44.196745770429615,11.098573358367769,0,-3.8977323925333316,0,-11.95239806148818
66,258.31702544031322,29.93853420419007,-2.0360155211058424,0,-4.2872371337859922,0,-12.322993125643194
67,262.23091976516645,37.809542116058815,6.8908437809291829,0,-4.0538220461016472,0,-12.699246129708973
68,266.14481409001968,26.756029517795731,-3.1471437257403165,0,-4.3996237033260197,0,-13.081157073685523
69,270.05870841487291,31.351823109840648,2.4523112851081534,0,-4.2411111349910913,0,-13.468725957572831
70,273.97260273972614,29.501417473272788,1.6217322885368446,0,-4.3019452416702579,0,-13.861952781370903
71,277.88649706457937,30.227842767624676,3.4101570695662806,0,-4.2776201082055927,0,-14.260837545079742
72,281.8003913894326,41.009664629906943,15.318519341550083,0,-3.9725757921963818,0,-14.665380248699339
73,285.71428571428584,29.611232315860619,5.1283630402000053,0,-4.2982297943232606,0,-15.075580892229702
74,289.62818003913907,25.706595557275122,2.5244264209638754,0,-4.4396359583576031,0,-15.491439475670832
75,293.5420743639923,2.7504173979353439,-19.035467709987579,0,-6.6746308725748236,0,-15.912955999022723
76,297.45596868884553,26.448443313834826,6.1494370751980876,0,-4.4111862511500606,0,-16.340130462285376
77,301.36986301369876,7.6571070070064806,-11.077713406888638,0,-5.6507493167134335,0,-16.772962865458791
78,305.28375733855199,18.47127701182858,1.3567185361244303,0,-4.7701666221970367,0,-17.21145320854297
79,309.19765166340522,10.794584701595852,-4.671947762174403,0,-5.3073389619431497,0,-17.655601491537922
80,313.11154598825846,25.993903739098599,12.169098310369515,0,-4.4285215148475263,0,-18.105407714443626
81,317.02544031311169,21.312520262119939,9.0850541603246597,0,-4.627088848044532,0,-18.560871877260105
82,320.93933463796492,30.895720511034998,20.181107637489045,0,-4.2557658742792208,0,-19.021993979987339
83,324.85322896281815,13.582103263251962,4.2559280003775646,0,-5.0776305641915229,0,-19.488774022625339
84,328.76712328767138,1.5648217741688732,-6.5348933725102203,0,-7.2386116186162965,0,-19.961212005174104
85,332.68101761252461,29.956883400188786,22.888530328307056,0,-4.2866244259259698,0,-20.439307927633632
86,336.59491193737784,2.4884085301041359,-3.7705480053538794,0,-6.7747401922029384,0,-20.923061790003921
87,340.50880626223108,9.6451076626989334,3.9543999005536019,0,-5.4199327449676638,0,-21.412473592284972
88,344.42270058708431,20.963197140943677,15.589057358133649,0,-4.6436151706322466,0,-21.907543334476788
89,348.33659491193754,-12.020935345606366,-17.331629268864535,0,-13.815510557964274,0,-22.408271016579373
90,352.25048923679077,9.7473428492831644,4.254530649333466,0,-5.4093888342145942,0,-22.914656638592721
91,356.164383561644,11.908553648211869,6.0040156510660525,0,-5.2091266179269118,0,-23.42670020051683
92,360.07827788649723,9.9767886719434422,3.4542274413569523,0,-5.3861222916192411,0,-23.944401702351705
93,363.99217221135046,7.2127280325059067,-0.10488514084547912,0,-5.7105363061767074,0,-24.467761144097338
94,367.9060665362037,4.5241512403576181,-3.7319426044438853,0,-6.1769535654365937,0,-24.99677852575374
95,371.81996086105693,17.877428410345843,8.5756252705513223,0,-4.8028446193262777,0,-25.531453847320901
96,375.73385518591016,23.675981292696125,13.258334779302576,0,-4.5219224671128098,0,-26.071787108798826
97,379.64774951076339,13.206487495221584,1.63929070664558,0,-5.1056753680352891,0,-26.617778310187518
98,383.56164383561662,6.2921425763773851,-6.4238716689961119,0,-5.8470819089182742,0,-27.169427451486971
99,387.47553816046985,15.976033161149234,2.1433777559995613,0,-4.9152938820064058,0,-27.726734532697193
100,391.38943248532308,8.797372779880245,-6.0919612068859461,0,-5.5119304246340901,0,-28.289699553818174
101,395.30332681017632,-6.7354277673862679,-22.597659892408789,0,-13.815510557964274,0,-28.858322514849924
102,399.21722113502955,35.229066781496542,18.497574014192701,0,-4.1245120511140057,0,-29.432603415792421
103,403.13111545988278,-0.78284290361767717,-18.263795010053766,0,-13.815510557964274,0,-30.012542256645698
104,407.04500978473601,11.603646529353064,-6.4940448830920259,0,-5.2350641491115777,0,-30.598139037409737
105,410.95890410958924,41.864922577715582,23.293423654550804,0,-3.9519352474804412,0,-31.189393758084542
106,414.87279843444247,19.661513603461803,0.76717988375965496,0,-4.7077204530617509,0,-31.786306418670094
107,418.7866927592957,4.6166155324766329,-14.443259405000269,0,-6.1567216858970637,0,-32.388877019166429
108,422.70058708414894,21.707859793248108,2.6446373770270659,0,-4.6087091563823508,0,-32.997105559573519
109,426.61448140900217,16.008985975824928,-2.8918050147549894,0,-4.9132333657257288,0,-33.610992039891372
110,430.5283757338554,16.090578654694351,-2.4798340638188394,0,-4.9081496298224874,0,-34.23053646012
111,434.44227005870863,25.452020335422418,7.3803878871388804,0,-4.4495884294614019,0,-34.855738820259369
112,438.35616438356186,25.064400104004037,7.6582448055206376,0,-4.4649350369865139,0,-35.486599120309521
113,442.27005870841509,22.721762903944043,6.1433802303733556,0,-4.5630603703571495,0,-36.12311736027042
114,446.18395303326832,2.6360844866221065,-12.959874140338432,0,-6.7170888866058824,0,-36.765293540142096
115,450.09784735812156,6.7202183297684623,-7.7500238934225099,0,-5.7812629102469577,0,-37.413127659924534
116,454.01174168297479,21.909362031202697,8.6927373841686641,0,-4.5994695183192311,0,-38.066619719617741
117,457.92563600782802,11.602707227353399,-0.25191458918563547,0,-5.2351451012516703,0,-38.725769719221709
118,461.83953033268125,-2.0137838746045453,-12.421476805121772,0,-13.815510557964274,0,-39.390577658736426
119,465.75342465753448,23.386582575759224,14.483821871843379,0,-4.5342210900911093,0,-40.061043538161918
120,469.66731898238771,-0.16916941838704069,-7.5386068668265294,0,-13.815510557964274,0,-40.737167357498173
121,473.58121330724094,9.1027168536131899,3.2637270686410891,0,-5.4778106294969851,0,-41.418949116745196
122,477.49510763209418,9.5322345458746529,5.1891337684818728,0,-5.4317043887138068,0,-42.10638881590296
123,481.40900195694741,6.2638409352328104,3.3513318413375908,0,-5.8515899889183904,0,-42.799486454971515
124,485.32289628180064,8.6684283478388409,7.0928099321162028,0,-5.5266960542019978,0,-43.498242033950817
125,489.23679060665387,11.81907152178556,11.461896075414629,0,-5.2166690963668785,0,-44.202655552840888
126,493.1506849315071,-20.461880218028927,-19.738991321414371,0,-13.815510557964274,0,-44.912727011641721
127,497.06457925636033,-12.374377253814265,-10.7240045124937,0,-13.815510557964274,0,-45.628456410353323
128,500.97847358121356,3.1791307544587757,5.5965387436727205,0,-6.5297757420317879,0,-46.349843748975715
129,504.8923679060668,7.4220551112258883,10.444773232857326,0,-5.6819275658048012,0,-47.076889027508827
130,508.80626223092003,-14.451482916178817,-10.979964835360976,0,-13.815510557964274,0,-47.809592245952722
131,512.7201565557732,-5.7165848319252621,-1.9415120672481403,0,-13.815510557964274,0,-48.547953404307371
132,516.63405088062643,-16.116860677962837,-12.166904877354991,0,-13.815510557964274,0,-49.291972502572776
133,520.54794520547966,-7.4261273912713852,-3.4090566781389819,0,-13.815510557964274,0,-50.041649540748956
134,524.4618395303329,3.2130289969043151,7.213539645470548,0,-6.5191694488410556,0,-50.796984518835892
135,528.37573385518613,11.401376807622235,15.327716247206872,0,-5.2526494330966527,0,-51.557977436833617
136,532.28962818003936,1.6548759014981287,5.476251636948172,0,-7.1826575317745807,0,-52.324628294742091
137,536.20352250489259,8.3992025349700157,12.111256259016622,0,-5.5582467887736833,0,-53.096937092561333
138,540.11741682974582,2.2091684045866966,5.8325882706997332,0,-6.8937673966047042,0,-53.874903830291323
