Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,-2.9039117334506885,-2.903911826645627,0,0,0,-0
1,3.9138943248532287,-8.7117527621304642,-8.7117528553003094,0,1.0986143045421342,0,-0.0035472662484007543
2,7.8277886497064575,-10.627769619054066,-10.627769712148723,0,1.2974116491872076,0,-0.014189064993603017
3,11.741682974559687,-6.3548345927067,-6.3548346856763445,0,0.78315717472108637,0,-0.0319253962356068
4,15.655577299412915,-14.740719105991049,-14.740719198786302,0,1.6245549699116455,0,-0.056756259974412068
5,19.569471624266143,-3.110681039233397,-3.1106811318055021,0,0.068782984210688888,0,-0.088681656210018861
6,23.483365949119371,1.1615789550140532,1.1615788627130634,0,-13.815510557964274,0,-0.12770158494242717
7,27.397260273972599,4.850012763072586,4.8500126710897282,0,-13.815510557964274,0,-0.1738160461716369
8,31.311154598825826,12.784934309273655,12.784934217654842,0,-13.815510557964274,0,-0.22702503989764827
9,35.225048923679054,-6.9060618931556359,-6.9060619843657447,0,0.8663408594735913,0,-0.28732856612046109
10,39.138943248532286,16.32452469501996,16.324524604261835,0,-13.815510557964274,0,-0.35472662484007544
11,43.052837573385517,5.8864142129366446,5.8864141226722762,0,-13.815510557964274,0,-0.42921921605649133
12,46.966731898238748,5.3074237736410819,5.3074236839106224,0,-13.815510557964274,0,-0.51080633976970879
13,50.88062622309198,13.537830957053261,13.537830867895144,0,-13.815510557964274,0,-0.59948799597972757
14,54.794520547945211,-3.8521977035073314,-3.8521977920564754,0,0.28258511583350082,0,-0.69526418468654838
15,58.708414872798443,9.9093100493950406,9.9093099614896207,0,-13.815510557964274,0,-0.79813490589017
16,62.622309197651674,-0.88460811155759267,-0.88460819878647723,0,-1.1886692455269967,0,-0.90810015959059376
17,66.536203522504906,-9.8819823121300185,-9.8819823986515409,0,1.2246544288306831,0,-1.0251599457878187
18,70.450097847358137,5.6913227161074493,5.6913226303220927,0,-13.815510557964274,0,-1.1493142644818453
19,74.363992172211368,-21.082739682026329,-21.082739767048757,0,1.9823959794854866,0,-1.2805631156726733
20,78.2778864970646,-2.4954169099185211,-2.4954169941533126,0,-0.15160288827548704,0,-1.4189064993603029
