Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,4553.2031113943094,2.4598083543672877,0,0,0,-0
1,3.9138943248532287,4541.0004527595547,5.0681297396006979,0,-0.0026836139904019541,0,-0.0032710124978170851
2,7.8277886497064575,4464.6877196335618,-27.153995326179803,0,-0.019631693540194426,0,-0.01308404999126834
3,11.741682974559687,4421.3997868297029,1.9156250604027121,0,-0.029374626005456258,0,-0.029439112480353774
4,15.655577299412915,4315.1368854278608,-5.3637608210312449,0,-0.053701918620548489,0,-0.052336199965073361
5,19.569471624266143,4193.677821679551,-3.4154305840474124,0,-0.082252855147168055,0,-0.081775312445427129
6,23.483365949119371,4066.309156064603,14.372261814536305,0,-0.11309521904757827,0,-0.11775644992141508
7,27.397260273972599,3897.5268479912147,9.4516449643451725,0,-0.15548875536892803,0,-0.16027961239303712
8,31.311154598825826,3707.7177628415448,-1.0887673076001891,0,-0.20541443674289106,0,-0.20934479986029345
9,35.225048923679054,3505.9273978129841,-11.638911047113407,0,-0.26137588750900004,0,-0.26495201232318388
10,39.138943248532286,3319.1701394882793,1.3583085328821736,0,-0.31611617211278853,0,-0.32710124978170851
11,43.052837573385517,3116.5834483998906,3.6685371194485548,0,-0.37909361258318064,0,-0.39579251223586737
12,46.966731898238748,2911.3862503266587,5.3192554199772069,0,-0.44720162337531899,0,-0.47102579968566038
13,50.88062622309198,2681.3482931887866,-18.851825898473674,0,-0.52951120332442614,0,-0.55280111213108751
14,54.794520547945211,2511.2722024247523,13.346316508758884,0,-0.59504148751852937,0,-0.64111844957214914
15,58.708414872798443,2297.1409061367058,-4.3524366362464848,0,-0.68416570043447555,0,-0.73597781200884438
16,62.622309197651674,2099.4967789606899,-13.268724251667361,0,-0.77413327886361682,0,-0.83737919944117434
17,66.536203522504906,1931.3893752729186,-1.8238711800279197,0,-0.85759133832501411,0,-0.94532261186913824
18,70.450097847358137,1761.6050205996282,-2.3195379831317684,0,-0.94960562880631105,0,-1.0598080492927364
19,74.363992172211368,1606.7321452954818,1.1055995248310209,0,-1.0416285729137724,0,-1.1808355117119687
20,78.2778864970646,1464.0623119868137,5.3449542453295775,0,-1.1346159883451528,0,-1.3084049991268349
21,82.191780821917831,1345.6008466649798,22.295758950611333,0,-1.2189903263646724,0,-1.4425165115373355
22,86.105675146771063,1194.0187796167672,-5.2320492408469956,0,-1.3385062226420517,0,-1.5831700489434706
