Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,3094.1154229589042,-15.366889614536595,0,0,0,-0
1,3.9138943248532287,3103.0808825383288,-2.752928631560323,0,0.0028933941712226668,0,-0.001171301285874198
2,7.8277886497064575,3091.0208369671591,-3.897295124796714,0,-0.0010006525709107469,0,-0.0046852051434967922
3,11.741682974559687,3071.3095073116224,-5.514803420984058,0,-0.0073980366060392962,0,-0.010541711572867787
4,15.655577299412915,3054.0173779584493,2.3180956782212774,0,-0.013044159862675212,0,-0.018740820573987169
5,19.569471624266143,3013.443902159458,-6.3018270156077723,0,-0.026418478614319466,0,-0.029282532146854952
6,23.483365949119371,2975.0609796181589,-6.1581532752006209,0,-0.039237520733459604,0,-0.04216684629147114
7,27.397260273972599,2908.7702300377873,-27.653863142580853,0,-0.06177166637093158,0,-0.057393763007835691
8,31.311154598825826,2873.8492514958107,-11.860741300675091,0,-0.073849723097150988,0,-0.074963282295948674
9,35.225048923679054,2831.2068171597398,1.7407185494458992,0,-0.08879899895604608,0,-0.094875404155810042
10,39.138943248532286,2759.5325219448769,-8.5836781959133148,0,-0.11444076759524918,0,-0.11713012858741981
11,43.052837573385517,2711.463686997387,9.3507928243266605,0,-0.13201346188161781,0,-0.14172745559077798
12,46.966731898238748,2632.9213335502395,0.98970485696899124,0,-0.1614080539210497,0,-0.16866738516588459
13,50.88062622309198,2543.358079966411,-14.706541083267537,0,-0.19601677029080727,0,-0.1979499173127395
14,54.794520547945211,2482.5435053761894,1.5287413953638795,0,-0.2202184152637483,0,-0.22957505203134299
15,58.708414872798443,2405.9986968256289,4.7090677402592052,0,-0.25153698095451926,0,-0.26354278932169467
16,62.622309197651674,2334.7648090619045,15.369138411773772,0,-0.28159089499427631,0,-0.29985312918379492
17,66.536203522504906,2243.1822941583591,7.3495703695935033,0,-0.32160653216235063,0,-0.33850607161764351
18,70.450097847358137,2155.319236599938,4.2303566788883726,0,-0.36156320665382918,0,-0.3795016166232405
19,74.363992172211368,2086.8642097656575,21.228399626601572,0,-0.39383949569180782,0,-0.42283976420058583
20,78.2778864970646,1982.4908843946837,2.5662910025450896,0,-0.44514798039079995,0,-0.46852051434967962
21,82.191780821917831,1882.4206001585574,-11.961491967187071,0,-0.49694355493984643,0,-0.51654386707052169
22,86.105675146771063,1809.2402796985384,-0.16762378034380812,0,-0.53659503468045622,0,-0.56690982236311238
23,90.019569471624294,1735.3466216351153,9.9747218187755102,0,-0.57829488150429786,0,-0.61961838022745119
24,93.933463796477525,1632.4725126309809,-10.139846019229967,0,-0.63940631243697965,0,-0.67466954066353879
25,97.847358121330757,1566.7034192134045,5.2687499588010578,0,-0.68052837802649713,0,-0.73206330367137473
26,101.76125244618399,1471.8017059749027,-10.308885833592674,0,-0.74301475625410773,0,-0.7917996692509589
27,105.67514677103722,1430.4217948976566,25.543759933057906,0,-0.77153269462549912,0,-0.8538786374022912
28,109.58904109589045,1331.2411278381464,1.2998183181442013,0,-0.8433903709529621,0,-0.91830020812537205
29,113.50293542074368,1274.9095087081369,17.437699236862723,0,-0.8866268543422251,0,-0.98506438142020147
30,117.41682974559691,1196.2550499311164,8.6459827140128915,0,-0.95030617162749198,0,-1.0541711572867791
