Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,21456.838064635296,-3.5756308526824099,0,0,0,-0
1,3.9138943248532287,21404.021554103401,6.0945244937337275,0,-0.0024645580016766752,0,-0.00248147854781893
2,7.8277886497064575,21221.942552340333,10.316252362653932,0,-0.011007713001490754,0,-0.0099259141912757202
3,11.741682974559687,20898.753684419644,-6.1992937726082378,0,-0.026353860594826032,0,-0.022333306930370379
4,15.655577299412915,20464.10549322415,-19.4178267331562,0,-0.047370985576166091,0,-0.039703656765102881
5,19.569471624266143,19948.217960789618,-6.7365450737240886,0,-0.072903571390665417,0,-0.062036963695473256
6,23.483365949119371,19340.706934697057,12.075127265980079,0,-0.10383134312268867,0,-0.089333227721481501
7,27.397260273972599,18618.514283069369,3.0876240966651536,0,-0.14188690825475062,0,-0.12159244884312753
8,31.311154598825826,17816.04322293009,-11.33418193901181,0,-0.18594402943721211,0,-0.15881462706041152
9,35.225048923679054,16975.295806479968,-2.0499565798839963,0,-0.23428428616250954,0,-0.20099976237333333
10,39.138943248532286,16081.155591210774,2.4929452254220772,0,-0.28839525916940062,0,-0.24814785478189302
11,43.052837573385517,15138.234273681883,-6.5426242188686992,0,-0.34881977082839094,0,-0.30025890428609059
12,46.966731898238748,14189.506759971951,0.58698898985061043,0,-0.41354065458717459,0,-0.35733291088592606
13,50.88062622309198,13219.596594021114,-4.2000440243329447,0,-0.48434306632956531,0,-0.41936987458139924
14,54.794520547945211,12271.253931624493,9.9383065825743806,0,-0.55878393704539786,0,-0.48636979537251063
15,58.708414872798443,11298.798852817879,-13.561811440748482,0,-0.64134696160544957,0,-0.5583326732592595
16,62.622309197651674,10395.962444362796,9.3483869825173329,0,-0.72462588119876425,0,-0.63525850824164654
17,66.536203522504906,9485.3797565971181,-7.0513836750044181,0,-0.81629174528169957,0,-0.71714730031967133
18,70.450097847358137,8644.8619287728252,8.0947297464657915,0,-0.90907823767888429,0,-0.80399904949333401
19,74.363992172211368,7837.4542576294498,12.299729964427577,0,-1.0071293158682069,0,-0.89581375576263444
20,78.2778864970646,7063.2974431886478,1.5718928311879883,0,-1.1111313830547533,0,-0.99259141912757276
21,82.191780821917831,6360.1837589913275,10.907420833351329,0,-1.2159861156052916,0,-1.0943320395881488
22,86.105675146771063,5701.5909846428995,12.227298378063276,0,-1.3252981294565724,0,-1.2010356171443632
23,90.019569471624294,5066.0798880742095,-16.348318554812366,0,-1.4434760645499514,0,-1.3127021517962147
24,93.933463796477525,4539.1538428138338,11.218215707530121,0,-1.5533027690152581,0,-1.4293316435437051
25,97.847358121330757,4037.0466564753924,12.518015930767309,0,-1.670529986444462,0,-1.5509240923868333
26,101.76125244618399,3589.8317757313757,19.649614137905768,0,-1.7879380431885807,0,-1.6774794983255987
27,105.67514677103722,3144.9720613131467,-17.383594351863991,0,-1.9202383788753812,0,-1.8089978613600017
28,109.58904109589045,2820.4074899556381,22.270266590712477,0,-2.0291620109679207,0,-1.9454791814900427
29,113.50293542074368,2467.7734124459862,-6.6018587018197614,0,-2.162727093826831,0,-2.0869234587157219
30,117.41682974559691,2184.810838259822,-2.9839552685238906,0,-2.2845141335419892,0,-2.2333306930370389
31,121.33072407045015,1942.919106517583,7.8226465665252523,0,-2.401851849224454,0,-2.3847008844539945
32,125.24461839530338,1734.5631202826776,21.525342312105064,0,-2.5152878076438454,0,-2.5410340329665875
33,129.15851272015661,1524.1716949599188,5.6751493764393759,0,-2.6445922738095291,0,-2.7023301385748177
34,133.07240704500984,1361.8807669536045,13.363190063883417,0,-2.7571767241863516,0,-2.8685892012786867
35,136.98630136986307,1183.5780249199818,-16.766245024532811,0,-2.897501310397733,0,-3.0398112210781925
36,140.9001956947163,1085.9017228832388,14.46474143902307,0,-2.9836326626288856,0,-3.2159961979733369
37,144.81409001956953,960.85641236086337,1.3760223464902213,0,-3.1059736814554446,0,-3.3971441319641196
38,148.72798434442277,863.9229880117673,1.5408996573202829,0,-3.2123150338595088,0,-3.5832550230505391
39,152.641878669276,787.73020498066546,9.4656338939407565,0,-3.3046430126787443,0,-3.774328871232596
40,156.55577299412923,707.25498365676435,1.8023734131535267,0,-3.4124074077606132,0,-3.9703656765102919
41,160.46966731898246,640.88577564920035,-1.5719894280404978,0,-3.5109474205186859,0,-4.1713654388836261
42,164.38356164383569,594.88389047048838,6.922403651775543,0,-3.5854324200086984,0,-4.377328158352598
43,168.29745596868892,528.7309801612306,-12.066998032575114,0,-3.7033189060580054,0,-4.5882538349172064
44,172.21135029354215,498.50344602689,-1.4342272379718741,0,-3.7621881622750752,0,-4.804142468577453
45,176.12524461839539,476.34392616737136,11.87199457545548,0,-3.8076585371507452,0,-5.0249940593333395
46,180.03913894324862,434.64814586875724,1.0488432745224696,0,-3.899261820732185,0,-5.2508086071848625
47,183.95303326810185,408.36852741148562,1.7550100802025637,0,-3.9616286442694739,0,-5.4815861121320237
48,187.86692759295508,375.55075928280996,-7.342448368011806,0,-4.0454050245263851,0,-5.7173265741748214
49,191.78082191780831,352.54501611088187,-9.3482195049644456,0,-4.1086203450674361,0,-5.9580299933132581
50,195.69471624266154,342.29618648620936,-0.8412495644099014,0,-4.1381222598235929,0,-6.2036963695473331
51,199.60861056751477,342.89257499963668,16.68004754774212,0,-4.1363814587551655,0,-6.4543257028770435
52,203.522504892368,317.26079022071548,6.4978637971970974,0,-4.2140745467010969,0,-6.7099179933023949
53,207.43639921722124,285.06714028040835,-11.419062996121671,0,-4.3210739319899183,0,-6.9704732408233818
54,211.35029354207447,270.15952439027387,-12.96941250436941,0,-4.3747860488437293,0,-7.2359914454400096
55,215.2641878669277,277.99470660586024,7.5119453679260246,0,-4.3461965919219905,0,-7.5064726071522747
56,219.17808219178093,243.30561298019418,-15.074827201019191,0,-4.479480344719672,0,-7.7819167259601745
57,223.09197651663416,243.60985825141901,-3.0820000058583652,0,-4.478230660415945,0,-8.0623238018637124
58,227.00587084148739,241.12769157241004,5.8078226607091086,0,-4.4884720307211001,0,-8.3476938348628913
