Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,166342.98843665581,9.1027105998511395,0,0,0,-0
1,3.9138943248532287,166202.21585484518,0.10302051826132157,0,-0.00084663731969489926,0,-0.00071002877832720013
2,7.8277886497064575,165795.33628631412,-12.179964567193917,0,-0.0032977383571240592,0,-0.0028401151133088005
3,11.741682974559687,165143.28959278535,-8.9656810398107964,0,-0.0072383332971106187,0,-0.0063902590049448038
4,15.655577299412915,164225.86599519418,-14.039578962439478,0,-0.012809140123596931,0,-0.011360460453235202
5,19.569471624266143,163063.69500648839,-11.729791261872231,0,-0.019910960723896615,0,-0.017750719458180006
6,23.483365949119371,161658.81171173928,-6.2933713138765892,0,-0.028563838373221639,0,-0.025561036019779212
7,27.397260273972599,160012.88446797524,-3.6286862493659431,0,-0.038797512195652389,0,-0.034791410138032802
8,31.311154598825826,158135.50037219224,-2.918444451420406,0,-0.050599589319248996,0,-0.045441841812940809
9,35.225048923679054,156049.03393472315,8.3211010797590479,0,-0.063881574156421109,0,-0.05751233104450322
10,39.138943248532286,153740.00143813618,5.6861407690351022,0,-0.078788978836799667,0,-0.071002877832720024
11,43.052837573385517,151221.12715711838,-9.9485634255946405,0,-0.095308668252880868,0,-0.085913482177591233
12,46.966731898238748,148560.69530360735,17.0291355693174,0,-0.11305825479047883,0,-0.10224414407911686
13,50.88062622309198,145661.20817304423,-24.260642888004632,0,-0.13276841888302021,0,-0.11999486353729685
14,54.794520547945211,142661.25234956201,-9.207021416886036,0,-0.15357889673941583,0,-0.13916564055213135
15,58.708414872798443,139512.89758688453,-0.19021734240931801,0,-0.17589479930452015,0,-0.15975647512362012
16,62.622309197651674,136228.16149352826,0.0036436879739133207,0,-0.19972071403170952,0,-0.1817673672517634
17,66.536203522504906,132824.42388367146,-6.282810661992773,0,-0.22502371719336009,0,-0.20519831693656101
18,70.450097847358137,129354.42686764424,18.540633749625684,0,-0.25149572011794158,0,-0.23004932417801305
19,74.363992172211368,125768.74867423861,9.9014644268946537,0,-0.27960695942084635,0,-0.25632038897611947
20,78.2778864970646,122110.88758962038,-3.7398566147130126,0,-0.3091223055226649,0,-0.28401151133088032
21,82.191780821917831,118425.60376946891,7.5584565511004653,0,-0.33976690498751294,0,-0.31312269124229553
22,86.105675146771063,114684.01071953356,0.41129887653439701,0,-0.37187123856991167,0,-0.34365392871036521
23,90.019569471624294,110929.91869169705,4.5432600907251004,0,-0.40515321333129245,0,-0.37560522373508914
24,93.933463796477525,107162.05354046138,5.0928072872047361,0,-0.43970964430782156,0,-0.40897657631646772
25,97.847358121330757,103390.39267130269,-0.97491432657630317,0,-0.47553980855862449,0,-0.44376798645450072
26,101.76125244618399,99652.70811517621,11.742902643303355,0,-0.51236062955388706,0,-0.47997945414918791
27,105.67514677103722,95919.40029727052,1.9791349961582014,0,-0.55054359352593774,0,-0.51761097940052947
28,109.58904109589045,92238.778939393145,7.126808612667233,0,-0.58967121410328438,0,-0.55666256220852539
29,113.50293542074368,88590.357009038024,-3.4272930514617403,0,-0.63002883779408037,0,-0.59713420257317595
30,117.41682974559691,85014.734089171339,1.6109522290338594,0,-0.67122726841829139,0,-0.63902590049448071
31,121.33072407045015,81492.135548195714,-5.996873329291784,0,-0.71354533286253663,0,-0.68233765597244023
32,125.24461839530338,78062.874714091668,6.4524336433610561,0,-0.7565372640573319,0,-0.72706946900705394
33,129.15851272015661,74680.125084150277,-14.620676914229458,0,-0.80083785850494615,0,-0.77322133959832184
34,133.07240704500984,71431.306837892422,12.303326749980695,0,-0.84531560774801573,0,-0.8207932677462445
35,136.98630136986307,68230.457720474064,-3.7982787920977867,0,-0.89116079281434368,0,-0.86978525345082114
36,140.9001956947163,65143.918683225143,-0.82398412949672495,0,-0.93745289620999939,0,-0.92019729671205253
37,144.81409001956953,62150.9092318818,-2.9981255426284896,0,-0.98448640462634651,0,-0.97202939752993833
38,148.72798434442277,59250.029017022949,-14.400302875395878,0,-1.0322855823582207,0,-1.0252815559044783
39,152.641878669276,56462.488795605095,-15.770292378639173,0,-1.0804753495710044,0,-1.0799537718356724
40,156.55577299412923,53788.634813267985,-8.0236780419079832,0,-1.1289896560845774,0,-1.1360460453235215
41,160.46966731898246,51212.009754450715,-8.2343269256369691,0,-1.1780777820562371,0,-1.1935583763680251
42,164.38356164383569,48726.617222180539,-22.416028421095426,0,-1.227826416460057,0,-1.2524907649691828
43,168.29745596868892,46387.118727356181,4.6263824186080758,0,-1.277030045056279,0,-1.3128432111269948
44,172.21135029354215,44115.634086617443,-3.9520095492061875,0,-1.32723761804895,0,-1.3746157148414608
45,176.12524461839539,41956.467254849973,-2.3604782713510724,0,-1.3774192652922002,0,-1.4378082761125821
46,180.03913894324862,39892.166901480989,-6.1622686823549655,0,-1.4278718657478811,0,-1.5024208949403577
47,183.95303326810185,37921.949740077856,-13.900975244616161,0,-1.4785217588509769,0,-1.5684535713247874
48,187.86692759295508,36068.614641003856,-0.23514756857642097,0,-1.528628765447327,0,-1.6359063052658713
49,191.78082191780831,34295.166013158916,0.63782129473114235,0,-1.5790474404331221,0,-1.7047790967636096
50,195.69471624266154,32624.100437186036,14.22291132350972,0,-1.6290005596559629,0,-1.7750719458180029
51,199.60861056751477,31010.500520942176,-1.2218820560793526,0,-1.6797259784998368,0,-1.8467848524290496
52,203.522504892368,29491.66611296366,-5.0950486961989849,0,-1.7299441333236052,0,-1.9199178165967516
53,207.43639921722124,28042.070803838113,-19.533037536020981,0,-1.7803459408952507,0,-1.9944708383211074
54,211.35029354207447,26701.195753710952,-1.6114792601711201,0,-1.8293435029255483,0,-2.0704439176021188
55,215.2641878669277,25427.727775421572,10.820905048510866,0,-1.8782116287967965,0,-2.1478370544397838
56,219.17808219178093,24198.546617311476,-1.8992638878134895,0,-1.9277592778888759,0,-2.2266502488341029
57,223.09197651663416,23044.529573644497,-5.4710876790461684,0,-1.9766234395285913,0,-2.3068835007850761
58,227.00587084148739,21951.85046935326,-10.352914022174369,0,-2.025200412301341,0,-2.3885368102927047
59,230.91976516634062,20938.003691617927,4.2423010869679256,0,-2.072485985903108,0,-2.471610177356987
60,234.83365949119386,19944.713794785726,-16.75976964101363,0,-2.1210877165801638,0,-2.5561036019779242
61,238.74755381604709,19041.361364327218,-0.88242502851736715,0,-2.1674383250776557,0,-2.6420170841555146
62,242.66144814090032,18158.15698925755,-14.934674567040286,0,-2.2149319714648557,0,-2.7293506238897609
63,246.57534246575355,17351.145599305702,-0.015035594703640631,0,-2.2603933191206345,0,-2.8181042211806604
64,250.48923679060678,16592.778405343437,19.054654895359754,0,-2.305084287227849,0,-2.9082778760282171
65,254.40313111546001,15831.989571914877,-6.1976674156043723,0,-2.352019302483447,0,-2.9998715884324252
66,258.31702544031322,15143.747595747796,1.6554557910928345,0,-2.3964641052914502,0,-3.0928853583932874
67,262.23091976516645,14489.645781065932,6.531577723437386,0,-2.44061754182948,0,-3.1873191859108045
68,266.14481409001968,13852.787333547418,-6.2749647391031704,0,-2.4855653882074789,0,-3.283173070984978
69,270.05870841487291,13269.267482842764,1.3919392087340476,0,-2.5286012062831422,0,-3.3804470136158038
70,273.97260273972614,12731.202859046049,23.583472814731209,0,-2.5699959539009805,0,-3.4791410138032846
71,277.88649706457937,12189.377254773965,12.896421308227687,0,-2.6134869964888003,0,-3.5792550715474207
72,281.8003913894326,11678.709823693147,5.946787009645881,0,-2.6562843411134769,0,-3.6807891868482101
73,285.71428571428584,11189.800430784682,-5.0789759864969923,0,-2.6990491645510222,0,-3.783743359705654
74,289.62818003913907,10748.946633012229,7.5992067186151413,0,-2.739244089966324,0,-3.8881175901197533
75,293.5420743639923,10302.581366297358,-8.2009380390284576,0,-2.7816573701888796,0,-3.9939118780905063
76,297.45596868884553,9889.0032705866106,-12.887330554007892,0,-2.8226284930945647,0,-4.1011262236179133
77,301.36986301369876,9509.3194062728726,-4.1445239939679768,0,-2.8617795442280141,0,-4.209760626701974
78,305.28375733855199,9141.6879659944134,-2.6848608855799787,0,-2.9012068047043083,0,-4.3198150873426897
79,309.19765166340522,8789.2383019967438,-4.3225502723852252,0,-2.9405237992327482,0,-4.4312896055400612
80,313.11154598825846,8470.1532597433579,10.114272434193659,0,-2.977503249191161,0,-4.544184181294086
81,317.02544031311169,8153.7455118970884,10.865160313401571,0,-3.0155744584183148,0,-4.6584988146047666
82,320.93933463796492,7840.0493674928321,-1.1659031012006806,0,-3.0548067208955483,0,-4.7742335054721003
83,324.85322896281815,7560.8365569259295,6.6098558459368606,0,-3.0910700123645385,0,-4.8913882538960873
84,328.76712328767138,7285.0795335399289,3.9335194436946175,0,-3.1282234950859893,0,-5.0099630598767311
85,332.68101761252461,7037.6662521536891,16.417124984460624,0,-3.1627752351734966,0,-5.1299579234140289
86,336.59491193737784,6770.6121620057174,-3.2408085692411754,0,-3.2014603465275724,0,-5.251372844507979
87,340.50880626223108,6551.0042193945646,12.691950967213279,0,-3.2344334982785505,0,-5.3742078231585841
88,344.42270058708431,6311.5523372698563,-2.4642754232160602,0,-3.2716701935694346,0,-5.4984628593658433
89,348.33659491193754,6103.3391398745453,2.951332635718404,0,-3.3052158307221418,0,-5.6241379531297593
90,352.25048923679077,5876.6907873857599,-20.186671936769255,0,-3.3430580398889602,0,-5.7512331044503284
91,356.164383561644,5705.0105343364876,2.0457370529429761,0,-3.3727070222903279,0,-5.8797483133275525
92,360.07827788649723,5533.9726022760342,15.817906996293313,0,-3.4031459215590618,0,-6.0096835797614307
93,363.99217221135046,5325.6939273784628,-16.281961091721474,0,-3.4415088340062483,0,-6.1410389037519622
94,367.9060665362037,5173.3098819266506,-0.66948284921625179,0,-3.470539159168172,0,-6.2738142852991494
95,371.81996086105693,5010.5062553740718,-3.2306666385000202,0,-3.5025148931435952,0,-6.4080097244029899
96,375.73385518591016,4854.077286321497,-6.7625952412779524,0,-3.5342328227421573,0,-6.5436252210634853
97,379.64774951076339,4724.1221326017085,9.2241809421304861,0,-3.561370100469865,0,-6.6806607752806348
98,383.56164383561662,4586.6317227571371,11.093488090477148,0,-3.5909059268889854,0,-6.8191163870544385
99,387.47553816046985,4447.2823490814399,4.8779757049297876,0,-3.6217586505636961,0,-6.9589920563848979
100,391.38943248532308,4305.4673978186611,-9.6884334702414279,0,-3.6541661492039546,0,-7.1002877832720115
101,395.30332681017632,4199.2538582709221,5.7865571751788298,0,-3.6791449953975666,0,-7.24300356771578
102,399.21722113502955,4079.0884972747635,2.0602630162991309,0,-3.7081782961859298,0,-7.3871394097161982
103,403.13111545988278,3957.9515802031315,-7.5909025254197546,0,-3.7383252384064964,0,-7.5326953092732758
104,407.04500978473601,3859.0819535932583,0.35391192025901291,0,-3.763622532779487,0,-7.6796712663870066
105,410.95890410958924,3760.6650587904883,4.3481791013489062,0,-3.7894560330133782,0,-7.8280672810573932
106,414.87279843444247,3663.3204335588775,5.2655929537371211,0,-3.8156818936924122,0,-7.9778833532844295
107,418.7866927592957,3574.0328586285536,10.331259884101138,0,-3.8403572416206901,0,-8.1291194830681253
108,422.70058708414894,3485.3352991493025,12.304651491466757,0,-3.8654876004332333,0,-8.2817756704084751
109,426.61448140900217,3381.0139351614866,-4.8153657914776593,0,-3.8958762067854389,0,-8.4358519153054772
110,430.5283757338554,3316.0330160984299,14.134332987883811,0,-3.9152826582847742,0,-8.5913482177591352
111,434.44227005870863,3225.7694386400558,4.7157504713380423,0,-3.9428803446965901,0,-8.7482645777694437
112,438.35616438356186,3143.2958139815746,0.17292903416831554,0,-3.9687799803731547,0,-8.9066009953364116
113,442.27005870841509,3071.976070370763,4.0277212753500216,0,-3.9917308264498894,0,-9.06635747046003
114,446.18395303326832,2977.7375359150737,-17.647868742482743,0,-4.0228880560812197,0,-9.2275340031403044
115,450.09784735812156,2918.6176970822853,-6.6845639373598082,0,-4.0429417393271994,0,-9.3901305933772345
116,454.01174168297479,2867.5215384595635,9.9420035600970262,0,-4.060603770886317,0,-9.5541472411708188
117,457.92563600782802,2772.6715927425712,-19.438058641816092,0,-4.0942405228047196,0,-9.7195839465210589
118,461.83953033268125,2725.7401669578717,-3.0559557565810009,0,-4.1113118399772253,0,-9.8864407094279478
119,465.75342465753448,2664.3155548157274,-3.2371535835768577,0,-4.1341046549414031,0,-10.054717529891496
120,469.66731898238771,2598.7059403011467,-9.5965248487010015,0,-4.1590382462548368,0,-10.224414407911697
121,473.58121330724094,2557.2306939137038,6.2539941017016618,0,-4.1751269393354713,0,-10.395531343488553
122,477.49510763209418,2493.2776220388037,-2.236220785021438,0,-4.2004536931455663,0,-10.568068336622058
123,481.40900195694741,2443.4286719369265,1.5704084294802081,0,-4.2206496057506007,0,-10.742025387312225
124,485.32289628180064,2375.1236188471826,-14.835432754963517,0,-4.249002365939158,0,-10.917402495559044
125,489.23679060665387,2329.8091531962896,-9.9596385237928988,0,-4.2682654963886471,0,-11.094199661362516
126,493.1506849315071,2297.6284760054959,6.3861172358873963,0,-4.2821743585125391,0,-11.272416884722642
127,497.06457925636033,2251.90632433255,7.5705615462628453,0,-4.3022747393550196,0,-11.452054165639424
128,500.97847358121356,2189.1179067047842,-9.887164314301474,0,-4.3305531717488881,0,-11.633111504112868
129,504.8923679060668,2153.1737762624534,-2.0316572956192553,0,-4.3471089234420308,0,-11.815588900142954
130,508.80626223092003,2100.8086951144555,-12.081541201021476,0,-4.371729488600347,0,-11.999486353729701
131,512.7201565557732,2077.1496679724464,5.1392660994379025,0,-4.3830552501260982,0,-12.184803864873098
132,516.63405088062643,2032.1892427516284,-0.32461195224071265,0,-4.4049381954569302,0,-12.37154143357315
133,520.54794520547966,1990.9951068595394,-3.3500558514627636,0,-4.4254172846626494,0,-12.559699059829859
134,524.4618395303329,1943.7199991931736,-13.725362861757048,0,-4.4494481897845199,0,-12.749276743643218
135,528.37573385518613,1931.7789943307466,10.027027282103518,0,-4.4556105150334329,0,-12.940274485013237
