Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,951111.71642201231,9.5359487380663452,0,0,0,-0
1,3.9138943248532287,951082.98119350907,5.9268630880614754,0,-3.0212710130562506e-05,0,-1.4644006686032471e-05
2,7.8277886497064575,951005.88431011711,4.2038797534140917,0,-0.00011127820063670112,0,-5.8576026744129883e-05
3,11.741682974559687,950866.31736033468,-9.7549968709412127,0,-0.00025804615897828957,0,-0.00013179606017429228
4,15.655577299412915,950732.44686630508,32.194119914371711,0,-0.00039884399369420924,0,-0.00023430410697651953
5,19.569471624266143,950452.74325844075,-21.510019195425862,0,-0.00069308530309976455,0,-0.00036610016715081181
6,23.483365949119371,950191.14783213451,-6.9668328922874583,0,-0.0009683556251041663,0,-0.0005271842406971691
7,27.397260273972599,949857.69453196926,-14.192112315061141,0,-0.0013193500797242343,0,-0.00071755632761559085
8,31.311154598825826,949487.50791689311,-8.1200403423930734,0,-0.0017091545442168882,0,-0.00093721642790607813
9,35.225048923679054,949076.96234142676,7.5560079792787018,0,-0.0021416345450771452,0,-0.0011861645415686302
10,39.138943248532286,948583.67845852592,-9.620010563550192,0,-0.00266152085499544,0,-0.0014644006686032472
11,43.052837573385517,948075.84877932584,8.4587763508213669,0,-0.0031970199090349894,0,-0.0017719248090099292
12,46.966731898238748,947479.73157383723,-12.04391601360927,0,-0.0038259829753980769,0,-0.0021087369627886764
13,50.88062622309198,946866.4427238846,-0.11564700467090028,0,-0.0044734769547989392,0,-0.0024748371299394881
14,54.794520547945211,946189.00566326128,-2.8452781843020563,0,-0.0051891845587339145,0,-0.0028702253104623664
15,58.708414872798443,945453.27122491563,-14.503091149975681,0,-0.0059670636370712151,0,-0.0032949015043573075
16,62.622309197651674,944701.97138238396,7.5129916230930407,0,-0.0067620246700724022,0,-0.0037488657116243156
17,66.536203522504906,943871.18580756267,-0.85599502725787069,0,-0.0076418271021335814,0,-0.0042321179322633877
18,70.450097847358137,942998.62272360036,-2.0491629329091539,0,-0.0085667061183925617,0,-0.0047446581662745242
19,74.363992172211368,942098.53091370186,18.02628400113997,0,-0.0095216615450285473,0,-0.0052864864136577261
20,78.2778864970646,941098.19410673366,-13.510516161688493,0,-0.010584043278985289,0,-0.0058576026744129933
21,82.191780821917831,940087.99760733871,-6.4474021939490793,0,-0.011658042865998561,0,-0.0064580069485403249
22,86.105675146771063,939024.25101955608,-4.6564124075210254,0,-0.012790222917710318,0,-0.0070876992360397227
23,90.019569471624294,937904.82415920717,-10.457815998860038,0,-0.01398305114748526,0,-0.0077466795369111824
24,93.933463796477525,936759.03208813525,5.2649800114271841,0,-0.015205448656168314,0,-0.0084349478511547126
