Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,863981.34321048053,-17.156236291149785,0,0,0,-0
1,3.9138943248532287,863972.88151834614,9.5851166688814224,0,-9.7938845987251582e-06,0,-2.2244638977223373e-05
2,7.8277886497064575,863859.68915745744,1.9920470087740796,0,-0.00014081625675642974,0,-8.897855590889349e-05
3,11.741682974559687,863661.81790694827,-19.913193463330735,0,-0.00036989734265358644,0,-0.00020020175079501042
4,15.655577299412915,863446.46557240386,11.018004663617733,0,-0.00061927642064236424,0,-0.00035591422363557396
5,19.569471624266143,863137.69066894625,18.775315554521342,0,-0.00097694784445714433,0,-0.00055611597443058433
6,23.483365949119371,862709.55993635021,-22.662973103772895,0,-0.00147308762881874,0,-0.00080080700318004158
7,27.397260273972599,862274.52395180753,-0.95430411116634251,0,-0.0019774818407182287,0,-0.0010899873098839448
8,31.311154598825826,861745.01330482902,-3.7956230734205452,0,-0.0025917563917726596,0,-0.0014236568945422958
9,35.225048923679054,861168.78077018645,16.41885681852283,0,-0.003260661078832093,0,-0.0018018157571550932
10,39.138943248532286,860476.75468053087,-9.5489008423296422,0,-0.0040645735133906097,0,-0.0022244638977223373
11,43.052837573385517,859738.61186498508,-12.207735932889211,0,-0.0049227717078780984,0,-0.0026916013162440284
12,46.966731898238748,858941.95624781132,-4.1586026110229017,0,-0.0058498266697019959,0,-0.0032032280127201667
13,50.88062622309198,858050.66734003962,-21.745977877980241,0,-0.0068880244762434149,0,-0.0037593439871507505
14,54.794520547945211,857118.65602745023,-11.301964559891243,0,-0.0079748109428917115,0,-0.0043599492395357837
15,58.708414872798443,856114.74953970499,-4.2612039987929915,0,-0.0091467547065195876,0,-0.0050050437698752606
16,62.622309197651674,855044.56244875595,4.7102496087576524,0,-0.010397587662848391,0,-0.0056946275781691877
17,66.536203522504906,853910.7738758818,17.992272465549856,0,-0.011724466973409077,0,-0.006428700664417559
18,70.450097847358137,852679.07001099025,0.95333558315926847,0,-0.013167935166037167,0,-0.007207263028620378
19,74.363992172211368,851393.91651910124,-2.2769348522421216,0,-0.014676266963675117,0,-0.0080303146707776437
20,78.2778864970646,850051.0321050738,3.6659698108011711,0,-0.016254789611681864,0,-0.0088978555908893562
21,82.191780821917831,848617.90659162344,-14.10031018695628,0,-0.017942141185411622,0,-0.0098098857889555146
22,86.105675146771063,847149.10322313814,-1.4025196248906993,0,-0.019674459041931179,0,-0.010766405264976122
23,90.019569471624294,845619.31679716019,16.046531043908708,0,-0.021481896874948378,0,-0.011767414018951171
