Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,281846.25425961288,-4.9218670732181007,0,0,0,-0
1,3.9138943248532287,281677.11558983859,12.73852804374706,0,-0.00060028983322745985,0,-0.00095080986642686195
2,7.8277886497064575,281098.80315700627,-6.2829327874221867,0,-0.0026555044119946428,0,-0.0038032394657074478
3,11.741682974559687,280170.06752056832,-6.5420359288928909,0,-0.0059649218146078202,0,-0.0085572887978417611
4,15.655577299412915,278893.75169544911,9.3345281821650499,0,-0.010530833607098515,0,-0.015212957862829791
5,19.569471624266143,277222.68982824089,-13.39155845678742,0,-0.016540606999726544,0,-0.023770246660671551
6,23.483365949119371,275238.89096944599,-2.3030253542984203,0,-0.023722309598598935,0,-0.034229155191367037
7,27.397260273972599,272902.76918727829,-8.4919727589000598,0,-0.032246149679982523,0,-0.046589683454916223
8,31.311154598825826,270245.72660970374,-13.852117793617973,0,-0.042030080938637075,0,-0.060851831451319165
9,35.225048923679054,267313.79725759517,12.707535369082638,0,-0.052938485664816647,0,-0.077015599180575822
10,39.138943248532286,264054.43191804743,2.2055908511842417,0,-0.065206461201295571,0,-0.095080986642686202
11,43.052837573385517,260529.5016494586,-1.2371581808072498,0,-0.078645619727876398,0,-0.11504799383765031
12,46.966731898238748,256733.82168295301,-21.692331771159971,0,-0.093321889725204929,0,-0.13691662076546818
13,50.88062622309198,252725.64549776804,-20.740711613932223,0,-0.10905722941519369,0,-0.16068686742613972
14,54.794520547945211,248526.26328098954,2.3202806517832881,0,-0.12581319740325866,0,-0.18635873381966508
15,58.708414872798443,244111.59055425689,2.2613649520603309,0,-0.14373626551986379,0,-0.21393221994604403
16,62.622309197651674,239512.59139945428,-11.45986290557744,0,-0.16275573544093977,0,-0.24340732580527685
17,66.536203522504906,234787.64158553432,-2.1435769352429048,0,-0.18268027182658972,0,-0.27478405139736334
18,70.450097847358137,229908.58346626171,-19.606361615162029,0,-0.20367995787928234,0,-0.30806239672230351
19,74.363992172211368,224976.64985144173,15.921062051059847,0,-0.22536510622185249,0,-0.34324236178009743
20,78.2778864970646,219898.17636032167,-10.325531959553009,0,-0.24819712011738229,0,-0.38032394657074509
21,82.191780821917831,214796.79155390634,4.7026021259671662,0,-0.27166929897960557,0,-0.41930715109424643
22,86.105675146771063,209626.54085179968,-4.86602010267337,0,-0.29603415397108052,0,-0.46019197535060163
23,90.019569471624294,204450.60113158406,5.0196690669836999,0,-0.32103533755891944,0,-0.50297841933981025
24,93.933463796477525,199271.40374217281,18.568855772780228,0,-0.34669399116019223,0,-0.54766648306187304
25,97.847358121330757,194071.37711964815,0.98775627831103718,0,-0.37313570990957701,0,-0.59425616651678947
26,101.76125244618399,188912.23586960131,-2.1515896398347429,0,-0.4000791778702541,0,-0.64274746970455954
27,105.67514677103722,183809.53628348568,9.7072841215404733,0,-0.4274616320039068,0,-0.69314039262518301
28,109.58904109589045,178730.54316623512,-9.9812093579907852,0,-0.45548239837295584,0,-0.74543493527866045
29,113.50293542074368,173737.49905139455,-11.564715006375465,0,-0.48381619065199727,0,-0.79963109766499163
30,117.41682974559691,168831.7969334987,-5.0046331024268076,0,-0.51245878972139614,0,-0.85572887978417655
31,121.33072407045015,164032.86200116499,19.006872343034967,0,-0.54129493879579982,0,-0.91372828163621544
32,125.24461839530338,159297.74231633137,8.6255605811898306,0,-0.57058668031504733,0,-0.97362930322110797
33,129.15851272015661,154674.12226277296,3.8445113371228463,0,-0.60004125792135488,0,-1.0354319445388538
34,133.07240704500984,150161.45439460254,-2.4088474925947336,0,-0.62965064673885784,0,-1.0991362055894538
35,136.98630136986307,145765.09323679886,-10.183174522716826,0,-0.65936534907822941,0,-1.1647420863729072
36,140.9001956947163,141513.44881782515,4.5980575678474764,0,-0.6889669673871045,0,-1.2322495868892145
37,144.81409001956953,137359.07795621431,-8.83104192356193,0,-0.71876322064383269,0,-1.3016587071383756
38,148.72798434442277,133352.53169926751,-2.2954909700525317,0,-0.74836548878374298,0,-1.3729694471203904
39,152.641878669276,129452.92245843305,-18.180377265030387,0,-0.77804444269699247,0,-1.4461818068352585
40,156.55577299412923,125729.13505156423,11.70943786355709,0,-0.80723185343317638,0,-1.5212957862829808
41,160.46966731898246,122100.81679898406,7.0671794677232755,0,-0.83651465391822832,0,-1.5983113854635569
42,164.38356164383569,118593.86414175083,-5.5018667817902989,0,-0.86565697511325457,0,-1.6772286043769868
43,168.29745596868892,115225.80577902551,-7.1692938237503121,0,-0.89446799292876245,0,-1.7580474430232698
44,172.21135029354215,111994.72603297923,1.9691449273394461,0,-0.92290994340776489,0,-1.8407679014024065
45,176.12524461839539,108879.27918383999,2.8393997901036476,0,-0.95112198656226088,0,-1.9253899795143978
46,180.03913894324862,105882.64076541441,1.2747549297445548,0,-0.97903040643851091,0,-2.0119136773592428
47,183.95303326810185,103004.1221129967,-0.4319685516715282,0,-1.0065927166595139,0,-2.1003389949369411
48,187.86692759295508,100234.36033606439,-8.397058820519721,0,-1.0338506772093008,0,-2.1906659322474926
49,191.78082191780831,97597.015700307005,4.4968775649507799,0,-1.0605148084924323,0,-2.2828944892908982
50,195.69471624266154,95053.807212223008,3.5861429347652614,0,-1.0869186016339727,0,-2.3770246660671579
51,199.60861056751477,92612.117272951567,-0.015402018005067125,0,-1.1129417354322668,0,-2.4730564625762703
52,203.522504892368,90271.444903353113,-3.0047229904519366,0,-1.1385405389586054,0,-2.5709898788182382
53,207.43639921722124,88026.83519844999,-6.4973992176057207,0,-1.1637200111741526,0,-2.6708249147930583
54,211.35029354207447,85878.673107250972,-6.2668014197006627,0,-1.1884262022560148,0,-2.7725615705007334
55,215.2641878669277,83830.548899186091,5.0925675245572002,0,-1.2125642382090014,0,-2.8761998459412617
56,219.17808219178093,81841.127556849999,-9.990364064280266,0,-1.2365818254780516,0,-2.9817397411146431
57,223.09197651663416,79956.145302278936,-2.0877664670051077,0,-1.2598834239581425,0,-3.0891812560208782
58,227.00587084148739,78151.300983587353,8.1009669490291412,0,-1.2827150206111657,0,-3.1985243906599679
59,230.91976516634062,76408.351075300263,5.8300083668520477,0,-1.3052697271356823,0,-3.3097691450319107
60,234.83365949119386,74732.910772851959,0.097020938109781407,0,-1.3274411568926459,0,-3.4229155191367076
61,238.74755381604709,73139.702281762773,8.8830585115461975,0,-1.3489903824154601,0,-3.5379635129743572
