Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,29366.780951298086,7.4313587763127389,0,0,0,-0
1,3.9138943248532287,29282.716019819592,-18.810388046163482,0,-0.0028666908802224148,0,-0.0019320953450212874
2,7.8277886497064575,29138.019467304239,9.1728121049598084,0,-0.0078203035724426131,0,-0.0077283813800851494
3,11.741682974559687,28847.041894490743,3.3814433609416166,0,-0.017856682200424426,0,-0.017388858105191592
4,15.655577299412915,28437.19349316186,-12.627560511356668,0,-0.032166217520465216,0,-0.030913525520340598
5,19.569471624266143,27979.862190426142,27.270356916031815,0,-0.048379091974460768,0,-0.048302383625532186
6,23.483365949119371,27368.336738184804,9.8160671233604475,0,-0.070477384226991902,0,-0.069555432420766367
7,27.397260273972599,26671.108539247791,-4.1776176676611492,0,-0.096283233554823378,0,-0.09467267190604306
8,31.311154598825826,25907.595446818203,-3.9254225659229434,0,-0.12532794970315886,0,-0.12365410208136239
9,35.225048923679054,25076.404806143008,-0.21285514680403617,0,-0.15793677945920387,0,-0.15649972294672429
10,39.138943248532286,24174.515264868209,-6.0100194803791132,0,-0.19456514586406021,0,-0.19320953450212874
11,43.052837573385517,23220.206438802747,-13.333365020152158,0,-0.23484126912090333,0,-0.23378353674757582
12,46.966731898238748,22255.826772356781,9.7286594163732971,0,-0.2772602841734691,0,-0.27822172968306547
13,50.88062622309198,21220.138430278792,-8.4410337530192372,0,-0.32491347917073493,0,-0.32652411330859765
14,54.794520547945211,20192.537340975563,1.4170193352320537,0,-0.37455103832875469,0,-0.37869068762417263
15,58.708414872798443,19150.887019956735,7.4399679137190189,0,-0.42751510177718588,0,-0.43472145262978984
16,62.622309197651674,18083.30310062104,-11.426940230597445,0,-0.48487510401510447,0,-0.49461640832544995
17,66.536203522504906,17051.175416745828,-2.2864100516804879,0,-0.5436449951592115,0,-0.55837555471115252
18,70.450097847358137,16022.822273186048,-4.5385343223684327,0,-0.60585003792803105,0,-0.6259988917868976
19,74.363992172211368,15034.429859167883,11.128797216437079,0,-0.66952124109632394,0,-0.69748641955268531
20,78.2778864970646,14051.052311623742,3.7844223477045307,0,-0.73716684531157506,0,-0.77283813800851564
21,82.191780821917831,13110.632038440699,6.2942154587863079,0,-0.8064406288902084,0,-0.85205404715438837
22,86.105675146771063,12209.637907305161,10.956735445300183,0,-0.87763850364958851,0,-0.93513414699030406
23,90.019569471624294,11325.990541960593,-7.5940425732030894,0,-0.9527640032930742,0,-1.0220784375162617
24,93.933463796477525,10516.677724612402,5.1869823803504458,0,-1.0269017841238577,0,-1.1128869187322628
25,97.847358121330757,9735.2225620542795,1.1705074236397532,0,-1.1041136352985319,0,-1.2075595906383063
26,101.76125244618399,9014.6957953204364,12.500637692941041,0,-1.1810080241046645,0,-1.3060964532343919
27,105.67514677103722,8311.7196629516347,-4.4734109752939002,0,-1.2621976094693199,0,-1.4084975065205199
28,109.58904109589045,7662.2545226330694,-13.487553469141904,0,-1.3435578713599168,0,-1.5147627504966905
29,113.50293542074368,7075.6796365952305,-4.3609260092597211,0,-1.4232006352858646,0,-1.6248921851629041
30,117.41682974559691,6540.5285526384359,12.660958985900928,0,-1.5018461552613918,0,-1.7388858105191602
31,121.33072407045015,6027.0027491951942,9.3436392364679008,0,-1.5836143052637659,0,-1.8567436265654593
32,125.24461839530338,5550.807033461203,3.2267849535700286,0,-1.6659208072895322,0,-1.9784656333018009
33,129.15851272015661,5105.1532748085092,-10.439280049865175,0,-1.7496136602969163,0,-2.1040518307281841
34,133.07240704500984,4737.43766866634,17.922415296505214,0,-1.8243677225988615,0,-2.233502218844611
35,136.98630136986307,4360.108109350148,3.0280469061151005,0,-1.9073672831350634,0,-2.3668167976510794
36,140.9001956947163,4033.6583254896805,7.6790025409472662,0,-1.9851903986549506,0,-2.5039955671475913
37,144.81409001956953,3725.8640480400022,1.9566077550263585,0,-2.0645653517725928,0,-2.6450385273341457
38,148.72798434442277,3439.7040650959661,-8.8917586324961988,0,-2.1444786958147688,0,-2.7899456782107426
39,152.641878669276,3191.0599406669321,-6.7817026984683206,0,-2.2195110045021949,0,-2.9387170197773811
40,156.55577299412923,2968.642813144204,-0.88800691721802361,0,-2.29175925280826,0,-3.091352552034063
41,160.46966731898246,2771.6799437931177,10.02422005272126,0,-2.3604105216416089,0,-3.2478522749807883
42,164.38356164383569,2565.640492513633,-6.687594192683914,0,-2.4376559837757235,0,-3.4082161886175557
43,168.29745596868892,2387.6903375728871,-12.097311063038998,0,-2.5095376231724158,0,-3.5724442929443647
44,172.21135029354215,2234.6576317796048,-7.7494126351874613,0,-2.5757761044656622,0,-3.7405365879612162
45,176.12524461839539,2093.5811319382542,-5.1122984870186201,0,-2.6409880759751543,0,-3.9124930736681121
46,180.03913894324862,1963.5196881387942,-3.7676351611015986,0,-2.7051255138621495,0,-4.0883137500650495
47,183.95303326810185,1839.9659441900699,-6.9931562207649023,0,-2.7701170730538536,0,-4.2679986171520294
48,187.86692759295508,1759.7849032179586,23.181317959935292,0,-2.8146725484105026,0,-4.4515476749290519
49,191.78082191780831,1632.1056720963436,-3.1274422204568504,0,-2.8899931314063538,0,-4.6389609233961169
50,195.69471624266154,1537.6288047307094,-4.3406502827823275,0,-2.9496226432869306,0,-4.8302383625532253
51,199.60861056751477,1468.4104498261158,12.375532719396711,0,-2.9956836468248205,0,-5.0253799924003735
52,203.522504892368,1372.7585993555431,-3.9843721296475785,0,-3.063041844426408,0,-5.2243858129375678
53,207.43639921722124,1296.8698462391546,-6.618814658548442,0,-3.1199105854663451,0,-5.4272558241648019
54,211.35029354207447,1225.4613631179932,-10.277693102223878,0,-3.1765467398655765,0,-5.6339900260820821
55,215.2641878669277,1159.6844862542271,-13.33949333415269,0,-3.2317161623985027,0,-5.844588418689403
56,219.17808219178093,1123.217658261397,8.2904758805252321,0,-3.263666660358707,0,-6.0590510019867656
57,223.09197651663416,1075.7264434338922,14.648311292638788,0,-3.3068679412215087,0,-6.2773777759741707
58,227.00587084148739,1028.2030572383749,17.058528514215663,0,-3.3520514618874513,0,-6.49956874065162
59,230.91976516634062,959.88902004551414,-4.9366169032058718,0,-3.4208017412332912,0,-6.7256238960191093
60,234.83365949119386,921.90859358725515,0.062102081963148759,0,-3.4611733355275707,0,-6.9555432420766437
61,238.74755381604709,879.90051276264683,-2.0524875904340711,0,-3.5078105674908526,0,-7.1893267788242188
62,242.66144814090032,860.3403092005924,15.432363421934118,0,-3.5302913955448205,0,-7.4269745062618373
63,246.57534246575355,815.41295821154574,4.925100302753787,0,-3.5839247327879775,0,-7.6684864243894975
