Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,659332.98904113169,-18.565750864519831,0,0,0,-0
1,3.9138943248532287,658970.42665581137,8.1741655092253414,0,-0.00055004392789152366,0,-0.00036428222745616394
2,7.8277886497064575,657800.39780500974,4.4808533011064142,0,-0.0023271628266308591,0,-0.0014571289098246557
3,11.741682974559687,655850.39127307921,-6.8597414595002784,0,-0.005296000481846936,0,-0.0032785400471054766
4,15.655577299412915,653155.38603185769,1.3307082203761409,0,-0.0094136431932225536,0,-0.005828515639298623
5,19.569471624266143,649696.08884833776,-1.0837651509685895,0,-0.014724003398572993,0,-0.0091070556864040995
6,23.483365949119371,645486.98475188098,-13.425770080004503,0,-0.021223654297667122,0,-0.013114160188421905
7,27.397260273972599,640581.75015450467,1.3064161871675986,0,-0.028851953238309028,0,-0.017849829145352027
8,31.311154598825826,634949.88560091122,-6.8108983724593504,0,-0.037682625867309347,0,-0.023314062557194492
9,35.225048923679054,628669.05399341567,17.847350234275563,0,-0.047623729369563106,0,-0.029506860423949278
10,39.138943248532286,621682.3458508685,-6.1267607036056884,0,-0.058799437032515292,0,-0.036428222745616398
11,43.052837573385517,614089.47337663674,-5.811571717321522,0,-0.071088061689610488,0,-0.044078149522195839
12,46.966731898238748,605893.90052657237,-6.6434592525708736,0,-0.084523812230688083,0,-0.052456640753687625
13,50.88062622309198,597130.99632850662,-4.0691956059433103,0,-0.099092187673643028,0,-0.061563696440091714
14,54.794520547945211,587830.25553674379,-1.1208668453846491,0,-0.11479047616983437,0,-0.071399316581408176
15,58.708414872798443,578016.58542210411,-6.9165161873472103,0,-0.13162613856949526,0,-0.081963501177636913
16,62.622309197651674,567764.59741214942,17.850190344782867,0,-0.14952180969122525,0,-0.093256250228778037
17,66.536203522504906,557037.97469040495,0.50035504557877952,0,-0.1685952865467224,0,-0.10527756373483145
18,70.450097847358137,545927.84031266009,-5.0371687109713337,0,-0.1887418949207037,0,-0.11802744169579721
19,74.363992172211368,534459.01631969062,-11.741715559021413,0,-0.20997365047717351,0,-0.13150588411167527
20,78.2778864970646,522695.69248910644,6.3910342700875811,0,-0.23222925653276535,0,-0.14571289098246568
21,82.191780821917831,510627.57702122099,0.71910922304551039,0,-0.25558818893258645,0,-0.1606484623081684
22,86.105675146771063,498330.80263934075,9.0742231839132543,0,-0.27996458250402534,0,-0.17631259808878352
