Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,116431.14123268542,0.11874186932420852,0,0,0,-0
1,3.9138943248532287,116383.76550745442,12.599814878355726,0,-0.00040698189431489145,0,-0.00091196625043870835
2,7.8277886497064575,116203.50943538417,11.67261137013768,0,-0.0019569902359466433,0,-0.0036478650017548334
3,11.741682974559687,115880.65105390706,-13.10752341457486,0,-0.0047392446480130279,0,-0.0082076962539483784
4,15.655577299412915,115452.73139814455,-25.39777737213943,0,-0.0084388416478515926,0,-0.014591460007019334
5,19.569471624266143,114942.62471518583,-3.9883435801530336,0,-0.012866947535776127,0,-0.02279915626096771
6,23.483365949119371,114285.73159052673,-15.596417636548715,0,-0.018598305849431729,0,-0.032830785015793507
7,27.397260273972599,113529.94822279786,-14.88064332862125,0,-0.025233372769061693,0,-0.044686346271496702
8,31.311154598825826,112678.94414930925,-1.1439035054377107,0,-0.032757463261791547,0,-0.058365840028077334
9,35.225048923679054,111706.25724027661,-4.2158742006261924,0,-0.041427313107271165,0,-0.07386926628553539
10,39.138943248532286,110637.17312688495,-2.5484449334058694,0,-0.051043899039896708,0,-0.091196625043870841
11,43.052837573385517,109462.74306701099,-9.1702968208808944,0,-0.06171579048274857,0,-0.11034791630308373
12,46.966731898238748,108205.97583278141,-5.4653719654282442,0,-0.073263441483709071,0,-0.13132314006317405
13,50.88062622309198,106869.35379579867,6.3746072850289757,0,-0.085692939998602655,0,-0.15412229632414176
14,54.794520547945211,105431.92641204222,0.47642546958216803,0,-0.099234538503859951,0,-0.17874538508598697
15,58.708414872798443,103919.68965862946,-2.3013318740045543,0,-0.11368164987008941,0,-0.20519240634870947
16,62.622309197651674,102343.53083972761,3.6110879875729744,0,-0.12896493202515885,0,-0.23346336011230953
17,66.536203522504906,100678.14018566928,-12.558880430459274,0,-0.14537133831274981,0,-0.26355824637678693
18,70.450097847358137,98985.390518129367,5.4884763249404642,0,-0.16232776715810016,0,-0.29547706514214178
19,74.363992172211368,97218.996397498413,5.8189211116514112,0,-0.18033390731965843,0,-0.329219816408374
20,78.2778864970646,95386.298964472982,-9.9168864121508342,0,-0.19936508446337353,0,-0.36478650017548364
21,82.191780821917831,93545.503530301619,10.787300744339245,0,-0.21885204919606199,0,-0.40217711644347071
22,86.105675146771063,91619.874886434351,-14.479444109891908,0,-0.23965181299194063,0,-0.4413916652123353
23,90.019569471624294,89703.27529240372,2.523284363927123,0,-0.26079275363035254,0,-0.48243014648207705
24,93.933463796477525,87744.945564598558,5.4972045076159599,0,-0.28286577559557008,0,-0.52529256025269655
25,97.847358121330757,85735.336864906465,-20.53578378534683,0,-0.30603496311501449,0,-0.56997890652419347
26,101.76125244618399,83750.853171349736,-4.4660194326652611,0,-0.32945367810526183,0,-0.6164891852965676
27,105.67514677103722,81742.899545989872,-0.024804570813839622,0,-0.35372108558050153,0,-0.66482339656981904
28,109.58904109589045,79720.929848323212,-2.7158871864877563,0,-0.37876787667478479,0,-0.71498154034394801
29,113.50293542074368,77715.392392778944,13.148721712490605,0,-0.40424669783164807,0,-0.7669636166189544
30,117.41682974559691,75666.827747666379,-16.437254495748583,0,-0.43096017824433136,0,-0.82076962539483822
31,121.33072407045015,73667.067222481404,-3.9620216983490879,0,-0.45774418563503289,0,-0.87639956667159979
