Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,746302.08052440593,-11.294792907283904,0,0,0,-0
1,3.9138943248532287,745941.05999402027,23.243200032129899,0,-0.00048386288752361758,0,-0.00030833947265666845
2,7.8277886497064575,744710.91401022964,-21.603734708428416,0,-0.0021343437301286389,0,-0.0012333578906266738
3,11.741682974559687,742764.05649032758,2.4570925717558283,0,-0.0047520128273551791,0,-0.0027750552539100169
4,15.655577299412915,740003.7103699001,-8.1923835921567516,0,-0.0084752517200490513,0,-0.0049334315625066951
5,19.569471624266143,736483.16410388914,-9.7831676075769192,0,-0.013244075607076805,0,-0.0077084868164167116
6,23.483365949119371,732218.77461896918,1.9010892098752832,0,-0.019051110180943413,0,-0.011100221015640066
7,27.397260273972599,727199.37722245627,1.0068669144506299,0,-0.025929765460933549,0,-0.01510863416017675
8,31.311154598825826,721445.90472747327,-8.6823253756698708,0,-0.033873052638695444,0,-0.019733726250026781
9,35.225048923679054,715012.18946268898,7.1579846111759373,0,-0.042830861170819086,0,-0.024975497285190145
10,39.138943248532286,707884.40485562349,12.950024045101067,0,-0.052849641533279756,0,-0.030833947265666847
11,43.052837573385517,700073.12397369405,-4.6001659301107276,0,-0.063945659511965569,0,-0.037309076191456889
12,46.966731898238748,691635.79645904351,-13.887038382375682,0,-0.076070940543883733,0,-0.044400884062560271
13,50.88062622309198,682628.92518906051,13.919960943470793,0,-0.089179041323663485,0,-0.052109370878976977
14,54.794520547945211,672998.13675447332,-4.8954301017898718,0,-0.1033878908450819,0,-0.060434536640707061
15,58.708414872798443,662852.6595994829,8.0471198533966479,0,-0.11857771931222082,0,-0.069376381347750427
16,62.622309197651674,652163.71494994406,-8.2130253979962973,0,-0.13483482496288821,0,-0.078934905000107178
17,66.536203522504906,641004.74363835412,-13.574254847949627,0,-0.15209359465393812,0,-0.089110107597777252
18,70.450097847358137,629421.99136970879,3.8924454462043738,0,-0.17032852768672285,0,-0.099901989140760664
19,74.363992172211368,617393.62816291372,-12.755058493752431,0,-0.18962366034010783,0,-0.1113105496290574
20,78.2778864970646,605017.36174917733,-1.5338962269085403,0,-0.20987329719390727,0,-0.12333578906266748
21,82.191780821917831,592307.68609441316,15.894481937467095,0,-0.2311042120287862,0,-0.13597770744159088
22,86.105675146771063,579267.76664183848,6.2897873576346903,0,-0.25336561727404244,0,-0.14923630476582767
23,90.019569471624294,565974.95903675607,10.528682744796765,0,-0.2765806166791252,0,-0.16311158103537771
24,93.933463796477525,552442.13605237438,5.104395641578571,0,-0.30078175513877659,0,-0.17760353625024122
25,97.847358121330757,538703.39731466316,-11.996378372895135,0,-0.32596531574669163,0,-0.19271217041041802
26,101.76125244618399,524826.25352718844,-8.9486343329349154,0,-0.35206318976454837,0,-0.20843748351590813
27,105.67514677103722,510826.52944170311,-5.0329976274716071,0,-0.37910039206609852,0,-0.22477947556671152
28,109.58904109589045,496740.67593016726,1.821040325484764,0,-0.4070623408089199,0,-0.24173814656282827
