Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,794819.31283896056,16.801888487545288,0,0,0,-0
1,3.9138943248532287,794433.0077209915,3.9342836394416341,0,-0.00048614700205842031,0,-0.00028367395921169799
2,7.8277886497064575,793299.86406855751,-10.065546125390199,0,-0.0019135204160071341,0,-0.001134695836846792
3,11.741682974559687,791463.42141393432,14.842256782164503,0,-0.0042311453805255446,0,-0.0025530656329052826
4,15.655577299412915,788842.04168237909,-8.7916415099757508,0,-0.0075487092275946565,0,-0.0045387833473871679
5,19.569471624266143,785517.46594699996,-7.3168971982833337,0,-0.011772116474818989,0,-0.0070918489802924501
6,23.483365949119371,781471.52735796722,-9.2259650026150712,0,-0.016936093499912579,0,-0.010212262531621129
7,27.397260273972599,776743.5913726741,12.342846264181201,0,-0.023004511701713717,0,-0.013900024001373197
8,31.311154598825826,771302.2044995029,11.322494502255653,0,-0.030034548277825774,0,-0.018155133389548671
9,35.225048923679054,765185.98848189332,9.690879976306876,0,-0.037995882898918962,0,-0.022977590696147538
10,39.138943248532286,758404.29577372933,-1.7837069174839051,0,-0.046898194191216158,0,-0.0283673959211698
11,43.052837573385517,750997.71654446982,-2.9358396482711964,0,-0.056712198168385956,0,-0.034324549064615462
12,46.966731898238748,742993.39812559646,11.225216687495026,0,-0.067427650126195907,0,-0.040849050126484522
13,50.88062622309198,734350.07191091729,-24.340729938013006,0,-0.079128957250146376,0,-0.047940899106776964
14,54.794520547945211,725199.42015396885,-3.2138985612083601,0,-0.091668130061278302,0,-0.055600096005492844
15,58.708414872798443,715484.72264855867,-8.7374592496007395,0,-0.10515456259967593,0,-0.063826640822632064
16,62.622309197651674,705278.66265526868,3.9241013422670807,0,-0.1195218184817379,0,-0.072620533558194741
17,66.536203522504906,694575.97857139562,0.57666458260335784,0,-0.13481325277320519,0,-0.08198177421218078
18,70.450097847358137,683422.825293576,-2.4988573030730903,0,-0.15100107064100957,0,-0.091910362784590222
19,74.363992172211368,671865.94325858646,10.768078533372954,0,-0.16805597795059513,0,-0.10240629927542305
20,78.2778864970646,659875.11120537017,-21.162797281925613,0,-0.18606421770592699,0,-0.11346958368467928
21,82.191780821917831,647574.81862202624,-5.6230970777457312,0,-0.20488047248088215,0,-0.12510021601235891
22,86.105675146771063,634948.90094096446,9.0456821731296486,0,-0.22457028467897655,0,-0.13729819625846196
23,90.019569471624294,622007.22031649493,0.31748546047517151,0,-0.24516310847691516,0,-0.15006352442298831
24,93.933463796477525,608815.54882689298,1.5068209689108052,0,-0.26659946303024562,0,-0.1633962005059382
25,97.847358121330757,595381.94186813245,-11.7194258422874,0,-0.28891169066480299,0,-0.17729622450731147
26,101.76125244618399,581786.54563345923,8.5995931371687409,0,-0.31201118899605224,0,-0.19176359642710808
27,105.67514677103722,567984.3759184113,-14.373471491699519,0,-0.33602089821766962,0,-0.20679831626532802
28,109.58904109589045,554077.02360972518,-10.445406170671367,0,-0.3608111005048274,0,-0.2224003840219714
29,113.50293542074368,540060.0450251603,-14.885210076208066,0,-0.38643448150688725,0,-0.2385697996970382
30,117.41682974559691,525982.897398751,-8.3786645753998421,0,-0.41284611161653573,0,-0.25530656329052837
31,121.33072407045015,511876.31983689964,10.455150960307016,0,-0.44003177633464047,0,-0.27261067480244205
32,125.24461839530338,497713.15143171878,-14.023318918937681,0,-0.46809089944345589,0,-0.29048213423277913
33,129.15851272015661,483610.97784440749,8.2590406976980084,0,-0.49683399063435219,0,-0.30892094158153943
34,133.07240704500984,469509.36690559034,-9.598216853429717,0,-0.52642656011466371,0,-0.32792709684872329
35,136.98630136986307,455507.056605972,5.7884886102817248,0,-0.55670360079464387,0,-0.34750060003433036
36,140.9001956947163,441566.79628777015,-7.0111177269332403,0,-0.58778550680432529,0,-0.367641451138361
37,144.81409001956953,427761.6348794215,2.0992947037145413,0,-0.61954869678653846,0,-0.38834965016081502
38,148.72798434442277,414081.48516996903,1.3504990065838758,0,-0.65205203083454888,0,-0.40962519710169237
39,152.641878669276,400570.02091618598,14.039820415356385,0,-0.68522622439954084,0,-0.43146809196099301
40,156.55577299412923,387185.01397870563,-21.105122314419525,0,-0.71921215828856866,0,-0.45387833473871725
