Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,125878.64965713427,-10.257785767172731,0,0,0,-0
1,3.9138943248532287,125690.43784946547,3.1028395538289661,0,-0.0014963034182795061,0,-0.0013839362825205435
2,7.8277886497064575,125080.34822637674,-4.5073823002022166,0,-0.0063620283003947321,0,-0.0055357451300821741
3,11.741682974559687,124097.12286984938,8.9842113502996597,0,-0.014253836939344233,0,-0.012455426542684897
4,15.655577299412915,122693.59575272158,-14.557799163075352,0,-0.025628188915049411,0,-0.022142980520328696
5,19.569471624266143,120975.30318525173,15.348581609474721,0,-0.039731926058109802,0,-0.034598407063013592
6,23.483365949119371,118863.298360673,0.90973484879449285,0,-0.057344265398307781,0,-0.049821706170739576
7,27.397260273972599,116444.18370208454,6.4503182389250799,0,-0.077906296572789677,0,-0.067812877843506619
8,31.311154598825826,113708.47477515654,-2.8022345327490235,0,-0.1016804106555351,0,-0.088571922081314786
9,35.225048923679054,110701.54081032687,-9.309089157996663,0,-0.12848058650519534,0,-0.11209883888416404
10,39.138943248532286,107455.64380582489,-10.67785290781541,0,-0.15824019825675203,0,-0.13839362825205437
11,43.052837573385517,104012.23086020449,3.1546088679107056,0,-0.1908098482638374,0,-0.16745629018498578
12,46.966731898238748,100370.04030718493,-1.4383427918225475,0,-0.22645458550378561,0,-0.19928682468295836
13,50.88062622309198,96586.54855794138,0.2025720094592989,0,-0.26487886227554291,0,-0.23388523174597192
14,54.794520547945211,92677.101066068906,-9.3344188837617352,0,-0.30619692479953486,0,-0.27125151137402675
15,58.708414872798443,88701.125127980689,-2.8352690322010172,0,-0.35004577103565809,0,-0.31138566356712244
16,62.622309197651674,84680.50759684587,10.363857070245997,0,-0.39643290437234274,0,-0.35428768832525942
17,66.536203522504906,80628.406622294715,13.588575718236683,0,-0.44546731801245343,0,-0.39995758564843742
18,70.450097847358137,76558.346055361384,-7.7314587829442205,0,-0.49726520125168056,0,-0.44839535553665649
19,74.363992172211368,72551.158988957162,1.1719286511579381,0,-0.55102639067548342,0,-0.49960099798991664
20,78.2778864970646,68596.873377532174,6.5224740043548524,0,-0.60707138880923983,0,-0.55357451300821792
21,82.191780821917831,64721.875715390452,13.334279643825672,0,-0.66521909057971407,0,-0.61031590059156016
22,86.105675146771063,60909.797355144656,-13.590086162237068,0,-0.72592430702796784,0,-0.66982516073994369
23,90.019569471624294,57243.568794478677,-7.5503771707148006,0,-0.78800304425876866,0,-0.73210229345336797
24,93.933463796477525,53718.258962010725,12.892502426519091,0,-0.85156538327902842,0,-0.79714729873183399
25,97.847358121330757,50307.175713412464,9.9707358584760328,0,-0.91717061966609248,0,-0.86496017657534086
26,101.76125244618399,47058.188718054822,22.943790880374621,0,-0.98393345113600628,0,-0.93554092698388858
27,105.67514677103722,43916.581664653873,-9.1742311058330763,0,-1.0530263816936094,0,-1.0088895499574773
28,109.58904109589045,40973.706197615153,0.8848765176262392,0,-1.1223877961930417,0,-1.085006045496107
29,113.50293542074368,38186.109084907868,7.5931348885391721,0,-1.192846531955394,0,-1.1638904135997783
30,117.41682974559691,35537.27005514317,-5.8297776531022683,0,-1.2647363384441019,0,-1.2455426542684902
31,121.33072407045015,33066.556094479361,1.3333627359053446,0,-1.3367959632152235,0,-1.3299627675022438
32,125.24461839530338,30758.099531363736,15.966228679904752,0,-1.4091649859524558,0,-1.4171507533010386
33,129.15851272015661,28581.343792116317,11.455797240189064,0,-1.4825641549005288,0,-1.5071066116648735
34,133.07240704500984,26539.305812409093,-4.2494596699994496,0,-1.5566914726303895,0,-1.5998303425937503
35,136.98630136986307,24661.480829450284,4.0693788933856485,0,-1.6300757991260635,0,-1.6953219460876676
36,140.9001956947163,22906.326650108673,1.2015013075126775,0,-1.7039051995810299,0,-1.7935814221466264
37,144.81409001956953,21274.397560488462,-5.5304626844682536,0,-1.7778139876376857,0,-1.8946087707706265
38,148.72798434442277,19770.14253160324,-4.6275719427510387,0,-1.851145498269569,0,-1.9984039919596672
39,152.641878669276,18387.290928676441,4.8322998170926716,0,-1.9236586293488003,0,-2.1049670857137488
40,156.55577299412923,17095.948459303378,0.16865425955098207,0,-1.996476841684131,0,-2.2142980520328721
41,160.46966731898246,15906.771992423786,-0.83137017289777804,0,-2.0685734148905612,0,-2.3263968909170365
42,164.38356164383569,14809.863026094106,-1.1071515615980554,0,-2.1400249654229473,0,-2.441263602366242
43,168.29745596868892,13808.72582030858,9.5622789313487662,0,-2.210017646753871,0,-2.558898186380488
44,172.21135029354215,12867.846110575185,2.0811880584815388,0,-2.2805866946888336,0,-2.6793006429597748
45,176.12524461839539,12002.804952629693,-1.8903207178013428,0,-2.3501779763892725,0,-2.8024709721041043
46,180.03913894324862,11224.059307597341,13.816221725923647,0,-2.4172587181308578,0,-2.9284091738134741
47,183.95303326810185,10468.864919040598,-8.2156008259101316,0,-2.4869127386091145,0,-3.0571152480878849
48,187.86692759295508,9805.0516396294661,4.7826374585382325,0,-2.5524206186180818,0,-3.1885891949273364
49,191.78082191780831,9173.4349739901736,-1.8207682125484723,0,-2.6190065405662812,0,-3.3228310143318289
50,195.69471624266154,8602.0615531463827,4.1989276805755784,0,-2.6833164549009609,0,-3.4598407063013634
51,199.60861056751477,8073.0093678866688,8.740430795861359,0,-2.7467920241059809,0,-3.5996182708359377
52,203.522504892368,7557.164953967841,-13.824378945177498,0,-2.8128222311452307,0,-3.7421637079355543
53,207.43639921722124,7112.6357830041634,-2.212634327753618,0,-2.8734454548888748,0,-3.8874770176002111
54,211.35029354207447,6684.0323420788955,-8.9208641471346297,0,-2.9355968954628211,0,-4.0355581998299108
55,215.2641878669277,6308.5126098540295,5.8479591122195433,0,-2.9934184156644865,0,-4.1864072546246511
56,219.17808219178093,5959.7291528728438,18.159877293120317,0,-3.0502933090196049,0,-4.3400241819844307
57,223.09197651663416,5614.2082328369488,6.7563868780254559,0,-3.1100177759576799,0,-4.4964089819092514
58,227.00587084148739,5298.2491887442802,-0.020635358679533759,0,-3.1679419206785351,0,-4.655561654399115
59,230.91976516634062,5016.1697636495765,4.0395505835712768,0,-3.2226516977297388,0,-4.8174821994540178
60,234.83365949119386,4747.7658243386213,0.49660637068158153,0,-3.277644190290224,0,-4.9821706170739635
61,238.74755381604709,4494.3656600257736,-7.6693276870711404,0,-3.3324938081904452,0,-5.1496269072589484
62,242.66144814090032,4275.4053624288235,0.53182267959808915,0,-3.3824394254011798,0,-5.3198510700089754
63,246.57534246575355,4069.3685849898338,5.0507629899083586,0,-3.4318304963193,0,-5.4928431053240434
