Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,72029.890506586205,19.144505053934424,0,0,0,-0
1,3.9138943248532287,71910.143993408623,-12.160468370472961,0,-0.0016638392677711894,0,-0.0012211438937837385
2,7.8277886497064575,71658.901823810869,1.151086820678128,0,-0.0051637918465045687,0,-0.0048845755751349539
3,11.741682974559687,71219.246656668634,-0.13866713306680076,0,-0.011318078691453157,0,-0.01099029504405365
4,15.655577299412915,70615.054166147354,4.0521218740527196,0,-0.019837825207993973,0,-0.019538302300539816
5,19.569471624266143,69837.059287085402,-0.76923410779589507,0,-0.030916374574547892,0,-0.030528597344593462
6,23.483365949119371,68893.973485899463,-12.471294103385723,0,-0.044512472146161615,0,-0.043961180176214594
7,27.397260273972599,67825.988832477815,1.3069900333398319,0,-0.060135741178897431,0,-0.059836050795403169
8,31.311154598825826,66596.322327554633,-5.1802834217132308,0,-0.078431823076977825,0,-0.078153209202159263
9,35.225048923679054,65244.767067314038,-2.1006405942549615,0,-0.098935334006965123,0,-0.098912655396482821
10,39.138943248532286,63778.213555391427,6.6243361679519701,0,-0.12166952708159276,0,-0.12211438937837385
11,43.052837573385517,62189.633041739355,2.4575485568105622,0,-0.14689286429238924,0,-0.14775841114783236
12,46.966731898238748,60503.628577495896,-2.0416766997361799,0,-0.17437783906582288,0,-0.1758447207048584
13,50.88062622309198,58741.964356927529,2.4750445514937853,0,-0.20392681202554305,0,-0.20637331804945183
14,54.794520547945211,56908.158577266251,6.9004961898318919,0,-0.23564246345169826,0,-0.2393442031816129
15,58.708414872798443,55003.358335820179,-0.29462805018057026,0,-0.26968693477201522,0,-0.27475737610134127
16,62.622309197651674,53042.262345964402,-16.987100870067792,0,-0.30599218024213654,0,-0.31261283680863727
17,66.536203522504906,51080.182619949155,-0.19682181850843475,0,-0.34368457245848993,0,-0.35291058530350067
18,70.450097847358137,49089.190499958444,10.190416899925708,0,-0.38344232097867276,0,-0.39565062158593156
19,74.363992172211368,47051.910124621107,-14.665673785006888,0,-0.42582971582403606,0,-0.4408329456559299
20,78.2778864970646,45058.108621189727,4.1335559086627685,0,-0.46912821934249566,0,-0.48845755751349579
21,82.191780821917831,43035.773163018217,-15.609681743675258,0,-0.51504947493969289,0,-0.53852445715862907
22,86.105675146771063,41060.710246374147,-7.5190192750535072,0,-0.56202946958196498,0,-0.59103364459133001
23,90.019569471624294,39103.161681997954,-9.9730450725475492,0,-0.61087785363725311,0,-0.64598511981159801
24,93.933463796477525,37206.371163756041,12.499955396650488,0,-0.66060116433429394,0,-0.70337888281943406
25,97.847358121330757,35328.315651884164,10.976421537279791,0,-0.71239639328436777,0,-0.7632149336148375
26,101.76125244618399,33482.563189551824,-6.9964204259746214,0,-0.76605637727312659,0,-0.82549327219780821
27,105.67514677103722,31711.291274251369,-4.387621675220144,0,-0.82040836971281339,0,-0.89021389856834621
28,109.58904109589045,29999.020387137949,-0.9667829606146261,0,-0.8759164514246951,0,-0.9573768127264517
29,113.50293542074368,28344.862501101499,-1.0842488670849766,0,-0.93263538193200368,0,-1.0269820146721249
30,117.41682974559691,26758.060952437732,1.8307233440818562,0,-0.9902454068282458,0,-1.0990295044053655
31,121.33072407045015,25215.587056071865,-17.179189493982971,0,-1.0496188415164458,0,-1.1735192819261739
32,125.24461839530338,23770.388491682894,-6.4028752139214218,0,-1.1086405537717334,0,-1.2504513472345498
33,129.15851272015661,22391.434261804421,2.5277419086288297,0,-1.1684026920903829,0,-1.3298257003304925
34,133.07240704500984,21076.812588955047,7.6761192436634662,0,-1.2289076720087131,0,-1.4116423412140033
35,136.98630136986307,19819.845777574665,2.8548205939371787,0,-1.2903974310716992,0,-1.4959012698850811
36,140.9001956947163,18643.341686525429,11.815457161441532,0,-1.3515921105738506,0,-1.5826024863437267
37,144.81409001956953,17500.260210634307,-11.145636447641774,0,-1.41486542879361,0,-1.6717459905899401
38,148.72798434442277,16458.10553301013,3.1457378606486817,0,-1.4762630853665442,0,-1.7633317826237205
39,152.641878669276,15458.410215746531,-1.8308763123231444,0,-1.5389279730191328,0,-1.857359862445068
40,156.55577299412923,14533.337449755791,8.2582091399334328,0,-1.6006360338647203,0,-1.9538302300539836
41,160.46966731898246,13651.002630793566,3.8726136497346659,0,-1.6632682070528035,0,-2.0527428854504666
42,164.38356164383569,12822.616602940574,-1.3046339142775136,0,-1.7258706449318431,0,-2.1540978286345176
43,168.29745596868892,12055.549431582493,2.6551683975553688,0,-1.7875560911268031,0,-2.2578950596061351
44,172.21135029354215,11333.216346245934,1.7752007872820266,0,-1.8493432652869257,0,-2.36413457836532
45,176.12524461839539,10663.66125709375,6.7238857957418938,0,-1.9102393615084832,0,-2.4728163849120732
46,180.03913894324862,10020.270503853637,-6.4998034331562815,0,-1.9724710871067352,0,-2.5839404792463943
47,183.95303326810185,9424.528612802249,-13.834860879197471,0,-2.0337654612651219,0,-2.6975068613682818
48,187.86692759295508,8919.1494119385789,29.952554935120624,0,-2.0888805941525139,0,-2.8135155312777367
49,191.78082191780831,8366.6206938002633,-10.202815275660754,0,-2.1528311161020128,0,-2.9319664889747594
50,195.69471624266154,7890.6368642985699,-8.2458493384981484,0,-2.2114043292828045,0,-3.05285973445935
51,199.60861056751477,7468.8261098933008,15.716086529894573,0,-2.2663433392658097,0,-3.1761952677315071
52,203.522504892368,7031.4307298704571,-5.9137524502203664,0,-2.3266909759134817,0,-3.3019730887912329
53,207.43639921722124,6665.5447580917489,16.011405220655181,0,-2.3801294943537186,0,-3.4301931976385247
54,211.35029354207447,6284.8190064886803,-2.915656703446865,0,-2.4389441348588079,0,-3.5608555942733862
55,215.2641878669277,5957.9059699578429,7.7880869526197358,0,-2.4923621067738191,0,-3.6939602786958146
56,219.17808219178093,5650.8156193055738,15.852597336563337,0,-2.5452812866525969,0,-3.829507250905809
57,223.09197651663416,5340.4277450726513,-0.23068337154783292,0,-2.6017754269540028,0,-3.9674965109033709
58,227.00587084148739,5049.2817635248339,-16.415783335007614,0,-2.6578351706638963,0,-4.1079280586885014
59,230.91976516634062,4796.4351327896447,-12.239737682616486,0,-2.7092082174705272,0,-4.2508018942611985
60,234.83365949119386,4576.2173609649999,7.9360573803288172,0,-2.7562084256313559,0,-4.3961180176214638
61,238.74755381604709,4345.3141725381356,2.0150486563758361,0,-2.8079831160051683,0,-4.5438764287692957
62,242.66144814090032,4131.3386240504715,-1.2580878981627042,0,-2.8584797022887791,0,-4.6940771277046958
63,246.57534246575355,3945.2869640948488,10.163772352046237,0,-2.9045594859238886,0,-4.8467201144276633
64,250.48923679060678,3760.3772386427154,10.474135479350437,0,-2.9525618969962397,0,-5.0018053889382008
65,254.40313111546001,3582.5594435984763,6.528237351433579,0,-3.0010037054391185,0,-5.1593329512363022
66,258.31702544031322,3407.0326364521056,-5.6348597372585854,0,-3.0512394609241391,0,-5.3193028013219701
67,262.23091976516645,3263.4978453072085,4.4653557526343155,0,-3.094281599938582,0,-5.4817149391952062
68,266.14481409001968,3118.8871958627387,4.4843710117137654,0,-3.139604908584114,0,-5.6465693648560134
69,270.05870841487291,2979.2365535280815,1.1293483266405675,0,-3.1854141011878587,0,-5.8138660783043852
70,273.97260273972614,2849.9757641611436,0.4530669992102424,0,-3.2297706883503423,0,-5.9836050795403244
71,277.88649706457937,2726.7466335077756,-1.3247543125259913,0,-3.2739719895828006,0,-6.1557863685638337
72,281.8003913894326,2631.4562829762613,18.238890907615403,0,-3.3095437660853464,0,-6.3304099453749068
73,285.71428571428584,2503.8535730121425,-0.61062028747636177,0,-3.3592502044952171,0,-6.507475809973549
74,289.62818003913907,2417.2217291311649,15.86943552957864,0,-3.3944623439460178,0,-6.6869839623597604
75,293.5420743639923,2292.3755106870431,-11.081633013780747,0,-3.4474925579804023,0,-6.8689344025335375
76,297.45596868884553,2207.0252562859237,-3.3620620148231812,0,-3.4854356078643809,0,-7.0533271304948819
