Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,19068.112615076672,15.435376204800665,0,0,0,-0
1,3.9138943248532287,18990.368841398264,13.368356181469483,0,-0.0040854957339368858,0,-0.0042676819485008921
2,7.8277886497064575,18769.551726885271,17.438191151630594,0,-0.015781475408912032,0,-0.017070727794003569
3,11.741682974559687,18369.157478009936,-15.178523455757311,0,-0.037344409138904897,0,-0.038409137536508042
4,15.655577299412915,17881.355252458437,-2.4859974626401007,0,-0.064258879307000111,0,-0.068282911176014274
5,19.569471624266143,17273.50728068989,9.3612242494582247,0,-0.098843486599035968,0,-0.1066920487125223
6,23.483365949119371,16550.560750475852,9.1103868296050763,0,-0.14159745984421215,0,-0.15363655014603214
7,27.397260273972599,15735.971116832407,2.0963394146613639,0,-0.19206819769565225,0,-0.20911641547654364
8,31.311154598825826,14859.47458062272,-1.1739611315769929,0,-0.24937976259893829,0,-0.2731316447040571
9,35.225048923679054,13946.719850970792,5.4188564710071709,0,-0.31277309880985982,0,-0.34568223782857227
10,39.138943248532286,12993.331716300803,-1.5735019900407179,0,-0.38358116233691553,0,-0.42676819485008921
11,43.052837573385517,12019.312067670293,-20.102485406254541,0,-0.46150274813500769,0,-0.51638951576860803
12,46.966731898238748,11092.798168207088,1.6762135792699242,0,-0.54172135922470099,0,-0.61454620058412868
13,50.88062622309198,10157.527202927704,-6.7329589231516804,0,-0.629802416308617,0,-0.72123824929665092
14,54.794520547945211,9267.7379513573051,-3.010610874278588,0,-0.72147811168910159,0,-0.83646566190617544
15,58.708414872798443,8444.9209852937711,24.839334940147562,0,-0.81445224947041506,0,-0.96022843841270111
16,62.622309197651674,7619.5994818088757,0.25455683615829183,0,-0.91729363642252504,0,-1.0925265788162291
17,66.536203522504906,6875.8762309865933,2.5387227811589423,0,-1.019998356086059,0,-1.2333600831167586
18,70.450097847358137,6165.6446822641892,-19.132224069665654,0,-1.1290247408157765,0,-1.38272895131429
19,74.363992172211368,5552.687900946552,-1.8721741223149169,0,-1.233735326300605,0,-1.5406331834088232
20,78.2778864970646,4972.606115013933,-9.4498560696147678,0,-1.3440733714041384,0,-1.7070727794003582
21,82.191780821917831,4464.2211090146184,-1.1864586694768506,0,-1.4519226878556168,0,-1.8820477392888948
22,86.105675146771063,3989.9023313358193,-11.922967228566378,0,-1.5642506910570522,0,-2.0655580630744335
23,90.019569471624294,3595.3496233661349,7.4911555696118528,0,-1.6683762041781351,0,-2.2576037507569731
24,93.933463796477525,3212.1666719936029,-7.4691015293962737,0,-1.7810717581500524,0,-2.4581848023365165
25,97.847358121330757,2890.15890943879,-2.911374028846283,0,-1.8867059567196269,0,-2.6673012178130611
26,101.76125244618399,2609.7938289765011,5.7661764377497242,0,-1.9887462178120718,0,-2.8849529971866064
27,105.67514677103722,2332.5582611287541,-15.900656582789015,0,-2.1010518118939707,0,-3.1111401404571533
28,109.58904109589045,2119.8549809432816,-2.6458427157163786,0,-2.1966697621685296,0,-3.3458626476247022
29,113.50293542074368,1921.5122970038999,-1.0351366326196099,0,-2.294904912605217,0,-3.5891205186892532
30,117.41682974559691,1741.2561663758099,-4.0407985147711853,0,-2.393410655841596,0,-3.8409137536508058
31,121.33072407045015,1582.3047593415579,-5.4728410097258973,0,-2.4891349506960396,0,-4.1012423525093622
32,125.24461839530338,1449.7356545222199,2.3799509040047244,0,-2.5766362107108285,0,-4.3701063152649189
33,129.15851272015661,1329.404317612222,7.6747350832425045,0,-2.6632864828870564,0,-4.6475056419174763
34,133.07240704500984,1216.3133931991265,7.401590244675238,0,-2.7521929682882624,0,-4.9334403324670371
35,136.98630136986307,1108.793377825893,1.5903278273148458,0,-2.8447450662408524,0,-5.2279103869135977
36,140.9001956947163,991.04635366449941,-24.114236705498374,0,-2.9570114144070971,0,-5.5309158052571616
37,144.81409001956953,927.12426278482633,-4.4401214197406977,0,-3.0236851173856572,0,-5.8424565874977281
38,148.72798434442277,838.9422837330028,-16.441419978685555,0,-3.1236308099150527,0,-6.1625327336352953
39,152.641878669276,777.47938547992828,-8.2672742058166211,0,-3.1997155924297025,0,-6.4911442436698623
40,156.55577299412923,710.89519459914277,-11.019114437033284,0,-3.2892477089685324,0,-6.8282911176014345
41,160.46966731898246,675.55706558567169,12.296971683551147,0,-3.3402350894159678,0,-7.1739733554300082
42,164.38356164383569,592.49645553820392,-16.757934897365907,0,-3.4714278315020204,0,-7.5281909571555827
43,168.29745596868892,558.83475496954031,-0.6183454456791142,0,-3.5299189011085232,0,-7.8909439227781579
44,172.21135029354215,507.65654422017997,-5.8321213672222445,0,-3.6259675974103458,0,-8.2622322522977338
45,176.12524461839539,460.99824370021253,-10.063485980369546,0,-3.7223784890509473,0,-8.6420559457143167
46,180.03913894324862,438.20472633483115,6.2727906196715191,0,-3.7730865093824386,0,-9.0304150030278993
47,183.95303326810185,420.30578279497985,24.398831668826478,0,-3.8147902216311804,0,-9.4273094242384836
48,187.86692759295508,371.76619305289626,8.936585471440031,0,-3.9375075789022134,0,-9.8327392093460677
49,191.78082191780831,338.42890647793627,5.8650729086893225,0,-4.0314586771614209,0,-10.246704358350653
50,195.69471624266154,289.94389639761454,-15.0367643126836,0,-4.1860852787127074,0,-10.669204871252244
51,199.60861056751477,278.79684087040414,-1.1490254293711093,0,-4.2252893746250884,0,-11.100240748050831
52,203.522504892368,246.22029627567855,-11.090427657526901,0,-4.3495460737641078,0,-11.539811988746425
53,207.43639921722124,253.94493861480288,17.038028088374652,0,-4.3186552558675029,0,-11.987918593339018
54,211.35029354207447,206.1714818623108,-12.374493954258202,0,-4.5270644635478954,0,-12.444560561828617
55,215.2641878669277,195.76396941459748,-6.259105909231427,0,-4.5788630264063652,0,-12.909737894215217
56,219.17808219178093,173.2412293530812,-13.882826270808003,0,-4.7010877097154875,0,-13.383450590498814
57,223.09197651663416,187.91129252262661,14.276713005625417,0,-4.6198027190887947,0,-13.865698650679414
58,227.00587084148739,150.65331859940832,-10.696525000637839,0,-4.8407914284066731,0,-14.35648207475702
59,230.91976516634062,138.80523143131686,-11.278327555950264,0,-4.9227009844896186,0,-14.855800862731622
60,234.83365949119386,135.25350625136414,-4.4216633232425782,0,-4.9486218806643434,0,-15.36365501460323
61,238.74755381604709,123.55772758799445,-6.4369470490777472,0,-5.0390642455603833,0,-15.880044530371835
62,242.66144814090032,122.88353543468118,1.9387266878301399,0,-5.0445356818528486,0,-16.404969410037449
63,246.57534246575355,121.48205418924201,9.0214101521407013,0,-5.0560061725540004,0,-16.938429653600057
64,250.48923679060678,112.58799076388145,8.0811009905297073,0,-5.1320376662237361,0,-17.480425261059683
65,254.40313111546001,80.846849867960188,-16.226432543599216,0,-5.4632160996874664,0,-18.030956232416294
66,258.31702544031322,74.841481667184908,-15.327038756844777,0,-5.5404004232717288,0,-18.590022567669905
67,262.23091976516645,87.722857004499019,3.9096162857173384,0,-5.381590229669369,0,-19.15762426682052
68,266.14481409001968,74.490468661527046,-3.542112643127469,0,-5.545101542507755,0,-19.733761329868148
69,270.05870841487291,68.621473745245211,-4.227452962316347,0,-5.6271672081743818,0,-20.31843375681277
70,273.97260273972614,52.893202318074529,-15.382261143592883,0,-5.8874978922755732,0,-20.911641547654391
71,277.88649706457937,68.095889406511077,3.7847434825400845,0,-5.6348558720836213,0,-21.513384702393022
72,281.8003913894326,50.13612256794562,-10.801434356424867,0,-5.9410309646507224,0,-22.123663221028647
73,285.71428571428584,59.695523724177264,1.5775882188360233,0,-5.7665156841864755,0,-22.742477103561278
74,289.62818003913907,48.329816997961913,-7.4685424018569346,0,-5.9777240229397899,0,-23.369826349990912
75,293.5420743639923,47.5692121273946,-6.3415545207352251,0,-5.9935869743563481,0,-24.005710960317547
76,297.45596868884553,47.315881915058419,-5.0613662067359488,0,-5.9989267132652282,0,-24.650130934541181
77,301.36986301369876,50.51003932812359,-0.60486500675626143,0,-5.9336006071792111,0,-25.303086272661812
78,305.28375733855199,47.616844889680856,-2.4237275518308805,0,-5.9925861394073019,0,-25.964576974679449
79,309.19765166340522,46.508127430376831,-2.5667609191987673,0,-6.0161456415099837,0,-26.634603040594097
80,313.11154598825846,70.118726888649888,21.973319406724052,0,-5.6055828185713246,0,-27.313164470405738
81,317.02544031311169,51.793433264529646,4.6046444973294465,0,-5.9085093520051171,0,-28.000261264114389
82,320.93933463796492,50.425742234692898,4.2734766451129449,0,-5.9352709189700184,0,-28.695893421720033
83,324.85322896281815,35.393155653987066,-9.6015639503672663,0,-6.2892542639405802,0,-29.400060943222677
84,328.76712328767138,43.154172688972089,-0.53344165108791752,0,-6.0909936074792554,0,-30.112763828622331
85,332.68101761252461,39.345619512988819,-2.870241890584746,0,-6.1833880747565253,0,-30.834002077918985
86,336.59491193737784,45.004228069386286,4.4257753848615131,0,-6.0490162798253104,0,-31.563775691112632
87,340.50880626223108,39.288879093615272,0.50038929794418696,0,-6.1848312181662646,0,-32.302084668203285
88,344.42270058708431,55.957968149957871,19.085805124325844,0,-5.8311718821127636,0,-33.048929009190935
89,348.33659491193754,39.811187123372932,4.9448603017258064,0,-6.1716247659837533,0,-33.804308714075603
90,352.25048923679077,27.900122305618442,-4.9144610418439614,0,-6.5271416497477768,0,-34.568223782857267
91,356.164383561644,25.254043979772121,-5.5081149763641966,0,-6.6267864217671661,0,-35.340674215535934
92,360.07827788649723,15.987838076739774,-12.76239947859893,0,-7.0839444092812345,0,-36.121660012111597
93,363.99217221135046,29.272724359844123,2.4620402292346868,0,-6.4791165490418088,0,-36.911181172584257
94,367.9060665362037,16.557786043251248,-8.4043712718400219,0,-7.0489162753003924,0,-37.709237696953934
95,371.81996086105693,15.158397277432801,-8.0500323774044205,0,-7.1372180681399531,0,-38.515829585220601
96,375.73385518591016,23.575804018466791,2.0364708904140429,0,-6.6955517896344734,0,-39.330956837384271
97,379.64774951076339,10.126065501261918,-9.8081485067473739,0,-7.5406598801310549,0,-40.154619453444937
98,383.56164383561662,18.597260648416889,0.23001593828774067,0,-6.9327584293734068,0,-40.986817433402614
99,387.47553816046985,21.810990584877267,4.9974545336750182,0,-6.7733587242583386,0,-41.827550777257294
100,391.38943248532308,19.182381005542013,3.9275561481310368,0,-6.9017805205110214,0,-42.676819485008977
101,395.30332681017632,8.4811503115364388,-5.2024715206290475,0,-7.7179266317298865,0,-43.534623556657664
102,399.21722113502955,9.8337889154024865,-2.2712742226388078,0,-7.5699484182950521,0,-44.400962992203326
103,403.13111545988278,9.3080813258288977,-1.228141129106797,0,-7.6248897396806186,0,-45.275837791646019
104,407.04500978473601,-3.9976960970138773,-13.000873505758122,0,-13.815510557964274,0,-46.159247954985702
105,410.95890410958924,-4.804189841559837,-12.340743850197365,0,-13.815510557964274,0,-47.051193482222402
106,414.87279843444247,10.780145438960382,4.6136457868260798,0,-7.4780666653348042,0,-47.95167437335607
107,418.7866927592957,3.8129768586624513,-1.1050475192696518,0,-8.5173625104854871,0,-48.86069062838677
108,422.70058708414894,-7.1659088978732193,-10.973342019847232,0,-13.815510557964274,0,-49.778242247314466
109,426.61448140900217,9.4031051078220393,6.5628713782624377,0,-7.6147327569312342,0,-50.704329230139159
110,430.5283757338554,-7.8582365737690925,-9.8687924437577692,0,-13.815510557964274,0,-51.638951576860869
111,434.44227005870863,8.8487511255766069,7.5468970890040925,0,-7.6754963889713936,0,-52.582109287479554
112,438.35616438356186,-6.2098274913842006,-6.8983800753752771,0,-13.815510557964274,0,-53.533802361995257
113,442.27005870841509,-3.0641576436173281,-3.2024828833911805,0,-13.815510557964274,0,-54.494030800407948
114,446.18395303326832,-3.8675353893559317,-3.4823706960410599,0,-13.815510557964274,0,-55.462794602717658
115,450.09784735812156,11.099382272345853,12.018470118331138,0,-7.4488832666497178,0,-56.440093768924363
116,454.01174168297479,12.745683572263566,14.243465120800778,0,-7.3105800513455907,0,-57.425928299028079
117,457.92563600782802,-11.784710057026366,-9.6361239055860004,0,-13.815510557964274,0,-58.420298193028799
118,461.83953033268125,-3.0873684606165934,-0.20000672155108651,0,-13.815510557964274,0,-59.423203450926486
119,465.75342465753448,-13.357839279227896,-9.6437105735443325,0,-13.815510557964274,0,-60.434644072721213
120,469.66731898238771,10.941654097409661,15.551188682116521,0,-7.4631957395109136,0,-61.454620058412921
121,473.58121330724094,-1.041622979012125,4.4913724133562702,0,-13.815510557964274,0,-62.483131408001647
122,477.49510763209418,-4.7349329627818504,1.6883752743299283,0,-13.815510557964274,0,-63.520178121487341
123,481.40900195694741,-0.19685559486576931,7.0053939303070623,0,-13.815510557964274,0,-64.56576019887008
124,485.32289628180064,-9.2179459669039385,-1.4367534301086229,0,-13.815510557964274,0,-65.619877640149795
125,489.23679060665387,-14.905252750801253,-6.8350582447015142,0,-13.815510557964274,0,-66.682530445326506
126,493.1506849315071,-15.354940168986669,-7.3664891899020333,0,-13.815510557964274,0,-67.753718614400228
127,497.06457925636033,0.61948263429327621,8.0941149473568768,0,-10.334643332395942,0,-68.83344214737096
128,500.97847358121356,-22.349715034457663,-15.854207246462764,0,-13.815510557964274,0,-69.921701044238731
129,504.8923679060668,3.7057367128580179,8.757204347175815,0,-8.5458906404213284,0,-71.018495305003441
130,508.80626223092003,1.9913430810645583,5.1693806052043207,0,-9.1669633960879686,0,-72.123824929665176
131,512.7201565557732,-12.643738107154567,-11.700596318438583,0,-13.815510557964274,0,-73.237689918223893
132,516.63405088062643,-1.8727625592687132,-3.4321943335157581,0,-13.815510557964274,0,-74.360090270679621
133,520.54794520547966,5.970983580172569,1.751655991217288,0,-8.0688610546475665,0,-75.491025987032359
134,524.4618395303329,-1.3930128899825194,-8.3132935915142259,0,-13.815510557964274,0,-76.630497067282079
135,528.37573385518613,8.72422596299986,-0.82643396888428977,0,-7.6896689729687377,0,-77.778503511428838
136,532.28962818003936,25.788504449400168,13.775900866743234,0,-6.6058438936217012,0,-78.935045319472593
137,536.20352250489259,2.9483908753538177,-11.280443957183223,0,-8.774513166730129,0,-80.100122491413345
138,540.11741682974582,23.339082947311738,7.1923726285632608,0,-6.7056433872249732,0,-81.273735027251078
139,544.03131115459905,31.302582624482525,13.563083025025971,0,-6.4120721161729302,0,-82.455882926985836
140,547.94520547945228,29.747189631688641,10.741957758592267,0,-6.4630380609117077,0,-83.646566190617563
141,551.85909980430552,36.676859535238535,16.713219503269229,0,-6.2536266964617342,0,-84.845784818146328
142,555.77299412915875,28.460894253998568,7.8091062827532465,0,-6.5072417086778067,0,-86.053538809572089
143,559.68688845401198,13.875064618300524,-7.2438625544720878,0,-7.2256794054829454,0,-87.269828164894832
144,563.60078277886521,26.526205337322317,5.1051562457638884,0,-6.5776395972539374,0,-88.494652884114586
145,567.51467710371844,24.943610761107781,3.3280822807864481,0,-6.6391550145955325,0,-89.728012967231336
146,571.42857142857167,19.683517720781879,-2.0726946111335938,0,-6.8759911006537733,0,-90.969908414245111
147,575.3424657534249,21.426811076750305,-0.46248142205137016,0,-6.791129730364597,0,-92.220339225155882
148,579.25636007827814,17.113273474207205,-4.9370039787643858,0,-7.0159183333170017,0,-93.47930539996365
149,583.17025440313137,8.5293330814478114,-13.732980723566035,0,-7.7122615488913073,0,-94.746806938668399
