Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,982943.22807484108,-8.6378913837363438,0,0,0,-0
1,3.9138943248532287,982932.49946122582,7.1404597121210749,0,-1.0914844173602926e-05,0,-1.2387568974585173e-05
2,7.8277886497064575,982860.6718864491,14.82926578837249,0,-8.3992292865207039e-05,0,-4.9550275898340691e-05
3,11.741682974559687,982717.2711283,3.9407660788345944,0,-0.00022990434780365454,0,-0.0001114881207712666
4,15.655577299412915,982535.01898500475,7.1741989038189438,0,-0.00041537889957960394,0,-0.00019820110359336276
5,19.569471624266143,982305.15194379608,15.734476743897627,0,-0.00064935929723070355,0,-0.00030968922436462934
6,23.483365949119371,981976.38853944757,-21.700446099649199,0,-0.00098410093242161812,0,-0.00044595248308506636
7,27.397260273972599,981653.33330699545,-0.5756090702824681,0,-0.0013131397850858401,0,-0.00060699087975467337
8,31.311154598825826,981268.2708185974,11.335005815600566,0,-0.0017054758748492542,0,-0.00079280441437345106
9,35.225048923679054,980807.4724745003,0.23528182706776699,0,-0.0021751808331252598,0,-0.0010033930869413992
10,39.138943248532286,980299.4440689974,-5.4454470311082561,0,-0.0026932845760487766,0,-0.0012387568974585174
11,43.052837573385517,979758.75641258131,8.7782481768385949,0,-0.0032449903060089783,0,-0.0014988958459248062
12,46.966731898238748,979137.12502912304,-5.4723868792722028,0,-0.0038796655944857796,0,-0.0017838099323402657
13,50.88062622309198,978498.86052215099,16.010103653977161,0,-0.0045317424201050229,0,-0.0020934991567048947
14,54.794520547945211,977757.75995767361,-13.089201644821916,0,-0.0052894145906907178,0,-0.0024279635190186956
15,58.708414872798443,977015.2171508912,8.5027174806518602,0,-0.0060491374344101255,0,-0.0027872030192816651
16,62.622309197651674,976183.12680527708,-7.4490031812437962,0,-0.0069011660043985139,0,-0.0031712176574938068
17,66.536203522504906,975325.92494565307,3.3533580315959788,0,-0.0077796676070272424,0,-0.003580007433655118
18,70.450097847358137,974403.00647107151,0.15770130207615779,0,-0.0087263823309482562,0,-0.0040135723477655993
19,74.363992172211368,973438.17271462502,6.6097073689362045,0,-0.0097170522538003092,0,-0.0044719123998252508
20,78.2778864970646,972397.1369136459,-11.74164757691087,0,-0.010787066653430271,0,-0.0049550275898340738
21,82.191780821917831,971334.64525738801,-0.32299708748988509,0,-0.011880316012037545,0,-0.0054629179177920657
22,86.105675146771063,970217.45288504427,7.4394631097218173,0,-0.013031140135390253,0,-0.00599558338369923
23,90.019569471624294,969047.95181464986,13.747955954849525,0,-0.014237268197425827,0,-0.0065530239875555606
24,93.933463796477525,967812.93001048523,5.192244795216884,0,-0.015512550261444552,0,-0.0071352397293610679
25,97.847358121330757,966532.86332101899,2.0416279976607483,0,-0.0168360642688529,0,-0.0077422306091157432
26,101.76125244618399,965204.53333495639,0.86285401607284262,0,-0.018211334217786337,0,-0.0083739966268195874
27,105.67514677103722,963837.36136148463,10.854162961880631,0,-0.0196287966442278,0,-0.0090305377824726005
28,109.58904109589045,962391.47010296863,-8.0929770902565199,0,-0.02113006327097576,0,-0.0097118540760747843
29,113.50293542074368,960922.31882439554,-0.7586347825124401,0,-0.022657792727059034,0,-0.01041794550762614
30,117.41682974559691,959417.76643680013,20.46873604491531,0,-0.024224757565211252,0,-0.011148812077126665
31,121.33072407045015,957826.48616954626,4.0070389510099771,0,-0.025884724082765695,0,-0.011904453784576366
32,125.24461839530338,956193.06559928868,-5.8193636492028391,0,-0.027591520614997481,0,-0.012684870629975234
33,129.15851272015661,954533.79895781772,7.01273198453171,0,-0.029328312083563526,0,-0.013490062613323268
34,133.07240704500984,952793.12789795501,-13.333786415985063,0,-0.031153559259190635,0,-0.014320029734620479
35,136.98630136986307,951036.94283326238,-1.254928579634409,0,-0.032998456647682368,0,-0.015174771993866853
36,140.9001956947163,949231.26651122561,8.9780523948733268,0,-0.034898900865629114,0,-0.016054289391062404
37,144.81409001956953,947357.72794481053,-1.3073254741517168,0,-0.036874594261843988,0,-0.016958581926207125
38,148.72798434442277,945440.04843176948,-8.6986688241026826,0,-0.038900885916576797,0,-0.017887649599301014
39,152.641878669276,943501.81801050482,10.077833797830234,0,-0.040953073054711152,0,-0.018841492410344066
40,156.55577299412923,941487.69099706179,-0.64696226337650653,0,-0.04309009055038987,0,-0.019820110359336299
41,160.46966731898246,939420.16039796022,-18.710654244326264,0,-0.04528853044768702,0,-0.020823503446277702
42,164.38356164383569,937330.84706362127,-12.83004598802437,0,-0.047515052974290567,0,-0.021851671671168273
43,168.29745596868892,935216.26895402139,13.168212084203468,0,-0.049773558504385654,0,-0.022904615034008011
44,172.21135029354215,933026.04545524833,8.5520356678181244,0,-0.05211824846809051,0,-0.02398233353479692
45,176.12524461839539,930782.86079599103,-4.3525790309384025,0,-0.054525346894158562,0,-0.025084827173535006
46,180.03913894324862,928509.50836897979,-3.1171342730385465,0,-0.056970743430597527,0,-0.026212095950222263
47,183.95303326810185,926182.98819500371,-11.113065498346415,0,-0.059479538175339117,0,-0.027364139864858687
48,187.86692759295508,923841.79173110484,9.7731697522936969,0,-0.062010528829187603,0,-0.028540958917444275
49,191.78082191780831,921431.111459921,4.3497856531646075,0,-0.06462334738676262,0,-0.029742553107979037
50,195.69471624266154,918990.19730114844,11.476185575159281,0,-0.067275909143528947,0,-0.030968922436462973
51,199.60861056751477,916500.72752852226,12.433986588775802,0,-0.069988503649385206,0,-0.032220066902896069
52,203.522504892368,913966.77668466337,10.895043297216326,0,-0.072757143307466646,0,-0.03349598650727835
