Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,926158.76105343574,-1.7700620225344346,0,0,0,-0
1,3.9138943248532287,926003.4867594,13.707068239749326,0,-0.00016766813445512986,0,-8.8234022817869402e-05
2,7.8277886497064575,925487.66570130701,9.9412852340370534,0,-0.00072486342080895958,0,-0.00035293609127147761
3,11.741682974559687,924629.93421382806,4.9723269997192405,0,-0.0016520818300278983,0,-0.00079410620536082496
4,15.655577299412915,923428.5568401661,-3.9282694275770464,0,-0.0029522328249350382,0,-0.0014117443650859104
5,19.569471624266143,921905.56376277166,3.8822410740910049,0,-0.0046028752817005728,0,-0.0022058505704467351
6,23.483365949119371,920041.41762406332,7.0873942953301068,0,-0.0066269799861207457,0,-0.003176424821443299
7,27.397260273972599,917825.82769795717,-6.7707742539899325,0,-0.0090380257295391338,0,-0.0043234671180755998
8,31.311154598825826,915306.7906762457,7.7533601773980294,0,-0.011786368737641833,0,-0.0056469774603436418
9,35.225048923679054,912442.19815449661,5.6215540937111861,0,-0.014920929210388702,0,-0.0071469558482474219
10,39.138943248532286,909241.95971920248,-6.5594213004059556,0,-0.01843442710585854,0,-0.0088234022817869403
11,43.052837573385517,905737.90598605585,-0.62822316987058735,0,-0.022295690972147755,0,-0.010676316760962199
12,46.966731898238748,901912.80133771873,2.1510238947545348,0,-0.026527825357527565,0,-0.012705699285773199
13,50.88062622309198,897767.21558322792,-2.0317052463699636,0,-0.031134858883411869,0,-0.014911549856219931
14,54.794520547945211,893314.93855265796,-4.1091719718680428,0,-0.036106474720071745,0,-0.017293868472302416
15,58.708414872798443,888566.16999433853,1.0622312575723452,0,-0.041436549524867521,0,-0.019852655134020625
16,62.622309197651674,883523.87452597322,11.067252723396182,0,-0.047127354111183795,0,-0.022587909841374584
17,66.536203522504906,878169.14459990803,1.30515300344236,0,-0.05320644548342069,0,-0.025499632594364278
18,70.450097847358137,872525.96365559136,-10.23617933232819,0,-0.059653256767185546,0,-0.028587823392989709
19,74.363992172211368,866622.36895773769,-1.8058994102023349,0,-0.066442346878374359,0,-0.03185248223725088
20,78.2778864970646,860437.59103559423,-0.73878104773962994,0,-0.073604581547790482,0,-0.035293609127147789
21,82.191780821917831,853993.98837447935,8.4919235983326864,0,-0.081121513782818136,0,-0.038911204062680435
22,86.105675146771063,847265.46767152008,-7.2923818636493154,0,-0.089031601526756113,0,-0.042705267043848832
23,90.019569471624294,840294.78645112866,-12.659749203242868,0,-0.097292901647485941,0,-0.046675798070652939
24,93.933463796477525,833094.19025086297,-2.9168665859418876,0,-0.10589895886750485,0,-0.050822797143092832
25,97.847358121330757,825659.07598028251,9.5682570910797011,0,-0.11486372079644352,0,-0.055146264261168448
26,101.76125244618399,817981.40289516887,8.7915103471748015,0,-0.12420606667514079,0,-0.059646199424879788
27,105.67514677103722,810071.07266446378,-3.4927599534694673,0,-0.13392368032506113,0,-0.064322602634226858
28,109.58904109589045,801958.33675582334,-5.349656354447319,0,-0.14398901083762172,0,-0.069175473889209665
29,113.50293542074368,793644.37031913572,-4.0749654559330351,0,-0.15441020358435578,0,-0.074204813189828231
30,117.41682974559691,785125.94167728361,-11.51064784222771,0,-0.16520152800073057,0,-0.079410620536082527
31,121.33072407045015,776452.79393227468,13.351887257166641,0,-0.17630982082221952,0,-0.084792895927972595
32,125.24461839530338,767556.35134701524,-6.9066545901955436,0,-0.18783376945586433,0,-0.090351639365498393
33,129.15851272015661,758511.78819864558,-6.0493926958486943,0,-0.19968732804301689,0,-0.09608685084865988
34,133.07240704500984,749314.20689807239,2.0100438506284801,0,-0.2118872707549683,0,-0.10199853037745715
35,136.98630136986307,739955.66699402302,0.25166817445889011,0,-0.22445539323643041,0,-0.10808667795189013
36,140.9001956947163,730456.49814272276,-0.12282999381757571,0,-0.23737598955202452,0,-0.11435129357195888
37,144.81409001956953,720809.66607606329,-15.309169532142796,0,-0.25067055176283809,0,-0.12079237723766337
38,148.72798434442277,711064.78382573195,-4.8744592463581649,0,-0.26428212602819262,0,-0.12740992894900358
39,152.641878669276,701201.07230149722,1.2179897521591605,0,-0.27825098588882402,0,-0.13420394870597949
40,156.55577299412923,691223.80691063392,-0.93032439165067848,0,-0.29258200840736764,0,-0.14117443650859118
41,160.46966731898246,681139.75378903374,-13.702719222539965,0,-0.30727816459128671,0,-0.14832139235683864
42,164.38356164383569,670984.49264029961,-10.630622837150398,0,-0.32229964228706848,0,-0.15564481625072182
43,168.29745596868892,660753.79422856285,-5.0025213964734485,0,-0.33766437239874547,0,-0.16314470819024071
44,172.21135029354215,650459.78632059658,6.3152091387791884,0,-0.35336619177632733,0,-0.17082106817539533
45,176.12524461839539,640071.48034152423,-16.582174319673427,0,-0.36946581002176038,0,-0.17867389620618576
46,180.03913894324862,629660.90779218986,-10.48888113561522,0,-0.38586423529059349,0,-0.1867031922826119
47,183.95303326810185,619219.61331527506,7.4165564660719134,0,-0.40258567114783117,0,-0.19490895640467376
48,187.86692759295508,608727.44455622928,8.372794261871924,0,-0.41967504652579973,0,-0.20329118857237136
49,191.78082191780831,598196.81933682028,-3.6859474094975213,0,-0.4371258390472223,0,-0.21184988878570468
50,195.69471624266154,587653.71904572123,-11.125754916846997,0,-0.45490780693887095,0,-0.22058505704467379
