Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,41155.739770554712,14.020973985494118,0,0,0,-0
1,3.9138943248532287,41099.298085008784,-1.7509973029413282,0,-0.0013723583594577615,0,-0.00095078246030081207
2,7.8277886497064575,40986.870512027948,7.5642437031926075,0,-0.0041116174868544549,0,-0.0038031298412032483
3,11.741682974559687,40777.774857663091,0.48859212100479721,0,-0.0092262023842751839,0,-0.0085570421427073121
4,15.655577299412915,40493.456848831149,-2.8485441236281202,0,-0.016222999719915442,0,-0.015212519364812993
5,19.569471624266143,40124.099862120216,-14.085398075910083,0,-0.025386253636431225,0,-0.023769561507520302
6,23.483365949119371,39704.242575631164,-0.98938616198421858,0,-0.035905353623872774,0,-0.034228168570829241
7,27.397260273972599,39192.53040403362,-7.6795279298893622,0,-0.048877223770407104,0,-0.046588340554739774
8,31.311154598825826,38626.974023958384,0.66312906636988656,0,-0.063412560163813289,0,-0.060850077459251972
9,35.225048923679054,37991.277144414096,4.1587226161639643,0,-0.08000681694736933,0,-0.077013379284365774
10,39.138943248532286,37295.95778214094,9.3891109221908433,0,-0.098478451166898878,0,-0.095078246030081207
11,43.052837573385517,36534.686598760287,5.7786572365526654,0,-0.11910127439554258,0,-0.11504467769639827
12,46.966731898238748,35722.033109581593,3.385405775497496,0,-0.14159572914223822,0,-0.13691267428331699
13,50.88062622309198,34851.710829665768,-8.8069787618666027,0,-0.16626117425196807,0,-0.16068223579083726
14,54.794520547945211,33957.66231797928,-1.7562514257897823,0,-0.1922488787558414,0,-0.18635336221895929
15,58.708414872798443,33015.090130528857,-5.2822971874099292,0,-0.22039866786212936,0,-0.21392605356768279
16,62.622309197651674,32053.057370786712,4.5814928102012802,0,-0.24997082889090347,0,-0.24340030983700806
17,66.536203522504906,31045.465539320485,-3.3867743281720157,0,-0.28191064115817321,0,-0.27477613102693488
18,70.450097847358137,30032.56926625405,5.9628611239366123,0,-0.31508096650488782,0,-0.30805351713746337
19,74.363992172211368,29001.322478758109,14.541904670057573,0,-0.35002196982968292,0,-0.34323246816859343
20,78.2778864970646,27933.167073730034,-1.1469941362561411,0,-0.38754863470440515,0,-0.3803129841203251
21,82.191780821917831,26880.101376917642,6.0963055399854262,0,-0.42597711438163482,0,-0.41929506499265845
22,86.105675146771063,25810.477740267561,0.0015178325771501308,0,-0.46658287804270698,0,-0.46017871078559347
23,90.019569471624294,24743.726313775274,-4.4175080193239369,0,-0.50879142688124945,0,-0.50296392149912983
24,93.933463796477525,23704.106533340739,12.915580229236765,0,-0.55171509691188347,0,-0.5476506971332683
25,97.847358121330757,22639.873265978636,-3.6713862991654329,0,-0.59765074596533008,0,-0.59423903768800834
26,101.76125244618399,21604.46192493238,-4.3952669383158849,0,-0.6444635375361093,0,-0.64272894316334972
27,105.67514677103722,20589.210076591778,-1.2813995584211457,0,-0.69259624560843713,0,-0.69312041355929266
28,109.58904109589045,19581.329408287624,-10.181068227499564,0,-0.74278687045933933,0,-0.74541344887583727
29,113.50293542074368,18605.651946286136,-9.0186313459603102,0,-0.79389799885168066,0,-0.79960804911298367
30,117.41682974559691,17649.386878108417,-13.031773356644953,0,-0.84666235650047228,0,-0.85570421427073151
31,121.33072407045015,16739.973986496461,3.0813557200980486,0,-0.89956389040479212,0,-0.91370194434908147
32,125.24461839530338,15845.181627978352,5.2563122173051013,0,-0.95449794562052637,0,-0.97360123934803278
33,129.15851272015661,14959.804341399771,-13.246776082267873,0,-1.0119965078148161,0,-1.0354020992675854
34,133.07240704500984,14148.094853176399,10.579433492262169,0,-1.0677834258191172,0,-1.0991045241077402
35,136.98630136986307,13334.999177047983,0.71295089300854086,0,-1.1269713055718928,0,-1.1647085138684961
36,140.9001956947163,12569.981416249815,5.9136625494901356,0,-1.1860518573119765,0,-1.2322140685498537
37,144.81409001956953,11836.545441702097,9.229811212218646,0,-1.2461715847360186,0,-1.3016211881518134
38,148.72798434442277,11115.929935496946,-8.3234298811762937,0,-1.3089841926637293,0,-1.3729298726743742
39,152.641878669276,10465.706591161195,10.816826053770148,0,-1.3692595284123799,0,-1.4461401221175365
40,156.55577299412923,9823.7104002198685,4.6734079346798394,0,-1.4325645093268844,0,-1.5212519364813009
41,160.46966731898246,9210.3514111691748,-5.9775657355224174,0,-1.497035396559903,0,-1.598265315765667
42,164.38356164383569,8629.1707379292457,-17.069179218193248,0,-1.5622149916361801,0,-1.6771802599706347
43,168.29745596868892,8094.283808012663,-13.818822470044598,0,-1.6262052916536478,0,-1.7579967690962035
44,172.21135029354215,7602.919160536474,1.7926176174258293,0,-1.6888311278768557,0,-1.8407148431423739
45,176.12524461839539,7127.5917174916503,3.1765855276007904,0,-1.753389991655006,0,-1.9253344821091467
46,180.03913894324862,6682.8374042376718,5.8547374632176661,0,-1.8178207430156679,0,-2.0118556859965211
47,183.95303326810185,6241.5330036155083,-16.237112944459437,0,-1.8861375756273449,0,-2.1002784548044966
48,187.86692759295508,5855.2095179238931,-10.45060711889122,0,-1.950031620638019,0,-2.1906027885330737
49,191.78082191780831,5506.6325857973316,7.1416115458945146,0,-2.0114101111064664,0,-2.2828286871822523
50,195.69471624266154,5155.1225851154368,-2.9468996794042477,0,-2.077372504458189,0,-2.3769561507520334
51,199.60861056751477,4862.9204633742384,22.737641625510072,0,-2.1357242256691751,0,-2.4729851792424147
52,203.522504892368,4552.0753953215099,7.4662001349455087,0,-2.2017801416854792,0,-2.5709157726533989
53,207.43639921722124,4270.7892650296117,0.66180296525633087,0,-2.2655647517469908,0,-2.6707479309849838
54,211.35029354207447,4025.2809580917547,9.7553065504038248,0,-2.3247686898051785,0,-2.7724816542371715
55,215.2641878669277,3770.309237303908,-9.2992115599453058,0,-2.3902063775861397,0,-2.8761169424099609
56,219.17808219178093,3554.1111156562665,-7.0925680213376801,0,-2.4492584072917172,0,-2.9816537955033504
57,223.09197651663416,3367.722332412744,8.5544552801632552,0,-2.5031267513810267,0,-3.089092213517342
58,227.00587084148739,3162.1299192832048,-10.260989219961765,0,-2.5661175758566293,0,-3.198432196451936
59,230.91976516634062,2988.4131493892651,-11.386717011842936,0,-2.6226208742387094,0,-3.3096737443071307
60,234.83365949119386,2848.9799412021366,8.6177890337252059,0,-2.6704023866462867,0,-3.4228168570829278
61,238.74755381604709,2692.6497459786974,-0.43815790532259191,0,-2.7268376570279091,0,-3.5378615347793256
62,242.66144814090032,2566.6177402934368,9.5859314930391477,0,-2.7747744237056757,0,-3.6548077773963259
63,246.57534246575355,2437.7965351001812,6.5021649457403701,0,-2.8262688295760223,0,-3.7736555849339268
64,250.48923679060678,2302.90028904984,-12.122402338801887,0,-2.8831940777047711,0,-3.8944049573921329
65,254.40313111546001,2213.3794475460868,5.9686104527936727,0,-2.922842892154311,0,-4.0170558947709365
66,258.31702544031322,2119.724438917001,12.024613261823614,0,-2.9660773028995302,0,-4.1416083970703417
67,262.23091976516645,2016.804011222787,1.6267073403208629,0,-3.0158493156979915,0,-4.2680624642903489
68,266.14481409001968,1925.6114411851479,-3.5655077811828666,0,-3.0621198524022373,0,-4.3964180964309607
69,270.05870841487291,1831.7884423242476,-17.289195892936618,0,-3.1120706209891162,0,-4.526675293492171
70,273.97260273972614,1773.4661204043821,-0.83630183234824162,0,-3.1444275096828167,0,-4.6588340554739842
71,277.88649706457937,1700.6796374035034,-3.6376952871608119,0,-3.1863354436154809,0,-4.7928943823763994
