Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,446119.21093611373,-11.165945919949449,0,0,0,-0
1,3.9138943248532287,445894.76612296404,-9.5551478547902686,0,-0.00050323161667544653,0,-0.00027205147792267435
2,7.8277886497064575,445226.8218728769,-0.05753474866542331,0,-0.0020023410180764509,0,-0.0010882059116906974
3,11.741682974559687,444096.65423409693,-3.5679250306792616,0,-0.0045439769414324146,0,-0.0024484633013040704
4,15.655577299412915,442519.20686406345,-8.7473233756700406,0,-0.0081023365506077225,0,-0.0043528236467627896
5,19.569471624266143,440523.50222676189,8.4083340657387549,0,-0.012622407923409436,0,-0.0068012869480668595
6,23.483365949119371,438066.90173842001,-1.1438250631015257,0,-0.018214562991784967,0,-0.0097938532052162797
7,27.397260273972599,435197.21510036592,2.6511375684870702,0,-0.024786909003862614,0,-0.01333052241821104
8,31.311154598825826,431891.64533660881,-12.066301262392516,0,-0.032411469595928284,0,-0.017411294587051158
9,35.225048923679054,428209.38443405251,3.5751344930636653,0,-0.040973913477031693,0,-0.022036169711736626
10,39.138943248532286,424113.76292432914,1.3832537339038806,0,-0.050584477371735208,0,-0.027205147792267438
11,43.052837573385517,419629.5768016206,-6.5084495091324062,0,-0.061213843273398287,0,-0.032918228828643606
12,46.966731898238748,414776.52850190696,-14.131992355348128,0,-0.072846315741404585,0,-0.039175412820865126
13,50.88062622309198,409580.5958642714,-10.243058909337247,0,-0.08545250617422305,0,-0.045976699768931976
14,54.794520547945211,404044.67498124746,-7.6007735335004973,0,-0.099060751914920808,0,-0.053322089672844214
15,58.708414872798443,398199.8625268293,8.3959048880794676,0,-0.11363215900557821,0,-0.061211582532601755
16,62.622309197651674,392017.10929965746,-8.5537081425435275,0,-0.12928072038853197,0,-0.069645178348204689
17,66.536203522504906,385572.55660852831,-0.22841176524117865,0,-0.14585681581651835,0,-0.078622877119652948
18,70.450097847358137,378834.99435025867,-16.337793632727276,0,-0.16348546622571158,0,-0.088144678846946559
19,74.363992172211368,371876.79328126181,-3.4993266392446372,0,-0.18202360684191704,0,-0.098210583530085521
20,78.2778864970646,364683.16048935131,4.108482256087223,0,-0.2015572822470364,0,-0.10882059116906984
21,82.191780821917831,357265.61261731293,-1.689183612523417,0,-0.22210668732624997,0,-0.11997470176389949
22,86.105675146771063,349662.71512258309,-2.2331799155914807,0,-0.24361718662349577,0,-0.13167291531457451
23,90.019569471624294,341876.81060134916,-15.212146800410524,0,-0.26613573614520442,0,-0.14391523182109484
24,93.933463796477525,333978.38004509505,9.7870318562812759,0,-0.28950994492143317,0,-0.15670165128346059
25,97.847358121330757,325914.4798265869,-0.19768355751181926,0,-0.3139511902677124,0,-0.1700321737016717
26,101.76125244618399,317747.2993295748,-2.8624412696732526,0,-0.33932979472185665,0,-0.1839067990757281
27,105.67514677103722,309507.46786424657,12.749684860249255,0,-0.36560398476347855,0,-0.19832552740562981
28,109.58904109589045,301180.26831424161,12.539034650139701,0,-0.39287722186415663,0,-0.21328835869137688
29,113.50293542074368,292777.79836926743,-10.416671670577609,0,-0.42117225142841902,0,-0.22879529293296935
30,117.41682974559691,284358.06643990829,-16.697981430748502,0,-0.45035196405181493,0,-0.24484633013040713
31,121.33072407045015,275952.40495605383,6.9334360630182799,0,-0.48035780036386116,0,-0.26144147028369036
32,125.24461839530338,267535.68020665168,17.803639503137418,0,-0.51133326400781076,0,-0.27858071339281892
33,129.15851272015661,259094.18395779488,-14.727993287557231,0,-0.54339456517757689,0,-0.29626405945779272
34,133.07240704500984,250728.41593114758,-6.4375049702067386,0,-0.57621586030329175,0,-0.31449150847861196
35,136.98630136986307,242406.5618307853,-4.7148491729782878,0,-0.60996988131134178,0,-0.33326306045527643
36,140.9001956947163,234153.08846435923,0.069350428604382827,0,-0.64461107974612275,0,-0.35257871538778635
37,144.81409001956953,225979.95915886754,5.8119521477917466,0,-0.68013988634700895,0,-0.37243847327614166
38,148.72798434442277,217864.45807339772,-23.471017562069008,0,-0.71671308793482913,0,-0.39284233412034225
39,152.641878669276,209903.1366089471,-3.67588405815173,0,-0.75394003533522513,0,-0.41379029792038807
40,156.55577299412923,202055.70977624488,13.301906612664387,0,-0.79204275504974864,0,-0.43528236467627945
41,160.46966731898246,194309.61590800332,4.1392865173485456,0,-0.83113336023515527,0,-0.45731853438801617
42,164.38356164383569,186713.09083821534,7.1666161823847663,0,-0.87101304033997451,0,-0.47989880705559823
43,168.29745596868892,179256.2223078667,3.4242351533199833,0,-0.91177001350727838,0,-0.50302318267902546
44,172.21135029354215,171947.36751117499,-6.9223588315717208,0,-0.95339777825609939,0,-0.52669166125829803
45,176.12524461839539,164827.9833901395,10.241141813795016,0,-0.99568380021386838,0,-0.55090424279341632
46,180.03913894324862,157846.36726302118,-3.2921809865379155,0,-1.038964004514737,0,-0.57566092728437979
47,183.95303326810185,151053.43628864308,-2.2854215782193195,0,-1.08295254847967,0,-0.60096171473118842
48,187.86692759295508,144443.23738783083,2.4341875700753586,0,-1.1276995958664175,0,-0.62680660513384245
49,191.78082191780831,137998.73623201525,-10.25679540204338,0,-1.1733416780228711,0,-0.65319559849234188
50,195.69471624266154,131755.01677250344,-8.602430770607711,0,-1.2196419407329337,0,-0.68012869480668681
51,199.60861056751477,125698.97644640988,-8.2987063443627349,0,-1.266696232664954,0,-0.70760589407687668
52,203.522504892368,119840.02510615195,-1.8233972642275142,0,-1.3144284761329736,0,-0.7356271963029124
53,207.43639921722124,114168.72771110796,0.17586295223674112,0,-1.3629087835838942,0,-0.76419260148479307
54,211.35029354207447,108688.63338189761,0.67819741268460187,0,-1.4120989854434418,0,-0.79330210962251946
55,215.2641878669277,103402.32551246375,2.3057727580220369,0,-1.4619587531283418,0,-0.82295572071609124
56,219.17808219178093,98315.482919660964,11.350020282991091,0,-1.5124046838364775,0,-0.85315343476550798
57,223.09197651663416,93409.391850999862,10.247884682068172,0,-1.5635943100697653,0,-0.88389525177077011
58,227.00587084148739,88662.700620681499,-20.699868018742485,0,-1.6157469161278812,0,-0.91518117173187785
59,230.91976516634062,84168.883504681129,14.098596169734686,0,-1.6677609070291968,0,-0.94701119464883055
60,234.83365949119386,79812.315403748347,1.5641083914729998,0,-1.720908384482984,0,-0.97938532052162897
61,238.74755381604709,75664.504632933851,16.142687632525256,0,-1.7742770501270833,0,-1.0123035493502723
62,242.66144814090032,71652.988302724727,-11.335337044391595,0,-1.8287513450480415,0,-1.0457658811347614
63,246.57534246575355,67866.48026692748,11.456891523266854,0,-1.8830439559526804,0,-1.0797723158750956
64,250.48923679060678,64220.229741048737,3.6663490846737883,0,-1.9382679393376032,0,-1.1143228535712761
65,254.40313111546001,60744.922910152804,0.12756849917050381,0,-1.9939027001663518,0,-1.1494174942233009
66,258.31702544031322,57440.047050370253,4.6935907572607451,0,-2.0498444615374454,0,-1.1850562378311709
67,262.23091976516645,54290.022981410548,6.3363699809910852,0,-2.1062457341734993,0,-1.2212390843948864
68,266.14481409001968,51277.902417429847,-7.1866919623348959,0,-2.1633262981196184,0,-1.2579660339144478
69,270.05870841487291,48442.358497868452,7.6282932150282612,0,-2.220211598843592,0,-1.2952370863898541
70,273.97260273972614,45731.629110533795,3.9469331441934234,0,-2.2777960438167102,0,-1.3330522418211057
71,277.88649706457937,43166.155588571521,7.2086271954686421,0,-2.3355294526447219,0,-1.3714115002082032
72,281.8003913894326,40734.31662645271,10.835373402879142,0,-2.3935153078554827,0,-1.4103148615511454
73,285.71428571428584,38404.718739215845,-11.501328841154848,0,-2.452405869521296,0,-1.4497623258499333
74,289.62818003913907,36223.211862452095,-8.8868579937579266,0,-2.5108860803858173,0,-1.4897538931045666
75,293.5420743639923,34178.058264619438,11.98505358780279,0,-2.5690023384353995,0,-1.5302895633150453
76,297.45596868884553,32201.227159957481,-11.911862063331107,0,-2.6285816430172639,0,-1.571369336481369
77,301.36986301369876,30367.389638685869,-0.95868604946871683,0,-2.6872168820050621,0,-1.6129932126035378
78,305.28375733855199,28636.137137699036,9.3115214671061359,0,-2.7459167488803176,0,-1.6551611916815523
79,309.19765166340522,26979.241787736009,-4.5400210494540598,0,-2.8055184577669605,0,-1.6978732737154127
80,313.11154598825846,25434.095532464802,-0.43127115774975933,0,-2.8644955877148019,0,-1.7411294587051178
81,317.02544031311169,23982.055839225628,7.5752522409712055,0,-2.9232803280639059,0,-1.7849297466506688
82,320.93933463796492,22598.604258791427,-0.57863381212914278,0,-2.9826980594885719,0,-1.8292741375520647
83,324.85322896281815,21300.73560715458,-3.5658728634380124,0,-3.0418445977329189,0,-1.8741626314093058
84,328.76712328767138,20086.209944852588,0.57086195820166941,0,-3.1005526981848521,0,-1.9195952282223929
85,332.68101761252461,18944.869959724292,5.7308740604723818,0,-3.1590530250469029,0,-1.9655719279913251
86,336.59491193737784,17850.792791459644,-10.097198934432585,0,-3.2185382840723769,0,-2.0120927307161018
87,340.50880626223108,16833.592831356815,-13.535907547206376,0,-3.277209742180573,0,-2.0591576363967246
88,344.42270058708431,15893.7968451532,-0.44611257716779235,0,-3.334657307820557,0,-2.1067666450331921
