Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,7317.5585016894174,2.3764811103001096,0,0,0,-0
1,3.9138943248532287,7317.97160402585,9.4181267818416199,0,5.6451981384889524e-05,0,-0.0018531474312466819
2,7.8277886497064575,7287.8093769520037,-0.91005205464512173,0,-0.0040737304429230787,0,-0.0074125897249867276
3,11.741682974559687,7268.452588222528,12.618815842865899,0,-0.0067333143643477237,0,-0.016678326881220142
4,15.655577299412915,7195.9162792414918,-14.233913956248349,0,-0.016763052642516652,0,-0.02965035889994691
5,19.569471624266143,7156.961744950062,4.9437181879214958,0,-0.02219118069794293,0,-0.046328685781167049
6,23.483365949119371,7064.8094718141001,-17.067133241014297,0,-0.035150686439714522,0,-0.066713307524880569
7,27.397260273972599,7009.4585567952436,9.210328120708045,0,-0.043016274941301696,0,-0.090804224131087394
8,31.311154598825826,6901.3200646877303,-6.4098683403625376,0,-0.058564027288535069,0,-0.11860143559978764
9,35.225048923679054,6802.3662660636783,-2.6179789493913845,0,-0.073006202362032355,0,-0.15010494193098126
10,39.138943248532286,6682.1025590658037,-10.626588069195824,0,-0.090844041941508136,0,-0.1853147431246682
11,43.052837573385517,6573.1199622181603,1.3924819759312914,0,-0.10728813444573193,0,-0.22423083918084855
12,46.966731898238748,6461.3854021617708,18.609378701039603,0,-0.12443298097593258,0,-0.26685323009952228
13,50.88062622309198,6305.0537789958762,-1.6407114321094642,0,-0.1489252353569209,0,-0.31318191588068933
14,54.794520547945211,6168.8055131277015,4.4908384220370881,0,-0.17077151106872474,0,-0.36321689652434991
15,58.708414872798443,6012.4444686537208,-4.0254960285773231,0,-0.19644533490999314,0,-0.41695817203050362
16,62.622309197651674,5847.001382558552,-16.984047388887895,0,-0.22434778866691152,0,-0.47440574239915095
17,66.536203522504906,5720.8940366686656,13.225378874315847,0,-0.24615164102145617,0,-0.53555960763029153
18,70.450097847358137,5551.8307759273957,3.5292848268976167,0,-0.27614899141665461,0,-0.60041976772392547
19,74.363992172211368,5395.8721190382785,9.2393306777978221,0,-0.30464249546634486,0,-0.6689862226800527
20,78.2778864970646,5226.6172895108039,3.2449953211674738,0,-0.33651245526686696,0,-0.74125897249867334
21,82.191780821917831,5062.6039433269307,3.4182680422316896,0,-0.368395770079397,0,-0.81723801717978739
22,86.105675146771063,4867.1835382822637,-27.507205429241797,0,-0.40776129341344575,0,-0.89692335672339496
23,90.019569471624294,4734.8371844655985,4.3823269429478469,0,-0.43532939381015467,0,-0.98031499112949538
24,93.933463796477525,4566.8232035550527,-0.17025547691515874,0,-0.47145891258724304,0,-1.06741292039809
25,97.847358121330757,4395.2738436962372,-9.4958407124599837,0,-0.50974689711214949,0,-1.1582171445291778
26,101.76125244618399,4230.4467644267115,-13.748190848875407,0,-0.54796912876769999,0,-1.2527276635227584
27,105.67514677103722,4100.0130061534092,14.382561939426093,0,-0.57928658837870228,0,-1.3509444773788324
28,109.58904109589045,3927.1104053563267,-2.2788864746756139,0,-0.6223728446884208,0,-1.4528675860973999
29,113.50293542074368,3794.2241034211033,18.484659929322625,0,-0.6567967966985595,0,-1.5584969896784608
30,117.41682974559691,3636.2382464608827,11.331277510354557,0,-0.69932703581868871,0,-1.6678326881220151
31,121.33072407045015,3479.702207382611,2.6224796273696986,0,-0.7433300167828355,0,-1.7808746814280634
32,125.24461839530338,3340.9018935606487,8.4906464274744948,0,-0.78403593576669439,0,-1.8976229695966049
33,129.15851272015661,3181.3713717875107,-9.653314856275518,0,-0.83296438149572327,0,-2.0180775526276387
34,133.07240704500984,3048.168331725155,-4.8484429433811158,0,-0.87573587107307482,0,-2.142238430521167
35,136.98630136986307,2931.2145318624398,12.752916686573295,0,-0.91485988118150985,0,-2.2701056032771878
36,140.9001956947163,2769.4326420473485,-17.981636443643264,0,-0.97163425746176824,0,-2.4016790708957023
37,144.81409001956953,2657.8689859501455,-2.0451203842016756,0,-1.0127520657029321,0,-2.5369588333767106
38,148.72798434442277,2535.3810143758269,-0.60666412161365779,0,-1.0599328070385425,0,-2.6759448907202117
39,152.641878669276,2420.5311485847487,4.879743020832815,0,-1.1062897353444616,0,-2.8186372429262061
40,156.55577299412923,2307.9478700295072,9.0341415557145783,0,-1.1539179725680286,0,-2.9650358899946943
41,160.46966731898246,2165.925808703731,-19.851112257895117,0,-1.2174288390003336,0,-3.1151408319256761
42,164.38356164383569,2077.6415066327786,1.403002080787719,0,-1.2590433749859908,0,-3.2689520687191513
43,168.29745596868892,1971.4555146154703,1.1632170734423426,0,-1.3115046244680821,0,-3.4264696003751189
44,172.21135029354215,1853.8112414405339,-14.11788757468141,0,-1.3730330838767006,0,-3.5876934268935798
45,176.12524461839539,1781.5548149337903,12.417558645506965,0,-1.4127902597483633,0,-3.7526235482745358
46,180.03913894324862,1672.4820395280594,-1.4204897395751797,0,-1.4759679600516078,0,-3.9212599645179842
47,183.95303326810185,1597.1572790276475,14.948930982186114,0,-1.5220513858829587,0,-4.0936026756239263
48,187.86692759295508,1490.7198707038383,-3.3155901384468098,0,-1.5910175963305333,0,-4.2696516815923609
49,191.78082191780831,1408.9452105031517,-0.41643780850355228,0,-1.6474353875334495,0,-4.4494069824232882
50,195.69471624266154,1337.3109016969429,9.1495641698840089,0,-1.6996159264326391,0,-4.6328685781167112
51,199.60861056751477,1255.7551682438523,5.3499832736042254,0,-1.7625396150138921,0,-4.8200364686726243
52,203.522504892368,1172.9804009607888,-3.0792618946259815,0,-1.8307288732580473,0,-5.0109106540910338
53,207.43639921722124,1105.7949746486261,0.70829716663464115,0,-1.8897122239442361,0,-5.2054911343719352
54,211.35029354207447,1031.1767913744359,-6.2664509544787226,0,-1.9595760683520054,0,-5.4037779095153322
55,215.2641878669277,954.28063147810235,-18.800591104436705,0,-2.0370742221328171,0,-5.6057709795212212
56,219.17808219178093,916.10470170512087,4.1575397108332002,0,-2.0779013519850587,0,-5.8114703443896021
