Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,970815.98358680739,-0.87382177331641619,0,0,0,-0
1,3.9138943248532287,970761.92530658038,-29.542351261096989,0,-5.5684894222701316e-05,0,-1.4068478038983161e-05
2,7.8277886497064575,970726.4387199498,11.135947894058431,0,-9.2240958417726988e-05,0,-5.6273912155932643e-05
3,11.741682974559687,970593.66978591552,5.2939366889400619,0,-0.00022902307246425537,0,-0.00012661630235084851
4,15.655577299412915,970407.05827033077,-3.6504446968987381,0,-0.0004213068912824345,0,-0.00022509564862373057
5,19.569471624266143,970189.9094026247,7.5774863194288322,0,-0.00064510283884875212,0,-0.00035171195097457908
6,23.483365949119371,969893.88100506901,-9.4037069256825134,0,-0.00095027357561459111,0,-0.00050646520940339393
7,27.397260273972599,969565.23256640835,-8.3824950351881107,0,-0.0012891808920994746,0,-0.00068935542391017476
8,31.311154598825826,969196.56665518589,3.1870450376037396,0,-0.0016694915788625516,0,-0.00090038259449492228
9,35.225048923679054,968752.65090932208,-9.9927635839168154,0,-0.002127620976273547,0,-0.0011395467211576362
10,39.138943248532286,968285.04380688944,3.5625924811680143,0,-0.0026104273902030047,0,-0.0014068478038983163
11,43.052837573385517,967738.290294145,-11.684533112418427,0,-0.0031752486066102957,0,-0.0017022858427169628
12,46.966731898238748,967174.16298660054,5.9472791594148866,0,-0.0037583523254086214,0,-0.0020258608376135761
13,50.88062622309198,966528.18745174329,-8.1161755076957292,0,-0.0044264753783081635,0,-0.002377572788588155
14,54.794520547945211,965862.51146487508,8.164559198982408,0,-0.0051154416557519971,0,-0.0027574216956407016
15,58.708414872798443,965105.47573970258,-16.986636570455097,0,-0.0058995414119107272,0,-0.0031654075587712127
16,62.622309197651674,964324.28507702693,-16.490275506753285,0,-0.006709304712163292,0,-0.0036015303779796922
17,66.536203522504906,963506.46165746124,-2.9579332911857033,0,-0.0075577437880625653,0,-0.0040657901532661364
18,70.450097847358137,962625.85869914968,-2.678551284241308,0,-0.0084721181644845968,0,-0.0045581868846305482
19,74.363992172211368,961696.21316013415,-2.0656920802983927,0,-0.0094383240038637753,0,-0.0050787205720729256
20,78.2778864970646,960714.52859557222,-4.2746377971044582,0,-0.010459629834682745,0,-0.0056273912155932687
21,82.191780821917831,959697.86318372469,7.585682842199958,0,-0.011518428987591516,0,-0.0062041988151915793
22,86.105675146771063,958626.42606503691,13.549082926999363,0,-0.012635484363583327,0,-0.0068091433708678565
23,90.019569471624294,957485.50539920351,-1.2797738666663505,0,-0.013826355086669757,0,-0.0074422248826220968
24,93.933463796477525,956306.02030882111,-6.1733755461760573,0,-0.015058971308316902,0,-0.0081034433504543098
25,97.847358121330757,955061.46055399254,-27.841630786350763,0,-0.016361243051639999,0,-0.0087927987743644867
26,101.76125244618399,953824.76072681416,6.4423842872939741,0,-0.017656972452813797,0,-0.0095102911543526285
27,105.67514677103722,952493.50343307678,-5.9543311794300102,0,-0.01905365162771791,0,-0.010255920490418735
28,109.58904109589045,951133.88303745445,0.93910569591899806,0,-0.020482104103737984,0,-0.011029686782562808
29,113.50293542074368,949717.2266905061,-1.7814459365420077,0,-0.021972653891656663,0,-0.01183159003078485
30,117.41682974559691,948254.8646534601,-3.0247581487837576,0,-0.023513627368656011,0,-0.012661630235084856
31,121.33072407045015,946759.67555865285,9.8410961225572482,0,-0.025091651572007618,0,-0.013519807395462834
32,125.24461839530338,945195.82627580885,0.72868141938301334,0,-0.026744808464423883,0,-0.014406121511918777
33,129.15851272015661,943593.04381886206,-0.89681921311969781,0,-0.028441962515928332,0,-0.015320572584452678
34,133.07240704500984,941937.93404417217,-8.6988297413807576,0,-0.030197553083489898,0,-0.016263160613064556
35,136.98630136986307,940250.28306915553,-3.1678841535188544,0,-0.031990839654880865,0,-0.017233885597754392
36,140.9001956947163,938508.76681622828,-5.9120021480863807,0,-0.033844740773095378,0,-0.018232747538522196
37,144.81409001956953,936720.54696981097,-10.06064975822127,0,-0.035751942602026895,0,-0.019259746435367972
38,148.72798434442277,934904.48517249827,2.9495411528629178,0,-0.037692568887815872,0,-0.020314882288291709
39,152.641878669276,933039.92875700537,12.160591092803303,0,-0.039688942035598265,0,-0.021398155097293408
40,156.55577299412923,931106.31043947861,-3.3070456002585558,0,-0.04176347778858306,0,-0.022509564862373082
41,160.46966731898246,929154.03892610094,6.63621585654922,0,-0.043862401448131985,0,-0.023649111583530724
42,164.38356164383569,927138.90826810536,-2.5414624759074993,0,-0.046033536615803693,0,-0.024816795260766331
43,168.29745596868892,925093.48959887249,1.3984894411976945,0,-0.048242135820780088,0,-0.026012615894079896
44,172.21135029354215,922998.40415926115,-1.2618296950994905,0,-0.050509432532802899,0,-0.027236573483471426
45,176.12524461839539,920865.84239310527,1.3224000082865592,0,-0.052822577571570328,0,-0.028488668028940938
46,180.03913894324862,918693.74278765218,6.7376587983546088,0,-0.055184121750312565,0,-0.029768899530488412
47,183.95303326810185,916466.5389655123,-0.94072043666544558,0,-0.057611381034163987,0,-0.031077267988113846
48,187.86692759295508,914219.60344099638,13.295306077543076,0,-0.060066129120975309,0,-0.032413773401817246
49,191.78082191780831,911913.12342314562,9.2623995055981769,0,-0.062592211930191821,0,-0.033778415771598611
50,195.69471624266154,909573.27782822703,12.762955848209652,0,-0.065161373995131458,0,-0.035171195097457947
51,199.60861056751477,907178.48366837762,1.8316010162039367,0,-0.067797722667146093,0,-0.036592111379395241
52,203.522504892368,904752.38479085057,-0.27596210609878263,0,-0.070475639766085674,0,-0.038041164617410514
53,207.43639921722124,902276.19397841871,-12.740744034279706,0,-0.073216263120267064,0,-0.039518354811503745
54,211.35029354207447,899782.18504514208,-3.6882624017567958,0,-0.075984220645557751,0,-0.041023681961674954
55,215.2641878669277,897241.54774908093,-2.333517419188027,0,-0.078811828253040214,0,-0.042557146067924129
56,219.17808219178093,894658.06531817396,-5.3033529399843342,0,-0.081695342711250674,0,-0.044118747130251254
57,223.09197651663416,892058.50962505513,13.758832594353008,0,-0.08460521388371707,0,-0.045708485148656344
58,227.00587084148739,889374.29470429721,-14.15328118952171,0,-0.087618762242790638,0,-0.04732636012313942
59,230.91976516634062,886700.52123620419,5.6356636867542278,0,-0.090629643838542356,0,-0.048972372053700447
60,234.83365949119386,883973.54926842579,9.0555427309975389,0,-0.093709797514682489,0,-0.050646520940339446
61,238.74755381604709,881210.98504693527,13.277698528881203,0,-0.096839857203346202,0,-0.052348806783056402
62,242.66144814090032,878397.29509098304,2.3291352310549467,0,-0.10003794667116858,0,-0.054079229581851337
63,246.57534246575355,875550.50988564559,-6.2036684419636225,0,-0.10328409538447524,0,-0.055837789336724224
64,250.48923679060678,872668.9766064916,-14.42191321859471,0,-0.10658063327451195,0,-0.05762448604767513
65,254.40313111546001,869763.64700409363,-11.826472601856111,0,-0.10991543343322945,0,-0.059439319714703946
66,258.31702544031322,866837.09380135534,3.6986273681676209,0,-0.1132858753597038,0,-0.061282290337810713
67,262.23091976516645,863843.91887147946,-13.70549025525612,0,-0.11674483503194094,0,-0.063153397916995466
68,266.14481409001968,860831.40678804542,-17.218878914176678,0,-0.12023826373976715,0,-0.065052642452258225
69,270.05870841487291,857824.52251790767,17.655049318112034,0,-0.12373737870145349,0,-0.066980023943598907
70,273.97260273972614,854728.74547581386,-4.0762960817600051,0,-0.12735277621585667,0,-0.068935542391017568
71,277.88649706457937,851634.59241056407,7.6283281567730397,0,-0.13097938537677459,0,-0.070919197794514208
72,281.8003913894326,848492.48174238438,2.7084630646155023,0,-0.13467571407297974,0,-0.072930990154088784
73,285.71428571428584,845310.49700466299,-11.234483803741506,0,-0.13843292612289521,0,-0.074970919469741354
74,289.62818003913907,842131.2116258574,7.8876709541526502,0,-0.14220110267616445,0,-0.077038985741471888
75,293.5420743639923,838876.53772973444,-18.501185391733912,0,-0.14607339650022744,0,-0.079135188969280387
76,297.45596868884553,835641.23047929385,3.8630102772076853,0,-0.14993756723357321,0,-0.081259529153166837
77,301.36986301369876,832371.92669303087,21.123241526552555,0,-0.15385756985305168,0,-0.083412006293131252
78,305.28375733855199,829034.94433403388,-0.89897001503402274,0,-0.15787463142241878,0,-0.085592620389173632
79,309.19765166340522,825684.51039238542,-8.4755535705944176,0,-0.16192418618010873,0,-0.087801371441294018
80,313.11154598825846,822333.21798070369,10.485335121832779,0,-0.1659912504761579,0,-0.090038259449492328
81,317.02544031311169,818914.85369893233,-10.733192540220939,0,-0.17015682335171425,0,-0.092303284413768644
82,320.93933463796492,815502.91718568897,0.8629221913661691,0,-0.17433193883358389,0,-0.094596446334122897
83,324.85322896281815,812045.03566507937,-7.6066389226620981,0,-0.17858113679720647,0,-0.096917745210555115
84,328.76712328767138,808579.31421751215,1.4538284680497213,0,-0.18285816340242519,0,-0.099267181043065325
85,332.68101761252461,805077.7787267298,-0.4408730170268787,0,-0.1871980457751054,0,-0.10164475383165349
86,336.59491193737784,801565.96356334607,11.730969520198267,0,-0.19156966925805813,0,-0.10405046357631959
87,340.50880626223108,797996.43562677945,-9.9778505555689883,0,-0.19603280725588751,0,-0.10648431027706368
88,344.42270058708431,794441.10637961631,5.8287029646658208,0,-0.20049808147952938,0,-0.1089462939338857
89,348.33659491193754,790859.59561707673,18.253806284398699,0,-0.20501648843080439,0,-0.11143641454678575
90,352.25048923679077,787234.8280918363,9.7045277821779763,0,-0.20961035030042063,0,-0.11395467211576375
91,356.164383561644,783579.18384073488,-7.9577183297357159,0,-0.2142648171220867,0,-0.11650106664081972
92,360.07827788649723,779937.14344840462,9.2282181429491636,0,-0.21892360694870469,0,-0.11907559812195365
93,363.99217221135046,776254.32280733553,6.3581094848031743,0,-0.22365673599650315,0,-0.12167826655916551
94,367.9060665362037,772529.40140839783,-18.409233885063085,0,-0.22846686993938226,0,-0.12430907195245539
95,371.81996086105693,768819.5776100544,-8.3965692539209016,0,-0.23328061557720442,0,-0.1269680143018232
96,375.73385518591016,765071.92829643306,-17.048439194631744,0,-0.23816708473914203,0,-0.12965509360726898
97,379.64774951076339,761340.24723749689,8.9073123096746549,0,-0.2430565746858587,0,-0.13237030986879272
98,383.56164383561662,757548.65062742645,-6.9347987462185827,0,-0.2480491774907132,0,-0.13511366308639444
99,387.47553816046985,753762.21573804889,-0.019120674945925863,0,-0.25305998353489928,0,-0.13788515326007414
100,391.38943248532308,749953.26157317124,1.4519097462521255,0,-0.25812605137653577,0,-0.14068478038983179
101,395.30332681017632,746136.88889978931,12.057919197924463,0,-0.26322785750769645,0,-0.14351254447566744
102,399.21722113502955,742278.23233222321,-3.5871981966121473,0,-0.26841278899225313,0,-0.14636844551758096
103,403.13111545988278,738421.3756432134,-1.9198507914623457,0,-0.27362230669707127,0,-0.14925248351557255
104,407.04500978473601,734536.80346401699,-12.974931268188952,0,-0.27889683687754979,0,-0.15216465846964206
105,410.95890410958924,730681.48612369655,19.699139740374424,0,-0.2841592967648956,0,-0.15510497037978957
106,414.87279843444247,726761.3622580606,1.5231387003530843,0,-0.28953876440382537,0,-0.15807341924601498
107,418.7866927592957,722840.508870497,-3.9427849246565865,0,-0.29494833654515829,0,-0.16107000506831842
108,422.70058708414894,718907.79480656527,-8.3455200733400368,0,-0.30040382944612454,0,-0.16409472784669982
109,426.61448140900217,714967.91881467495,-7.5008204996020345,0,-0.30589926516590338,0,-0.16714758758115916
110,430.5283757338554,711021.89921952772,-0.90351955948549501,0,-0.31143370814364679,0,-0.17022858427169651
111,434.44227005870863,707056.92217542301,-1.879166291151966,0,-0.31702576313622455,0,-0.17333771791831173
112,438.35616438356186,703073.64873048896,-10.276851775087454,0,-0.32267528825349856,0,-0.17647498852100502
113,442.27005870841509,699086.97566660214,-11.708261026669085,0,-0.32836177486182633,0,-0.17964039607977619
114,446.18395303326832,695101.71891779522,-1.864147664696669,0,-0.33407874505202911,0,-0.18283394059462538
115,450.09784735812156,691105.11493357318,5.9871350381518145,0,-0.3398450058443766,0,-0.18605562206555254
116,454.01174168297479,687083.25495845021,-2.5659819768591516,0,-0.34568146692588259,0,-0.18930544049255768
117,457.92563600782802,683066.58976427244,2.4265517301613841,0,-0.35154458724970555,0,-0.1925833958756408
118,461.83953033268125,679026.07606145553,-8.5770810572187699,0,-0.35747740761619795,0,-0.19588948821480179
119,465.75342465753448,674991.13591970783,-6.6510442915391446,0,-0.36343737924711089,0,-0.19922371751004081
120,469.66731898238771,670982.58779391425,28.52927599576644,0,-0.36939375106411965,0,-0.20258608376135778
121,473.58121330724094,666904.40787581133,0.44872070063267322,0,-0.37549021894580253,0,-0.20597658696875276
122,477.49510763209418,662877.48245029314,29.50480978845053,0,-0.3815467576373458,0,-0.20939522713222561
123,481.40900195694741,658799.04823827185,12.448179510550963,0,-0.38771838445010415,0,-0.21284200425177652
124,485.32289628180064,654732.51513917884,12.205417735407401,0,-0.39391015966797738,0,-0.21631691832740535
125,489.23679060665387,650638.4170818968,-11.169993841256197,0,-0.40018287707023781,0,-0.21981996935911216
126,493.1506849315071,646584.54428592941,9.6346711962149456,0,-0.40643297610996337,0,-0.22335115734689689
127,497.06457925636033,642497.76857778546,1.0167885003537409,0,-0.41277359432995253,0,-0.22691048229075964
128,500.97847358121356,638416.6503136066,1.0653921244053124,0,-0.41914581094881892,0,-0.23049794419070052
129,504.8923679060668,634319.59935355687,-12.277766188225199,0,-0.42558401071432467,0,-0.23411354304671911
130,508.80626223092003,630248.12827928562,2.0350837343425785,0,-0.4320233418057593,0,-0.23775727885881578
131,512.7201565557732,626168.16065066168,9.4660688345669914,0,-0.43851797579887125,0,-0.24142915162699036
132,516.63405088062643,622075.53182722826,5.3925742179142357,0,-0.4450754188900875,0,-0.24512916135124285
133,520.54794520547966,617976.9374705723,-3.944176229219563,0,-0.45168579931003849,0,-0.24885730803157341
134,524.4618395303329,613909.43112990877,18.058542294583415,0,-0.45828952709867471,0,-0.25261359166798186
135,528.37573385518613,609797.85978451022,-4.1994272378427633,0,-0.4650094132153218,0,-0.25639801226046838
136,532.28962818003936,605701.81720657262,-11.567687714406677,0,-0.47174912390426182,0,-0.2602105698090329
137,536.20352250489259,601639.52848551713,13.739307783685184,0,-0.47847846199122307,0,-0.26405126431367532
138,540.11741682974582,597529.84918447793,-9.8585179301086789,0,-0.48533269871064039,0,-0.26792009577439563
139,544.03131115459905,593453.21241346409,-2.3597251259173331,0,-0.49217856045913,0,-0.271817064191194
140,547.94520547945228,589355.1143125206,-18.695807931295995,0,-0.49910802554099687,0,-0.27574216956407027
141,551.85909980430552,585309.55070523918,14.70552348414116,0,-0.50599608427471854,0,-0.27969541189302455
142,555.77299412915875,581225.22332551214,6.1266321706498461,0,-0.51299860860633628,0,-0.28367679117805683
143,559.68688845401198,577145.73919701669,-1.2406054002640583,0,-0.52004212251700088,0,-0.28768630741916701
144,563.60078277886521,573078.91910225619,0.013728620611085042,0,-0.52711350115938393,0,-0.29172396061635514
145,567.51467710371844,569010.92194891488,-4.3579830697974096,0,-0.53423730913119727,0,-0.29578975076962122
146,571.42857142857167,564958.00787872798,1.5022712419734761,0,-0.54138553201674777,0,-0.29988367787896542
147,575.3424657534249,560898.59282468655,-4.3872570156211639,0,-0.54859681033255814,0,-0.30400574194438751
148,579.25636007827814,556861.56767263508,6.471136570158091,0,-0.55582026103056659,0,-0.30815594296588755
149,583.17025440313137,552807.28530519851,-5.9582968146305912,0,-0.56312748677920865,0,-0.31233428094346549
150,587.0841487279846,548775.98684894247,-1.818464017979984,0,-0.57044661834997012,0,-0.31654075587712155
151,590.99804305283783,544760.30829672364,11.147238656129577,0,-0.57779104143073667,0,-0.32077536776685539
152,594.91193737769106,540725.11863045208,-2.5669073924067289,0,-0.58522588699180211,0,-0.32503811661266735
153,598.82583170254429,536720.22153438546,6.4728128211753821,0,-0.59265998205209269,0,-0.3293290024145572
154,602.73972602739752,532711.76647344104,4.0506669511276545,0,-0.60015643601596491,0,-0.33364802517252501
155,606.65362035225075,528699.47744177934,-10.469737140988578,0,-0.60771676320493939,0,-0.33799518488657082
156,610.56751467710399,524724.00798995479,3.209612918935862,0,-0.61526451276594218,0,-0.34237048155669453
157,614.48140900195722,520744.47520133661,3.8551457788734353,0,-0.62287746728873361,0,-0.34677391518289635
