Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,950796.42479827965,-14.465288217692221,0,0,0,-0
1,3.9138943248532287,950580.33621081698,12.641019047709392,0,-0.00022729697009481837,0,-0.00010865615441276995
2,7.8277886497064575,949841.7978804959,3.3100158020711481,0,-0.001004533094902661,0,-0.0004346246176510798
3,11.741682974559687,948618.36073278473,-6.038460001303207,0,-0.0022934064078603492,0,-0.00097790538971492987
4,15.655577299412915,946931.56469060562,4.2536444835024581,0,-0.0040731500746429179,0,-0.0017384984706043192
5,19.569471624266143,944750.96079535235,1.109619030054235,0,-0.0063786160624416215,0,-0.002716403860319249
6,23.483365949119371,942088.5278666761,-6.8585136646628424,0,-0.009200726487531511,0,-0.0039116215588597195
7,27.397260273972599,938965.89977885445,-2.1139753140430608,0,-0.012520812190863033,0,-0.0053241515662257261
8,31.311154598825826,935369.3909908341,-3.1590776424077385,0,-0.016358453427938277,0,-0.0069539938824172767
9,35.225048923679054,931303.94322399958,-10.576081074482781,0,-0.020714281649414832,0,-0.0088011485074343671
10,39.138943248532286,926793.45456917444,-6.6838304706839304,0,-0.025569245140329929,0,-0.010865615441276996
11,43.052837573385517,921847.11503371573,10.813791035232839,0,-0.03092058430354323,0,-0.013147394683945166
12,46.966731898238748,916427.77125204937,-2.7897445971313015,0,-0.036816720427815995,0,-0.015646486235438878
13,50.88062622309198,910602.96093414945,11.85014077872845,0,-0.043193000749970671,0,-0.018362890095758127
14,54.794520547945211,904324.23323606723,-2.5296451123700385,0,-0.050112014103848884,0,-0.021296606264902925
15,58.708414872798443,897640.18251674576,-6.7437798854286646,0,-0.05753067489031008,0,-0.024447634742873248
16,62.622309197651674,890532.02965453488,-29.553486048545938,0,-0.065480905023302116,0,-0.027815975529669128
17,66.536203522504906,883071.30397509795,-9.9595678129261831,0,-0.073894025977849831,0,-0.031401628625290542
18,70.450097847358137,875213.16016033676,-3.8592440131430772,0,-0.082832506974287248,0,-0.035204594029737496
19,74.363992172211368,866975.8465677707,-4.5504399440334566,0,-0.09228885751276393,0,-0.039224871743009981
20,78.2778864970646,858382.93085780367,-0.47773626536384295,0,-0.10224966899124663,0,-0.043462461765108019
21,82.191780821917831,849449.9676566961,11.464654329118467,0,-0.11271093212288466,0,-0.047917364096031582
22,86.105675146771063,840154.91812249541,-3.6173510339313446,0,-0.12371367410600741,0,-0.052589578735780705
23,90.019569471624294,830571.68728713004,14.950565145107401,0,-0.13518573172055257,0,-0.057479105684355339
24,93.933463796477525,820648.61102033593,1.929641111537832,0,-0.14720495863470712,0,-0.062585944941755553
25,97.847358121330757,810450.64085011114,8.3849350189752077,0,-0.1597095355836726,0,-0.067910096507981313
26,101.76125244618399,799953.9005908391,-3.7255523088501548,0,-0.17274587352909007,0,-0.073451560383032577
27,105.67514677103722,789214.22438179911,7.0199651243557586,0,-0.18626217749066204,0,-0.079210336566909373
28,109.58904109589045,778226.19780965871,20.581187999090297,0,-0.20028275066836065,0,-0.085186425059611715
29,113.50293542074368,766970.65107396326,2.9820016088153545,0,-0.2148514392111798,0,-0.091379825861139616
30,117.41682974559691,755501.96607337752,-6.3493405913468814,0,-0.22991759121852659,0,-0.097790538971493035
31,121.33072407045015,743836.77768787334,-5.8459475754338364,0,-0.24547834933863166,0,-0.10441856439067204
32,125.24461839530338,731979.9921534746,-5.7511399068476816,0,-0.26154679481113829,0,-0.11126390211867658
33,129.15851272015661,719970.98330196959,18.11025625999315,0,-0.27808906504671621,0,-0.11832655215550661
34,133.07240704500984,707759.22031151329,-0.0082797134206047032,0,-0.29519602372905906,0,-0.12560651450116223
35,136.98630136986307,695431.614031201,11.602923450783448,0,-0.31276729508511364,0,-0.13310378915564333
36,140.9001956947163,682953.28851462796,2.9122361678491897,0,-0.33087350967629736,0,-0.14081837611895001
37,144.81409001956953,670370.95564184384,5.5516496901546724,0,-0.34946875096912366,0,-0.14875027539108227
38,148.72798434442277,657681.70274981938,1.6339506420837657,0,-0.36857889540991517,0,-0.15689948697204001
39,152.641878669276,644903.00961999199,-6.2015804809632424,0,-0.3882000424687404,0,-0.16526601086182324
40,156.55577299412923,632076.04755342135,8.5377107332726041,0,-0.40829025995993717,0,-0.17384984706043211
41,160.46966731898246,619176.79543145234,7.3407439112980741,0,-0.4289091287803195,0,-0.18265099556786651
42,164.38356164383569,606230.35052383575,1.029305146887342,0,-0.45003994505587108,0,-0.19166945638412644
43,168.29745596868892,593261.25396412972,0.10821985486193378,0,-0.47166511011967693,0,-0.20090522950921189
44,172.21135029354215,580284.02035323309,5.3185051246043056,0,-0.49378230132971451,0,-0.21035831494312282
45,176.12524461839539,567298.41028082452,2.9322437677662889,0,-0.5164145132014778,0,-0.22002871268585944
46,180.03913894324862,554324.23996960919,-0.41665725483121963,0,-0.53955018902877594,0,-0.22991642273742155
47,183.95303326810185,541397.30413560534,18.210232485562553,0,-0.56314657753925479,0,-0.24002144509780915
48,187.86692759295508,528475.47835096437,4.1767623570730157,0,-0.58730356962044439,0,-0.25034377976702227
49,191.78082191780831,515621.30136814498,7.8717253664626741,0,-0.61192739131620977,0,-0.26088342674506099
50,195.69471624266154,502829.08325491019,11.832841251793784,0,-0.63704965764064159,0,-0.27164038603192525
51,199.60861056751477,490098.07523964415,3.9310826162340073,0,-0.66269445064830768,0,-0.28261465762761495
52,203.522504892368,477454.56096528942,-0.52496715311799236,0,-0.688830980164583,0,-0.29380624153213031
53,207.43639921722124,464900.9759843403,-9.6578960565930512,0,-0.71547554723836337,0,-0.3052151377454711
54,211.35029354207447,452462.42750332755,-8.4913764959704068,0,-0.74259524872450355,0,-0.3168413462676376
55,215.2641878669277,440135.17813832575,-10.457441827825456,0,-0.7702180725046035,0,-0.3286848670986296
56,219.17808219178093,427946.12914635858,2.0943489905327515,0,-0.79830265409574863,0,-0.34074570023844702
57,223.09197651663416,415874.28271049244,-0.6345483199984604,0,-0.8269169657099561,0,-0.35302384568709
58,227.00587084148739,403931.04802370432,-15.580653455564493,0,-0.85605578508905678,0,-0.36551930344455863
59,230.91976516634062,392164.20182286156,-2.8543067761931429,0,-0.88561934099024231,0,-0.37823207351085264
60,234.83365949119386,380531.82666934229,-11.799045346140389,0,-0.91573015713680561,0,-0.39116215588597236
61,238.74755381604709,369073.97903563333,-9.3224187943317283,0,-0.94630286613774961,0,-0.40430955056991746
62,242.66144814090032,357809.74087428709,17.155466475589815,0,-0.97729858021599159,0,-0.41767425756268817
63,246.57534246575355,346684.97750360623,7.4585475020325456,0,-1.0088834534808873,0,-0.43125627686428442
64,250.48923679060678,335740.93878158706,-2.7464377288222943,0,-1.0409601282283549,0,-0.44505560847470649
65,254.40313111546001,324990.09465742286,-6.1179020721601693,0,-1.0735052713871107,0,-0.45907225239395372
66,258.31702544031322,314452.21241873706,12.43329437567567,0,-1.1064678584741239,0,-0.47330620862202644
67,262.23091976516645,304065.85853328137,-12.759849275634565,0,-1.1400556574199303,0,-0.48775747715892476
68,266.14481409001968,293912.12262306007,-4.4029768561532237,0,-1.1740191552594943,0,-0.5024260580046489
69,270.05870841487291,283962.4571205746,5.5919160637703547,0,-1.2084579390897281,0,-0.51731195115919837
70,273.97260273972614,274198.00764165976,-4.571345236815227,0,-1.2434494742505064,0,-0.53241515662257333
71,277.88649706457937,264660.33547872084,4.1403978361551017,0,-1.2788527243473538,0,-0.547735674394774
72,281.8003913894326,255327.33231896191,7.4946495994697004,0,-1.3147535971461861,0,-0.56327350447580005
73,285.71428571428584,246175.08999021642,-20.147368891073363,0,-1.3512569445875864,0,-0.5790286468656517
74,289.62818003913907,237287.66845557329,3.9262873171763504,0,-1.3880267792369989,0,-0.59500110156432906
75,293.5420743639923,228572.92155126334,-13.407518729873825,0,-1.4254446843372204,0,-0.6111908685718318
76,297.45596868884553,220111.83263261229,8.2165963833980911,0,-1.4631642279306278,0,-0.62759794788816003
77,301.36986301369876,211848.92197406461,13.047448672443336,0,-1.5014265868440455,0,-0.64422233951331365
78,305.28375733855199,203778.43991895361,-4.6024401476543568,0,-1.5402666504706606,0,-0.66106404344729297
79,309.19765166340522,195933.86785279002,-10.869080473588122,0,-1.5795227818942392,0,-0.67812305969009812
80,313.11154598825846,188313.40689630937,-6.8618138491460936,0,-1.6191923424849337,0,-0.69539938824172842
81,317.02544031311169,180899.11123934831,-9.5436998903909345,0,-1.659360495880249,0,-0.71289302910218455
82,320.93933463796492,173705.18014123209,-3.4534144801801352,0,-1.6999404801283862,0,-0.73060398227146606
83,324.85322896281815,166704.29417718036,-14.383030290166246,0,-1.7410784259391572,0,-0.74853224774957305
84,328.76712328767138,159945.85579032279,8.8484277778457692,0,-1.7824646186225244,0,-0.76667782553650576
85,332.68101761252461,153354.68853223999,-6.9199187976587098,0,-1.824546511121435,0,-0.78504071563226396
86,336.59491193737784,146981.79835828859,-8.4436390310923173,0,-1.8669912168548175,0,-0.80362091803684754
87,340.50880626223108,140822.92573592489,2.4650356537957876,0,-1.9097967199767945,0,-0.82241843275025672
88,344.42270058708431,134849.94470023477,0.32227887509484193,0,-1.9531373357731088,0,-0.84143325977249128
89,348.33659491193754,129066.39376801933,-8.5102744629128857,0,-1.9969730229438245,0,-0.86066539910355189
90,352.25048923679077,123488.08029569975,-5.234861963222821,0,-2.0411553396894382,0,-0.88011485074343776
91,356.164383561644,118108.48436820605,6.7728032941128911,0,-2.085696414108658,0,-0.89978161469214912
92,360.07827788649723,112885.51151671675,-11.297010090612428,0,-2.1309258425874384,0,-0.9196656909496862
93,363.99217221135046,107877.46494414526,2.2711735188779678,0,-2.1763039761290259,0,-0.93976707951604854
94,367.9060665362037,103031.95813720366,-1.3820639285111544,0,-2.2222607619936223,0,-0.9600857803912366
95,371.81996086105693,98393.336542302961,25.718240897593134,0,-2.2683268915760157,0,-0.98062179357525003
96,375.73385518591016,93868.467487377769,-5.840711990813042,0,-2.3154054549637397,0,-1.0013751190680891
97,379.64774951076339,89573.258744564737,23.647364656982369,0,-2.3622431513514099,0,-1.0223457568697536
98,383.56164383561662,85381.70485436116,-7.9571703364321902,0,-2.410168126302632,0,-1.0435337069802439
99,387.47553816046985,81402.563486859988,12.025522832372367,0,-2.4578932102950399,0,-1.0649389693995597
100,391.38943248532308,77542.030968538515,-6.2402585052081374,0,-2.5064798508485251,0,-1.086561544127701
