Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,11924.542713185756,-11.926737059489007,0,0,0,-0
1,3.9138943248532287,11926.784385762548,-3.1833222156435372,0,0.00018797047007853429,0,-0.0050425444856869641
2,7.8277886497064575,11924.502570846955,14.021826248902745,0,-3.3663686174972609e-06,0,-0.020170177942747856
3,11.741682974559687,11868.560647477785,-9.5026287719599551,0,-0.0047057475576169254,0,-0.045382900371182693
4,15.655577299412915,11828.844122355495,-3.9621274622325102,0,-0.0080577232439918104,0,-0.080680711770991426
5,19.569471624266143,11783.947798516183,9.1113243336170395,0,-0.011860439847116584,0,-0.1260636121421741
6,23.483365949119371,11710.260404832643,5.9442982751831508,0,-0.018133273957490374,0,-0.18153160148473074
7,27.397260273972599,11620.934058039426,-0.50793842418534363,0,-0.02579055729103498,0,-0.24708467979866117
8,31.311154598825826,11525.027258659125,-1.4176319517519842,0,-0.034077735080069657,0,-0.3227228470839657
9,35.225048923679054,11403.816213206459,-15.772289429506237,0,-0.044650634209741684,0,-0.40844610334064413
10,39.138943248532286,11309.223460847961,8.0550085306723673,0,-0.05298006088393107,0,-0.50425444856869639
11,43.052837573385517,11177.70344782561,6.1923683025215652,0,-0.064677658626085877,0,-0.61014788276812271
12,46.966731898238748,11032.936599109556,1.9644603502627005,0,-0.07771365385270311,0,-0.72612640593892308
13,50.88062622309198,10867.401247807768,-12.534132951142977,0,-0.092831092225159756,0,-0.85219001808109707
14,54.794520547945211,10725.625676436974,6.8146483426763904,0,-0.10596288789468189,0,-0.98833871919464567
15,58.708414872798443,10556.642005945621,8.6078536522048896,0,-0.12184345328970907,0,-1.1345725092795673
16,62.622309197651674,10358.378755891519,-9.6842045078770518,0,-0.14080295529516065,0,-1.2908913883358637
17,66.536203522504906,10184.009792137867,4.6327928126182458,0,-0.15777986636005265,0,-1.4572953563635338
18,70.450097847358137,9989.266682554764,6.7913958319171996,0,-0.1770875043199826,0,-1.6337844133625776
19,74.363992172211368,9777.3927098192489,-0.4816675831884325,0,-0.19852583472028804,0,-1.8203585593329954
20,78.2778864970646,9548.3432127920441,-17.763161814614431,0,-0.22223103526571894,0,-2.0170177942747873
21,82.191780821917831,9341.9640479719164,-5.752847687267284,0,-0.24408217549343794,0,-2.223762118187953
22,86.105675146771063,9128.5601448378493,5.29714316669883,0,-0.26719071289882029,0,-2.440591531072493
23,90.019569471624294,8893.0741985190707,-0.23690258001821529,0,-0.2933258952792468,0,-2.6675060329284057
24,93.933463796477525,8670.7357973600319,12.300960355545429,0,-0.3186450348908223,0,-2.9045056237556945
25,97.847358121330757,8424.4369605218035,5.2239926531368948,0,-0.34746204474290965,0,-3.1515903035543564
26,101.76125244618399,8161.8365253956918,-14.390726370459374,0,-0.37912948109692868,0,-3.4087600723243918
27,105.67514677103722,7924.5032414145735,-5.55710218301002,0,-0.40863905380911286,0,-3.6760149300658003
28,109.58904109589045,7696.4226662717601,15.128951342859036,0,-0.43784305702753107,0,-3.9533548767785831
29,113.50293542074368,7440.7136412691762,10.208035490689118,0,-0.47163192536603787,0,-4.2407799124627408
30,117.41682974559691,7195.828760707841,17.559743266490536,0,-0.50509716978661023,0,-4.5382900371182719
31,121.33072407045015,6919.5556339668074,-5.5941211716336063,0,-0.54424713631343957,0,-4.8458852507451784
32,125.24461839530338,6674.7967358595879,3.0922069255077962,0,-0.58025993687044253,0,-5.1635655533434583
33,129.15851272015661,6434.3128796972005,15.833758720339855,0,-0.61695363239146606,0,-5.49133094491311
34,133.07240704500984,6161.1282508124723,-4.8783758789674723,0,-0.66033877076293124,0,-5.8291814254541379
35,136.98630136986307,5915.5976777868045,0.79190070274153379,0,-0.70100615238358999,0,-6.1771169949665374
36,140.9001956947163,5672.7407718546556,7.3614230291509966,0,-0.74292630690843597,0,-6.5351376534503123
37,144.81409001956953,5416.7982531776479,-1.4144150680392431,0,-0.78909377642957745,0,-6.9032434009054624
38,148.72798434442277,5169.052730177279,-4.7194846393937855,0,-0.83590924174085668,0,-7.2814342373319851
39,152.641878669276,4946.1272051856176,13.622876065941847,0,-0.87999380156781448,0,-7.6697101627298796
40,156.55577299412923,4690.392999470002,-4.4410302198829985,0,-0.93308231499275252,0,-8.0680711770991511
41,160.46966731898246,4474.0777331241634,12.913790609489819,0,-0.98029845180638753,0,-8.476517280439797
42,164.38356164383569,4231.2108178219532,-0.66252850747134095,0,-1.0361104916906989,0,-8.8950484727518155
43,168.29745596868892,4010.892992708295,3.5756564934555191,0,-1.0895847811616113,0,-9.3236647540352067
44,172.21135029354215,3794.7140867303783,6.8879793765512245,0,-1.1449896205920345,0,-9.7623661242899722
45,176.12524461839539,3572.0449098513636,-1.6594503077440579,0,-1.205460453454523,0,-10.211152583516116
46,180.03913894324862,3351.9827930082856,-13.248034329423961,0,-1.2690466398805709,0,-10.67002413171363
47,183.95303326810185,3162.8946928323921,0.23677001256964522,0,-1.3271110388125482,0,-11.138980768882519
48,187.86692759295508,2970.852509710955,4.6409978604832727,0,-1.3897497372033418,0,-11.61802249502278
49,191.78082191780831,2769.8430268788156,-6.247774047782725,0,-1.4598080395398003,0,-12.107149310134414
50,195.69471624266154,2591.9342329485403,-0.53411271468800114,0,-1.5261942840591967,0,-12.606361214217426
51,199.60861056751477,2419.3425117288548,3.8523376358629351,0,-1.5951028752503711,0,-13.115658207271807
52,203.522504892368,2260.0371927341844,14.761170386623517,0,-1.663217419025673,0,-13.635040289297567
53,207.43639921722124,2083.9320828044069,2.0124036650382067,0,-1.7443421556015617,0,-14.164507460294697
54,211.35029354207447,1915.9004454693913,-9.5889894914269806,0,-1.8284109705048814,0,-14.704059720263206
55,215.2641878669277,1786.7037957732643,10.67516432491238,0,-1.8982262217214279,0,-15.25369706920309
56,219.17808219178093,1652.1412441817492,18.58493825938902,0,-1.976526518793154,0,-15.813419507114341
