sample,tag,porosity_he,permeability_he,grain_density,cementation,T2_logmean,rho2
Austin Chalk,AC,23.00,9.99,2.70,2.03,27.20,23.30
Desert Pink,DP,30.50,95.50,2.71,2.40,100.90,12.30
Edwards Yellow,EY,22.90,165.00,2.61,2.39,299.90,10.50
Guelph Dolomite,GD,7.90,4.27,2.84,1.71,173.50,12.40
Indiana 8-10 mD,IL,9.10,0.42,2.69,1.52,89.00,4.90
Indiana 2-4 mD,IM,13.80,1.97,2.70,1.74,179.60,3.30
Indiana 70 mD,IH,18.90,301.00,2.69,2.10,66.80,35.80
Leuders,LU,16.20,1.03,2.73,1.69,39.40,10.50
Sillurian Dolomite,SD,12.40,18.30,2.86,1.95,212.80,9.50
Wiscosin,WI,5.60,0.75,2.81,1.42,71.10,11.80
Edwards White,EW,,2.22,,,,
