Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,1999.9057568467715,-7.5790124944574453,0,0,0,-0
1,3.9138943248532287,2007.793012944823,8.9783433366185541,0,0.0039360574403982411,0,-0.0050944334176749014
2,7.8277886497064575,1973.499207952852,0.41345525161315855,0,-0.013291843093737342,0,-0.020377733670699606
3,11.741682974559687,1940.8741992280766,9.7484551537571189,0,-0.029961568136908028,0,-0.045849900759074129
4,15.655577299412915,1888.77612633016,14.515311548828212,0,-0.057170990760273523,0,-0.081510934682798422
5,19.569471624266143,1801.5406953016777,-2.6994674854806529,0,-0.10445781724600488,0,-0.12736083544187254
6,23.483365949119371,1729.315213991707,6.1760145408515168,0,-0.14537455778738273,0,-0.18339960303629649
7,27.397260273972599,1649.1612228427271,15.9122207577916,0,-0.19283324900643356,0,-0.2496272374660701
8,31.311154598825826,1548.4345125080704,11.47406190479183,0,-0.25585562925773198,0,-0.32604373873119369
9,35.225048923679054,1425.1551095446575,-11.496289904633684,0,-0.33881940127279347,0,-0.41264910683166706
10,39.138943248532286,1322.1327347468934,-12.451660972648105,0,-0.41385391698536789,0,-0.50944334176749018
11,43.052837573385517,1240.7761993980757,7.9552218486114832,0,-0.47736290683539945,0,-0.61642644353866316
12,46.966731898238748,1124.8288845068289,-8.327790593024206,0,-0.57546913644607056,0,-0.73359841214518606
13,50.88062622309198,1048.167972923759,11.089245747130478,0,-0.64605620531020846,0,-0.86095924758705855
14,54.794520547945211,935.57035182152606,-10.176108406673247,0,-0.75969899159393051,0,-0.9985089498642814
15,58.708414872798443,859.11372506393866,-0.87874136309119866,0,-0.84495403124297441,0,-1.1462475189768533
16,62.622309197651674,784.62374099453871,4.2824160997529512,0,-0.93565104481394279,0,-1.3041749549247759
17,66.536203522504906,700.44419366374711,-6.5975346226462257,0,-1.0491406406845982,0,-1.4722912577080476
18,70.450097847358137,631.77577420104478,-8.3317524492523134,0,-1.1523207933169599,0,-1.6505964273266696
