Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,16615.22017593286,-1.8514833076426631,0,0,0,-0
1,3.9138943248532287,16597.267992813897,-4.9489367126008252,0,-0.0010810502830199509,0,-0.00083976024367239481
2,7.8277886497064575,16560.666497144939,2.9150363111200912,0,-0.0032887577954564856,0,-0.0033590409746895793
3,11.741682974559687,16477.307592728976,-6.6626346809465158,0,-0.0083350164481067433,0,-0.007557842193051556
4,15.655577299412915,16387.966287526764,6.6053707665211912,0,-0.013771850816129189,0,-0.013436163898758317
5,19.569471624266143,16250.068300278832,-0.52979719969219041,0,-0.022222041493803333,0,-0.020994006091809871
6,23.483365949119371,16101.396885905837,8.861689011554061,0,-0.03141312202834011,0,-0.030231368772206221
7,27.397260273972599,15905.669571370508,-2.524855940577587,0,-0.043643530871261951,0,-0.041148251939947332
8,31.311154598825826,15711.063774825578,12.308941030489915,0,-0.055953990150834285,0,-0.053744655595033268
9,35.225048923679054,15475.367452026199,9.82878525577304,0,-0.0710695901855143,0,-0.06802057973746399
10,39.138943248532286,15195.251045230572,-14.745263219124746,0,-0.089336205554205309,0,-0.083976024367239485
11,43.052837573385517,14934.690957529971,1.0009546720593667,0,-0.10663239439964861,0,-0.10161098948435979
12,46.966731898238748,14620.3060338421,-17.970620676897472,0,-0.12790776670490978,0,-0.1209254750888249
13,50.88062622309198,14328.089508791436,2.5995382599539751,0,-0.14809724149198761,0,-0.14191948118063474
14,54.794520547945211,13994.750858442649,-2.3713662358711272,0,-0.17163683272929042,0,-0.16459300775978949
15,58.708414872798443,13646.256932787117,-8.7489876719896333,0,-0.19685388670652315,0,-0.1889460548262889
16,62.622309197651674,13300.37584022838,-0.6197824685637725,0,-0.2225268598625712,0,-0.21497862238013324
17,66.536203522504906,12939.370903494568,2.4206884776116091,0,-0.25004448188622813,0,-0.24269071042132229
18,70.450097847358137,12546.544103257767,-18.171720177501875,0,-0.28087389595670248,0,-0.27208231894985613
19,74.363992172211368,12182.675522039008,-3.434103105156046,0,-0.31030425000387679,0,-0.30315344796573479
20,78.2778864970646,11820.922669258996,18.017932325134591,0,-0.34044808441837909,0,-0.33590409746895822
21,82.191780821917831,11416.552500902229,-0.26384938116825557,0,-0.37525487728564633,0,-0.37033426745952641
22,86.105675146771063,11031.830988214411,2.3417374952585694,0,-0.40953433312125309,0,-0.40644395793743948
23,90.019569471624294,10657.62881278279,15.141984436749256,0,-0.44404319718531682,0,-0.44423316890269715
24,93.933463796477525,10254.466202491238,-2.8154527703233412,0,-0.48260581559954013,0,-0.48370190035529992
25,97.847358121330757,9866.2648988074525,-8.9827757921967546,0,-0.52119780123742487,0,-0.52485015229524745
26,101.76125244618399,9491.9196319420807,-5.7343839645595889,0,-0.55987828174273935,0,-0.56767792472253964
27,105.67514677103722,9128.8086724739132,3.148249423629641,0,-0.59888395220443869,0,-0.61218521763717637
28,109.58904109589045,8756.3707926579264,-3.9434617937336194,0,-0.64053762732516439,0,-0.65837203103915809
29,113.50293542074368,8391.7143071145965,-10.834684453492658,0,-0.6830743263204434,0,-0.70623836492848469
30,117.41682974559691,8031.0465140276801,-22.137656578090322,0,-0.72700430835505059,0,-0.75578421930515594
31,121.33072407045015,7707.7043089416456,-5.2223257250939836,0,-0.76809876511846598,0,-0.8070095941691724
32,125.24461839530338,7366.1975493894179,-16.175439707929041,0,-0.81341751660528683,0,-0.8599144895205334
33,129.15851272015661,7063.9730734441946,1.9599416758047181,0,-0.85531150186049054,0,-0.91449890535923894
34,133.07240704500984,6758.569676390066,6.3349540394260071,0,-0.89950787202030258,0,-0.97076284168528959
35,136.98630136986307,6454.4997252244993,1.1712749848701596,0,-0.94554163396132473,0,-1.0287062984986848
36,140.9001956947163,6153.5833068964293,-11.910652545079452,0,-0.99328458968399447,0,-1.088329275799425
37,144.81409001956953,5882.185378633375,-6.6609115741515703,0,-1.038390797460973,0,-1.1496317735875099
38,148.72798434442277,5616.0241093739442,-7.3985918238705732,0,-1.0846951936608127,0,-1.2126137918629396
39,152.641878669276,5367.6646133363456,-1.525128795464072,0,-1.1299262345239769,0,-1.2772753306257136
40,156.55577299412923,5131.6093640667177,5.5589091811141262,0,-1.1748998271784132,0,-1.3436163898758331
41,160.46966731898246,4877.12510138988,-16.72648907231785,0,-1.2257632256559172,0,-1.4116369696132973
42,164.38356164383569,4679.9721877724705,7.5814479447600789,0,-1.267026986226562,0,-1.4813370698381063
43,168.29745596868892,4482.7547843937846,21.331496463958292,0,-1.3100813886751355,0,-1.5527166905502598
44,172.21135029354215,4256.3561499421367,-4.3129620302264113,0,-1.3619057229692795,0,-1.6257758317497579
45,176.12524461839539,4091.1344130879588,21.315456166970041,0,-1.4014968591447943,0,-1.7005144934366017
46,180.03913894324862,3891.2098916673026,2.6694586613579512,0,-1.451599017947492,0,-1.7769326756107899
47,183.95303326810185,3713.5859041991525,-2.8976872540891736,0,-1.4983211925480213,0,-1.8550303782723228
48,187.86692759295508,3545.6405268307917,-7.6455188113430186,0,-1.5446003251136979,0,-1.9348076014212001
49,191.78082191780831,3394.2723085366856,-4.3053066827310644,0,-1.5882297574286524,0,-2.0162643450574222
50,195.69471624266154,3240.9529629481508,-11.031517355273198,0,-1.6344517424299396,0,-2.0994006091809898
51,199.60861056751477,3106.8566201827798,-6.2762215367645062,0,-1.6767076713589582,0,-2.184216393791901
52,203.522504892368,2970.8313144886038,-10.820776701740373,0,-1.7214773358377533,0,-2.2707116988901586
53,207.43639921722124,2837.4419801582458,-19.735522388689756,0,-1.7674162182776543,0,-2.3588865244757597
54,211.35029354207447,2755.6708202531654,16.318358911800328,0,-1.7966582484643447,0,-2.4487408705487068
55,215.2641878669277,2622.8333535100605,-4.9969022325513359,0,-1.8460639872714046,0,-2.5402747371089984
56,219.17808219178093,2522.9356528932235,0.66019657508674756,0,-1.8848959882251493,0,-2.6334881241566337
57,223.09197651663416,2421.9082997985192,-0.45661646991910448,0,-1.9257633702955215,0,-2.7283810316916139
58,227.00587084148739,2322.8575960182602,-4.9308309034243942,0,-1.9675210032026547,0,-2.8249534597139401
59,230.91976516634062,2233.510869381123,-4.738196452351799,0,-2.0067444250327071,0,-2.9232054082236099
60,234.83365949119386,2165.1308241208344,11.667547429259077,0,-2.0378383668803228,0,-3.0231368772206251
61,238.74755381604709,2066.3955984437675,-6.7651229657274845,0,-2.084513320617694,0,-3.1247478667049844
62,242.66144814090032,2004.5522722318165,7.4683269188683372,0,-2.1148984231527201,0,-3.2280383766766896
63,246.57534246575355,1933.0854025172387,8.0975063345118041,0,-2.1512017727712869,0,-3.3330084071357384
64,250.48923679060678,1853.9367123518609,-2.702624766097145,0,-2.1930078225263179,0,-3.4396579580821349
65,254.40313111546001,1790.3897533436368,-1.4264383846618451,0,-2.2278858179057743,0,-3.5479870295158733
66,258.31702544031322,1736.0756150848081,5.7687570241408199,0,-2.2586919809887198,0,-3.6579956214369558
67,262.23091976516645,1672.9543744147234,1.0448494826191077,0,-2.2957280034406269,0,-3.7696837338453837
68,266.14481409001968,1602.684872863653,-13.74664813986513,0,-2.3386388849146424,0,-3.8830513667411584
69,270.05870841487291,1574.811962598121,11.123239565982857,0,-2.3561832770312057,0,-3.9980985201242762
70,273.97260273972614,1528.3965257344039,14.89148039155403,0,-2.3860999899057407,0,-4.1148251939947391
71,277.88649706457937,1466.2964695479536,0.58444181057573052,0,-2.4275793400851282,0,-4.2332313883525474
72,281.8003913894326,1405.6983022888919,-14.450231622206704,0,-2.4697849617335352,0,-4.3533171031976998
73,285.71428571428584,1362.2808868169629,-14.379680265904121,0,-2.5011587357470524,0,-4.4750823385301972
74,289.62818003913907,1340.9113833394517,5.810179247268918,0,-2.5169696337597194,0,-4.5985270943500396
75,293.5420743639923,1300.6124390539849,5.281795233112514,0,-2.5474838928587498,0,-4.723651370657227
76,297.45596868884553,1257.485654723074,0.26929412028227184,0,-2.581204938203002,0,-4.8504551674517584
77,301.36986301369876,1234.7603826865002,14.127034238931497,0,-2.5994422242157782,0,-4.978938484733634
78,305.28375733855199,1177.1564883119199,-8.3079492623859412,0,-2.6472173786791471,0,-5.1091013225028545
79,309.19765166340522,1156.7844596639043,5.1837985920571414,0,-2.6646750149231688,0,-5.2409436807594219
80,313.11154598825846,1112.4374648007129,-6.5041818025861939,0,-2.7037656312915508,0,-5.3744655595033324
81,317.02544031311169,1067.3825800613645,-20.013426003054931,0,-2.7451096885427533,0,-5.5096669587345897
82,320.93933463796492,1041.5949454138927,-15.286749659641675,0,-2.7695660136076419,0,-5.6465478784531893
83,324.85322896281815,1024.2598637061997,-3.066450464741584,0,-2.7863488857818566,0,-5.7851083186591348
84,328.76712328767138,996.44057374013062,-2.2267509211284531,0,-2.81388492944463,0,-5.9253482793524253
85,332.68101761252461,969.9402974093548,-0.91185672096893999,0,-2.8408399117962495,0,-6.0672677605330607
86,336.59491193737784,948.90549400830571,5.0673242484703156,0,-2.8627652235032857,0,-6.2108667622010394
87,340.50880626223108,925.63069014881319,8.0381885861875624,0,-2.8875990999751577,0,-6.3561452843563639
88,344.42270058708431,901.81699524100952,9.7252927918694514,0,-2.9136628206182311,0,-6.5031033269990317
89,348.33659491193754,866.11326280510298,-1.2079746553008039,0,-2.9540587438680168,0,-6.6517408901290471
90,352.25048923679077,863.06717263594601,19.792372249285659,0,-2.9575819080879802,0,-6.8020579737464066
91,356.164383561644,813.96760259859059,-5.9858595368380012,0,-3.0161538673738781,0,-6.9540545778511103
92,360.07827788649723,790.42246638272343,-6.9421950228990923,0,-3.045506862240023,0,-7.1077307024431597
93,363.99217221135046,776.06306860579105,0.54201435928012875,0,-3.0638406414797328,0,-7.2630863475225524
94,367.9060665362037,763.39629010157375,8.9570453870431734,0,-3.0802971517421294,0,-7.420121513089291
95,371.81996086105693,744.94027960446624,10.801855725076111,0,-3.1047703787752328,0,-7.5788361991433728
96,375.73385518591016,722.79766192301793,8.1587132395763398,0,-3.1349451083736541,0,-7.7392304056848005
97,379.64774951076339,691.95641396640474,-4.0044814930486918,0,-3.1785514643006234,0,-7.9013041327135722
98,383.56164383561662,680.76378795467156,2.641162826970556,0,-3.1948590469232911,0,-8.065057380229689
99,387.47553816046985,648.01216543381793,-13.127232692490217,0,-3.2441649623432669,0,-8.2304901482331516
100,391.38943248532308,648.01091473754366,2.9888378150662205,0,-3.2441668923957381,0,-8.3976024367239592
101,395.30332681017632,631.15858078547751,1.3826282921317796,0,-3.2705172847532151,0,-8.5663942457021118
102,399.21722113502955,631.32583468255075,15.926106197966163,0,-3.2702523248123199,0,-8.7368655751676041
103,403.13111545988278,602.12297821689549,0.238285289941226,0,-3.3176127251386771,0,-8.9090164251204467
104,407.04500978473601,591.36537087447869,2.15126834331295,0,-3.3356403811231687,0,-9.0828467955606342
105,410.95890410958924,582.22499120862869,4.8621923665896061,0,-3.3512174764766938,0,-9.2583566864881668
106,414.87279843444247,561.24655618826296,-5.0505129100017179,0,-3.3879141292667572,0,-9.435546097903039
107,418.7866927592957,542.8083527957225,-13.166404927455647,0,-3.4213181161458324,0,-9.6144150298052597
108,422.70058708414894,542.32566073314297,-4.0199664585875619,0,-3.4222077612742643,0,-9.7949634821948273
109,426.61448140900217,523.61693696544307,-13.735022849879766,0,-3.4573140516787353,0,-9.9771914550717362
110,430.5283757338554,532.12869921527329,3.1993142187120354,0,-3.441189056434022,0,-10.161098948435994
111,434.44227005870863,509.39766161962933,-11.610248339949585,0,-3.484845460262207,0,-10.346685962287589
112,438.35616438356186,510.41136531430436,-3.1017607578271686,0,-3.4828574330889421,0,-10.533952496626535
113,442.27005870841509,501.01484470718145,-5.3527131263055647,0,-3.5014387015369808,0,-10.722898551452822
114,446.18395303326832,492.55254499685225,-6.939572570756571,0,-3.5184732870668642,0,-10.913524126766456
115,450.09784735812156,498.38258371226215,5.5749577528743384,0,-3.5067064098718101,0,-11.105829222567435
116,454.01174168297479,488.4988627757628,2.2625058875274284,0,-3.5267372888491053,0,-11.29981383885576
117,457.92563600782802,496.01998966888362,16.316425076959398,0,-3.5114582046723206,0,-11.495477975631431
118,461.83953033268125,467.05982855859037,-6.0791234760444173,0,-3.5716170703285886,0,-11.692821632894439
119,465.75342465753448,471.16420124403578,4.6861598289954376,0,-3.5628677764764545,0,-11.8918448106448
120,469.66731898238771,480.69491366049863,21.031502709744156,0,-3.5428416386028436,0,-12.0925475088825
121,473.58121330724094,437.34560684084221,-15.300159455009926,0,-3.6373506874721522,0,-12.294929727607551
122,477.49510763209418,446.98234004712049,1.5975200092930744,0,-3.6155553462283803,0,-12.498991466819938
123,481.40900195694741,441.36754223370514,3.5175837310568818,0,-3.6281964748979041,0,-12.704732726519678
124,485.32289628180064,418.69682582962616,-11.323855546153103,0,-3.6809273403541254,0,-12.912153506706758
125,489.23679060665387,438.93546372469348,17.048657509361341,0,-3.6337220375292554,0,-13.121253807381184
126,493.1506849315071,420.06503550381001,6.6165989250215986,0,-3.6776648866093509,0,-13.332033628542954
127,497.06457925636033,388.08016603363285,-16.635532964053937,0,-3.756862500566545,0,-13.544492970192071
128,500.97847358121356,394.68664650851963,-1.0216137080419974,0,-3.7399822822431865,0,-13.75863183232854
129,504.8923679060668,386.07922557575426,-0.37541620509513368,0,-3.7620318363269321,0,-13.974450214952341
130,508.80626223092003,393.16109512155873,16.169741067496339,0,-3.7438549932075542,0,-14.191948118063493
131,512.7201565557732,365.1459010446286,-2.2159748902580043,0,-3.8177774297353597,0,-14.411125541661987
132,516.63405088062643,368.64351520356524,11.028005374808521,0,-3.8082443387149785,0,-14.631982485747823
133,520.54794520547966,345.58114467147641,-2.2249990665414714,0,-3.8728469551376459,0,-14.854518950321008
134,524.4618395303329,347.61744546746536,9.626491831038372,0,-3.8669718518637066,0,-15.078734935381535
135,528.37573385518613,319.31030089515275,-8.9187786932184014,0,-3.9519110722685689,0,-15.304630440929413
