Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,34834.680302121691,-2.8827832085480152,0,0,0,-0
1,3.9138943248532287,34769.574552864484,-15.359722964141771,0,-0.0018707410453641113,0,-0.0010055490355239964
2,7.8277886497064575,34632.081033606562,4.4971146594969102,0,-0.0058330009648909732,0,-0.0040221961420959856
3,11.741682974559687,34379.159850940188,12.049198610984508,0,-0.013162888438878948,0,-0.0090499413197159713
4,15.655577299412915,34015.333522313442,9.186326176410585,0,-0.023802042046604535,0,-0.016088784568383942
5,19.569471624266143,33528.145262845064,-20.168436374916837,0,-0.038228207753110706,0,-0.02513872588809991
6,23.483365949119371,32989.148118092358,-9.0059951926683794,0,-0.054434788470717088,0,-0.036199765278863878
7,27.397260273972599,32362.007642372126,0.95042764979506278,0,-0.073628319819321816,0,-0.049271902740675812
8,31.311154598825826,31639.683554254312,-3.4807058585297064,0,-0.096201309545942165,0,-0.06435513827353577
9,35.225048923679054,30855.891608342932,4.6260469836787159,0,-0.12128574287250032,0,-0.08144947187744371
10,39.138943248532286,29964.670462776023,-28.018028377096815,0,-0.15059441450432345,0,-0.10055490355239964
11,43.052837573385517,29064.525728015233,-10.653845562123838,0,-0.18109506756175012,0,-0.12167143329840359
12,46.966731898238748,28117.471298615765,10.687922832972465,0,-0.21422231341990949,0,-0.14479906111545554
13,50.88062622309198,27078.526457169999,-17.194438708469342,0,-0.25187241881842959,0,-0.16993778700355544
14,54.794520547945211,26047.022907887978,-3.2471356463674113,0,-0.29070997304737012,0,-0.19708761096270344
15,58.708414872798443,24999.16989424028,20.519254053173,0,-0.331770830863023,0,-0.22624853299289929
16,62.622309197651674,23889.977910502697,1.0617761248688176,0,-0.37715441424589669,0,-0.2574205530941433
17,66.536203522504906,22784.311046242834,-4.5428994187795251,0,-0.42454126385379021,0,-0.29060367126643516
18,70.450097847358137,21700.373567598937,14.477537621249631,0,-0.47328397545460132,0,-0.32579788750977512
19,74.363992172211368,20582.960830378033,-4.080082864665914,0,-0.52614986158291288,0,-0.36300320182416296
20,78.2778864970646,19505.444019041202,6.6559378762317367,0,-0.57991984387982365,0,-0.4022196142095989
21,82.191780821917831,18428.969188414405,1.8839341193788239,0,-0.63668961200868368,0,-0.44344712466608277
22,86.105675146771063,17381.832670453568,4.5439408870546325,0,-0.69518788957978039,0,-0.48668573319361474
23,90.019569471624294,16350.37444118818,-3.762201919190292,0,-0.7563626522668141,0,-0.53193543979219438
24,93.933463796477525,15369.52032973633,7.7856174184693874,0,-0.81822710210098715,0,-0.5791962444618225
25,97.847358121330757,14413.559706601909,10.005951909933401,0,-0.8824440411465555,0,-0.62846814720249855
26,101.76125244618399,13496.384214439951,13.946153176006975,0,-0.94819163734704814,0,-0.67975114801422243
27,105.67514677103722,12595.152539773757,-5.4709869070183661,0,-1.0173014300810705,0,-0.73304524689699402
28,109.58904109589045,11745.603876370955,-14.160430385693187,0,-1.087134418547741,0,-0.78835044385081388
