Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,11304.353026798608,1.5831940451854583,0,0,0,-0
1,3.9138943248532287,11265.855079815707,-0.51824413019412119,0,-0.0034113982588439861,0,-0.002552672811765232
2,7.8277886497064575,11164.117267460377,6.1322907350525906,0,-0.012483055458266704,0,-0.010210691247060928
3,11.741682974559687,10981.49045210527,1.5133452430035415,0,-0.028976705829625214,0,-0.022974055305887097
4,15.655577299412915,10744.75869807693,8.5574545148708498,0,-0.050769802442614975,0,-0.040842764988243713
5,19.569471624266143,10419.148523350683,-12.692083484345771,0,-0.081542557772246907,0,-0.063816820294130813
6,23.483365949119371,10068.435037135772,-4.7800444881664932,0,-0.11578258892332675,0,-0.091896221223548374
7,27.397260273972599,9679.6584738041092,12.109267299340418,0,-0.15516125611495868,0,-0.12508096777649633
8,31.311154598825826,9218.0180005560542,-4.6973842934757783,0,-0.20402782809125669,0,-0.16337105995297485
9,35.225048923679054,8746.2007328728778,-0.76465530390867353,0,-0.25656847103005398,0,-0.20676649775298381
10,39.138943248532286,8250.5031161620882,1.8398896282588619,0,-0.31491369288484855,0,-0.25526728117652325
11,43.052837573385517,7737.9458676888062,1.9142189551289879,0,-0.37905161454169056,0,-0.30887341022359316
12,46.966731898238748,7220.9058143940965,3.9828071726618433,0,-0.44820747105646641,0,-0.36758488489419355
13,50.88062622309198,6696.6414503325641,-1.9816786791609213,0,-0.52358175050292344,0,-0.43140170518832432
14,54.794520547945211,6188.5192487373379,0.824888628666821,0,-0.60249203375177052,0,-0.50032387110598586
15,58.708414872798443,5698.1136534029229,8.2523567455941702,0,-0.68505269308027295,0,-0.57435138264717744
16,62.622309197651674,5199.9930593696035,-9.9470209393840605,0,-0.77653058429934985,0,-0.65348423981189996
17,66.536203522504906,4765.4783683186688,13.668670298989287,0,-0.86378995098994882,0,-0.73772244260015263
18,70.450097847358137,4327.2215218586971,8.7998857151739163,0,-0.96026221996414951,0,-0.8270659910119359
19,74.363992172211368,3924.0147937231704,12.172190971328632,0,-1.058072563391246,0,-0.92151488504724954
20,78.2778864970646,3547.3129552687828,13.989042626227254,0,-1.1589974722747356,0,-1.0210691247060937
21,82.191780821917831,3188.9890894240016,5.5985464506086338,0,-1.2654839084429306,0,-1.1257287099884683
22,86.105675146771063,2844.2784070056955,-17.664381667896745,0,-1.3798784752407316,0,-1.2354936408943735
23,90.019569471624294,2557.483160641279,-10.880655325770315,0,-1.4861642406317435,0,-1.3503639174238087
24,93.933463796477525,2303.9208730346077,2.293728862008332,0,-1.5905754762062774,0,-1.4703395395767753
25,97.847358121330757,2064.5966323462872,4.1975526768546665,0,-1.7002530032422056,0,-1.5954205073532721
26,101.76125244618399,1869.4434210741176,26.311145824926342,0,-1.7995471243742951,0,-1.7256068207532991
27,105.67514677103722,1657.6246650954349,9.4768748768699158,0,-1.91980222217242,0,-1.860898479776856
28,109.58904109589045,1469.9610432447876,-3.7431464115710318,0,-2.0399519759037661,0,-2.0012954844239439
29,113.50293542074368,1316.9959964025131,-1.0572732193149073,0,-2.1498344923300503,0,-2.1467978346945622
30,117.41682974559691,1167.7872548549235,-11.695618237609304,0,-2.2700771521495624,0,-2.2974055305887111
31,121.33072407045015,1052.4569499397271,-3.8909844808266736,0,-2.3740604920814565,0,-2.4531185721063911
32,125.24461839530338,950.42496412275841,3.3336196952884172,0,-2.4760339389037713,0,-2.6139369592476012
33,129.15851272015661,854.95061307367826,4.6941438582929882,0,-2.5818994493498453,0,-2.7798606920123405
34,133.07240704500984,760.13018036875428,-4.3630243110299229,0,-2.699453445560549,0,-2.9508897704006123
35,136.98630136986307,682.43289206075713,-6.1264470502599435,0,-2.8072789585575357,0,-3.1270241944124129
36,140.9001956947163,613.24873270978844,-8.0700369172708548,0,-2.9141725375097165,0,-3.3082639640477445
37,144.81409001956953,548.1060920870674,-13.631727322024314,0,-3.0264742872221291,0,-3.4946090793066071
38,148.72798434442277,511.56988287026627,2.6893070126376335,0,-3.095458954669529,0,-3.6860595401889995
39,152.641878669276,447.73502503789598,-14.168829084423889,0,-3.2287415586679908,0,-3.8826153466949216
40,156.55577299412923,404.33287042669565,-15.719246871044268,0,-3.3307046787199797,0,-4.0842764988243756
