Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,2056.0580088360489,-9.1537622938388008,0,0,0,-0
1,3.9138943248532287,2061.6000096955372,8.141855322045167,0,0.0026918234496166979,0,-0.0054259767437205425
2,7.8277886497064575,2023.5616812206322,4.8729616288602431,0,-0.015931394298490185,0,-0.02170390697488217
3,11.741682974559687,1947.4921613585611,-14.84704816366623,0,-0.054248087831002739,0,-0.048833790693484903
4,15.655577299412915,1888.7027600282122,2.0240511758232276,0,-0.084900338553184393,0,-0.08681562789952868
5,19.569471624266143,1810.571240039106,15.932180307723545,0,-0.12714816389194389,0,-0.13564941859301358
6,23.483365949119371,1674.5117036214283,-15.092254415859408,0,-0.20526895905858453,0,-0.19533516277393959
7,27.397260273972599,1589.6077942858938,14.4272545528389,0,-0.25730324606573685,0,-0.26587286044230651
8,31.311154598825826,1447.2838685154468,-7.6926606891050211,0,-0.35110195592624016,0,-0.34726251159811472
9,35.225048923679054,1336.1734823809634,3.7702992433185338,0,-0.43098064284335857,0,-0.43950411624136398
10,39.138943248532286,1198.1092947613849,-12.409703684456709,0,-0.5400458350578391,0,-0.54259767437205431
11,43.052837573385517,1115.9325404728108,24.010048650888905,0,-0.61110014708223925,0,-0.6565431859901858
12,46.966731898238748,975.62616107872145,-3.069315718235615,0,-0.74546635923537463,0,-0.78134065109575845
13,50.88062622309198,882.84426563507373,10.452011302376334,0,-0.84539702515164872,0,-0.91699006968877195
14,54.794520547945211,763.85677107090487,-10.20903955259794,0,-0.99016554142036917,0,-1.0634914417692272
15,58.708414872798443,680.75032632161845,-3.5695693541160494,0,-1.1053502296816717,0,-1.2208447673371225
16,62.622309197651674,603.13493139534933,-0.24078767262502027,0,-1.226404902071542,0,-1.38905004639246
17,66.536203522504906,528.39170119612709,-2.7518481800070562,0,-1.3587079736000662,0,-1.5681072789352379
18,70.450097847358137,452.75339512646514,-14.538702348678484,0,-1.5131982449571773,0,-1.7580164649654573
19,74.363992172211368,392.37453559813088,-18.93693970005878,0,-1.6563290089964475,0,-1.9587776044831176
20,78.2778864970646,353.27438276872471,-9.2937225537389239,0,-1.7613007972935892,0,-2.170390697488219
21,82.191780821917831,311.58618784170704,-8.7655846400137474,0,-1.886869854144366,0,-2.3928557439807614
