Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,77962.483723832862,-2.7218464124435737,0,0,0,-0
1,3.9138943248532287,77917.1176243191,-12.989862045638285,0,-0.00058206590730594998,0,-0.00023198372163762233
2,7.8277886497064575,77828.083914837684,3.168600398806118,0,-0.0017253912656504827,0,-0.00092793488655048932
3,11.741682974559687,77638.795604474217,-11.139176738988763,0,-0.00416048746728339,0,-0.0020878534947386018
4,15.655577299412915,77427.465305490463,21.791578571371005,0,-0.0068861665231968634,0,-0.0037117395462019573
5,19.569471624266143,77087.341531990736,-5.4980295572429263,0,-0.011288648457624516,0,-0.0057995930409405587
6,23.483365949119371,76717.729404490543,5.3936753955726555,0,-0.016094898820555988,0,-0.0083514139789544056
7,27.397260273972599,76275.540093532196,10.282888581418479,0,-0.021875421633108412,0,-0.011367202360243491
8,31.311154598825826,75738.643033003376,-14.242025413449294,0,-0.028939226890782283,0,-0.014846958184807829
9,35.225048923679054,75165.151772251804,-11.528346569768452,0,-0.036540016817469954,0,-0.018790681452647409
10,39.138943248532286,74534.41133741723,-3.8644524514513257,0,-0.044966817192636101,0,-0.023198372163762235
11,43.052837573385517,73835.354974664951,-4.1150879304664638,0,-0.054390051494112385,0,-0.028070030318152306
12,46.966731898238748,73073.436454310999,-8.7803282993128935,0,-0.064762818766077951,0,-0.033405655915817629
13,50.88062622309198,72257.33450855063,-11.281723521313937,0,-0.075993895553585211,0,-0.039205248956758185
14,54.794520547945211,71409.164332511966,8.2592413913800335,0,-0.087801519977948023,0,-0.045468809440974013
15,58.708414872798443,70476.040904964946,-5.4049421872539565,0,-0.10095492634497062,0,-0.052196337368465046
16,62.622309197651674,69500.394922638967,-12.320800760351657,0,-0.11489529818830886,0,-0.059387832739231365
17,66.536203522504906,68486.713129140422,-10.582071595418267,0,-0.12958797554692186,0,-0.067043295553272902
18,70.450097847358137,67442.175503215607,4.3192947782460553,0,-0.14495716155837096,0,-0.075162725810589692
19,74.363992172211368,66340.436065393384,3.2860045962903546,0,-0.16142812639620749,0,-0.083746123511181728
20,78.2778864970646,65172.549724022581,-25.445492996796617,0,-0.17918936930548515,0,-0.092793488655049008
21,82.191780821917831,64022.474368239134,-0.79057345352179209,0,-0.19699354936257735,0,-0.10230482124219153
22,86.105675146771063,62808.431123268536,-7.4438191234391029,0,-0.21613841506485756,0,-0.11228012127260932
23,90.019569471624294,61593.158321714771,14.38726211509038,0,-0.2356769349178027,0,-0.1227193887463023
24,93.933463796477525,60331.881639926069,16.964557745182422,0,-0.25636705199149468,0,-0.1336226236632706
25,97.847358121330757,59024.565526848186,-2.7172322910065416,0,-0.27827401097128307,0,-0.14498982602351415
26,101.76125244618399,57719.373052160503,0.54097681603008241,0,-0.30063486111854171,0,-0.15682099582703291
27,105.67514677103722,56402.700305321356,10.188449917016765,0,-0.323710697971205,0,-0.16911613307382684
28,109.58904109589045,55059.88465011568,8.6438942266380803,0,-0.34780632835595876,0,-0.18187523776389605
29,113.50293542074368,53699.540500680145,1.6417989163016731,0,-0.37282328838918533,0,-0.19509830989724056
30,117.41682974559691,52332.710188418743,-2.6066297636010525,0,-0.39860612370140047,0,-0.20878534947386029
31,121.33072407045015,50958.601511016939,-7.6663927849748195,0,-0.42521416507212845,0,-0.22293635649375532
32,125.24461839530338,49615.660740575426,22.203254025070052,0,-0.45192120845036715,0,-0.2375513309569256
33,129.15851272015661,48230.400745994244,10.885248632458806,0,-0.48023818997604817,0,-0.25263027286337097
