Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,678.85929201067017,3.5253501269244496,0,0,0,-0
1,3.9138943248532287,665.3053473745955,-7.8599445562188972,0,-0.020167773568401125,0,-0.003878807290602557
2,7.8277886497064575,659.46428580897543,-7.2426588500319742,0,-0.028986060567744464,0,-0.015515229162410228
3,11.741682974559687,657.04051824868827,0.94068866993136901,0,-0.032668189628397362,0,-0.034909265615423027
4,15.655577299412915,646.04188766590471,4.4692096871404523,0,-0.049549534554225269,0,-0.062060916649640911
5,19.569471624266143,615.05111924059645,-8.3820519657590751,0,-0.098708492754190441,0,-0.096970182265063931
6,23.483365949119371,612.39071539243639,10.334446671067546,0,-0.10304337517241997,0,-0.13963706246169208
7,27.397260273972599,578.29154026136678,0.42117049138042728,0,-0.16033574139890971,0,-0.19006155723952523
8,31.311154598825826,556.36060790127942,5.0185466341688016,0,-0.19899721844429752,0,-0.24824366659856364
9,35.225048923679054,512.86580787372452,-10.094440854481308,0,-0.28039964996299993,0,-0.31418339053880712
10,39.138943248532286,492.91047608983183,-0.30997991638987415,0,-0.32008631035105201,0,-0.38788072906025572
11,43.052837573385517,457.93666936574084,-4.6733477169414535,0,-0.39368297976369637,0,-0.4693356821629095
12,46.966731898238748,425.37310411160786,-6.221673199317614,0,-0.46744720199288592,0,-0.55854824984676843
13,50.88062622309198,383.58963820526253,-17.018145345960459,0,-0.57084054715627597,0,-0.65551843211183225
14,54.794520547945211,365.43536184930105,-4.6049238551311653,0,-0.61932446283803211,0,-0.76024622895810168
15,58.708414872798443,340.08296832230673,-0.15224157015692458,0,-0.69122426550434024,0,-0.87273164038557571
16,62.622309197651674,295.29684899254534,-16.186259793764751,0,-0.83243275965965957,0,-0.99297466639425536
17,66.536203522504906,278.23020743820393,-5.7902507899306599,0,-0.89196502249471754,0,-1.1209753069841397
18,70.450097847358137,243.08939002220552,-14.940669401696587,0,-1.0269846419525213,0,-1.2567335621552296
19,74.363992172211368,249.61789930969712,15.974671881524172,0,-1.0004825319207451,0,-1.4002494319075243
20,78.2778864970646,210.192963690749,-0.75043720260680669,0,-1.172387894294409,0,-1.551522916241024
21,82.191780821917831,195.34464684256102,5.373853302955391,0,-1.2456484596019068,0,-1.710554015155729
22,86.105675146771063,166.92221298983517,-3.805507460500376,0,-1.4028859644001472,0,-1.8773427286516393
23,90.019569471624294,158.25738835723578,5.0731220514281237,0,-1.4561911300069228,0,-2.0518890567287538
24,93.933463796477525,154.99385917921836,17.709847849846334,0,-1.4770283798869561,0,-2.2341929993870751
25,97.847358121330757,126.45121623571461,3.5016289861615357,0,-1.6805572864397886,0,-2.4242545566266012
26,101.76125244618399,111.63969872819273,1.5518049266245315,0,-1.8051371677592347,0,-2.6220737284473317
27,105.67514677103722,105.66562310606572,7.0707619480195554,0,-1.8601342686302189,0,-2.8276505148492665
28,109.58904109589045,81.912589115838671,-6.4471024581800265,0,-2.114761185518335,0,-3.0409849158324072
29,113.50293542074368,76.184115381507212,-3.0844369711530781,0,-2.1872608964211762,0,-3.2620769313967535
30,117.41682974559691,76.610817830319064,5.4030965392177555,0,-2.1816755861086561,0,-3.4909265615423042
31,121.33072407045015,46.581541632954519,-17.484663883093042,0,-2.6792095174575397,0,-3.7275338062690615
32,125.24461839530338,42.305471044495974,-15.432395317262348,0,-2.7754974610207594,0,-3.9718986655770236
33,129.15851272015661,46.129254780920263,-5.9938336636443008,0,-2.6889665351435705,0,-4.2240211394661893
34,133.07240704500984,44.177846730106701,-2.9521855257134004,0,-2.7321904195856548,0,-4.4839012279365615
35,136.98630136986307,45.956036856315691,3.2805286453446092,0,-2.692728658840617,0,-4.7515389309881373
36,140.9001956947163,58.812461020948682,20.126953388486996,0,-2.4460601232455526,0,-5.0269342486209192
37,144.81409001956953,36.27361381911706,1.1781901313077412,0,-2.9293232929014361,0,-5.3100871808349073
38,148.72798434442277,44.770510413112973,12.920516891038103,0,-2.7188642048506075,0,-5.6009977276300988
39,152.641878669276,24.127182251201337,-4.7758097740334291,0,-3.3370747786802926,0,-5.8996658890064948
40,156.55577299412923,5.5392856468055633,-20.677422241427085,0,-4.8085483299976044,0,-6.2060916649640978
41,160.46966731898246,34.951622737031414,11.190389071017945,0,-2.9664489799767177,0,-6.5202750555029061
42,164.38356164383569,27.369839526179543,5.8562363125116113,0,-3.2109722179156495,0,-6.8422160606229196
43,168.29745596868892,35.724866497904337,16.268054718607317,0,-2.9445668909514384,0,-7.1719146803241358
44,172.21135029354215,4.1113988426694892,-13.467357059789853,0,-5.1066505562064402,0,-7.5093709146065573
45,176.12524461839539,-0.50285699817519713,-16.373988765045379,0,-13.815510557964274,0,-7.8545847634701875
46,180.03913894324862,-2.6719792633958477,-17.000310753754743,0,-13.815510557964274,0,-8.2075562269150222
47,183.95303326810185,10.832321512975863,-2.1140552061133215,0,-4.1378794803193752,0,-8.5682853049410603
48,187.86692759295508,18.125219655673511,6.4032920908955209,0,-3.6231095582217741,0,-8.936771997548302
49,191.78082191780831,-4.1366040123692045,-14.788006175010832,0,-13.815510557964274,0,-9.3130163047367507
50,195.69471624266154,17.530045577394365,7.7998077930543026,0,-3.6564975789275751,0,-9.6970182265064047
51,199.60861056751477,-0.75837965882987568,-9.7106981296906234,0,-13.815510557964274,0,-10.08877776285726
52,203.522504892368,12.100436826514461,3.7908501747627388,0,-4.0271723245069015,0,-10.488294913789327
53,207.43639921722124,15.026081393920467,7.2342339450494011,0,-3.8106264270183727,0,-10.895569679302595
54,211.35029354207447,14.280127411627015,6.8933626611105314,0,-3.8615449985683115,0,-11.310602059397072
55,215.2641878669277,0.40206054348346676,-6.6779777125446831,0,-7.4315664738455371,0,-11.733392054072754
