Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,815.1323430674164,4.2252908265991334,0,0,0,-0
1,3.9138943248532287,814.50059330575527,7.4111584128193773,0,-0.00077532771854036829,0,-0.0052601856680251028
2,7.8277886497064575,798.61003857401045,2.845647475728124,0,-0.020477719424279502,0,-0.021040742672100411
3,11.741682974559687,763.36021590315409,-13.947337222089416,0,-0.065620459589349714,0,-0.047341671012225944
4,15.655577299412915,761.92707285911285,9.607355357470464,0,-0.067499637992447459,0,-0.084162970688401645
5,19.569471624266143,711.55211768065124,-10.039262367956759,0,-0.13590181891297351,0,-0.13150464170062759
6,23.483365949119371,674.44992283357294,-11.607691218456754,0,-0.18945305468796261,0,-0.18936668404890375
7,27.397260273972599,640.9468877462599,-5.8002544617354204,0,-0.24040388913223701,0,-0.25774909773322996
8,31.311154598825826,610.22426760719839,5.4945621281117685,0,-0.28952394277471788,0,-0.33665188275360658
9,35.225048923679054,554.21527893796076,-6.8503574038650239,0,-0.38579728278337383,0,-0.42607503911003336
10,39.138943248532286,512.22782453509956,-4.5331398367786697,0,-0.46458098832486322,0,-0.52601856680251036
11,43.052837573385517,486.25232721298556,13.521797042381836,0,-0.51662280322645338,0,-0.63648246583103751
12,46.966731898238748,432.74916368534423,2.9785681750860906,0,-0.63319222269375364,0,-0.75746673619561511
13,50.88062622309198,373.48866763098329,-15.052782091978248,0,-0.78046282109198217,0,-0.88897137789624259
14,54.794520547945211,353.82885556778291,4.2692157804561157,0,-0.83453714680799163,0,-1.0309963909329209
15,58.708414872798443,324.26504741534802,11.066274496948408,0,-0.92178925523777433,0,-1.1835417753056487
16,62.622309197651674,304.73010420067817,25.032712218952959,0,-0.98392400360135035,0,-1.3466075310144274
17,66.536203522504906,263.1310899063144,13.958887514178201,0,-1.130698135483909,0,-1.5201936580592559
18,70.450097847358137,207.57020768055438,-14.0646934577083,0,-1.3678808514788445,0,-1.7043001564401348
19,74.363992172211368,195.25936700168472,-1.7516075799524504,0,-1.4290217222202914,0,-1.8989270261570637
20,78.2778864970646,179.4191015966563,4.2600624423121776,0,-1.5136260653353901,0,-2.1040742672100428
21,82.191780821917831,154.65418044665887,-1.2353725300566694,0,-1.6621589537612118,0,-2.3197418795990723
22,86.105675146771063,143.07079315646473,4.08879836344315,0,-1.7400109193919713,0,-2.5459298633241523
23,90.019569471624294,121.18296130892338,-3.0169097291111742,0,-1.9060490036970326,0,-2.7826382183852814
24,93.933463796477525,123.78805660406708,12.484892889070098,0,-1.8847796019043908,0,-3.0298669447824627
25,97.847358121330757,106.31339976204097,6.2553330155944842,0,-2.0369591506993516,0,-3.2876160425156935
26,101.76125244618399,82.900484251213356,-7.3435869903168394,0,-2.2857095806758103,0,-3.5558855115849739
27,105.67514677103722,85.149670415745348,3.4910289246066508,0,-2.2589399477198731,0,-3.8346753519903038
28,109.58904109589045,85.166638263206863,11.046777650223429,0,-2.2587406967186126,0,-4.1239855637316838
29,113.50293542074368,71.236206835725397,3.7687024582395368,0,-2.4373492720521748,0,-4.4238161468091155
30,117.41682974559691,62.536057673759608,0.97304258839379276,0,-2.5676071710232438,0,-4.7341671012225968
31,121.33072407045015,75.886397678749347,19.597602852069983,0,-2.3741130295676167,0,-5.0550384269721302
32,125.24461839530338,62.036153588964289,10.489022376160568,0,-2.5756331466918483,0,-5.3864301240577124
33,129.15851272015661,36.563822738200543,-10.695109378053584,0,-3.1042911823970414,0,-5.7283421924793432
34,133.07240704500984,44.582820835874891,1.2205112372346698,0,-2.906001882417947,0,-6.0807746322370271
35,136.98630136986307,30.772701942147457,-9.038246148146257,0,-3.2767224877864698,0,-6.4437274433307579
36,140.9001956947163,40.04629857695663,3.4741564979783046,0,-3.0133142349974342,0,-6.8172006257605409
37,144.81409001956953,28.294980702048058,-5.3294242190915142,0,-3.3606660556224597,0,-7.2011941795263752
38,148.72798434442277,48.651438865569872,17.696811543224037,0,-2.8186691001355224,0,-7.5957081046282582
39,152.641878669276,24.011370956618091,-4.5435094353209964,0,-3.5248229761857295,0,-8.0007424010661889
