Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,495302.60930147674,-18.805035077864179,0,0,0,-0
1,3.9138943248532287,495179.42413849448,4.3113322656294812,0,-0.00024873780534834765,0,-0.00023023658110193692
2,7.8277886497064575,494746.36172206071,9.8233141384051752,0,-0.0011236770184606534,0,-0.0009209463244077477
3,11.741682974559687,494009.44110653445,2.7607745903098753,0,-0.0026142791466398623,0,-0.002072129229917433
4,15.655577299412915,492989.73390668497,2.5512948935341004,0,-0.004680557596446421,0,-0.0036837852976309908
5,19.569471624266143,491674.19275126478,-6.144477573481101,0,-0.0073526204242649381,0,-0.0057559145275484233
6,23.483365949119371,490097.80240174592,8.7278826602085253,0,-0.010563939777477663,0,-0.0082885169196697302
7,27.397260273972599,488223.75609993516,6.8051583798759543,0,-0.014395090338867201,0,-0.011281592473994906
8,31.311154598825826,486076.23475575761,8.1004716518075845,0,-0.018803434467273263,0,-0.014735141190523963
9,35.225048923679054,483643.01342186768,-4.3729761468220447,0,-0.02382184870433952,0,-0.018649163069256892
10,39.138943248532286,480947.82484265463,-12.218724849181937,0,-0.029410115742001298,0,-0.023023658110193693
11,43.052837573385517,478011.90432090696,-0.09031342846085022,0,-0.03553327108523862,0,-0.027858626313334373
12,46.966731898238748,474808.11110343074,-1.545907201133834,0,-0.042258161913882313,0,-0.033154067678678928
13,50.88062622309198,471354.23815319681,-5.7125717744156823,0,-0.049558998381372878,0,-0.03890998220622735
14,54.794520547945211,467675.28330168489,5.0126440623586443,0,-0.057394691702691916,0,-0.045126369895979672
15,58.708414872798443,463752.75951966527,4.302389383661831,0,-0.065817343352969487,0,-0.05180323074793583
16,62.622309197651674,459612.96159024828,10.196566290297778,0,-0.07478416023320282,0,-0.058940564762095901
17,66.536203522504906,455240.02762021602,-1.8039852951390589,0,-0.084344094618172105,0,-0.066538371938459823
18,70.450097847358137,450669.31484235742,-5.3284064919299414,0,-0.094435063656601495,0,-0.074596652277027622
19,74.363992172211368,445918.16407179966,7.662830922653173,0,-0.10503346114791381,0,-0.083115405777799301
20,78.2778864970646,440952.33610993973,-6.6507549752723047,0,-0.1162321194813524,0,-0.092094632440774843
21,82.191780821917831,435825.99363498937,-3.932320532221028,0,-0.12792584118251954,0,-0.10153433226595426
22,86.105675146771063,430534.52612042881,1.173001993531541,0,-0.14014138700424084,0,-0.11143450525333758
23,90.019569471624294,425066.69507906586,-12.780728667940833,0,-0.1529228214935705,0,-0.12179515140292471
24,93.933463796477525,419486.10257571458,7.4641263726908411,0,-0.16613851088931414,0,-0.13261627071471582
25,97.847358121330757,413731.55089302507,-9.7359027247589065,0,-0.17995157199316489,0,-0.14389786318871076
26,101.76125244618399,407871.84086144896,-6.0918297836971842,0,-0.19421589817974919,0,-0.15563992882490957
27,105.67514677103722,401904.64826165355,5.5288414443518841,0,-0.2089540405983768,0,-0.16784246762331217
28,109.58904109589045,395810.03487510281,-5.3529284252166311,0,-0.22423452145811409,0,-0.18050547958391872
29,113.50293542074368,389623.61692715529,-13.626271519471501,0,-0.23998771937627969,0,-0.19362896470672913
30,117.41682974559691,383389.89351687359,14.769966711761953,0,-0.25611643759373504,0,-0.2072129229917434
31,121.33072407045015,377041.869535195,2.500909377800562,0,-0.27281266664724457,0,-0.22125735443896163
32,125.24461839530338,370632.94413129572,-7.2464321717967719,0,-0.28995670376301624,0,-0.23576225904838374
33,129.15851272015661,364200.79184924177,13.146008592453843,0,-0.30746356619710319,0,-0.25072763682000959
34,133.07240704500984,357680.23337884172,-11.375388857032817,0,-0.32552952329868812,0,-0.2661534877538394
35,136.98630136986307,351142.77477286558,-18.971819017542121,0,-0.34397600120985661,0,-0.28203981184987303
36,140.9001956947163,344610.12002360978,2.6237362801699349,0,-0.36275521659002802,0,-0.2983866091081106
37,144.81409001956953,338059.33301861188,21.289926165794824,0,-0.38194748615102819,0,-0.31519387952855205
38,148.72798434442277,331468.69229882717,6.3914553446956752,0,-0.4016355450751628,0,-0.33246162311119731
39,152.641878669276,324894.44662566792,5.5524857883589362,0,-0.42166855773954098,0,-0.3501898398560464
40,156.55577299412923,318309.93646528421,-16.205899025915414,0,-0.44214335660693299,0,-0.36837852976309948
41,160.46966731898246,311806.61862325156,24.573055456412259,0,-0.46278572416203873,0,-0.38702769283235644
42,164.38356164383569,305267.4309819456,3.1587637151969519,0,-0.48398069238922509,0,-0.40613732906381728
43,168.29745596868892,298779.79945569235,-0.34934333067604617,0,-0.50546206230029755,0,-0.42570743845748188
44,172.21135029354215,292326.06618582219,-10.585047674370047,0,-0.5272990634220408,0,-0.44573802101335031
45,176.12524461839539,285953.69265506428,13.29455474837745,0,-0.5493390237867104,0,-0.46622907673142289
46,180.03913894324862,279601.11214875116,3.466553315889072,0,-0.57180491970971214,0,-0.48718060561169924
47,183.95303326810185,273322.82857823343,8.5443911051549613,0,-0.59451528888282179,0,-0.50859260765417935
48,187.86692759295508,267089.87686329236,-5.9600391627418459,0,-0.61758368848081213,0,-0.53046508285886329
49,191.78082191780831,260949.89417985448,2.4350036701612896,0,-0.64084049513314434,0,-0.55279803122575122
50,195.69471624266154,254864.25964956376,-9.6805371292968569,0,-0.66443781937493362,0,-0.57559145275484302
51,199.60861056751477,248875.47426856737,-4.2313291784967682,0,-0.68821623967139034,0,-0.5988453474461386
52,203.522504892368,242967.12414283364,-1.6974774823293617,0,-0.71224276510909001,0,-0.62255971529963827
53,207.43639921722124,237157.93564149382,12.935336731176017,0,-0.7364425933993356,0,-0.64673455631534149
54,211.35029354207447,231426.37895060028,14.772979912042306,0,-0.76090710224763292,0,-0.67136987049324903
55,215.2641878669277,225773.07173318486,1.4090535163372888,0,-0.78563852026015302,0,-0.69646565783336023
56,219.17808219178093,220227.91657247511,0.053917718982847793,0,-0.81050591319244436,0,-0.72202191833567519
57,223.09197651663416,214770.76783767407,-11.807712478786595,0,-0.83559764447120422,0,-0.74803865200019404
58,227.00587084148739,209448.39938769018,10.540912988190145,0,-0.86069150231786884,0,-0.77451585882691687
59,230.91976516634062,204212.20467441552,16.738000583995259,0,-0.88600923552005562,0,-0.80145353881584336
60,234.83365949119386,199056.70076147991,-0.16401474193477861,0,-0.91157919511388974,0,-0.82885169196697406
61,238.74755381604709,194024.72974047888,1.4912267502284444,0,-0.93718328387521188,0,-0.8567103182803083
62,242.66144814090032,189089.08191524656,-6.4249106635619988,0,-0.96295067080153696,0,-0.88502941775584654
63,246.57534246575355,184273.00423168548,-1.3300321439433325,0,-0.98875053106714172,0,-0.91380899039358865
64,250.48923679060678,179554.16468989602,-5.9789216639819074,0,-1.0146919921465658,0,-0.94304903619353531
65,254.40313111546001,174956.52032201333,3.3916740512497396,0,-1.0406314199530271,0,-0.97274955515568495
66,258.31702544031322,170442.0774004074,-11.189575353146445,0,-1.0667733906903905,0,-1.0029105472800384
67,262.23091976516645,166057.94753108502,-2.3853185731151201,0,-1.0928320987493001,0,-1.0335320125665959
68,266.14481409001968,161767.2081545789,-6.7017855614188768,0,-1.1190105926269223,0,-1.0646139510153576
69,270.05870841487291,157590.22531603338,-3.1786586346704873,0,-1.145170754309687,0,-1.0961563626263229
70,273.97260273972614,153515.56192340361,-2.4932796876619561,0,-1.1713669652065504,0,-1.1281592473994921
71,277.88649706457937,149534.42638553763,-12.524253730030999,0,-1.1976422645561871,0,-1.1606226053348656
72,281.8003913894326,145688.44268832332,9.4066523036342016,0,-1.2236985203094646,0,-1.1935464364324424
73,285.71428571428584,141918.37961081153,5.2520551942606994,0,-1.2499168068314725,0,-1.2269307406922232
74,289.62818003913907,138250.30984373108,2.3867407825193983,0,-1.2761030261193838,0,-1.2607755181142082
75,293.5420743639923,134677.18415944892,-4.8291338825490229,0,-1.3022882212663216,0,-1.2950807686983969
76,297.45596868884553,131213.97414566367,0.082114101944208623,0,-1.3283395266088713,0,-1.3298464924447893
77,301.36986301369876,127858.42196620887,16.455283017424136,0,-1.3542453343291423,0,-1.3650726893533853
78,305.28375733855199,124553.2443722462,-11.323450967472127,0,-1.3804356175812196,0,-1.4007593594241856
79,309.19765166340522,121381.76515214026,1.8066008986519115,0,-1.4062282450376751,0,-1.4369065026571901
80,313.11154598825846,118288.24192054087,1.8985546278666972,0,-1.4320445337085319,0,-1.4735141190523979
81,317.02544031311169,115268.46535328569,-13.411241315320392,0,-1.457905018675596,0,-1.5105822086098102
82,320.93933463796492,112377.57569509008,12.905317507525071,0,-1.4833044946397871,0,-1.5481107713294258
83,324.85322896281815,109532.30152248889,-0.50068608003329063,0,-1.5089494108754264,0,-1.5860998072112453
84,328.76712328767138,106774.55474480976,-9.7672911720552644,0,-1.5344492610170122,0,-1.6245493162552691
85,332.68101761252461,104129.65660967256,12.397678150297992,0,-1.5595320868751976,0,-1.6634592984614966
86,336.59491193737784,101522.17482022654,-7.4525142547871877,0,-1.5848916619478923,0,-1.7028297538299275
87,340.50880626223108,99010.515211835882,-8.917670009864441,0,-1.6099428489484049,0,-1.7426606823605626
88,344.42270058708431,96586.6422333472,1.9643977415076224,0,-1.6347284552044965,0,-1.7829520840534012
89,348.33659491193754,94228.003185939902,4.6370661629704566,0,-1.6594514965623006,0,-1.8237039589084445
90,352.25048923679077,91933.973091623368,0.465111115775729,0,-1.6840982720995847,0,-1.8649163069256915
91,356.164383561644,89732.665340916603,19.54105760903909,0,-1.7083340428237106,0,-1.9065891281051421
92,360.07827788649723,87561.507538021979,1.2570761413426965,0,-1.7328274179972947,0,-1.9487224224467969
93,363.99217221135046,85456.852172242667,-16.087961084038032,0,-1.7571573120972999,0,-1.9913161899506551
94,367.9060665362037,83456.530139087787,7.2617444865721055,0,-1.7808430085412301,0,-2.0343704306167174
95,371.81996086105693,81492.679577639006,5.3447625411162445,0,-1.8046557126242344,0,-2.0778851444449833
96,375.73385518591016,79573.396886702103,-11.869253384475337,0,-1.8284890806799419,0,-2.1218603314354532
97,379.64774951076339,77748.067864606652,6.8491451041887625,0,-1.8516952075690578,0,-2.166295991588127
