Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,20419.888761070182,-1.3382920119282951,0,0,0,-0
1,3.9138943248532287,20381.285457246326,-7.0407698516716053,0,-0.0018922649204210075,0,-0.0018531474312466819
2,7.8277886497064575,20297.881764682992,7.9186875057157291,0,-0.0059928311377787438,0,-0.0074125897249867276
3,11.741682974559687,20134.626209896356,7.4767424242943505,0,-0.01406833523945112,0,-0.016678326881220142
4,15.655577299412915,19895.419309893368,-6.1322944744535093,0,-0.026019845372478478,0,-0.02965035889994691
5,19.569471624266143,19622.632820832481,7.1725606436881781,0,-0.039825729374998363,0,-0.046328685781167049
6,23.483365949119371,19276.898499877709,5.1482867971139861,0,-0.057601955120567504,0,-0.066713307524880569
7,27.397260273972599,18887.86745885518,14.03748005208022,0,-0.077989582629466703,0,-0.090804224131087394
8,31.311154598825826,18414.847784721856,-10.735362800110204,0,-0.10335208114184696,0,-0.11860143559978764
9,35.225048923679054,17918.213738983755,-13.089089290378631,0,-0.13069164233947983,0,-0.15010494193098126
10,39.138943248532286,17399.850599237885,4.2297593413472603,0,-0.16004774524077331,0,-0.1853147431246682
11,43.052837573385517,16850.551808190536,27.118441562748984,0,-0.1921259606509742,0,-0.22423083918084855
12,46.966731898238748,16227.798173440186,7.973354776612986,0,-0.22978365684052027,0,-0.26685323009952228
13,50.88062622309198,15592.534149388852,2.5425448761752545,0,-0.26971714564162752,0,-0.31318191588068933
14,54.794520547945211,14926.924829786323,-12.242607419514783,0,-0.31334274739068368,0,-0.36321689652434991
15,58.708414872798443,14267.463395807443,-5.0882705736084173,0,-0.35852770731283717,0,-0.41695817203050362
16,62.622309197651674,13603.352723924803,8.1107632142667292,0,-0.40619307899569501,0,-0.47440574239915095
17,66.536203522504906,12889.738430231568,-22.434038609518865,0,-0.46007784088531872,0,-0.53555960763029153
18,70.450097847358137,12236.397831291961,8.3394599117098913,0,-0.51209442623182788,0,-0.60041976772392547
19,74.363992172211368,11546.080250266439,-1.2672606666296984,0,-0.57016335807700125,0,-0.6689862226800527
20,78.2778864970646,10864.515063098695,-9.6644977364940914,0,-0.63100738540213985,0,-0.74125897249867334
21,82.191780821917831,10217.806570016633,5.4535957524212328,0,-0.69237742476168984,0,-0.81723801717978739
22,86.105675146771063,9564.8940995501016,-0.4056513482577947,0,-0.75840983400507322,0,-0.89692335672339496
23,90.019569471624294,8930.4632283150004,-5.6046455570998956,0,-0.82704109835910566,0,-0.98031499112949538
24,93.933463796477525,8338.8529183547562,11.541808820158703,0,-0.89558369802812055,0,-1.06741292039809
25,97.847358121330757,7734.0683524536398,-7.2173764937398976,0,-0.97087433411018653,0,-1.1582171445291778
26,101.76125244618399,7173.7810937219319,-6.0725104092992508,0,-1.0460765003677575,0,-1.2527276635227584
27,105.67514677103722,6637.6369687373308,-6.8540846544866039,0,-1.1237533432272404,0,-1.3509444773788324
28,109.58904109589045,6131.9724721972789,-4.3302848710719282,0,-1.2029928933788256,0,-1.4528675860973999
29,113.50293542074368,5661.1389690476717,5.0989337186085741,0,-1.2828842619223977,0,-1.5584969896784608
30,117.41682974559691,5218.4128335466503,14.290063388494493,0,-1.3643160643893275,0,-1.6678326881220151
31,121.33072407045015,4789.4208429757628,8.7565818567916693,0,-1.4500998706694306,0,-1.7808746814280634
32,125.24461839530338,4369.8132518229659,-15.685073659805246,0,-1.54178909111595,0,-1.8976229695966049
33,129.15851272015661,4013.4222501892691,-4.7857345359713435,0,-1.6268650588437847,0,-2.0180775526276387
34,133.07240704500984,3687.9559396246045,9.8008211931615286,0,-1.7114370065071685,0,-2.142238430521167
35,136.98630136986307,3368.7550065923765,4.2444955721974811,0,-1.8019661233126563,0,-2.2701056032771878
36,140.9001956947163,3065.421426297391,-10.86233834835169,0,-1.8963243088922908,0,-2.4016790708957023
37,144.81409001956953,2795.9810046232378,-16.371597311536814,0,-1.9883263345937252,0,-2.5369588333767106
38,148.72798434442277,2582.6947556028285,11.203621491677991,0,-2.0676760324129275,0,-2.6759448907202117
39,152.641878669276,2322.9571083066721,-29.439614855700796,0,-2.1736683754789721,0,-2.8186372429262061
40,156.55577299412923,2162.1546334463524,8.4395125934722852,0,-2.2454041251811656,0,-2.9650358899946943
41,160.46966731898246,1960.8661328336659,-13.19748970600266,0,-2.3431230850353413,0,-3.1151408319256761
42,164.38356164383569,1810.4791586699941,-1.572871136000229,0,-2.4229178263834248,0,-3.2689520687191513
43,168.29745596868892,1675.4378243624133,9.1365516954277144,0,-2.5004348463734232,0,-3.4264696003751189
44,172.21135029354215,1528.9801458747461,-6.4794531800522677,0,-2.5919084233504868,0,-3.5876934268935798
45,176.12524461839539,1403.6623644859221,-14.553931241852577,0,-2.6774245696256869,0,-3.7526235482745358
46,180.03913894324862,1306.0022554806012,-7.3107041801135653,0,-2.7495386073067074,0,-3.9212599645179842
47,183.95303326810185,1213.9960559563074,-5.5563351651801511,0,-2.8225919213420751,0,-4.0936026756239263
48,187.86692759295508,1126.0307440345546,-9.7744835879868628,0,-2.897810532068235,0,-4.2696516815923609
49,191.78082191780831,1062.7894010681784,1.7749207684945245,0,-2.9556124029693409,0,-4.4494069824232882
50,195.69471624266154,991.54363724632537,-2.6545323776258183,0,-3.0250016858217168,0,-4.6328685781167112
51,199.60861056751477,926.09418933156485,-8.3560951623125437,0,-3.0932886983416297,0,-4.8200364686726243
52,203.522504892368,880.37634098300555,-0.56396580638212579,0,-3.1439151678961852,0,-5.0109106540910338
53,207.43639921722124,810.33633975947726,-22.57521214152678,0,-3.226815248404284,0,-5.2054911343719352
54,211.35029354207447,799.71243637766872,10.033861823410604,0,-3.2400124356350863,0,-5.4037779095153322
55,215.2641878669277,750.82439136193523,0.20051245809150423,0,-3.3030928528082382,0,-5.6057709795212212
56,219.17808219178093,721.21882767483203,6.0246743367014925,0,-3.3433220471291158,0,-5.8114703443896021
57,223.09197651663416,660.15797463372496,-22.738250480819961,0,-3.431785482270679,0,-6.0208760041204767
58,227.00587084148739,625.83977300760705,-27.453126586399534,0,-3.4851702594794354,0,-6.2339879587138469
59,230.91976516634062,626.63157142857835,0.63275598044861736,0,-3.4839058816076816,0,-6.4508062081697073
60,234.83365949119386,596.28825222408943,-4.3881606424596837,0,-3.5335404493375822,0,-6.6713307524880641
61,238.74755381604709,580.19484867487461,3.162770135402011,0,-3.5609006510414267,0,-6.895561591668911
62,242.66144814090032,551.41511849197843,-3.3973824014019343,0,-3.6117767275670096,0,-7.1234987257122535
63,246.57534246575355,533.2778695819693,-0.52337368408036611,0,-3.6452220245376865,0,-7.355142154618088
64,250.48923679060678,508.48488488745647,-5.3306376727317897,0,-3.6928291540107714,0,-7.5904918783864224
65,254.40313111546001,485.30174383621164,-9.4014232383296736,0,-3.7394937944352096,0,-7.8295478970172425
66,258.31702544031322,480.06404629781463,3.7243264647317615,0,-3.7503451193677471,0,-8.0723102105105546
67,262.23091976516645,450.43771890596315,-8.1879335722133764,0,-3.8140448254860835,0,-8.3187788188663632
68,266.14481409001968,442.34739293151239,0.86373405109241086,0,-3.832169113921863,0,-8.5689537220846681
69,270.05870841487291,424.50168893274582,-0.35431697207684748,0,-3.8733486597721933,0,-8.8228349201654623
70,273.97260273972614,410.22409721012014,1.5221673404616001,0,-3.9075610552158677,0,-9.0804224131087512
71,277.88649706457937,389.1285271709915,-3.8665524572573866,0,-3.9603549510702449,0,-9.3417162009145365
72,281.8003913894326,383.32293455589001,5.6019151639348959,0,-3.9753868390801039,0,-9.6067162835828093
73,285.71428571428584,347.77103352952054,-15.103781498484445,0,-4.0727203305530209,0,-9.8754226611135785
74,289.62818003913907,346.97277606226243,-1.4859594251139097,0,-4.0750183224387238,0,-10.147835333506842
75,293.5420743639923,347.57520858577351,13.095103130013312,0,-4.0732835749831002,0,-10.423954300762599
76,297.45596868884553,322.28275371147015,1.3334078427510141,0,-4.1488353668143416,0,-10.703779562880847
77,301.36986301369876,338.7412080130332,30.862972426218477,0,-4.0990282265038092,0,-10.987311119861587
78,305.28375733855199,300.11565448504064,4.8372338167876672,0,-4.2200967288412938,0,-11.274548971704824
79,309.19765166340522,291.93162221760218,8.7714341983856823,0,-4.2477450397974073,0,-11.565493118410556
80,313.11154598825846,270.82367864269247,-0.70783007051593128,0,-4.3227966673439804,0,-11.860143559978777
81,317.02544031311169,266.15747176185607,5.7601276890950057,0,-4.340176511431757,0,-12.158500296409496
82,320.93933463796492,256.14611017136281,6.3869143050456634,0,-4.3785166196311449,0,-12.460563327702705
83,324.85322896281815,260.38902617336754,20.774154384050718,0,-4.3620878769007971,0,-12.766332653858406
84,328.76712328767138,241.8430980341434,11.884668332634735,0,-4.4359754835031069,0,-13.075808274876605
85,332.68101761252461,216.67867862508987,-4.101580932846848,0,-4.5458491316628846,0,-13.388990190757296
86,336.59491193737784,216.19653786733525,4.1292769058772114,0,-4.5480767526435377,0,-13.705878401500476
87,340.50880626223108,194.43329494843778,-9.3697818510253512,0,-4.6541754964836883,0,-14.026472907106152
