Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,333109.93254931993,-4.4044849730752542,0,0,0,-0
1,3.9138943248532287,332913.99349996349,-16.096124305790216,0,-0.00058838443288813415,0,-0.00046787738392503993
2,7.8277886497064575,332366.71768115542,-11.362779935766881,0,-0.0022336326207862385,0,-0.0018715095357001597
3,11.741682974559687,331450.16224644118,-10.341155097608608,0,-0.0049951050836874395,0,-0.0042108964553253612
4,15.655577299412915,330182.14415020967,1.1470317755741337,0,-0.0088281091145979377,0,-0.0074860381428006389
5,19.569471624266143,328544.19359751308,-0.42507206836740796,0,-0.013801202900601774,0,-0.011696934598125999
6,23.483365949119371,326559.4225130839,1.6156184648657448,0,-0.019860632610549083,0,-0.016843585821301441
7,27.397260273972599,324216.87108783273,-11.464945351683182,0,-0.027059916192588691,0,-0.022925991812326948
8,31.311154598825826,321560.11035023868,-5.1497102093865754,0,-0.035288068644759252,0,-0.029944152571202556
9,35.225048923679054,318583.62051810697,4.7721864533218046,0,-0.044587577924807269,0,-0.037898068097928235
10,39.138943248532286,315275.17643260717,-5.3367818695276803,0,-0.055026729819251503,0,-0.046787738392503997
11,43.052837573385517,311696.58024504123,13.849779372099038,0,-0.066442347865291088,0,-0.056613163454929838
12,46.966731898238748,307788.7877144863,-10.165461044278057,0,-0.079058769713109101,0,-0.067374343285205779
13,50.88062622309198,303648.40127877076,4.8811192739097491,0,-0.092602105959375666,0,-0.079071277883331764
14,54.794520547945211,299221.22000164934,-10.339718219616271,0,-0.10728939722514652,0,-0.091703967249307891
15,58.708414872798443,294569.04964388971,-9.8400881724484019,0,-0.12295912368069532,0,-0.10527241138313403
16,62.622309197651674,289685.94897246908,-15.966056045858243,0,-0.13967516167049834,0,-0.11977661028481031
17,66.536203522504906,284620.24154934101,2.7184898180508577,0,-0.15731675734772987,0,-0.13521656395433665
18,70.450097847358137,279333.57687567751,-9.4019283401781379,0,-0.17606587959243472,0,-0.15159227239171305
19,74.363992172211368,273885.71269759513,-10.107187436868168,0,-0.19576165084430616,0,-0.16890373559693955
20,78.2778864970646,268295.41958346352,1.666768544002476,0,-0.21638387798618097,0,-0.18715095357001613
21,82.191780821917831,262553.4830031913,-1.068251835611987,0,-0.23801775722340221,0,-0.20633392631094277
22,86.105675146771063,256700.71992401301,4.7627996176260465,0,-0.26056167086830645,0,-0.22645265381971955
23,90.019569471624294,250740.69651435819,5.1111811574862216,0,-0.28405323975693325,0,-0.24750713609634628
24,93.933463796477525,244675.10875383159,-15.724096356395481,0,-0.30854131948140046,0,-0.26949737314082328
25,97.847358121330757,238575.40220624901,-3.390534277935235,0,-0.33378715110487939,0,-0.29242336495315036
26,101.76125244618399,232417.36530062906,1.1915680221309686,0,-0.35993781948636366,0,-0.31628511153332739
27,105.67514677103722,226214.61161137847,-4.6141792420229679,0,-0.38698840569710019,0,-0.34108261288135444
28,109.58904109589045,220012.95578288549,9.2836972044529436,0,-0.4147861287353703,0,-0.36681586899723162
29,113.50293542074368,213776.85257531199,-7.7950976726912877,0,-0.4435398372660902,0,-0.39348487988095893
30,117.41682974559691,207584.03309901585,7.3880015431601853,0,-0.47293632679658149,0,-0.42108964553253631
31,121.33072407045015,201394.4509276968,0.98386096410860502,0,-0.50320713586516785,0,-0.44963016595196387
32,125.24461839530338,195255.1553763733,6.9691276821293267,0,-0.53416537092847505,0,-0.4791064411392415
33,129.15851272015661,189143.53291551128,-9.5792584874236404,0,-0.56596640302459011,0,-0.50951847109436899
34,133.07240704500984,183115.94642658255,-3.8187232284589263,0,-0.59835302403559065,0,-0.54086625581734682
35,136.98630136986307,177163.11924901331,4.2622252265174181,0,-0.63140167741611286,0,-0.57314979530817456
36,140.9001956947163,171264.73594193839,-15.542633191703883,0,-0.66526204053969806,0,-0.60636908956685243
37,144.81409001956953,165513.61876414038,20.525510080613994,0,-0.69941908323932123,0,-0.64052413859338042
38,148.72798434442277,159810.9802929025,5.4433504422896375,0,-0.73448081958288924,0,-0.67561494238775843
39,152.641878669276,154221.52086079205,-3.5025062412537764,0,-0.77008254728842207,0,-0.71164150094998635
40,156.55577299412923,148766.28140157167,8.1266395212606373,0,-0.80609607003951378,0,-0.74860381428006462
41,160.46966731898246,143422.85091959604,12.113567715840333,0,-0.8426752969017437,0,-0.78650188237799312
42,164.38356164383569,138190.90865026275,3.1074466204107902,0,-0.87983643811307011,0,-0.82533570524377153
43,168.29745596868892,133099.13655035073,5.5125629318369391,0,-0.91737832512098461,0,-0.86510528287739985
44,172.21135029354215,128137.14245417755,5.3842790759242778,0,-0.95537144749968206,0,-0.90581061527887818
45,176.12524461839539,123296.7330569332,-8.328151785017134,0,-0.99387864934533843,0,-0.94745170244820709
46,180.03913894324862,118613.45986662521,-2.2683079011276117,0,-1.0326025935512777,0,-0.9900285443853859
47,183.95303326810185,114071.13857895245,5.8120492709340645,0,-1.0716502868802653,0,-1.0335411410904145
48,187.86692759295508,109669.92530508498,15.092861726230225,0,-1.1109973875920554,0,-1.0779894925632934
49,191.78082191780831,105384.48187369603,-0.18645946593439075,0,-1.1508571688080993,0,-1.1233735988040221
50,195.69471624266154,101265.54586300752,10.804663082986357,0,-1.1907263296875834,0,-1.1696934598126014
51,199.60861056751477,97266.868369833406,2.3869809096913546,0,-1.2310141421444092,0,-1.21694907558903
52,203.522504892368,93422.055108145709,9.1736756112978277,0,-1.2713451098554125,0,-1.2651404461333096
53,207.43639921722124,89691.744023782157,-6.7906340429159933,0,-1.3120938383158225,0,-1.3142675714454386
54,211.35029354207447,86114.654769805828,-5.0185022168393267,0,-1.3527929599401076,0,-1.3643304515254182
55,215.2641878669277,82681.563933519763,7.3582648806600144,0,-1.3934759131415682,0,-1.4153290863732479
56,219.17808219178093,79367.025287551369,7.2725606556288067,0,-1.4343895799287196,0,-1.4672634759889271
57,223.09197651663416,76178.015026145717,4.3321196239994677,0,-1.4753996589295977,0,-1.5201336203724565
58,227.00587084148739,73103.838807329652,-9.3071613371508448,0,-1.5165916834349447,0,-1.5739395195238364
59,230.91976516634062,70167.928173340842,-7.1770079530863988,0,-1.5575812202658372,0,-1.628681173443066
60,234.83365949119386,67348.182960944687,-8.1849327997987817,0,-1.5985966398341247,0,-1.6843585821301459
61,238.74755381604709,64639.333620229954,-14.280769809198501,0,-1.6396494582092715,0,-1.7409717455850755
62,242.66144814090032,62046.057705245585,-17.367248491826924,0,-1.6805955878057965,0,-1.7985206638078555
63,246.57534246575355,59570.177667654541,-12.127431109852079,0,-1.7213174891376721,0,-1.8570053367984853
64,250.48923679060678,57210.387657427149,3.6787169596864167,0,-1.7617370789753906,0,-1.9164257645569669
65,254.40313111546001,54937.628647198981,4.5679479177712352,0,-1.8022740461323359,0,-1.9767819470832966
