Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,358795.67308834824,15.175988211958444,0,0,0,-0
1,3.9138943248532287,358645.96768844553,7.7217609953396007,0,-0.0004173312324425491,0,-0.00023023658110193692
2,7.8277886497064575,358214.59875756933,2.7355609789295006,0,-0.0016208260350121563,0,-0.0009209463244077477
3,11.741682974559687,357518.38613106351,15.926546609727223,0,-0.003566280166063879,0,-0.002072129229917433
4,15.655577299412915,356515.77786113106,3.8972466388943761,0,-0.0063745741649125975,0,-0.0036837852976309908
5,19.569471624266143,355240.98634197662,-1.7119459566682007,0,-0.0099566767774561561,0,-0.0057559145275484233
6,23.483365949119371,353699.96215230721,1.7627085892970948,0,-0.014304081508542638,0,-0.0082885169196697302
7,27.397260273972599,351889.53417384758,7.1632512290810411,0,-0.019435767739415747,0,-0.011281592473994906
8,31.311154598825826,349814.87174248893,14.990111013909944,0,-0.025348994047034088,0,-0.014735141190523963
9,35.225048923679054,347448.90393860778,-7.1576845236696123,0,-0.032135455546942873,0,-0.018649163069256892
10,39.138943248532286,344850.23613964365,-6.6421867418781098,0,-0.039642846077380306,0,-0.023023658110193693
11,43.052837573385517,342018.9438305131,10.033752687705334,0,-0.047886943869050638,0,-0.027858626313334373
12,46.966731898238748,338919.23381000356,-0.083313758596280457,0,-0.056991240068171307,0,-0.033154067678678928
13,50.88062622309198,335607.4667483755,11.65647295738199,0,-0.066810847417105121,0,-0.03890998220622735
14,54.794520547945211,332059.17250594124,12.555091981194833,0,-0.07743988723999036,0,-0.045126369895979672
15,58.708414872798443,328275.30293246516,-5.1451213524301949,0,-0.08890047616936117,0,-0.05180323074793583
16,62.622309197651674,324304.12989355123,-2.3262893510068912,0,-0.10107132268915853,0,-0.058940564762095901
17,66.536203522504906,320146.0799248768,11.878318136185319,0,-0.1139756793202093,0,-0.066538371938459823
18,70.450097847358137,315764.30051890836,-9.3095112599439656,0,-0.12775701987201982,0,-0.074596652277027622
19,74.363992172211368,311225.18121108628,-9.7509039381099516,0,-0.14223636519616262,0,-0.083115405777799301
20,78.2778864970646,306527.54356363497,-1.1581915770865809,0,-0.15744545456829265,0,-0.092094632440774843
21,82.191780821917831,301664.39204468217,-1.3017669446511293,0,-0.17343795589488814,0,-0.10153433226595426
22,86.105675146771063,296641.46802154422,-15.413527156498048,0,-0.1902288395175917,0,-0.11143450525333758
23,90.019569471624294,291515.10708474496,1.713072905194382,0,-0.20766124093364047,0,-0.12179515140292471
24,93.933463796477525,286256.0051587841,9.5315780150928404,0,-0.22586653734586093,0,-0.13261627071471582
25,97.847358121330757,280874.44915739045,7.015229480286421,0,-0.24484530137772212,0,-0.14389786318871076
26,101.76125244618399,275381.93325105961,-5.6853523771899717,0,-0.26459408842024845,0,-0.15563992882490957
27,105.67514677103722,269811.83415540401,-6.526304244546445,0,-0.28502826520710162,0,-0.16784246762331217
28,109.58904109589045,264180.74282942811,9.8007124434072317,0,-0.30611956989246242,0,-0.18050547958391872
