Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,27037.81492192411,8.3346725829491337,0,0,0,-0
1,3.9138943248532287,26953.409870763502,-23.576657346724801,0,-0.0031266236409746421,0,-0.003611908164377277
2,7.8277886497064575,26831.334729455852,11.106714261707287,0,-0.0076660279586961916,0,-0.014447632657509108
3,11.741682974559687,26580.609760427331,19.255297939642379,0,-0.017054445214237164,0,-0.032507173479395503
4,15.655577299412915,26223.533314702345,19.644487983213288,0,-0.030579213080128211,0,-0.057790530630036432
5,19.569471624266143,25748.890819115055,-3.7489347916227249,0,-0.04884488761292418,0,-0.090297704109431928
6,23.483365949119371,25227.265135798974,13.68135576815456,0,-0.06931107934430282,0,-0.13002869391758198
7,27.397260273972599,24592.868633425362,-0.8530299688798092,0,-0.094779930848047533,0,-0.17698350005448651
8,31.311154598825826,23908.511708773716,7.5975971785033556,0,-0.12300190483145471,0,-0.23116212252014573
9,35.225048923679054,23146.094846052387,2.3921027172759497,0,-0.15541036166186958,0,-0.29256456131455943
10,39.138943248532286,22331.304409121032,0.18199617324760445,0,-0.1912469595658963,0,-0.36119081643772771
11,43.052837573385517,21468.388284308887,-4.1227385795619762,0,-0.23065489800310193,0,-0.43704088788965056
12,46.966731898238748,20559.68148755626,-17.641186091608681,0,-0.2739044901925044,0,-0.52011477567032804
13,50.88062622309198,19655.274811584786,0.32532705172675452,0,-0.31889069826833255,0,-0.61041247977975999
14,54.794520547945211,18730.201633969125,15.644926301968468,0,-0.36709915711637292,0,-0.70793400021794683
15,58.708414872798443,17777.674840158481,12.739935285491942,0,-0.41929299116933377,0,-0.8126793369848877
16,62.622309197651674,16822.985259192283,8.6132390638771206,0,-0.4744903173018839,0,-0.92464849008058358
17,66.536203522504906,15854.181398076535,-16.365817758864985,0,-0.53380316267350358,0,-1.0438414595050338
18,70.450097847358137,14935.954919982025,-4.4924816648792296,0,-0.59346505078646294,0,-1.1702582452582386
19,74.363992172211368,14049.023627431132,18.71711255768323,0,-0.65468353815359581,0,-1.303898847340198
20,78.2778864970646,13153.837463588603,8.2706170280497062,0,-0.72052290043104228,0,-1.444763265750912
21,82.191780821917831,12286.748489286847,-4.1125818856506582,0,-0.78871511579322418,0,-1.5928515004903803
22,86.105675146771063,11466.88532875595,-3.1278144674436459,0,-0.85777309391141598,0,-1.7481635515586038
23,90.019569471624294,10656.498090431978,-29.557783047803049,0,-0.93106658338274728,0,-1.9106994189555806
24,93.933463796477525,9943.237608839725,1.9748250055815353,0,-1.000343755999259,0,-2.0804591026813135
25,97.847358121330757,9223.1785924160176,-14.013157485481946,0,-1.0755167109333783,0,-2.257442602735801
26,101.76125244618399,8559.9398315214003,-14.7981237665753,0,-1.1501432777080192,0,-2.4416499191190422
27,105.67514677103722,7940.2190394596955,-13.974740750952217,0,-1.2252955770968428,0,-2.6330810518310375
28,109.58904109589045,7361.2432258840436,-14.07018217514317,0,-1.3010076037727714,0,-2.8317360008717873
29,113.50293542074368,6833.7658618384676,-3.6142742486037358,0,-1.375360546481591,0,-3.0376147662412927
30,117.41682974559691,6369.6389898607922,30.364387230153621,0,-1.4456936443222648,0,-3.2507173479395521
31,121.33072407045015,5895.2462481954599,15.70386998002628,0,-1.5230901333095941,0,-3.4710437459665671
32,125.24461839530338,5460.2222893723365,3.7626890578388323,0,-1.5997469375417477,0,-3.6985939603223366
33,129.15851272015661,5068.4630521533027,0.36749857506772099,0,-1.6741988126957883,0,-3.9333679910068589
34,133.07240704500984,4699.80975813649,-12.561546296284721,0,-1.749714407904531,0,-4.1753658380201371
35,136.98630136986307,4380.8920875729764,-6.2216014684423948,0,-1.8199840621973926,0,-4.4245875013621685
36,140.9001956947163,4094.4331446445976,4.3290179269924352,0,-1.887608157302068,0,-4.6810329810329563
37,144.81409001956953,3805.608847055807,-13.513041196096861,0,-1.9607604479292216,0,-4.9447022770324986
38,148.72798434442277,3566.6797565411462,-5.3018357005894536,0,-2.025601315957811,0,-5.2155953893607938
39,152.641878669276,3340.3643446698816,-6.2004898393406744,0,-2.0911565525393407,0,-5.4937123180178435
40,156.55577299412923,3123.3559120237564,-17.490065877599882,0,-2.1583284022165792,0,-5.7790530630036496
41,160.46966731898246,2958.8999262750167,5.9876828316148494,0,-2.2124188860795204,0,-6.0716176243182103
42,164.38356164383569,2790.4091691718877,9.4308197312550508,0,-2.2710481981115378,0,-6.3714060019615246
43,168.29745596868892,2636.8785894041357,13.482547084001766,0,-2.327640573679465,0,-6.6784181959335926
44,172.21135029354215,2485.2944868429367,6.6355362786567031,0,-2.3868452805099492,0,-6.9926542062344152
45,176.12524461839539,2341.6711287802177,-3.7321403059832114,0,-2.4463716067302896,0,-7.3141140328639951
46,180.03913894324862,2214.7310981203227,-7.6737452737904075,0,-2.5021054430787637,0,-7.6427976758223286
47,183.95303326810185,2120.2285393181992,11.655271111956258,0,-2.5457125543701542,0,-7.9787051351094158
48,187.86692759295508,2005.8405220356215,2.8968808099655825,0,-2.6011732529104266,0,-8.3218364107252558
49,191.78082191780831,1912.6802923866278,8.0136749445856523,0,-2.6487308860047696,0,-8.6721915026698522
50,195.69471624266154,1796.8371921631742,-16.160199144562018,0,-2.7112084349099796,0,-9.029770410943204
51,199.60861056751477,1723.6289747256187,-3.6552185946182654,0,-2.7528045016050813,0,-9.3945731355453077
52,203.522504892368,1636.8421929778128,-10.114632262338358,0,-2.8044675452026144,0,-9.7665996764761687
53,207.43639921722124,1573.2453834243975,1.7297061786728172,0,-2.844095829808071,0,-10.145850033735782
54,211.35029354207447,1505.2219243345955,4.7003491692646913,0,-2.8882960934494886,0,-10.532324207324153
55,215.2641878669277,1442.1034800008508,8.5167777461661025,0,-2.9311336410780333,0,-10.926022197241279
56,219.17808219178093,1365.9170468174398,-4.4496876321629397,0,-2.9854104065780742,0,-11.326944003487156
