Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,960207.96543652879,-7.5725258000855877,0,0,0,-0
1,3.9138943248532287,960193.30857998214,-3.0443290470813684,0,-1.5264368697549574e-05,0,-1.3483814016583861e-05
2,7.8277886497064575,960153.67159195943,14.870918127771835,0,-5.6545437626933025e-05,0,-5.3935256066335444e-05
3,11.741682974559687,960049.89420045703,7.0041704265131441,0,-0.00016463542709698354,0,-0.0001213543261492548
4,15.655577299412915,959896.9724216162,-11.66317546465981,0,-0.00032393335541224276,0,-0.00021574102426534178
5,19.569471624266143,959744.43968960596,8.3818530565618072,0,-0.00048285129849157414,0,-0.00033709535041459657
6,23.483365949119371,959531.44055706274,6.2575106183955036,0,-0.00070480910623543747,0,-0.00048541730459701913
7,27.397260273972599,959287.34861096891,11.305257038356608,0,-0.00095922807355898346,0,-0.00066070688681260897
8,31.311154598825826,958975.99515101605,-12.681555419704162,0,-0.0012838482188580551,0,-0.00086296409706136711
9,35.225048923679054,958677.06366323493,13.936802096193839,0,-0.0015956162822504223,0,-0.0010921889353432928
10,39.138943248532286,958300.00377376284,0.56040089875258992,0,-0.001989006376205893,0,-0.0013483814016583863
11,43.052837573385517,957900.53489820939,2.8533178428453496,0,-0.0024059448680583263,0,-0.0016315414960066475
12,46.966731898238748,957457.27887712815,-0.62371389920954456,0,-0.0028687889651835218,0,-0.0019416692183880768
13,50.88062622309198,956975.61990744562,-4.5533565117715007,0,-0.0033719760762608167,0,-0.0022787645688026729
14,54.794520547945211,956476.32215663383,11.755965103946121,0,-0.0038938577615731081,0,-0.0026428275472504389
15,58.708414872798443,955917.76724193082,6.6075626135762136,0,-0.0044779998415784483,0,-0.00303385815373137
16,62.622309197651674,955312.36009357998,-7.6776309050372191,0,-0.0051115260297025806,0,-0.003451856388245471
17,66.536203522504906,954704.01609590685,12.726103285875292,0,-0.0057485300112681019,0,-0.0038968222507927389
18,70.450097847358137,954026.13101335731,1.1192203519041091,0,-0.006458829591412571,0,-0.0043687557413731749
19,74.363992172211368,953316.54658997548,-4.7574623800381408,0,-0.0072028851451949325,0,-0.0048676568599867777
20,78.2778864970646,952584.23097527702,3.9576882300403868,0,-0.0079713571027676469,0,-0.0053935256066335487
21,82.191780821917831,951799.75134063046,-2.2802331677062235,0,-0.0087952242286244223,0,-0.0059463619813134878
22,86.105675146771063,950966.52989149909,-20.166627373810236,0,-0.0096710243840174952,0,-0.006526165984026595
23,90.019569471624294,950133.57019588561,-0.82102989095834666,0,-0.010547316746399511,0,-0.0071329376147728669
24,93.933463796477525,949231.16201132815,-14.082250148930237,0,-0.011497537877871273,0,-0.0077666768735523122
25,97.847358121330757,948328.78425419296,9.3946330310841137,0,-0.012448630703089963,0,-0.0084273837603649239
26,101.76125244618399,947354.07333190879,-2.8933596356253988,0,-0.013476978883039902,0,-0.009115058275210702
27,105.67514677103722,946337.97533019935,-20.144882527661338,0,-0.014550118626052827,0,-0.0098297004180896447
28,109.58904109589045,945318.57555528008,-4.4246833641675822,0,-0.015627903991606407,0,-0.010571310189001756
29,113.50293542074368,944258.8922098378,7.1301137294628747,0,-0.016749512895830262,0,-0.011339887587947038
30,117.41682974559691,943142.31948790955,-2.2468545450600041,0,-0.017932698373584549,0,-0.012135432614925485
31,121.33072407045015,941986.89265141904,-14.686070399297297,0,-0.019158531567124076,0,-0.012957945269937106
32,125.24461839530338,940823.18510494218,0.21498488642323382,0,-0.020394670791581773,0,-0.013807425552981893
33,129.15851272015661,939615.07305546943,6.1565371418903494,0,-0.021679597016039977,0,-0.014683873464059841
34,133.07240704500984,938363.74766227475,4.1487169115933789,0,-0.023012227144320663,0,-0.015587289003170964
35,136.98630136986307,937087.88254976785,12.679121342817643,0,-0.024372822415112256,0,-0.016517672170315249
36,140.9001956947163,935763.89227961632,7.9713366255383882,0,-0.02578669884516983,0,-0.017475022965492703
37,144.81409001956953,934386.98467230448,-14.962688867872329,0,-0.027259208761963343,0,-0.018459341388703331
38,148.72798434442277,933015.7025661848,2.2191672810895726,0,-0.028727860769344138,0,-0.019470627439947118
39,152.641878669276,931604.40984174109,13.675279848458793,0,-0.030241620043468361,0,-0.020508881119224071
40,156.55577299412923,930128.61963121721,-5.2914591715774764,0,-0.031827014400526238,0,-0.021574102426534202
41,160.46966731898246,928643.18529547378,-0.042607289816089008,0,-0.033425311349107756,0,-0.022666291361877498
42,164.38356164383569,927115.83945153339,-3.0650864125888937,0,-0.035071372252960982,0,-0.023785447925253961
43,168.29745596868892,925578.20435886702,17.039262154280664,0,-0.036731263642852806,0,-0.024931572116663588
44,172.21135029354215,923953.94520066818,-16.292981210012133,0,-0.038487664120830795,0,-0.02610466393610638
45,176.12524461839539,922355.18689111946,8.8300537244070991,0,-0.040219507051522579,0,-0.027304723383582353
46,180.03913894324862,920703.04688228457,13.288395892666344,0,-0.042012332064958018,0,-0.028531750459091489
47,183.95303326810185,919016.20221123064,15.517343065760096,0,-0.043846139201130466,0,-0.029785745162633791
48,187.86692759295508,917281.12109364395,1.7391194694053127,0,-0.045735900311083724,0,-0.031066707494209256
49,191.78082191780831,915524.0490774574,-2.050905573831908,0,-0.047653259104120049,0,-0.032374637453817891
50,195.69471624266154,913737.46494787536,-3.6282466493359089,0,-0.049606598945305821,0,-0.033709535041459696
51,199.60861056751477,911921.34784684889,-3.2721158647665609,0,-0.051596146704569516,0,-0.035071400257134656
52,203.522504892368,910073.47346356767,-3.4691645410203131,0,-0.05362455534245255,0,-0.036460233100842808
53,207.43639921722124,908198.68206830102,0.35461934926062472,0,-0.055686724148093933,0,-0.037876033572584109
54,211.35029354207447,906280.83574888413,-8.2087827611122126,0,-0.057800660419932683,0,-0.039318801672358593
55,215.2641878669277,904338.16851761029,-11.199242736366061,0,-0.059946521003687622,0,-0.04078853740016624
56,219.17808219178093,902356.46913913684,-23.105586610748436,0,-0.062140251069527239,0,-0.042285240756007043
57,223.09197651663416,900388.12154271116,8.174889636185755,0,-0.064323975140919989,0,-0.043808911739881017
58,227.00587084148739,898348.24925429968,-2.5190750409377793,0,-0.066592093133101285,0,-0.045359550351788173
59,230.91976516634062,896280.33363921044,-11.994390645918315,0,-0.068896655258130074,0,-0.046937156591728479
60,234.83365949119386,894209.58625678357,4.6688127266495227,0,-0.071209707437492914,0,-0.048541730459701962
61,238.74755381604709,892088.06061293278,-0.77098771981305758,0,-0.073585041296412079,0,-0.050173271955708601
62,242.66144814090032,889967.59923207946,23.230439955115102,0,-0.075964834957618452,0,-0.051831781079748424
63,246.57534246575355,887776.28399582324,4.453497200264791,0,-0.078430112849172326,0,-0.053517257831821402
64,250.48923679060678,885570.78373214346,-0.73757912120713787,0,-0.080917501179357462,0,-0.055229702211927592
65,254.40313111546001,883331.44720384898,-12.301651028488292,0,-0.083449396594945949,0,-0.056969114220066897
66,258.31702544031322,881081.65290640469,-7.1708038051788865,0,-0.085999587949333198,0,-0.058735493856239364
67,262.23091976516645,878792.70479531726,-14.354540324763629,0,-0.08860085251321026,0,-0.060528841120445008
68,266.14481409001968,876488.44901741331,-10.322971014618311,0,-0.091226365920635738,0,-0.062349156012683857
69,270.05870841487291,874164.80924702866,0.52860154895593159,0,-0.093880964852722765,0,-0.064196438532955841
70,273.97260273972614,871802.07274791552,-1.8341758312660403,0,-0.09658747431263319,0,-0.066070688681260994
71,277.88649706457937,869418.84743293514,0.87243272792115756,0,-0.099324894677363995,0,-0.067971906457599332
72,281.8003913894326,866999.13291740802,-7.6786140849054707,0,-0.10211191497911885,0,-0.069900091861970812
73,285.71428571428584,864573.57205511082,2.8264819081070063,0,-0.1049134865698592,0,-0.071855244894375475
