Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,298668.6319260532,5.2833304946203512,0,0,0,-0
1,3.9138943248532287,298142.21984174766,1.8315824387335513,0,-0.0017640839447276536,0,-0.0011712647443727982
2,7.8277886497064575,296571.55978182401,-6.1824682660220285,0,-0.0070461667400949085,0,-0.0046850589774911928
3,11.741682974559687,293989.81707811594,-4.1663381110154232,0,-0.015789573444597506,0,-0.010541382699355187
4,15.655577299412915,290423.19800286501,3.5679137914453203,0,-0.027995541704579428,0,-0.018740235909964771
5,19.569471624266143,285898.99185400538,2.4862641842021418,0,-0.043696131291614988,0,-0.029281618609319954
6,23.483365949119371,280481.77036551386,4.9011580884692236,0,-0.062825971328165933,0,-0.04216553079742074
7,27.397260273972599,274218.95291955018,-3.3920439524499226,0,-0.085407818869136856,0,-0.05739197247426709
8,31.311154598825826,267193.3722317121,-9.3079119228044576,0,-0.11136206756190718,0,-0.074960943639859084
9,35.225048923679054,259489.56215833934,-4.807818024910163,0,-0.14061822549431699,0,-0.094872444294196653
10,39.138943248532286,251188.68728728491,9.4994520461139853,0,-0.17313030549914871,0,-0.11712647443727982
11,43.052837573385517,242343.70971630869,1.0478688514111432,0,-0.20897769780924499,0,-0.14172303406910861
12,46.966731898238748,233088.36284114173,15.824034584396365,0,-0.2479170830606566,0,-0.16866212318968299
13,50.88062622309198,223436.33396652044,-20.940899099443477,0,-0.29020819013139237,0,-0.19794374179900293
14,54.794520547945211,213573.68048115645,-10.909271969484532,0,-0.33535282362191327,0,-0.22956788989706861
15,58.708414872798443,203547.72595491429,7.608574163371725,0,-0.38343420143192503,0,-0.26353456748387971
16,62.622309197651674,193403.52440423917,-2.6565133713954756,0,-0.43455589814840473,0,-0.29984377455943656
17,66.536203522504906,183271.1431241426,10.428189814041387,0,-0.4883679917070658,0,-0.33849551112373893
18,70.450097847358137,173171.94015299311,-4.4111799146204973,0,-0.54504972974570454,0,-0.37948977717678689
19,74.363992172211368,163226.19066780206,6.5109319093556035,0,-0.60419779270748142,0,-0.42282657271858043
20,78.2778864970646,153452.74055712658,2.0534976286286049,0,-0.66594206387864274,0,-0.4685058977491196
21,82.191780821917831,143951.1252027654,28.749837346827626,0,-0.72986087074489181,0,-0.51652775226840442
22,86.105675146771063,134672.13208324957,-8.4198838535577476,0,-0.7964915311486187,0,-0.56689213627643487
23,90.019569471624294,125776.29423758635,12.512926707905681,0,-0.86482981796822755,0,-0.61959904977321056
24,93.933463796477525,117210.32019638199,6.8357269285346902,0,-0.93536477484541691,0,-0.6746484927587324
25,97.847358121330757,109025.04056981103,0.87133049548145369,0,-1.0077571185512104,0,-0.73204046523299982
26,101.76125244618399,101249.84373669357,6.071891235026202,0,-1.0817435417505656,0,-0.79177496719601248
27,105.67514677103722,93874.679988188058,0.58987972938258593,0,-1.1573740032303452,0,-0.85385199864777062
28,109.58904109589045,86923.389042611743,2.1014748101569918,0,-1.2343075594006119,0,-0.91827155958827456
29,113.50293542074368,80386.710237697233,0.26183561018881074,0,-1.312485837423649,0,-0.98503365001752408
30,117.41682974559691,74257.897346228288,-8.2665957330730695,0,-1.3917905708025422,0,-1.0541382699355193
31,121.33072407045015,68558.898150606474,5.7651268549185319,0,-1.4716415015498872,0,-1.1255854193422603
32,125.24461839530338,63232.307782588046,-4.452481442684844,0,-1.5525193347680735,0,-1.1993750982377469
33,129.15851272015661,58282.043813613658,-21.694618507279714,0,-1.6340406548148489,0,-1.2755073066219784
34,133.07240704500984,53735.297991451567,-3.3053582341789038,0,-1.7152646005423771,0,-1.3539820444949564
35,136.98630136986307,49517.096823668282,-7.1552316339315301,0,-1.7970167040764691,0,-1.4347993118566793
36,140.9001956947163,45658.009296821576,15.592045254273009,0,-1.8781556626486478,0,-1.517959108707148
37,144.81409001956953,42051.208949743923,-22.884281998316325,0,-1.9604465680978744,0,-1.6034614350463627
38,148.72798434442277,38803.314293003059,3.4037871527275398,0,-2.0408290414908121,0,-1.6913062908743226
39,152.641878669276,35818.423186379405,17.965015876158464,0,-2.120872329211843,0,-1.7814936761910276
40,156.55577299412923,33037.605813565511,-18.948850022161974,0,-2.2016882216373461,0,-1.8740235909964791
41,160.46966731898246,30549.483302526478,0.014405675889564453,0,-2.2799869320944062,0,-1.9688960352906761
42,164.38356164383569,28261.22455478675,0.1296960736759748,0,-2.3578439963437057,0,-2.0661110090736186
43,168.29745596868892,26177.067226980871,2.9836002439889278,0,-2.4344509736036137,0,-2.1656685123453063
44,172.21135029354215,24276.222030414519,4.2846992960315058,0,-2.5098373503756735,0,-2.2675685451057395
45,176.12524461839539,22537.801039046939,-1.2689407849910153,0,-2.5841407587033847,0,-2.3718111073549193
