Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,936633.50655940501,-6.0550817140923989,0,0,0,-0
1,3.9138943248532287,936586.80715916061,-10.708180484362844,0,-4.9860019039995485e-05,0,-2.743471977481266e-05
2,7.8277886497064575,936475.04882694257,3.6593404585043303,0,-0.00016919225784840192,0,-0.00010973887909925064
3,11.741682974559687,936275.68572038377,14.462492105707431,0,-0.00038210164683880309,0,-0.00024691247797331404
4,15.655577299412915,935976.26004671527,9.1782610790372559,0,-0.00070195782527490334,0,-0.00043895551639700257
5,19.569471624266143,935600.60246289021,11.546045441227404,0,-0.0011033921413265461,0,-0.00068586799437031661
6,23.483365949119371,935135.89906635345,8.6346953736675918,0,-0.0016002054613372507,0,-0.00098764991189325595
7,27.397260273972599,934598.39904250333,16.550224740106714,0,-0.0021751535052389115,0,-0.0013443012689658201
8,31.311154598825826,933950.19698662765,-2.781788729965597,0,-0.002868956260227303,0,-0.0017558220655880103
9,35.225048923679054,933235.53745963308,-5.3115553785199552,0,-0.0036344500712696243,0,-0.0022222123017598258
10,39.138943248532286,932449.23735880537,3.5574034662598204,0,-0.004477357895780752,0,-0.0027434719774812664
11,43.052837573385517,931549.18404115993,-18.5335008836254,0,-0.005443081232520736,0,-0.0033196010927523324
12,46.966731898238748,930616.65449648094,9.4213826430735672,0,-0.00644463501826055,0,-0.0039505996475730247
13,50.88062622309198,929571.2490273281,6.7257727120917776,0,-0.0075686134907901109,0,-0.0046364676419433405
14,54.794520547945211,928430.93670534075,-8.9729266852283374,0,-0.008796074334394657,0,-0.0053772050758632856
15,58.708414872798443,927236.62557823514,2.8867556703466657,0,-0.010083278267129124,0,-0.0061728119493328513
16,62.622309197651674,925968.0134778939,21.631354586650154,0,-0.011452379414154643,0,-0.0070232882623520463
17,66.536203522504906,924598.53201501293,20.29666456352874,0,-0.012932446927765743,0,-0.0079286340149208653
