Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,191927.13901545483,-2.8140347975687248,0,0,0,-0
1,3.9138943248532287,191846.075231027,-4.2393158936582624,0,-0.00042245671466469752,0,-0.0006810239615909849
2,7.8277886497064575,191621.14337995806,9.4840998105906742,0,-0.0015956045924992641,0,-0.0027240958463639396
3,11.741682974559687,191215.54136434774,0.77501953761314346,0,-0.0037145351105579011,0,-0.0061292156543188659
4,15.655577299412915,190645.63769092635,-15.29110790524191,0,-0.0066994109125978864,0,-0.010896383385455758
5,19.569471624266143,189962.94560574382,11.000037921904584,0,-0.010286785697550069,0,-0.017025599039774623
6,23.483365949119371,189090.92414114389,0.8139204089225871,0,-0.014887836221311243,0,-0.02451686261727546
7,27.397260273972599,188072.68836317695,-5.5083607966854542,0,-0.020287287377348105,0,-0.03337017411795825
8,31.311154598825826,186912.88576185179,-6.5565478004950979,0,-0.026473158939742107,0,-0.043585533541823034
9,35.225048923679054,185616.23086254569,-1.2967576763345314,0,-0.033434548414358049,0,-0.055162940888869777
10,39.138943248532286,184181.27610114421,4.7217850780952695,0,-0.041195346887298583,0,-0.068102396159098494
11,43.052837573385517,182593.54048727566,-7.4798674244482113,0,-0.049853223382333826,0,-0.082403899352509177
12,46.966731898238748,180886.75562560148,-9.0375439425061828,0,-0.059244639778725253,0,-0.098067450469101855
13,50.88062622309198,179068.29043615487,2.2094434138290824,0,-0.069348571810373572,0,-0.11509304950887647
14,54.794520547945211,177100.60223255117,-16.800347374652947,0,-0.080397870405290284,0,-0.13348069647183314
15,58.708414872798443,175064.29405923359,8.7384540972686491,0,-0.091962514636062323,0,-0.15323039135797167
16,62.622309197651674,172884.44229815688,-2.1417029489786286,0,-0.10449240799465354,0,-0.17434213416729225
17,66.536203522504906,170619.27080641125,2.5262824589853636,0,-0.11768122802677083,0,-0.19681592489979477
18,70.450097847358137,168250.62577591912,-1.8470459121466132,0,-0.13166112787101242,0,-0.22065176355547927
19,74.363992172211368,165803.58428609482,3.2350015878217517,0,-0.1463119551125136,0,-0.24584965013434573
20,78.2778864970646,163260.92884608771,-6.1360990373555389,0,-0.1617661043366718,0,-0.27240958463639414
21,82.191780821917831,160667.45672080037,8.0690238649680417,0,-0.17777907299110865,0,-0.30033156706162456
22,86.105675146771063,157980.76308784026,-3.3659886237263064,0,-0.19464254270497877,0,-0.32961559741003699
23,90.019569471624294,155248.9087676373,0.79691668361729207,0,-0.21208612379390498,0,-0.3602616756816312
24,93.933463796477525,152456.14381480549,-1.9948171921598563,0,-0.23023884256518329,0,-0.3922698018764077
25,97.847358121330757,149620.75788466452,-0.20383483665485511,0,-0.24901200388269071,0,-0.42563997599436609
26,101.76125244618399,146729.96044868801,-13.293912010849482,0,-0.26852192204318892,0,-0.46037219803550633
27,105.67514677103722,143843.74838500575,12.164796733891169,0,-0.28838818592079463,0,-0.49646646799982846
28,109.58904109589045,140882.47720207862,-9.9075778648024624,0,-0.30918976790354891,0,-0.53392278588733255
29,113.50293542074368,137943.82165314475,11.88359351155005,0,-0.33026930290706302,0,-0.57274115169801876
30,117.41682974559691,134950.01045730495,-6.3361803262909477,0,-0.35221139875666019,0,-0.61292156543188692
31,121.33072407045015,131961.41938450758,-10.097780107340949,0,-0.37460621323597315,0,-0.65446402708893725
32,125.24461839530338,128983.90930887237,0.76715689562450406,0,-0.39742815316890323,0,-0.69736853666916943
33,129.15851272015661,126000.99373599909,4.3092468453585688,0,-0.42082602199686814,0,-0.74163509417258333
34,133.07240704500984,123011.51598182454,-5.8480858388212607,0,-0.44483783885260741,0,-0.78726369959917952
35,136.98630136986307,120051.4293929101,1.2828912742763814,0,-0.46919558646802889,0,-0.83425435294895733
36,140.9001956947163,117097.46497660097,-2.2689393470538168,0,-0.49410919370533002,0,-0.88260705422191743
37,144.81409001956953,114168.9973175488,-1.5604382593746098,0,-0.51943603242480951,0,-0.93232180341805948
38,148.72798434442277,111272.25157557953,5.4780196431902652,0,-0.54513590050219263,0,-0.98339860053738337
39,152.641878669276,108384.18476504856,-8.0728284005058146,0,-0.57143363435074312,0,-1.0358374455798889
40,156.55577299412923,105542.07726117429,-8.5280750895175821,0,-0.59800610571013446,0,-1.089638338545577
41,160.46966731898246,102747.98253986206,2.8509515404201391,0,-0.62483659717585172,0,-1.1448012794344469
42,164.38356164383569,99972.084419212639,-6.7878050080926879,0,-0.65222482450190666,0,-1.2013262682464989
43,168.29745596868892,97262.847276153872,8.259877236478296,0,-0.67969873627012656,0,-1.2592133049817325
44,172.21135029354215,94573.659569342766,-1.1065436302882663,0,-0.70773681849506254,0,-1.3184623896401479
45,176.12524461839539,91936.178084770567,-5.4539255372945705,0,-0.73602119586434411,0,-1.3790735222217461
46,180.03913894324862,89357.787670537786,0.63738702000609948,0,-0.76446741874815927,0,-1.4410467027265259
47,183.95303326810185,86817.788755766975,-5.2468056097435714,0,-0.7933042754592633,0,-1.5043819311544877
48,187.86692759295508,84344.113031337751,3.3523772401270713,0,-0.82221080131409774,0,-1.569079207505631
49,191.78082191780831,81925.102221177483,13.536187065887553,0,-0.85131037338583726,0,-1.6351385317799565
50,195.69471624266154,79537.307602930086,0.83766951434851233,0,-0.88088962610282073,0,-1.7025599039774644
51,199.60861056751477,77197.386125083023,-18.892817716621344,0,-0.91075021773675047,0,-1.7713433240981535
52,203.522504892368,74950.749752599193,-0.84925072800000379,0,-0.94028458784207969,0,-1.8414887921420253
53,207.43639921722124,72734.848755253974,-7.9979309500468343,0,-0.9702951958819479,0,-1.9129963081090786
54,211.35029354207447,70597.383678451835,7.1230150129046956,0,-1.0001227302772406,0,-1.9858658719993145
55,215.2641878669277,68487.267608251001,-6.645670138959896,0,-1.0304679620515862,0,-2.0600974838127324
56,219.17808219178093,66437.15802138795,-16.564110860013546,0,-1.0608593069952466,0,-2.1356911435493315
57,223.09197651663416,64473.889948413409,4.428338799072348,0,-1.0908554808669773,0,-2.2126468512091124
58,227.00587084148739,62540.593466840626,-0.18080666148283375,0,-1.1212999743299814,0,-2.2909646067920764
59,230.91976516634062,60666.937248028225,-0.24481917504994299,0,-1.1517169571798165,0,-2.3706444102982211
60,234.83365949119386,58841.905829376825,-6.1914380779973479,0,-1.1822615304720003,0,-2.4516862617275486
61,238.74755381604709,57081.312338949094,-1.5208011822114453,0,-1.2126390321445941,0,-2.5340901610800577
62,242.66144814090032,55362.016385240167,-8.5978709828740474,0,-1.2432220819209925,0,-2.617856108355749
63,246.57534246575355,53703.68916856627,-6.897263523780012,0,-1.2736341169549181,0,-2.7029841035546216
64,250.48923679060678,52105.65813103284,3.8318671582557844,0,-1.3038422714848747,0,-2.789474146676679
65,254.40313111546001,50542.420030295973,-0.93020118744398095,0,-1.3343028314327146,0,-2.8773262377219151
66,258.31702544031322,49047.520284668339,13.396931971268099,0,-1.3643261858262161,0,-2.9665403766903333
67,262.23091976516645,47565.076920392181,-7.9904523428523984,0,-1.3950170018900596,0,-3.0571165635819337
68,266.14481409001968,46155.340954719781,-3.7275242600322303,0,-1.4251031311284765,0,-3.1490547983967181
69,270.05870841487291,44790.615974915971,-0.36855965787596312,0,-1.4551171630763999,0,-3.2423550811346828
70,273.97260273972614,43459.81629784606,-7.8355303977413637,0,-1.4852790678163881,0,-3.3370174117958293
71,277.88649706457937,42206.034623408064,18.143282408581459,0,-1.5145526043378341,0,-3.4330417903801593
72,281.8003913894326,40937.294947813396,-13.219585512348086,0,-1.5450743112363381,0,-3.5304282168876697
73,285.71428571428584,39744.722177564814,-9.6064815792666032,0,-1.5746387588331574,0,-3.6291766913183623
74,289.62818003913907,38599.017222711162,0.87560751347577137,0,-1.6038890001157535,0,-3.7292872136722379
75,293.5420743639923,37495.148892797668,14.382556169437921,0,-1.6329042539613492,0,-3.8307597839492948
76,297.45596868884553,36402.129910883312,1.1051595010855637,0,-1.6624885287448177,0,-3.9335944021495335
77,301.36986301369876,35361.579908219333,3.8286004792037236,0,-1.6914898982772859,0,-4.037791068272953
78,305.28375733855199,34347.705250996267,-2.0908397098216591,0,-1.7205806041941292,0,-4.1433497823195555
79,309.19765166340522,33375.015068043409,-1.0124762163654779,0,-1.7493082475136215,0,-4.250270544289342
80,313.11154598825846,32430.236290552722,-5.0985270104927771,0,-1.7780246092463681,0,-4.358553354182308
81,317.02544031311169,31529.959906553628,3.3301524106397573,0,-1.8061776137515049,0,-4.468198211998458
