Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,896924.10625883169,-8.2836734477023111,0,0,0,-0
1,3.9138943248532287,896888.31284700916,-1.1221573088283867,0,-3.9907641898417309e-05,0,-3.1069411565312812e-05
2,7.8277886497064575,896773.01080458995,12.426032167438843,0,-0.00016847376645894374,0,-0.00012427764626125125
3,11.741682974559687,896554.643363112,8.7604793500194837,0,-0.00041200700150350792,0,-0.00027962470408781541
4,15.655577299412915,896235.85726620466,-9.5447880924935031,0,-0.00076763818111466424,0,-0.000497110585045005
5,19.569471624266143,895852.75382362586,-6.4902012142150287,0,-0.0011951878525360135,0,-0.0007767352891328203
6,23.483365949119371,895395.09986969212,7.5603701207867777,0,-0.0017061768404064385,0,-0.0011184988163512614
7,27.397260273972599,894836.52028419019,6.0722170855980417,0,-0.0023302073818627428,0,-0.0015224011667003272
8,31.311154598825826,894198.00303322333,9.8449290899946824,0,-0.0030440195188076954,0,-0.00198844234018002
9,35.225048923679054,893449.16770128021,-11.718960488250634,0,-0.0038818083039799628,0,-0.0025166223367903378
10,39.138943248532286,892658.07136016898,9.1920255055925342,0,-0.0047676413329732189,0,-0.0031069411565312812
11,43.052837573385517,891750.11869602744,-2.2914169900800947,0,-0.0057852927286109346,0,-0.0037593987994028505
12,46.966731898238748,890778.76098423556,6.979766601826956,0,-0.0068751576043090679,0,-0.0044739952654050466
13,50.88062622309198,889713.16075303813,5.8378349164609329,0,-0.0080721305817381649,0,-0.0052507305545378656
14,54.794520547945211,888554.59021171299,-4.8031227381685557,0,-0.0093751634963530981,0,-0.0060896046668013149
15,58.708414872798443,887341.12374233513,12.745520339782693,0,-0.010741760249414195,0,-0.0069906176021953849
16,62.622309197651674,885994.63718270522,-20.05355756635392,0,-0.012260352326631477,0,-0.0079537693607200852
17,66.536203522504906,884621.98756237736,3.2163568001584943,0,-0.01381082900930738,0,-0.0089790599423754097
18,70.450097847358137,883145.69792498217,4.6110972479138006,0,-0.015481059767242039,0,-0.010066489347161358
19,74.363992172211368,881572.67374502216,-9.4576861421741718,0,-0.017263808359682702,0,-0.011216057575077933
20,78.2778864970646,879942.01395113068,-0.41120941605640304,0,-0.019115238008357478,0,-0.012427764626125134
21,82.191780821917831,878224.12230722385,1.6081359035436913,0,-0.021069424424732714,0,-0.01370161050030296
22,86.105675146771063,876430.59926389426,7.6289586180788218,0,-0.023113728236647018,0,-0.015037595197611414
23,90.019569471624294,874533.27935270616,-11.111398826827482,0,-0.025280901045799924,0,-0.016435718718050486
24,93.933463796477525,872583.85481269716,-3.5428805035645357,0,-0.027512491945915488,0,-0.017895981061620197
25,97.847358121330757,870561.40315394732,8.7652139408225054,0,-0.029832955552727615,0,-0.019418382228320531
26,101.76125244618399,868437.6762959304,-3.1062512977624279,0,-0.032275427131810863,0,-0.021002922218151487
27,105.67514677103722,866254.00389814447,1.477476898924746,0,-0.034793077474132225,0,-0.022649601031113058
28,109.58904109589045,863986.00132027757,-2.5865917626471582,0,-0.037414683575009121,0,-0.024358418667205263
29,113.50293542074368,861638.34576553269,-11.362627486743406,0,-0.04013561992145543,0,-0.026129375126428097
30,117.41682974559691,859237.10981273279,0.45798425020363553,0,-0.042926336127486003,0,-0.027962470408781553
31,121.33072407045015,856748.31968936918,-1.8846397665242813,0,-0.045827050580722485,0,-0.029857704514265646
32,125.24461839530338,854176.17968241253,-14.994013583150572,0,-0.048833778166501605,0,-0.031815077442880361
33,129.15851272015661,851560.54542899283,0.15647589512714249,0,-0.051900648059219096,0,-0.033834589194625689
34,133.07240704500984,848861.65351212269,2.9536427458169627,0,-0.055075029321562705,0,-0.035916239769501652
35,136.98630136986307,846072.15527426626,-14.821195867553666,0,-0.058366604180658109,0,-0.038060029167508232
36,140.9001956947163,843257.5982130802,11.489674574638967,0,-0.061698765541830528,0,-0.040265957388645447
37,144.81409001956953,840334.23876669968,-2.7663406155891717,0,-0.065171534083676236,0,-0.042534024432913292
38,148.72798434442277,837336.77794284979,-23.815998931988645,0,-0.068744897375434835,0,-0.044864230300311753
39,152.641878669276,834318.77120903472,0.95019557106903696,0,-0.072355701065687297,0,-0.047256574990840829
40,156.55577299412923,831205.35120580404,-4.2987600920448719,0,-0.076094372379848368,0,-0.049711058504500548
41,160.46966731898246,828053.15000635269,16.088433993126344,0,-0.079893906918158411,0,-0.052227680841290897
42,164.38356164383569,824795.5864811088,-5.4667051021441502,0,-0.083835668400854324,0,-0.054806442001211868
43,168.29745596868892,821508.43247736699,5.7942931275025771,0,-0.087829047915527286,0,-0.057447341984263454
44,172.21135029354215,818149.97818214085,7.1327786648880025,0,-0.091925582864608488,0,-0.060150380790445657
45,176.12524461839539,814721.23604709667,-1.4825248435618938,0,-0.096125237000935518,0,-0.062915558419758516
