Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,610620.56918114307,19.636872280666928,0,0,0,-0
1,3.9138943248532287,610050.15354428545,-30.231115165276023,0,-0.00093459385526001879,0,-0.00053027199756546526
2,7.8277886497064575,608497.65683055879,-24.022009436177491,0,-0.003482704878104914,0,-0.002121087990261861
3,11.741682974559687,605946.17549989698,12.578265253334052,0,-0.0076846037503389975,0,-0.0047724479780891895
4,15.655577299412915,602325.70872681832,-4.9721618367684934,0,-0.013677423174103221,0,-0.0084843519610474441
5,19.569471624266143,597745.53052714909,12.443975555701615,0,-0.021310637418175581,0,-0.013256799939136633
6,23.483365949119371,592183.48594413151,17.096562439016122,0,-0.030659237232929605,0,-0.019089791912356754
7,27.397260273972599,585667.32582907286,5.9917370776556025,0,-0.041723841558796985,0,-0.025983327880707792
8,31.311154598825826,578262.40848063421,8.8704561248626348,0,-0.054448007008430534,0,-0.033937407844189776
9,35.225048923679054,569989.77584373578,6.6255633169405819,0,-0.068857343016413622,0,-0.042952031802802687
10,39.138943248532286,560874.51331451023,-19.958286681240008,0,-0.084978569997524303,0,-0.053027199756546531
11,43.052837573385517,551027.32498305372,-8.2151947316175349,0,-0.10269136702380666,0,-0.064162911705421308
12,46.966731898238748,540461.20738910674,3.5184338376384536,0,-0.12205290377736515,0,-0.076359167649427032
13,50.88062622309198,529211.83014855918,-3.2501441454484947,0,-0.14308697979886961,0,-0.089615967588563647
14,54.794520547945211,517366.06991801033,1.8458886901732663,0,-0.165725077014202,0,-0.10393331152283126
15,58.708414872798443,504971.78265931347,8.2975626304762322,0,-0.18997321477579365,0,-0.11931119945222973
16,62.622309197651674,492090.3374592514,17.750655769629478,0,-0.21581345420827347,0,-0.13574963137675922
17,66.536203522504906,478771.34429403534,19.228486541985429,0,-0.24325264368504115,0,-0.15324860729641956
18,70.450097847358137,465064.88402392453,1.8494406968948609,0,-0.27229883517938391,0,-0.17180812721121089
19,74.363992172211368,451051.14943903283,-15.057461130128678,0,-0.3028950201057018,0,-0.1914281911211331
20,78.2778864970646,436835.27257346991,13.331119822453321,0,-0.33491959316883496,0,-0.21210879902618629
21,82.191780821917831,422391.64875353366,2.0904055400658352,0,-0.3685428053146193,0,-0.23384995092637037
22,86.105675146771063,407830.2769663739,3.2943366879075597,0,-0.40362466653817664,0,-0.25665164682168545
23,90.019569471624294,393199.85175593913,9.4832364948033483,0,-0.44015775531442752,0,-0.28051388671213129
24,93.933463796477525,378540.97182762576,7.2144205690218026,0,-0.47815145165543049,0,-0.30543667059770829
25,97.847358121330757,363901.07473403687,-7.6973307365636501,0,-0.51759370857672882,0,-0.33141999847841624
26,101.76125244618399,349360.64940002339,-3.6995156102744038,0,-0.55837099856466921,0,-0.35846387035425498
27,105.67514677103722,334950.46456040791,3.9549860262939598,0,-0.60049311266007543,0,-0.38656828622522454
28,109.58904109589045,320700.17302053451,2.0007487762268825,0,-0.64396912035992637,0,-0.41573324609132511
29,113.50293542074368,306671.64269435289,12.639505889951666,0,-0.68869815914731358,0,-0.44595874995255669
30,117.41682974559691,292858.28552469,-7.0216476846209384,0,-0.73478694170673153,0,-0.47724479780891915
31,121.33072407045015,279335.12581561384,-14.830984373914147,0,-0.78206353777349591,0,-0.50959138966041273
32,125.24461839530338,266158.74426494545,16.385987440178965,0,-0.83038285283939162,0,-0.5429985255070372
33,129.15851272015661,253277.6575166877,9.2052525045997076,0,-0.87998941906967676,0,-0.57746620534879234
34,133.07240704500984,240752.96021493751,2.2128703321290071,0,-0.93070442016072519,0,-0.61299442918567859
35,136.98630136986307,228598.05411114905,-10.329469203446928,0,-0.98251052744310108,0,-0.64958319701769562
