Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,895017.89448604349,-15.344508676701194,0,0,0,-0
1,3.9138943248532287,894954.15424665809,10.666191994157225,0,-7.121925670006688e-05,0,-5.8137528727330407e-05
2,7.8277886497064575,894681.45936226263,7.1635733447379994,0,-0.00037596831782993746,0,-0.00023255011490932163
3,11.741682974559687,894225.02911371842,-0.81467555274292935,0,-0.0008862579963445945,0,-0.00052323775854597394
4,15.655577299412915,893592.82816488354,-5.6063056622093654,0,-0.0015934899692350247,0,-0.00093020045963728652
5,19.569471624266143,892802.48148104327,9.9907672641805405,0,-0.0024783408542997281,0,-0.0014534382181832603
6,23.483365949119371,891796.05988184852,-12.495485691630519,0,-0.0036062378939549777,0,-0.0020929510341838953
7,27.397260273972599,890646.5968076851,-0.69380050512851255,0,-0.0048959997038986848,0,-0.0028487389076391895
8,31.311154598825826,889316.60460369766,7.1274434878069828,0,-0.0063904041392817195,0,-0.0037208018385491461
9,35.225048923679054,887809.6451738833,13.631795991319233,0,-0.0080863554440383251,0,-0.0047091398269137634
10,39.138943248532286,886136.33329351607,28.419103581037604,0,-0.0099728980974908531,0,-0.0058137528727330414
11,43.052837573385517,884243.21275197994,-3.0971567722957176,0,-0.012111559569647046,0,-0.007034640976006981
12,46.966731898238748,882206.18978115509,-6.2551253366185167,0,-0.014417907966442715,0,-0.008371804136735583
13,50.88062622309198,880005.79965705611,-1.8765029049854207,0,-0.016915213944219257,0,-0.0098252423549188422
14,54.794520547945211,877623.67205597961,-9.7996109795773059,0,-0.019625829688843854,0,-0.011394955630556768
15,58.708414872798443,875091.04105318116,-0.36768343267719167,0,-0.022515784051105284,0,-0.013080943963649347
16,62.622309197651674,872377.21615560888,-5.9560010120528331,0,-0.025621794209668605,0,-0.014883207354196596
17,66.536203522504906,869503.08559518447,-7.4666452428962993,0,-0.028921829425480144,0,-0.016801745802198502
18,70.450097847358137,866459.07040837244,-16.37234923851873,0,-0.032428839409743039,0,-0.018836559307655067
19,74.363992172211368,863277.29170923086,-2.5470416626168078,0,-0.036107761073718277,0,-0.020987647870566294
20,78.2778864970646,859922.32250526722,-3.5117381301911954,0,-0.040001649414214302,0,-0.023255011490932183
21,82.191780821917831,856411.79763610172,-3.8222038276209638,0,-0.044092379445640838,0,-0.025638650168752729
22,86.105675146771063,852741.3794768299,-10.100749411538541,0,-0.048387399752576034,0,-0.028138563904027945
23,90.019569471624294,848926.49329460133,-9.2982757570750358,0,-0.05287110968724093,0,-0.030754752696757807
24,93.933463796477525,844979.73961710173,8.7207868878094867,0,-0.057531061628904812,0,-0.033487216546942353
25,97.847358121330757,840857.16968081612,-2.5432911672421366,0,-0.062421900275638785,0,-0.036335955454581556
26,101.76125244618399,836604.53245158365,0.024347977528846945,0,-0.067492235216214905,0,-0.039300969419675404
27,105.67514677103722,832199.23480434436,-8.8837237755817142,0,-0.072771834851004497,0,-0.042382258442223909
28,109.58904109589045,827664.75627278397,-8.5794487563195752,0,-0.078235523244945898,0,-0.04557982252222708
29,113.50293542074368,822998.77883541875,-4.2464046903291521,0,-0.083888995034742037,0,-0.048893661659684923
30,117.41682974559691,818200.01923268521,-0.10432911913627682,0,-0.08973688291274512,0,-0.052323775854597417
31,121.33072407045015,813267.75988972664,0.12502258863907514,0,-0.09578330863161548,0,-0.055870165106964589
32,125.24461839530338,808201.88941057271,-6.7383536891990428,0,-0.10203182147173724,0,-0.05953282941678642
33,129.15851272015661,803026.63626035408,0.40429685097995222,0,-0.10845582758307915,0,-0.063311768784062888
34,133.07240704500984,797741.6445950747,18.009688572095666,0,-0.11505892052410861,0,-0.067206983208794036
35,136.98630136986307,792327.1389252278,23.060570103251695,0,-0.12186935118459195,0,-0.071218472690979834
36,140.9001956947163,786769.74810683669,-1.1068385400069662,0,-0.12890807541799149,0,-0.075346237230620297
37,144.81409001956953,781122.03130362299,-5.2734079300132866,0,-0.13611232421156122,0,-0.079590276827715425
38,148.72798434442277,775383.71214918757,6.9005633227526921,0,-0.14348569263795205,0,-0.083950591482265219
39,152.641878669276,769510.52940365544,-12.270475103403021,0,-0.15108907529326979,0,-0.088427181194269636
40,156.55577299412923,763573.31693846209,4.5861932874813576,0,-0.15883456444147501,0,-0.093020045963728759
41,160.46966731898246,757513.94819538889,-4.1504464985683214,0,-0.16680176124087817,0,-0.097729185790642534
42,164.38356164383569,751351.28243784723,-23.145343294080583,0,-0.17497041659904813,0,-0.10255460067501097
