Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,267587.71793654928,-4.0923864930412321,0,0,0,-0
1,3.9138943248532287,267183.12714577938,4.2812698078185853,0,-0.0015131373435401092,0,-0.0013274065798548112
2,7.8277886497064575,265946.46768115042,2.0535040625274088,0,-0.006152390893318367,0,-0.005309626319419245
3,11.741682974559687,263901.44747028849,-0.36587344633954988,0,-0.013871701688813309,0,-0.011946659218693307
4,15.655577299412915,261079.81541192593,6.8954040140061306,0,-0.024621263353195779,0,-0.02123850527767698
5,19.569471624266143,257501.68431651554,13.916798049402136,0,-0.038421168985262349,0,-0.033185164496370281
6,23.483365949119371,253186.37846609991,2.4062754565059343,0,-0.055321538807041735,0,-0.04778663687477322
7,27.397260273972599,248199.25247295739,-6.7711452520578099,0,-0.075215569129781709,0,-0.065042922412885729
8,31.311154598825826,242594.51888512052,-9.9397197390992673,0,-0.098056027066747584,0,-0.08495402111070792
9,35.225048923679054,236435.97528835671,1.0341850210482986,0,-0.12376997641810863,0,-0.10751993296823972
10,39.138943248532286,229747.30935545469,-9.9632281030931775,0,-0.15246738011954519,0,-0.13274065798548113
11,43.052837573385517,222632.47090453099,-1.8875269472334897,0,-0.18392513080984366,0,-0.1606161961624322
12,46.966731898238748,215132.88556982134,1.7292784399385643,0,-0.21819152048532528,0,-0.19114654749909291
13,50.88062622309198,207315.39631701354,1.7645913875522421,0,-0.2552061427145122,0,-0.22433171199546315
14,54.794520547945211,199250.77545256127,3.0302213563965896,0,-0.29488322058265021,0,-0.26017168965154319
15,58.708414872798443,191012.75466558847,14.26205919715964,0,-0.33710722593175135,0,-0.29866648046733268
16,62.622309197651674,182626.32232070903,-2.6956920834111031,0,-0.38200531942443405,0,-0.33981608444283196
17,66.536203522504906,174211.95731014176,12.141353089358933,0,-0.42917472676476348,0,-0.38362050157804073
18,70.450097847358137,165771.27128744466,3.2363241781467309,0,-0.47883847571150362,0,-0.43007973187295923
19,74.363992172211368,157402.72952933802,15.837461432983613,0,-0.53063975291434162,0,-0.47919377532758728
20,78.2778864970646,149087.17714645443,-18.026441595212862,0,-0.58491621373084501,0,-0.53096263194192495
21,82.191780821917831,140944.50191583118,-22.532111294337085,0,-0.64108122064048922,0,-0.58538630171597228
22,86.105675146771063,133010.58361510074,-0.87799723000732821,0,-0.6990187289935359,0,-0.64246478464972934
23,90.019569471624294,125267.42643374897,-5.0294751135638469,0,-0.75899656661224013,0,-0.70219808074319556
24,93.933463796477525,117789.15777260873,10.297462273753526,0,-0.82055120240282031,0,-0.76458618999637207
25,97.847358121330757,110565.79459439576,11.324572491000264,0,-0.88383666014707962,0,-0.82962911240925818
26,101.76125244618399,103618.45723285616,0.26276496484242284,0,-0.94873195752734896,0,-0.89732684798185358
27,105.67514677103722,96996.07374758333,11.78186631399938,0,-1.0147769292475364,0,-0.96767939671415837
28,109.58904109589045,90662.633497383868,-0.029661567959659317,0,-1.0823021369489412,0,-1.040686758606173
29,113.50293542074368,84660.223380041221,1.0315140270739092,0,-1.150801556458672,0,-1.1163489336578973
