Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,951470.90911360015,14.193852595997278,0,0,0,-0
1,3.9138943248532287,951379.75947964715,-4.6640352077085749,0,-9.5803244602552667e-05,0,-3.6715073531606053e-05
2,7.8277886497064575,951164.80932179303,-2.7739353197586452,0,-0.00032176395248146043,0,-0.00014686029412642421
3,11.741682974559687,950810.49681690801,4.1974159727336477,0,-0.00069433714819006553,0,-0.00033043566178445462
4,15.655577299412915,950303.73531599459,2.9886109016112856,0,-0.0012274576775624609,0,-0.00058744117650569685
5,19.569471624266143,949651.11140808219,-0.058221272237572001,0,-0.0019144465654351767,0,-0.00091787683829015147
6,23.483365949119371,948847.95027311577,-9.9318591422422102,0,-0.0027605477820137779,0,-0.0013217426471378183
7,27.397260273972599,947921.14111510967,-0.12629640807897358,0,-0.0037377982401469783,0,-0.0017990386030486962
8,31.311154598825826,946825.63127928285,-16.146308083656741,0,-0.0048941638018806504,0,-0.0023497647060227874
9,35.225048923679054,945616.03438293748,-3.8989462782280064,0,-0.0061725092145998844,0,-0.0029739209560600906
10,39.138943248532286,944256.53583044512,0.21240439208328854,0,-0.0076112292726858892,0,-0.0036715073531606059
11,43.052837573385517,942757.00249990833,5.3981987932338624,0,-0.009200548708631559,0,-0.0044425238973243332
12,46.966731898238748,941104.41102424008,-2.0884471309574399,0,-0.01095502160957661,0,-0.0052869705885512739
13,50.88062622309198,939335.66139016137,13.862437673575114,0,-0.012836230356030843,0,-0.0062048474268414245
14,54.794520547945211,937413.20043799421,14.841828052841928,0,-0.014884945198689593,0,-0.0071961544121947919
15,58.708414872798443,935333.55670880643,-3.5427482637414571,0,-0.017105901744039052,0,-0.0082608915446113658
16,62.622309197651674,933127.17537600663,-11.831524848027033,0,-0.019467612986296279,0,-0.0093990588240911565
17,66.536203522504906,930798.30654531659,-6.8233910211512914,0,-0.021966500484912919,0,-0.010610656250634157
18,70.450097847358137,928335.4607293586,-1.1195612445993826,0,-0.024615957237296208,0,-0.011895683824240371
19,74.363992172211368,925734.35778067517,-0.17373665941112007,0,-0.02742178971371069,0,-0.013254141544909797
20,78.2778864970646,922992.09762052447,-8.1204224358707773,0,-0.030388439715781791,0,-0.014686029412642434
21,82.191780821917831,920137.45069772308,2.5165321679075454,0,-0.033486050741528793,0,-0.016191347427438281
22,86.105675146771063,917127.05702979432,-12.975977803806478,0,-0.036763092614725441,0,-0.017770095589297347
23,90.019569471624294,914013.02363194886,-3.9017918801578699,0,-0.040164292154510284,0,-0.019422273898219614
24,93.933463796477525,910758.84499507502,-8.2338703777003825,0,-0.043730964945300474,0,-0.021147882354205109
25,97.847358121330757,907396.56607477937,4.5498727827446626,0,-0.047429529691359058,0,-0.022946920957253814
26,101.76125244618399,903906.55494056339,13.240438411234139,0,-0.051283125936703852,0,-0.024819389707365722
27,105.67514677103722,900288.07671997568,15.472944945930504,0,-0.055294315205040717,0,-0.026765288604540839
28,109.58904109589045,896522.64956916508,-8.9161040548485211,0,-0.059485555392813291,0,-0.028784617648779171
29,113.50293542074368,892681.83898944373,9.906830291890472,0,-0.063778878491391286,0,-0.030877376840080718
30,117.41682974559691,888698.00894257356,2.5248063189686847,0,-0.068251632231189199,0,-0.033043566178445477
31,121.33072407045015,884626.04620358383,21.996157125909768,0,-0.072844103510100469,0,-0.035283185663873458
32,125.24461839530338,880411.65160477266,12.147169169438394,0,-0.0776195285483713,0,-0.037596235296364647
33,129.15851272015661,876085.03772301495,1.2712346410591349,0,-0.08254595130622705,0,-0.039982715075919037
34,133.07240704500984,871677.60193806095,18.803403692549736,0,-0.087589479560763767,0,-0.042442625002536656
35,136.98630136986307,867145.70477637881,19.100249407768242,0,-0.092802093637946004,0,-0.044975965076217463
36,140.9001956947163,862500.65555462393,11.42705791627078,0,-0.098173203588857852,0,-0.047582735296961498
37,144.81409001956953,857765.47841214307,16.72543138759605,0,-0.10367838561630595,0,-0.050262935664768749
38,148.72798434442277,852915.51029577712,8.2128654251984781,0,-0.10934862003508553,0,-0.053016566179639207
39,152.641878669276,847958.87214737164,-8.1444504472500636,0,-0.11517697776788006,0,-0.05584362684157286
40,156.55577299412923,842923.88242274872,-6.2164821849874858,0,-0.12113245231822529,0,-0.058744117650569749
41,160.46966731898246,837795.32143655722,-3.4433578683300627,0,-0.12723528840412116,0,-0.061718038606629853
42,164.38356164383569,832570.93798457237,-4.3270817433430198,0,-0.1334906835407712,0,-0.064765389709753166
43,168.29745596868892,827277.59776438167,15.718563460504829,0,-0.13986880546068134,0,-0.067886170959939679
44,172.21135029354215,821843.59126752615,-17.32240270835289,0,-0.14645901386979163,0,-0.071080382357189387
45,176.12524461839539,816380.16166837851,5.4614288884757265,0,-0.15312898168622735,0,-0.074348023901502358
46,180.03913894324862,810802.78176315897,-2.812497505271768,0,-0.15998426709848179,0,-0.077689095592878524
