Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,688158.42977226921,-7.3291201883686377,0,0,0,-0
1,3.9138943248532287,687584.54042308836,-6.9062145388741989,0,-0.00083429738679661981,0,-0.00044879586866275033
2,7.8277886497064575,685879.6790879966,8.0996365963233607,0,-0.0033168698287791639,0,-0.0017951834746510013
3,11.741682974559687,683019.58888179378,4.2511813726626499,0,-0.0074955474493692848,0,-0.0040391628179647547
4,15.655577299412915,679038.5474593637,0.61964831369628726,0,-0.013341190381534558,0,-0.0071807338986040053
5,19.569471624266143,673957.69926578808,-2.7430353760817274,0,-0.020851739046202845,0,-0.011219896716568759
6,23.483365949119371,667813.18829386681,3.5218747189225308,0,-0.03001061107344765,0,-0.016156651271859016
7,27.397260273972599,660595.51871163445,-22.315219206757547,0,-0.04087735798593016,0,-0.02199099756447476
8,31.311154598825826,652413.173948023,-9.1612976877796726,0,-0.053341023659361955,0,-0.028722935594416021
9,35.225048923679054,643271.54996417474,6.1682946366125657,0,-0.067452134961799068,0,-0.036352465361682781
10,39.138943248532286,633185.31768672459,-8.3124162413918228,0,-0.083255946999180791,0,-0.044879586866275037
11,43.052837573385517,622246.82053831045,-10.952426392622206,0,-0.10068225564210914,0,-0.054304300108192795
12,46.966731898238748,610517.10344902298,5.0049506810223097,0,-0.11971277861987224,0,-0.064626605087436076
13,50.88062622309198,598012.03479452734,-1.9921227319484927,0,-0.14040820843313501,0,-0.075846501804004818
14,54.794520547945211,584829.47315316903,5.8451037730300079,0,-0.16269878140139343,0,-0.087963990257899125
15,58.708414872798443,570997.34575200849,-5.7805090843693483,0,-0.1866345260308146,0,-0.10097907044911887
16,62.622309197651674,556618.56403513602,2.1655686833100241,0,-0.21213888615968313,0,-0.11489174237766417
17,66.536203522504906,541734.46102245641,5.9900547179629857,0,-0.23924313018101415,0,-0.12970200604353493
18,70.450097847358137,526417.65446911205,12.63374285112889,0,-0.26792416968179056,0,-0.14540986144673124
19,74.363992172211368,510714.22953626438,2.3430992031889515,0,-0.29820889118185478,0,-0.16201530858725299
20,78.2778864970646,494691.98400893941,-22.610471694501804,0,-0.33008377289512381,0,-0.17951834746510029
21,82.191780821917831,478485.4494660272,7.5450075536034351,0,-0.36339328546450522,0,-0.19791897808027303
22,86.105675146771063,462045.14330657449,-20.235288318541741,0,-0.39835648816277153,0,-0.21721720043277137
23,90.019569471624294,445532.1618061472,-6.8170084671726459,0,-0.43474965034422636,0,-0.23741301452259508
24,93.933463796477525,428966.05188016623,7.3570860860039158,0,-0.47264130460536186,0,-0.25850642034974447
25,97.847358121330757,412384.82985613233,2.6241116675887639,0,-0.51206212081342872,0,-0.28049741791421934
26,101.76125244618399,395858.15536937572,-6.4227570152719879,0,-0.55296313367953653,0,-0.3033860072160196
27,105.67514677103722,379462.9937114538,4.99278067679752,0,-0.59526200845156618,0,-0.32717218825514532
28,109.58904109589045,363204.31763552333,-7.2419613128888383,0,-0.63905355283623655,0,-0.35185596103159655
29,113.50293542074368,347161.99992792006,-9.0491588406451147,0,-0.68422755767152044,0,-0.37743732554537335
30,117.41682974559691,331367.77461152244,-11.051494072018293,0,-0.73079022714973985,0,-0.40391628179647565
31,121.33072407045015,315862.64058129507,-11.05937104610282,0,-0.77871164987504937,0,-0.43129282978490358
32,125.24461839530338,300706.33789085021,15.476869477920253,0,-0.8278849203604759,0,-0.45956696951065695
33,129.15851272015661,285877.23040921084,15.384861568792282,0,-0.87845663289962272,0,-0.48873870097373562
34,133.07240704500984,271416.05587234488,1.5210625252025081,0,-0.93036618216359068,0,-0.51880802417414007
