Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,671884.36153909564,-1.7165933661820381,0,0,0,-0
1,3.9138943248532287,671777.45229580067,-11.307513542428724,0,-0.00015913117783031386,0,-0.00010867442516346992
2,7.8277886497064575,671484.75418260763,-12.150473443468419,0,-0.00059493308815564898,0,-0.0004346977006538797
3,11.741682974559687,671009.89737768681,-0.91455703170987479,0,-0.0013023576193035838,0,-0.00097806982647122981
4,15.655577299412915,670337.38415653002,6.4043606325071059,0,-0.0023051005879077759,0,-0.0017387908026155188
5,19.569471624266143,669467.21802707354,9.1136762237230027,0,-0.0036040455988263081,0,-0.0027168606290867486
6,23.483365949119371,668395.52815866983,2.4497823001626009,0,-0.005206138340678527,0,-0.0039122793058849184
7,27.397260273972599,667149.9106948463,12.921039147483338,0,-0.0070714703447564602,0,-0.0053250468330100246
8,31.311154598825826,665692.58655274427,1.4675926009752263,0,-0.0092582624463924471,0,-0.0069551632104620752
9,35.225048923679054,664062.20503525191,5.2673583105342123,0,-0.011710417301966852,0,-0.0088026284382410648
10,39.138943248532286,662217.65354004176,-18.451549896095464,0,-0.014491960989833345,0,-0.010867442516346994
11,43.052837573385517,660238.29017897649,7.8248584545320208,0,-0.017485429087626816,0,-0.013149605444779864
12,46.966731898238748,658048.66524473764,6.6213075165153947,0,-0.02080735674352845,0,-0.015649117223539677
13,50.88062622309198,655686.37318744825,13.328944236469948,0,-0.024403659702983724,0,-0.018365977852626423
14,54.794520547945211,653129.1924795903,3.349227724154709,0,-0.028311290432415575,0,-0.021300187332040123
15,58.708414872798443,650416.90647958487,13.919118330408152,0,-0.03247269280443086,0,-0.024451745661780745
16,62.622309197651674,647512.41354173259,5.2258024520178781,0,-0.036948279789550204,0,-0.027820652841848321
17,66.536203522504906,644439.86666217062,-1.4487697188304227,0,-0.041704728954686507,0,-0.031406908872242831
18,70.450097847358137,641211.95519154344,3.5589841070905903,0,-0.046726179083553754,0,-0.035210513752964287
19,74.363992172211368,637809.1084854427,-2.4966654981205858,0,-0.052047209098727593,0,-0.039231467484012676
20,78.2778864970646,634260.3848846145,6.1238620435009228,0,-0.057626672839384156,0,-0.043469770065388005
21,82.191780821917831,630540.81896385155,0.99856867021311235,0,-0.063508350738439745,0,-0.047925421497090274
22,86.105675146771063,626688.42852375831,16.556937492000753,0,-0.069636751751857337,0,-0.052598421779119497
23,90.019569471624294,622674.40789902164,20.27949894658564,0,-0.076062482243089799,0,-0.057488770911475626
24,93.933463796477525,618498.07058044663,7.6468844138640391,0,-0.082792172359052132,0,-0.062596468894158749
25,97.847358121330757,614171.28277344757,-13.420026473400357,0,-0.089812393256326312,0,-0.067921515727168799
26,101.76125244618399,609748.45674669486,7.4399721754717332,0,-0.097039738540398879,0,-0.073463911410505761
27,105.67514677103722,605171.18477631058,7.6692096622999451,0,-0.10457487662097976,0,-0.079223655944169649
28,109.58904109589045,600457.16314986465,0.72210222080090825,0,-0.11239494100108,0,-0.085200749328160491
29,113.50293542074368,595620.13991186582,-3.9800525943100835,0,-0.12048312994161585,0,-0.091395191562478287
30,117.41682974559691,590654.89931480726,-16.057503730833176,0,-0.12885432452728862,0,-0.097806982647123022
31,121.33072407045015,585597.18840340653,-4.2382862429828609,0,-0.13745408326061087,0,-0.10443612258209473
32,125.24461839530338,580421.78206736455,1.7140455942531356,0,-0.14633119496046298,0,-0.11128261136739336
33,129.15851272015661,575129.58380660787,-1.8915813487437174,0,-0.15549086612367663,0,-0.11834644900301888
34,133.07240704500984,569740.23913327616,-0.053117715193335788,0,-0.16490570853500491,0,-0.12562763548897141
35,136.98630136986307,564253.76185512054,2.5581187935626097,0,-0.17458216199641824,0,-0.1331261708252508
36,140.9001956947163,558665.18251987407,-3.7469137184844525,0,-0.18453590888944338,0,-0.14084205501185718
37,144.81409001956953,552991.00608228333,-7.2101602893087682,0,-0.19474450714809108,0,-0.14877528804879053
38,148.72798434442277,547262.09981856565,18.268539375954987,0,-0.20515839829272511,0,-0.15692586993605076
39,152.641878669276,541409.63444404001,-0.92041259413185061,0,-0.21591007222388614,0,-0.16529380067363791
40,156.55577299412923,535516.02781124669,12.854254982005415,0,-0.22685542467938721,0,-0.17387908026155208
