Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,578731.22641621705,-14.825835246821104,0,0,0,-0
1,3.9138943248532287,578565.37835092517,13.074550233639183,0,-0.0002866128972366398,0,-0.00017192776408679421
2,7.8277886497064575,577976.11165567185,4.6456395756789188,0,-0.0013056282137399019,0,-0.00068771105634717685
3,11.741682974559687,577001.97842227877,-2.781707321527993,0,-0.002992471406261112,0,-0.0015473498767811485
4,15.655577299412915,575661.41169311211,7.1950618722859296,0,-0.0053185057803609749,0,-0.0027508442253887074
5,19.569471624266143,573920.86380728113,-1.8041438447769029,0,-0.0083466478332474732,0,-0.0042981941021698559
6,23.483365949119371,571809.5125927187,-4.225674700645845,0,-0.012032250743047824,0,-0.0061893995071245931
7,27.397260273972599,569357.61895604036,25.78846292316306,0,-0.016329425699964897,0,-0.0084244604402529139
8,31.311154598825826,566480.63399010105,-1.4765187985658266,0,-0.021395272198968862,0,-0.01100337690155483
9,35.225048923679054,563257.50225118955,-12.986472100650015,0,-0.02710126791692867,0,-0.013926148891030332
10,39.138943248532286,559714.41099289816,10.811938079563635,0,-0.033411493441438442,0,-0.017192776408679424
11,43.052837573385517,555781.22574843443,-7.5496952607438308,0,-0.040463428768854323,0,-0.020803259454502104
12,46.966731898238748,551528.41370445688,-5.6123080898229372,0,-0.048144808580542403,0,-0.024757598028498376
13,50.88062622309198,546954.79272820544,6.787721149645817,0,-0.056472013545055648,0,-0.02905579213066823
14,54.794520547945211,542036.54954233207,-3.4331153989688401,0,-0.065504732970605439,0,-0.03369784176101169
15,58.708414872798443,536834.74128405447,14.928170589546074,0,-0.075147863920727892,0,-0.038683746919528715
16,62.622309197651674,531301.64429544611,3.7436894222208434,0,-0.085508238411393767,0,-0.044013507606219353
17,66.536203522504906,525489.74067525356,4.5766632630622492,0,-0.096507499567794613,0,-0.049687123821083569
18,70.450097847358137,519392.68761905417,-0.3123659878825234,0,-0.10817794610253689,0,-0.05570459556412137
19,74.363992172211368,513048.60433621157,15.359499575573814,0,-0.12046758073911405,0,-0.062065922835332764
20,78.2778864970646,506401.78424621699,-16.351101065192147,0,-0.13350777249982829,0,-0.06877110563471775
21,82.191780821917831,499570.98238483228,10.713691315379846,0,-0.14708847184766743,0,-0.075820143962276307
22,86.105675146771063,492477.92630479729,5.364627310317152,0,-0.16138852679457044,0,-0.083213037818008484
23,90.019569471624294,485166.60602430382,-1.6034224007323163,0,-0.17634581719187753,0,-0.090949787201914198
24,93.933463796477525,477629.79102297756,-30.852868087753428,0,-0.19200223006976053,0,-0.099030392113993573
25,97.847358121330757,469947.12424053671,-16.367662116766233,0,-0.20821797995714758,0,-0.10745485255424653
26,101.76125244618399,462101.8656493373,11.331968139833549,0,-0.22505281152037218,0,-0.11622316852267305
27,105.67514677103722,454051.75442742597,-3.9068369337388553,0,-0.24262697863617388,0,-0.1253353400192731
28,109.58904109589045,445868.24527160061,-4.5921857960563264,0,-0.26081467252913038,0,-0.13479136704404679
29,113.50293542074368,437539.31656906911,-16.738762018359047,0,-0.27967159851308232,0,-0.14459124959699407
30,117.41682974559691,429101.15378455969,-18.144665825682853,0,-0.29914548587499989,0,-0.15473498767811494
31,121.33072407045015,420567.24709651578,-9.2548924069497307,0,-0.31923377833818462,0,-0.16522258128740944
32,125.24461839530338,411929.98428221868,-11.530594269496985,0,-0.33998477287125933,0,-0.17605403042487752
33,129.15851272015661,403222.88421082142,-5.1789070385941729,0,-0.36134869509476852,0,-0.18722933509051912
34,133.07240704500984,394460.09289838129,10.378486281159782,0,-0.38332019023352615,0,-0.19874849528433436
35,136.98630136986307,385613.95984745357,-5.884344112355234,0,-0.40600140171161653,0,-0.21061151100632314
36,140.9001956947163,376763.37425311079,11.771063465644495,0,-0.42922083082715945,0,-0.22281838225648556
37,144.81409001956953,367851.09679137048,-6.7898442320606724,0,-0.45315993871609295,0,-0.23536910903482158
38,148.72798434442277,358954.92198309355,3.6168190755845888,0,-0.47764135161902366,0,-0.24826369134133117
39,152.641878669276,350034.99390752305,-9.1636076964771025,0,-0.50280503463813508,0,-0.26150212917601429
40,156.55577299412923,341130.80908674165,-17.59600514964264,0,-0.52857215863047002,0,-0.27508442253887105
41,160.46966731898246,332281.91080569994,6.2623798885735651,0,-0.55485442917329397,0,-0.28901057142990144
42,164.38356164383569,323430.8313985499,-6.2741988998045191,0,-0.58185288893355747,0,-0.30328057584910539
43,168.29745596868892,314631.90023115993,-11.692408916335788,0,-0.60943478189680611,0,-0.31789443579648291
44,172.21135029354215,305916.55485031602,11.048901200589615,0,-0.63752579852027502,0,-0.33285215127203394
45,176.12524461839539,297248.56861066585,15.761903855039318,0,-0.66626944659660159,0,-0.34815372227575875
46,180.03913894324862,288634.71222877974,-0.2950931358645848,0,-0.69567624961663865,0,-0.36379914880765707
47,183.95303326810185,280099.32090117229,-21.83897295267478,0,-0.7256939089405352,0,-0.37978843086772895
48,187.86692759295508,271697.55380258814,-2.292740820122189,0,-0.75614865362777028,0,-0.39612156845597435
49,191.78082191780831,263376.84722115647,-2.3247741113661009,0,-0.78725228096270361,0,-0.41279856157239342
50,195.69471624266154,255148.94979088253,-17.80789348720246,0,-0.81899067526100544,0,-0.42981941021698611
51,199.60861056751477,247064.23228234262,-5.5057485778913104,0,-0.85118981416959949,0,-0.44718411438975225
52,203.522504892368,239099.79708725947,5.0386705861959662,0,-0.8839571409048701,0,-0.46489267409069218
53,207.43639921722124,231247.855605827,-0.11933474147071813,0,-0.91734806342293473,0,-0.48294508931980551
54,211.35029354207447,223521.58227149866,-13.473596229789086,0,-0.95133019235191618,0,-0.50134136007709262
55,215.2641878669277,215959.84260265419,-1.3420972401381808,0,-0.98574569019315406,0,-0.52008148636255336
56,219.17808219178093,208521.70440349411,-9.3603868941294692,0,-1.0207950330370561,0,-0.53916546817618738
