Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,123.94480590615635,13.723028173740573,0,0,0,-0
1,3.9138943248532287,130.81656785274129,20.731965157276314,0,0.053959743690015376,0,-0.0042676728131255419
2,7.8277886497064575,102.89080540590545,-6.7840332371651479,0,-0.1861680686608011,0,-0.017070691252502167
3,11.741682974559687,113.17187381948794,4.1741510262419137,0,-0.090928682448005435,0,-0.038409055318129895
4,15.655577299412915,118.89139462731703,10.829562272979461,0,-0.041625926650350156,0,-0.06828276501000867
5,19.569471624266143,100.59645339190111,-6.2824097807003749,0,-0.20871935036200059,0,-0.10669182032813855
6,23.483365949119371,106.30670525393263,0.84337393804548177,0,-0.15350799090571879,0,-0.15363622127251955
7,27.397260273972599,106.97932920291666,3.1471207766388263,0,-0.14720072207270996,0,-0.20911596784315151
8,31.311154598825826,106.06204719238158,4.057543302068364,0,-0.1558120791199214,0,-0.27313106004003468
9,35.225048923679054,88.624191675778221,-11.376616824685632,0,-0.33543148876646495,0,-0.34568149786316893
10,39.138943248532286,119.16654358185991,21.323728326552832,0,-0.039314312266594154,0,-0.4267672813125542
11,43.052837573385517,87.374205034631004,-8.1786282081855273,0,-0.3496362506560291,0,-0.51638841038819061
12,46.966731898238748,101.88159965372006,8.7282894725807321,0,-0.19602500151273786,0,-0.61454488509007832
13,50.88062622309198,86.509933633903486,-4.1564445636342393,0,-0.35957710580994973,0,-0.72123670541821672
14,54.794520547945211,91.337780111332975,3.2243442293899118,0,-0.30527184896738524,0,-0.8364638713726068
15,58.708414872798443,85.240526279219679,-0.27425137498455271,0,-0.37435937155364557,0,-0.96022638295324736
16,62.622309197651674,76.647100378830118,-6.2421787698508711,0,-0.48062457761971172,0,-1.0925242401601396
17,66.536203522504906,94.785279681348499,14.53113490974043,0,-0.26822223327126443,0,-1.2333574429932825
18,70.450097847358137,52.599372035469983,-25.025348918162436,0,-0.85713217166928013,0,-1.3827259914526768
19,74.363992172211368,82.919460380824603,7.9050843553813985,0,-0.40196657301445071,0,-1.5406298855383218
20,78.2778864970646,68.183463352856037,-4.2509818479670454,0,-0.59763429023641268,0,-1.7070691252502181
21,82.191780821917831,68.523692830804109,-1.3705441238903062,0,-0.59265678664562516,0,-1.8820437105883654
22,86.105675146771063,75.892033684759568,8.4909384751945272,0,-0.49052463199947083,0,-2.0655536415527642
23,90.019569471624294,57.549721154413724,-7.4107890909938217,0,-0.76718706297153716,0,-2.2575989181434131
24,93.933463796477525,89.627647277101033,27.051377121658319,0,-0.32417251710701184,0,-2.4581795403603146
25,97.847358121330757,80.7878585205669,20.537214529450264,0,-0.42800966445107624,0,-2.6672955082034671
26,101.76125244618399,60.395973975940265,2.4113865149615412,0,-0.71891390616083772,0,-2.88494682167287
27,105.67514677103722,49.95613239981612,-5.8218297403437784,0,-0.90869108452657799,0,-3.1111334807685229
28,109.58904109589045,40.909322805873387,-12.720436760285414,0,-1.1084783743145714,0,-3.3458554854904277
29,113.50293542074368,50.229417919093976,-1.3089043706213634,0,-0.9032354834695937,0,-3.5891128358385842
30,117.41682974559691,58.92008603878503,9.4185311803926091,0,-0.74365430099464114,0,-3.8409055318129912
31,121.33072407045015,58.287147349199543,10.77002857392953,0,-0.7544547409323985,0,-4.1012335734136505
32,125.24461839530338,38.686171753598444,-6.8964348841892864,0,-1.1643541356988993,0,-4.3700969606405611
33,129.15851272015661,42.300056240584219,-1.3956356278614721,0,-1.0750479372365289,0,-4.6474956934937204
34,133.07240704500984,40.187254936658626,-1.6669967154762289,0,-1.1262864488724342,0,-4.9334297719731328
35,136.98630136986307,14.991621758201042,-25.064840095623751,0,-2.1123448572504251,0,-5.2278991960787948
36,140.9001956947163,44.468105715230472,6.1672419429737761,0,-1.0250641461512742,0,-5.5309039658107082
37,144.81409001956953,27.267946390443889,-9.3184571741538971,0,-1.5141244653784116,0,-5.8424440811688747
38,148.72798434442277,39.026925393951281,4.1144793591023392,0,-1.1555845502189683,0,-6.1625195421532899
39,152.641878669276,39.641115818150752,6.3623506159497616,0,-1.1399694949939938,0,-6.4911303487639556
40,156.55577299412923,53.680019835899266,21.994505189434538,0,-0.83679549066793479,0,-6.8282765010008744
41,160.46966731898246,19.463499502051196,-10.669681560136858,0,-1.8512954617354451,0,-7.1739579988640445
42,164.38356164383569,31.798191616497121,3.1756668759936009,0,-1.360426932089148,0,-7.528174842353466
43,168.29745596868892,34.072990560985446,6.9184797206176887,0,-1.2913313480730384,0,-7.8909270314691362
44,172.21135029354215,41.712019180518922,15.981783866988158,0,-1.0890470358293192,0,-8.2622145662110569
45,176.12524461839539,34.538320804367494,10.187471586607067,0,-1.2777668972866094,0,-8.6420374465792325
46,180.03913894324862,18.996764000801829,-4.0207208998806712,0,-1.8755677039387217,0,-9.0303956725736594
47,183.95303326810185,23.147034026886971,1.41584685181839,0,-1.677969700317214,0,-9.4272892441943359
48,187.86692759295508,25.469712318385596,4.9768601669151611,0,-1.5823463588450173,0,-9.8327181614412602
49,191.78082191780831,22.01518379029951,2.7120079256401217,0,-1.728103965267223,0,-10.246682424314438
50,195.69471624266154,3.2119909152912562,-14.950623332718777,0,-3.6529453851371141,0,-10.669182032813868
51,199.60861056751477,31.336883149203775,14.26552775058823,0,-1.3750405736718103,0,-11.100216986939547
52,203.522504892368,27.351194406606904,11.32188994576283,0,-1.5110761537641568,0,-11.53978728669148
53,207.43639921722124,12.911458777449681,-2.1246220855486371,0,-2.261721158448037,0,-11.987892932069661
54,211.35029354207447,9.1345177078397342,-4.956509387862658,0,-2.6077759604929653,0,-12.444533923074097
55,215.2641878669277,18.605007180384337,5.4117794358636298,0,-1.8964056051155831,0,-12.909710259704784
56,219.17808219178093,10.059250061431733,-2.2822870411909166,0,-2.51134373753702,0,-13.383421941961718
57,223.09197651663416,8.5464106673375753,-2.9882027396437678,0,-2.6743249630363888,0,-13.865668969844902
58,227.00587084148739,11.679902872051134,0.90894529902542498,0,-2.361966691236058,0,-14.356451343354342
59,230.91976516634062,2.6653406769555872,-7.3836135741296385,0,-3.8395044696503047,0,-14.85576906249003
60,234.83365949119386,-1.896872141324474,-11.263785231526969,0,-13.815510557964274,0,-15.36362212725197
61,238.74755381604709,24.58606212352144,15.86295386194298,0,-1.6176566508261518,0,-15.880010537640159
62,242.66144814090032,19.559285696078796,11.443471145947491,0,-1.8463862075180439,0,-16.404934293654602
63,246.57534246575355,5.1487728093162204,-2.394565839616059,0,-3.1810779560254754,0,-16.938393395295293
64,250.48923679060678,18.659192724950508,11.655148059984233,0,-1.8934974206976429,0,-17.480387842562251
65,254.40313111546001,12.584449396504255,6.0880761550628879,0,-2.2873744759967241,0,-18.030917635455442
66,258.31702544031322,24.870549569967928,18.851695472560493,0,-1.6061519975745611,0,-18.589982773974882
67,262.23091976516645,4.4733782279708976,-1.0967339290193885,0,-3.3216924739683829,0,-19.157583258120574
68,266.14481409001968,8.5908491331947197,3.4419813648390161,0,-2.6691387703803917,0,-19.733719087892531
69,270.05870841487291,0.29729042512403048,-4.4566413558767373,0,-6.0328821084574349,0,-20.318390263290727
70,273.97260273972614,17.923025002260317,13.538828553761519,0,-1.9337501536221442,0,-20.911596784315179
71,277.88649706457937,-1.0795307188325491,-5.1181539659488662,0,-13.815510557964274,0,-21.513338650965885
72,281.8003913894326,4.8605045325391512,1.1442757837257764,0,-3.2386941070486785,0,-22.123615863242833
73,285.71428571428584,-4.7733756457567917,-8.1894453107179235,0,-13.815510557964274,0,-22.742428421146037
74,289.62818003913907,-4.7071488225550375,-7.8443769162675023,0,-13.815510557964274,0,-23.369776324675499
75,293.5420743639923,0.65753749772968462,-2.2212603737534384,0,-5.2390898386413447,0,-24.005659573831203
76,297.45596868884553,-0.14382930850068876,-2.7837020699869441,0,-13.815510557964274,0,-24.65007816861316
