Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,521623.20906269539,2.975534530315791,0,0,0,-0
1,3.9138943248532287,521371.15434492513,19.946784903718722,0,-0.00048332902174764845,0,-0.00074029427686171396
2,7.8277886497064575,520562.10558100708,17.247692762885212,0,-0.0020363055081236538,0,-0.0029611771074468558
3,11.741682974559687,519198.90395143232,-4.4623818201185808,0,-0.0046584511707355378,0,-0.0066626484917554282
4,15.655577299412915,517321.05734870658,-9.302335986463973,0,-0.0082818230831548031,0,-0.011844708429787423
5,19.569471624266143,514929.50170441606,-1.3936796753816008,0,-0.012915504125815018,0,-0.018507356921542852
6,23.483365949119371,512017.63010362507,6.1885249152136215,0,-0.018586447282115698,0,-0.026650593967021709
7,27.397260273972599,508581.05507360387,1.2034294759085906,0,-0.025320902397802745,0,-0.036274419566223973
8,31.311154598825826,504655.87633799971,10.543038058438176,0,-0.033068741524628117,0,-0.047378833719149693
9,35.225048923679054,500228.44270513154,10.030235932010926,0,-0.041880626032841053,0,-0.059963836425798833
10,39.138943248532286,495291.41002431046,-19.482033276016317,0,-0.051799209056483213,0,-0.074029427686171406
11,43.052837573385517,489954.49193089624,18.686078192333802,0,-0.062632992343701052,0,-0.089575607500267412
12,46.966731898238748,484109.15536491561,1.7875978186993502,0,-0.074635096622372166,0,-0.10660237586808685
13,50.88062622309198,477848.31078456593,7.3941138984997847,0,-0.087652164851818384,0,-0.1251097327896297
14,54.794520547945211,471157.31780767546,4.4607289271322514,0,-0.10175345919256473,0,-0.14509767826489606
15,58.708414872798443,464067.83204218344,7.2360608910633628,0,-0.11691477423727603,0,-0.16656621229388571
16,62.622309197651674,456592.88099409157,10.404877910067071,0,-0.13315336289092886,0,-0.18951533487659891
17,66.536203522504906,448740.5564498537,2.8504442914277006,0,-0.15050061006676746,0,-0.21394504601303549
18,70.450097847358137,440542.09546517307,-4.1916230775897487,0,-0.1689395017970147,0,-0.23985534570319553
19,74.363992172211368,432027.41853714763,-1.5197563962076099,0,-0.18845645045889778,0,-0.26724623394707897
20,78.2778864970646,423205.17812345299,-1.8402887374404819,0,-0.20908838941427241,0,-0.29611771074468585
21,82.191780821917831,414099.12742362195,-3.3192050911734809,0,-0.23084012213906924,0,-0.32646977609601613
22,86.105675146771063,404743.6878119547,6.0662261615116497,0,-0.25369150836500798,0,-0.35830243000106993
23,90.019569471624294,395133.81526402611,-1.5240918320188179,0,-0.27772102517405073,0,-0.39161567245984696
24,93.933463796477525,385336.1753969033,17.464699390952582,0,-0.30282936939042332,0,-0.42640950347234768
25,97.847358121330757,375304.47795059264,-6.6000242591233258,0,-0.32920786779888783,0,-0.46268392303857186
26,101.76125244618399,365132.22089680313,-3.7112193384134158,0,-0.35668596850644757,0,-0.50043893115851923
27,105.67514677103722,354808.52668577526,-8.3032989904565557,0,-0.38536722300575055,0,-0.53967452783219005
28,109.58904109589045,344365.45082622365,-11.861703619347807,0,-0.41524205500047523,0,-0.58039071305958423
29,113.50293542074368,333840.81576538237,-0.0083110814615159224,0,-0.44628122566272244,0,-0.62258748684070198
30,117.41682974559691,323216.18424682977,-14.44885941383782,0,-0.47862410511057663,0,-0.66626484917554318
31,121.33072407045015,312562.95535787026,-6.7995099298531239,0,-0.51213959949306131,0,-0.71142280006410796
32,125.24461839530338,301894.11215709866,13.236013084981309,0,-0.54686917162869308,0,-0.75806133950639609
33,129.15851272015661,291172.08545391099,-14.197034613001428,0,-0.58303105418909595,0,-0.80618046750240735
34,133.07240704500984,280512.43515723164,4.646929213651795,0,-0.62032744943348195,0,-0.8557801840521424
35,136.98630136986307,269884.84599380713,18.17648429077321,0,-0.65895013382121814,0,-0.90686048915560058
36,140.9001956947163,259289.40586516471,5.8052119116242382,0,-0.69900067048614811,0,-0.95942138281278244
37,144.81409001956953,248779.82755892197,1.2335070402986601,0,-0.74037722689022722,0,-1.0134628650236877
38,148.72798434442277,238369.57267190411,-1.3711639887563636,0,-0.78312320988912165,0,-1.0689849357883163
39,152.641878669276,228070.9011450831,-8.27235819844506,0,-0.82728895497704957,0,-1.125987595106668
40,156.55577299412923,217909.79825794636,-11.189430946469869,0,-0.87286429782101238,0,-1.1844708429787436
41,160.46966731898246,207914.40764666779,1.179421061797592,0,-0.91981901221238938,0,-1.2444346794045427
42,164.38356164383569,198085.4541955973,13.619569887486154,0,-0.96824698109076535,0,-1.3058791043840652
43,168.29745596868892,188394.52284384589,-17.286242814024064,0,-1.0184072157593802,0,-1.3688041179173107
44,172.21135029354215,178953.6022946478,6.4161936482743487,0,-1.0698189383414523,0,-1.4332097200042797
45,176.12524461839539,169707.00714276714,16.000417034367835,0,-1.1228720427832599,0,-1.4990959106449726
46,180.03913894324862,160673.44365137492,18.146109376513792,0,-1.1775715006292657,0,-1.566462689839389
47,183.95303326810185,151853.29785483071,2.2435431981904674,0,-1.2340305964235636,0,-1.6353100575875283
48,187.86692759295508,143299.65488174662,11.424568443795074,0,-1.2920075790555625,0,-1.7056380138893912
49,191.78082191780831,134975.49678612591,-0.23253129310247619,0,-1.3518522488485418,0,-1.7774465587449773
50,195.69471624266154,126915.97735472755,-5.4257814422125854,0,-1.4134202336493789,0,-1.8507356921542875
51,199.60861056751477,119137.66509875999,5.6114358788421326,0,-1.4766658314788352,0,-1.92550541411732
52,203.522504892368,111632.56558019049,19.126286624591984,0,-1.5417326918707879,0,-2.0017557246340769
53,207.43639921722124,104370.85204433771,0.56644116490941687,0,-1.6089950640361801,0,-2.0794866237045566
54,211.35029354207447,97406.977934159935,0.67780445431187097,0,-1.678047655408119,0,-2.1586981113287611
55,215.2641878669277,90727.681923046635,3.4908218313142605,0,-1.7490829918481534,0,-2.2393901875066882
56,219.17808219178093,84338.521133229471,12.831209517057347,0,-1.8221067919437335,0,-2.3215628522383382
57,223.09197651663416,78211.756769688916,0.17953726717710564,0,-1.8975255269505582,0,-2.4052161055237118
